K	CV
2	0.67710
2	0.67710
2	0.67758
2	0.67758
2	0.67769
2	0.67769
2	0.67821
2	0.67821
2	0.67857
2	0.67857
2	0.67870
2	0.67870
2	0.67895
2	0.67895
2	0.67924
2	0.67924
2	0.67982
2	0.67982
2	0.68069
2	0.68069
3	0.62061
3	0.62061
3	0.62183
3	0.62183
3	0.62238
3	0.62238
3	0.62240
3	0.62240
3	0.66550
3	0.66550
3	0.70525
3	0.70525
3	0.70696
3	0.70696
3	0.70867
3	0.70867
3	0.70926
3	0.70926
3	0.70961
3	0.70961
4	0.61451
4	0.61451
4	0.65643
4	0.65643
4	0.65679
4	0.65679
4	0.65764
4	0.65764
4	0.65870
4	0.65870
4	0.65915
4	0.65915
4	0.65989
4	0.65989
4	0.66004
4	0.66004
4	0.66060
4	0.66060
4	0.70425
4	0.70425
5	0.65603
5	0.65603
5	0.65769
5	0.65769
5	0.65770
5	0.65770
5	0.65796
5	0.65796
5	0.65910
5	0.65910
5	0.65910
5	0.65910
5	0.65926
5	0.65926
5	0.67180
5	0.67180
5	0.67561
5	0.67561
5	0.69987
5	0.69987
6	0.67406
6	0.67406
6	0.67736
6	0.67736
6	0.69175
6	0.69175
6	0.69286
6	0.69286
6	0.69296
6	0.69296
6	0.69304
6	0.69304
6	0.69394
6	0.69394
6	0.69545
6	0.69545
6	0.70239
6	0.70239
6	0.72041
6	0.72041
7	0.71095
7	0.71095
7	0.71136
7	0.71136
7	0.71164
7	0.71164
7	0.74075
7	0.74075
7	0.75933
7	0.75933
7	0.76213
7	0.76213
7	0.77896
7	0.77896
7	0.78135
7	0.78135
7	0.79394
7	0.79394
7	0.79577
7	0.79577
8	0.76743
8	0.76743
8	0.77816
8	0.77816
8	0.78361
8	0.78361
8	0.79533
8	0.79533
8	0.79678
8	0.79678
8	0.79688
8	0.79688
8	0.82783
8	0.82783
8	0.85025
8	0.85025
8	0.86148
8	0.86148
8	0.89170
8	0.89170
9	0.80803
9	0.80803
9	0.81371
9	0.81371
9	0.85112
9	0.85112
9	0.85256
9	0.85256
9	0.85259
9	0.85259
9	0.86766
9	0.86766
9	0.87023
9	0.87023
9	0.87640
9	0.87640
9	0.89803
9	0.89803
9	0.90512
9	0.90512
10	0.85661
10	0.85661
10	0.87802
10	0.87802
10	0.89733
10	0.89733
10	0.92638
10	0.92638
10	0.93685
10	0.93685
10	0.93723
10	0.93723
10	0.94617
10	0.94617
10	0.95928
10	0.95928
10	0.97355
10	0.97355
10	1.02839
10	1.02839
