strain,reference_strain,isotype,previous_names,release,source_lab,collection_group,c_label,s_label,latitude,longitude,landscape,substrate,substrate_comment,substrate_temp,ambient_temp,substrate_moisture,ambient_humidity,photo,isolated_by,sampled_by,isolation_date,isolation_date_comment,notes,state,country
CB4854,1,CB4854,GA9,20160408,CGC,,,,34.189,-118.131,Urban garden,Vegetable,vegetable garden,NA,NA,NA,NA,NA,C. Johnson,C. Johnson,12/1/73,only month/year is known (December 1973),"CGC says Isolated in May 1974 from vegetable garden on Garfias St, Altadena, California USA, Noted as identical to CB3198 by Hodgkin and Doniach. Hodgkin and Doniach say isolated December 1973",California,United States
ECA245,0,CB4853,CB4853 (CGC)|CB4853_CGC|GA12,20160408,CGC,,,,34.171,-118.131,Urban garden,Vegetable,vegetable garden,NA,NA,NA,NA,NA,NA,C. Johnson,5/1/74,only month/year is known (May 1974),Low copy Tc1; pattern III,California,United States
ECA246,1,CB4853,CB4853 (UK)|CB4853_UK|CB4853|GA12,20160408,CB,,,,34.189,-118.131,Urban garden,Vegetable,vegetable garden,NA,NA,NA,NA,NA,NA,C. Johnson,5/1/74,only month/year is known (May 1974),Low copy Tc1; pattern III,California,United States
ECA248,1,CB4855,CB4855 (UK)|CB4855_UK|CB4855|Cal-5|Sta-5,20160408,CB,,,,37.44,-122.14,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,NA,T. Doniach,1/1/82,only year (1982) is known,"Low copy Tc1, pattern VI",California,United States
AB2,0,CB4858,NA,20160408,CGC,,,,-34.93,138.59,NA,Soil,soil under rotting vegetation,NA,NA,NA,NA,NA,D. Riddle & A. Bird,D. Riddle and A. Bird,1/1/83,only year (1983) is known,Sampled at the Australian Wine Institute grounds,South Australia,Australia
AB3,0,CB4858,NA,20160408,CGC,,,,-34.93,138.59,NA,Soil,soil under rotting vegetation,NA,NA,NA,NA,NA,D. Riddle & A. Bird,D. Riddle and A. Bird,1/1/83,only year (1983) is known,Sampled at the Waite Agricultural Research Institue nursery plots,South Australia,Australia
AB4,0,CB4858,NA,20160408,CGC,,,,-34.93,138.59,NA,Soil,soil under rotting vegetation,NA,NA,NA,NA,NA,D. Riddle & A. Bird,D. Riddle and A. Bird,1/1/83,only year (1983) is known,Tc1 pattern VIII,South Australia,Australia
AB1,1,AB1,NA,20160408,CGC,,,,-34.93,138.59,NA,Soil,soil under rotting vegetation,NA,NA,NA,NA,NA,D. Riddle & A. Bird,D. Riddle & A. Bird,1/1/83,only year (1983) is known,Tc1 pattern VII,South Australia,Australia
RC301,1,RC301,NA,20160408,CGC,,,,47.99,7.84,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,R. Cassada,R. Cassada,1/1/83,Only year (1983) is known,Reference WBG 9(3) 29 and 10(2) 140-141. npr-1 pka bor-1,Baden-Württemberg,Germany
KR314,1,KR314,NA,20160408,CGC,,,,49.28,-123.13,Urban garden,Rotting fruit,decaying avocado,NA,NA,NA,NA,NA,F. Dill,F. Dill,5/1/84,NA,NA,British Columbia,Canada
CB4932,1,CB4932,NA,20160408,CGC,,,,51.02,-3.1,Rural garden,Fungus,mushroom casing,NA,NA,NA,NA,NA,P. Grewal,P. Grewal,1/1/91,pre-1991,unique Tc1 pattern,England,United Kingdom
PB303,1,PB303,NA,20160408,CGC,,,,NA,NA,NA,Isopod,"live arthropod, Porcellio scaber",NA,NA,NA,NA,NA,S. Baird,S. Baird,11/14/98,NA,Porcellio scaber obtained from Ward's Biological Supply,,
ECA259,1,PB306,PB306 CGC|PB306,20160408,CGC,,,,NA,NA,NA,Isopod,"live arthropod, Porcellio scaber",NA,NA,NA,NA,NA,S. Baird,S. Baird,11/28/98,NA,Porcellio scaber obtained from Connecticut Valley Biological Supply,,
JU258,1,JU258,M 1.1,20160408,CGC,,,,32.73,-16.89,Agricultural land,Soil,soil,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/1/01,NA,"From Madeira Island, Portugal, Oct 01. Ribeiro Frio 1.1. Along a path through an orchard.",Madeira,Portugal
PX179,1,PX179,NA,20160408,CGC,,,,44.035,-123.058,Urban garden,Isopod,"live arthropod found in damp, organic soil under a rock in a rhododendron garden",NA,NA,NA,NA,NA,B. White,B. White,10/2/01,NA,"Isolated in northwest Hendricks Park, northwest rhododendron garden, Eugene, OR.",Oregon,United States
JU263,0,JU310,B 2.1,20160408,JU,,,,46.63,1.06,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,11/3/01,NA,"Vegetable garden in Le Blanc, Indre, France, 3 Nov 01. Vegetable garbage pile. Same soil sample as JU262.",Centre,France
MY6,0,MY18,NA,20160408,CGC,,,,51.96,7.53,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,H. Schulenburg,H. Schulenburg,7/1/02,NA,NA,North Rhine-Westphalia,Germany
MY2,0,MY23,NA,20160408,CGC,,,,51.96,7.53,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,H. Schulenburg,H. Schulenburg,7/1/02,NA,NA,North Rhine-Westphalia,Germany
MY1,1,MY1,NA,20160408,MY,,,,52.54,7.31,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,H. Schulenburg,H. Schulenburg,7/1/02,NA,NA,Niedersachsen,Germany
MY10,1,MY10,NA,20160408,CGC,,,,51.96,7.53,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,H. Schulenburg,H. Schulenburg,7/1/02,NA,NA,Nordrhein-Westfalen,Germany
MY16,1,MY16,NA,20160408,CGC,,,,51.93,7.57,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,H. Schulenburg,H. Schulenburg,7/1/02,NA,NA,Nordrhein-Westfalen,Germany
MY18,1,MY18,NA,20160408,CGC,,,,51.96,7.53,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,H. Schulenburg,H. Schulenburg,7/1/02,NA,NA,Nordrhein-Westfalen,Germany
MY23,1,MY23,NA,20160408,CGC,,,,51.96,7.53,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,H. Schulenburg,H. Schulenburg,7/1/02,NA,NA,Nordrhein-Westfalen,Germany
JU300,0,JU310,LB14.11,20160408,JU,,,,46.63,1.06,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,8/25/02,NA,"Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.",Centre,France
JU310,1,JU310,LB14.10,20160408,JU,,,,46.63,1.06,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,8/25/02,NA,"Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.",Centre,France
JU400,0,JU394,HC3.2,20160408,JU,,,,49.28,-0.32,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,A. Barrière,A. Barrière,9/1/02,Only month/year (Sep. 2002) known,"Hermanville (Calvados), France - compost pile, Sep 02.",Lower Normandy,France
JU393,1,JU393,HC1.2,20160408,JU,,,,49.28,-0.32,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,A. Barrière,A. Barrière,9/1/02,Only month/year (Sep. 2002) known,"Hermanville (Calvados), France - compost pile, Sep 02.",Basse-Normandie,France
JU394,1,JU394,HC2.1,20160408,JU,,,,49.28,-0.32,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,A. Barrière,A. Barrière,9/1/02,Only month/year (Sep. 2002) known,"Hermanville (Calvados), France - compost pile, Sep 02.",Basse-Normandie,France
JU397,1,JU397,HC6.1,20160408,JU,,,,49.28,-0.32,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,A. Barrière,A. Barrière,9/1/02,Only month/year (Sep. 2002) known,"Hermanville (Calvados), France - compost pile, Sep 02.",Basse-Normandie,France
JU312,0,JU311,F5.2,20160408,JU,,,,44.42,4.4,Rural garden,Snail,"live mollusk, snails",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,9/8/02,NA,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. ",Auvergne Rhône-Alpes,France
JU315,0,JU311,F3.1,20160408,JU,,,,44.2,4.4,Rural garden,Snail,"live mollusk, Pomatias",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,9/8/02,NA,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From Pomatias elegans (?) snails",Languedoc-Roussillon,France
JU319,0,JU311,F6.2,20160408,JU,,,,44.42,4.4,Rural garden,NA,NA,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,9/8/02,NA,"Merlet, Lagorce (Ardèche), France. 8 Sep 02.",Auvergne Rhône-Alpes,France
JU322,0,JU323,D1.1,20160408,JU,,,,44.42,4.4,Rural garden,NA,NA,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,9/8/02,NA,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Helix snail #1 on the trunk of a mulberry tree (not the same snail as JU323).",Rhone-Alpes,France
JU345,0,JU346,G1.3,20170531,JU,,,,44.42,4.4,Rural garden,Millipede,"live arthropod, Glomeris",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,9/8/02,NA,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Glomeris myriapod in the compost pile (same myriapod as JU343, JU344, JU346).",Rhone-Alpes,France
JU311,1,JU311,F5.1,20160408,JU,,,,44.42,4.4,Rural garden,Snail,"live mollusk, snails",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,9/8/02,NA,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. Wash from snail tube - snails coming from under a tree full of ivy",Rhône-Alpes,France
JU323,1,JU323,D3.1,20160408,JU,,,,44.42,4.4,Rural garden,NA,NA,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,9/8/02,NA,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Helix snail #3 on the trunk of a mulberry tree (not the same snail as JU322).",Rhone-Alpes,France
JU346,1,JU346,G1.5,20160408,JU,,,,44.42,4.4,Rural garden,Isopod,"live arthropod, Glomeris",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,9/8/02,NA,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Glomeris myriapod in the compost pile (same myriapod as JU342, JU343, JU344).",Languedoc-Roussillon,France
JU363,0,JU360,PB1.1,20160408,CGC,,,,48.98,2.23,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,M.-A. Félix,C. Pieau,9/16/02,NA,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",Île-de-France,France
JU361,0,JU367,PB2.X,20160408,JU,,,,48.98,2.23,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,M.-A. Félix,C. Pieau,9/16/02,NA,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",Île-de-France,France
JU360,1,JU360,PB1.2,20160408,JU,,,,48.98,2.23,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,M.-A. Félix,C. Pieau,9/16/02,NA,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",Île-de-France,France
JU367,1,JU367,PB3.1,20160408,JU,,,,48.98,2.23,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,M.-A. Félix,C. Pieau,9/16/02,NA,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",Île-de-France,France
JU406,1,JU406,compost4,20160408,JU,,,,49.28,-0.32,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,A. Barrière,A. Barrière,12/30/02,NA,"Hermanville (Calvados), France - compost pile - isolated 30 Dec 02.",Basse-Normandie,France
CX11254,1,CX11254,HEY-046,20160408,CX,,,,34.130138,-118.114835,Botanical garden zoo,Soil,soil,NA,NA,NA,NA,NA,A. Sivasundar,A. Sivasundar,9/1/03,exact location in garden is unknown,isolated in Huntington Gardens,California,United States
CX11262,1,CX11262,HEY-028,20160408,CX,,,,34.130138,-118.114835,Botanical garden zoo,Soil,soil,NA,NA,NA,NA,NA,A. Sivasundar,A. Sivasundar,9/1/03,exact location in garden is unknown,isolated in Huntington Gardens,California,United States
CX11264,1,CX11264,HEY-034,20160408,CX,,,,34.130138,-118.114835,Botanical garden zoo,Soil,soil,NA,NA,NA,NA,NA,A. Sivasundar,A. Sivasundar,9/1/03,exact location in garden is unknown,isolated in Huntington Gardens,California,United States
CX11271,1,CX11271,HEY-050,20160408,CX,,,,34.13712,-118.12532,Urban garden,Soil,soil,NA,NA,NA,NA,NA,A. Sivasundar,A. Sivasundar,9/1/03,exact location at CalTech is unknown,isolated at California Institue of Technology,California,United States
CX11276,1,CX11276,HEY-056,20160408,CX,,,,34.20111,-118.21198,Botanical garden zoo,Soil,soil,NA,NA,NA,NA,NA,A. Sivasundar,A. Sivasundar,9/1/03,exact location in garden is unknown,isolated at Decanso Gardens,California,United States
CX11285,1,CX11285,HEY-061,20160408,CX,,,,34.14331,-118.05496,Botanical garden zoo,Soil,soil,NA,NA,NA,NA,NA,A. Sivasundar,A. Sivasundar,9/1/03,exact location is unknown,isolated in Los Angeles Arboretum,California,United States
CX11314,1,CX11314,HEY-036,20160408,CX,,,,34.12946,-118.10987,Urban garden,Soil,soil,NA,NA,NA,NA,NA,A. Sivasundar,A. Sivasundar,9/1/03,exact location in garden is unknown,isolated in Huntington Gardens,California,United States
JU440,1,JU440,NA,20160408,JU,,,,48.715,1.56,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,M.-A. Félix,D. Baïlle,9/12/03,NA,"From Beauchêne (Eure & Loir -France) in the compost pile, 12 Sep 03.",Centre,France
JT11398,1,JT11398,NA,20160408,JT,,,,47.763944,-122.275484,Urban garden,Compost,worm bin,NA,NA,NA,NA,NA,J. Kemner,J. Kemner,12/1/03,NA,"Isolated from worm bin in contact with soil at 18704 50th Ave Lake Forest Park, WA outside of Seattle. Bin was fed kitchen scraps and espresso ground. Isolated by single worm pick from fluidized worm castings. Fertile with C. elegans males.",Washington,United States
CX11292,1,CX11292,HEY-016,20160408,CX,,,,34.13531,-118.30582,Urban garden,Soil,soil,NA,NA,NA,NA,NA,A. Sivasundar,A. Sivasundar,2/1/04,exact location in park is unknown,isolated in Griffith Park,California,United States
JU533,0,JU1213,P4D8,20160408,JU,,,,48.71,-3.81,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/3/04,NA,"Isolated from compost heap in Primel-Trégastel (Finistère, France), 03 Oct 04. Picked as adult on 6 Oct 04.",Brittany,France
JU561,1,JU561,P9cl1,20160408,JU,,,,48.71,-3.81,Rural garden,Isopod,"live arthropod, isopod",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/3/04,NA,"Isolated from a sowbug found in the tube of compost from Hent ar Rhun, Finistère, France, on 3 Oct O4. Picked on 4 Oct 04.",Bretagne,France
ED3005,1,ED3005,NA,20160408,VX,,,,55.94,-3.36,Urban garden,Compost,compost bin,NA,NA,NA,NA,NA,A. Cutter,A. Cutter,10/25/04,NA,from a West Mains allotment public vegetable garden near Edinburgh Scotland,Scotland,United Kingdom
ED3011,1,ED3011,NA,20160408,VX,,,,55.92,-3.19,Urban garden,Compost,compost bin,NA,NA,NA,NA,NA,A. Cutter,A. Cutter,11/11/04,NA,isolated from Midmar Allotment public vegetable garden (field 1 plot 39),Scotland,United Kingdom
ED3012,1,ED3012,NA,20160408,VX,,,,55.92,-3.19,Urban garden,Compost,compost bin,NA,NA,NA,NA,NA,A. Cutter,A. Cutter,11/26/04,NA,isolated from Midmar Allotment public vegetable garden (field 1 plot 39),Scotland,United Kingdom
ED3021,0,ED3005,NA,20160408,VX,,,,55.92,-3.19,Urban garden,Compost,compost bin,NA,NA,NA,NA,NA,A. Cutter,A. Cutter,12/3/04,NA,isolated from Midmar Allotment public vegetable garden (field 1 plot 39),Scotland,United Kingdom
ED3017,1,ED3017,NA,20160408,VX,,,,55.92,-3.19,Urban garden,Compost,compost bin,NA,NA,NA,NA,NA,A. Cutter,A. Cutter,12/3/04,NA,isolated from Midmar Allotment public vegetable garden,Scotland,United Kingdom
JU642,1,JU642,NA,20160408,JU,,,,48.84,2.5,Urban garden,Compost,compost heap in Jean-Antoine Lepesant’s garden,NA,NA,NA,NA,NA,M.-A. Félix,J.-A. Lepesant,12/14/04,NA,NA,Île-de-France,France
JU751,1,JU751,JA VI 2.1,20160408,JU,,,,48.84,2.5,Urban garden,Compost,compost heap in Jean-Antoine Lepesant’s garden,NA,NA,NA,NA,NA,M.-A. Félix,J.-A. Lepesant,6/8/05,NA,NA,Île-de-France,France
LKC34,1,LKC34,NA,20160408,CGC,,,,-18,46,NA,Rotting nut,"rotting seed, Dypsis baronii",NA,NA,NA,NA,NA,V. Stowell,V. Stowell,6/17/05,NA,NA,Antananarivo Province,Madagascar
JU774,1,JU774,P6P2,20160408,JU,,,,38.683,-9.34,Urban garden,Compost,garden garbage left on pavement,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,7/10/05,NA,NA,Lisbon,Portugal
JU775,1,JU775,P8D1,20160408,JU,,,,38.7175,-9.1486,Botanical garden zoo,Rotting fruit,red fruits rottening on the ground below a tree,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,7/10/05,NA,"Isolated in the Botanical Garden, Lisbon, Portugal",Lisbon,Portugal
JU778,1,JU778,P12B4,20160408,JU,,,,38.719,-9.1491,Botanical garden zoo,Rotting fruit,fruits rottening on the ground below a Ficus isophlebia tree,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,7/10/05,NA,"Isolated in the Botanical Garden, Lisbon, Portugal",Lisbon,Portugal
JU782,1,JU782,P14D1,20160408,JU,,,,38.7191,-9.1503,Botanical garden zoo,Compost,compost heap at the top of the garden,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,7/10/05,NA,"Isolated in the Botanical Garden, Lisbon, Portugal",Lisbon,Portugal
JU792,1,JU792,F2A1,20160408,JU,,,,43.06,0.24,Rural garden,Compost,compost heap at the bottom of a garden,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,8/31/05,NA,NA,Midi-Pyrénées,France
JU830,1,JU830,T2A2,20160408,JU,,,,48.52,9.05,Urban garden,Compost,Compost heap of Ray Hong,NA,NA,NA,NA,NA,M.-A. Félix,R. Hong,9/28/05,NA,NA,Baden-Württemberg,Germany
JU847,1,JU847,O6A1,20160408,JU,,,,48.46,7.461,Agricultural land,Compost,compost heap in vegetable gardens/vineyards,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/3/05,NA,"Plated 4 Oct, picked as adult on 4 Oct .",Alsace-Champagne-Ardenne-Lorraine,France
ED3048,1,ED3048,NA,20160408,VX,,,,-33.366667,19.316667,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,E. Dolgin,E. Dolgin,4/2/06,NA,Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres,Western Cape,South Africa
ED3049,1,ED3049,NA,20160408,VX,,,,-33.366667,19.316667,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,E. Dolgin,E. Dolgin,4/2/06,NA,Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres,Western Cape,South Africa
ED3042,0,ED3048,NA,20160408,VX,,,,-33.366667,19.316667,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,E. Dolgin,E. Dolgin,5/5/06,NA,Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres,Western Cape,South Africa
ED3040,1,ED3040,NA,20160408,VX,,,,-26.166667,28.016667,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,E. Dolgin,E. Dolgin,5/5/06,NA,"Isolated from compost from Jenny Pettifor's garden in the Paview neighborhood in Johannesburg, South Africa",Gauteng,South Africa
ED3046,1,ED3046,NA,20160408,VX,,,,-33.366667,19.316667,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,E. Dolgin,E. Dolgin,5/5/06,NA,Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres,Western Cape,South Africa
ED3052,1,ED3052,NA,20160408,VX,,,,-33.366667,19.316667,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,E. Dolgin,E. Dolgin,5/5/06,NA,Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres,Western Cape,South Africa
ED3057,0,ED3073,NA,20160408,VX,,,,-1.083333,36.65,Agricultural land,Compost,compost heap,NA,NA,NA,NA,NA,E. Dolgin,E. Dolgin,5/17/06,NA,"Isolated from compost from the Olive Mushroom Farms near the town of Limuru, Kenya; altitude 2356m",Kiambu County,Kenya
ED3072,0,ED3073,NA,20160408,VX,,,,-1.083333,36.65,Agricultural land,Compost,compost heap,NA,NA,NA,NA,NA,E. Dolgin,E. Dolgin,5/17/06,NA,"Isolated from compost from the Olive Mushroom Farms near the town of Limuru, Kenya; altitude 2356m",Kiambu County,Kenya
ED3073,1,ED3073,NA,20160408,VX,,,,-1.083333,36.65,Agricultural land,Compost,compost heap,NA,NA,NA,NA,NA,E. Dolgin,E. Dolgin,5/17/06,NA,"Isolated from compost from the Olive Mushroom Farms near the town of Limuru, Kenya; altitude 2356m",Kiambu County,Kenya
ED3077,1,ED3077,NA,20160408,VX,,,,-1.316667,36.8,Botanical garden zoo,Leaf litter,leaf litter,NA,NA,NA,NA,NA,E. Dolgin,E. Dolgin,5/17/06,NA,solated from leaf litter from the Uhuru Gardens public park in the south part,Nairobi County,Kenya
EG4348,0,EG4349,NA,20160408,EG,,,,40.77167,-111.87316,Agricultural land,Rotting fruit,"rotting fruit, apple",NA,NA,NA,NA,NA,M. Ailion,M. Ailion,10/2/06,NA,NA,Utah,United States
EG4349,1,EG4349,NA,20160408,EG,,,,40.771467,-111.87316,Agricultural land,Rotting fruit,"rotting fruit, apple",NA,NA,NA,NA,NA,M. Ailion,M. Ailion,10/2/06,NA,NA,Utah,United States
EG4347,1,EG4347,NA,20160408,EG,,,,44.04789,-123.07108,Urban garden,Rotting fruit,"rotting fruit, tomato",NA,NA,NA,NA,NA,M. Ailion,M. Ailion,10/9/06,NA,NA,Oregon,United States
JU1088,1,JU1088,J14B1,20160408,JU,,,,34.7613,138.0149,Botanical garden zoo,Soil,soil,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,3/14/07,NA,"Isolated by MAF from soil sampled on 14 March 2007 in the Kacho-en aviary in Kakegawa, Shizuoka prefecture, Japan. May not be independent from JU1083; was contaminated with a Microbacterium nematophilum-like phenotype (frozen in Q47).",Shizuoka-ken,Japan
EG4724,1,EG4724,NA,20160408,EG,,,,41.6288,-8.3476,Agricultural land,Rotting fruit,"rotting fruit, apple",NA,NA,NA,NA,NA,M. Ailion,M. Ailion,3/28/07,NA,NA,Braga,Portugal
EG4725,1,EG4725,NA,20160408,EG,,,,41.6288,-8.3476,Agricultural land,Rotting fruit,"rotting fruit, apple",NA,NA,NA,NA,NA,M. Ailion,M. Ailion,3/28/07,NA,NA,Braga,Portugal
JU1172,1,JU1172,C6.2.1,20160408,JU,,,,-36.87,-73.04,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,4/1/07,only month/year (April 2007) is known,"Isolated from a sample of soil (compost) in a pot with rotting tomatoes collected in April 2007 in Concepcion, Chile, in the Villuco area, 3 km SE of the town.",Región del Bío Bío,Chile
NIC166,1,NIC166,NA,20160408,NIC,,,,46.72722,6.89775,Rural garden,Fruit,immature prunes,NA,NA,NA,NA,NA,C. Braendle,C. Braendle,7/27/07,NA,NA,Vaud,Switzerland
JU1200,1,JU1200,TP,20160408,JU,,,,55.577,-4.6,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,T. Page,T. Page,8/1/07,NA,Isolated by Tony Page from a compost heap sample recovered on 1 Aug 2007 in SouthWest Scotland 4°36.0’ West 55°34.6’ North.,Scotland,United Kingdom
JU1212,1,JU1212,1.4.1,20160408,JU,,,,48.71,-3.81,Rural garden,Rotting flower,"rotting stem, Arum maculata",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,9/24/07,NA,"Isolated by MAF from a rotting arum stem collected on 24 Sep 07 behind the water reservoir in Primel, France.",Bretagne,France
JU1213,1,JU1213,6.2.1,20160408,JU,,,,48.71,-3.81,Rural garden,Rotting fruit,"rotting fruit, apple",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,9/24/07,NA,"Isolated by MAF from a rotting apple collected on 24 Sep 07 in Primel, France.",Bretagne,France
