strain,reference_strain,isotype,previous_names,release,source_lab,collection_group,c_label,s_label,latitude,longitude,landscape,substrate,substrate_comment,substrate_temp,ambient_temp,substrate_moisture,ambient_humidity,photo,isolated_by,sampled_by,isolation_date,isolation_date_comment,notes,state,country
ECA339,0,ECA252,Bergerac FR,20170531,JU,,,,44.8358,0.4948,Rural garden,Soil,garden soil,NA,NA,NA,NA,NA,V. Nigon,V. Nigon,1/1/49,Only year of isolation (1949) is known,Note that the GPS coordinates were obtained from the wormbase entries describing the other Bergerac strains.,Nouvelle-Aquitaine,France
ECA253,0,N2,N2 (CGC)|N2_CGC|N2,20160408,CGC,,,,51.45,-2.59,Urban garden,Compost,mushroom compost,NA,NA,NA,NA,NA,L. Staniland,W. Nicholas,1/1/51,only year (1951) is known,,England,United Kingdom
ECA254,0,N2,N2 Baer|N2_Baer|N2|N2Baer,20160408,CFB,,,,51.45,-2.59,Urban garden,Compost,mushroom compost,NA,NA,NA,NA,NA,L. Staniland,W. Nicholas,1/1/51,only year (1951) is known,,England,United Kingdom
LSJ1,1,LSJ1,NA,20160408,CGC,,,,51.45,-2.59,Urban garden,Compost,mushroom compost,NA,NA,NA,NA,NA,W. Nicholas,W. Nicholas,1/1/51,only year (1951) is known,"Clonally related to N2, Maintained by E.C. Dougherty in axenic media until frozen in 1969",England,United Kingdom
N2,1,N2,N2 HRH|N2_HRH|N2,20160408,MT,,,,51.45,-2.59,Urban garden,Compost,mushroom compost,NA,NA,NA,NA,NA,W. Nicholas,W. Nicholas,1/1/51,only year (1951) is known,Maintained by E.C. Dougherty in axenic media until sent to S. Brenner in 1964. Frozen in 1969.,England,United Kingdom
CB4856,1,CB4856,CB4856 (CGC #3)|CB4856_CGC_3|CB4856_CGC|CB4856,20160408,CGC,,,,21.33,-157.86,Rural garden,Fruit,pineapple field,NA,NA,NA,NA,NA,L. Hollen,L. Hollen,8/1/72,NA,Isolated from an unknown Hawaiian island pineapple field,Hawaii,United States
ECA249,0,CB4857,CB4857 (CGC)|CB4857_CGC|CB4857|Cl2a,20160408,CB,,,,34.096,-117.719,NA,Rotting fungus,rotting mushroom,NA,NA,NA,NA,NA,NA,E. Hedgecock,11/1/72,only month/year is known (November 1972),"Low copy Tc1, pattern II",California,United States
ECA250,1,CB4857,CB4857 (UK)|CB4857_UK|Cl2a,20160408,CB,,,,34.096,-117.719,NA,Rotting fungus,rotting mushroom,NA,NA,NA,NA,NA,NA,E. Hedgecock,11/1/72,only month/year is known (November 1972),"Low copy Tc1, pattern II",California,United States
ECA251,1,CB4858,CB4858 (CGC)|CB4858_CGC|CB4858|PA1,20160408,CGC,,,,34.1,-118.1,Urban garden,Flower,flower bed,NA,NA,NA,NA,NA,NA,E. Hedgecock,6/1/73,only year (1973) is known; collected in the summer,this is a stock of PA1 that was sent to the Emmons lab and found to have a low Tc1copy number (as compared to CB4555).,California,United States
ECA252,1,ECA252,CB4858 (UK)|CB4858_UK,20160408,CB,,,,34.1,-118.1,Urban garden,Flower,flower bed,NA,NA,NA,NA,NA,NA,E. Hedgecock,6/1/73,only year (1973) is known; collected in the summer,this is a stock of PA1 that was sent to the Emmons lab and found to have a low Tc1copy number (as compared to CB4555).,California,United States
