pop_assignment,n,total_perc,cluster,cluster_perc
A,8,99.9999875,perc_a,92.69058749999999
A,8,99.9999875,perc_b,1.3454374999999998
A,8,99.9999875,perc_d,0.001
A,8,99.9999875,perc_e,2.563375
A,8,99.9999875,perc_c,1.7140374999999999
A,8,99.9999875,perc_f,0.001
A,8,99.9999875,perc_g,0.001
A,8,99.9999875,perc_h,0.001075
A,8,99.9999875,perc_i,0.001025
A,8,99.9999875,perc_j,0.001
A,8,99.9999875,perc_k,1.68045
B,33,99.99999696969698,perc_a,0.3573454545454545
B,33,99.99999696969698,perc_b,78.3977606060606
B,33,99.99999696969698,perc_d,9.481666666666667
B,33,99.99999696969698,perc_e,0.0010030303030303031
B,33,99.99999696969698,perc_c,0.0010212121212121211
B,33,99.99999696969698,perc_f,0.001
B,33,99.99999696969698,perc_g,0.2039878787878788
B,33,99.99999696969698,perc_h,0.0010121212121212122
B,33,99.99999696969698,perc_i,9.927530303030304
B,33,99.99999696969698,perc_j,1.415769696969697
B,33,99.99999696969698,perc_k,0.21190000000000003
C,28,100,perc_a,0.6216178571428572
C,28,100,perc_b,0.5055857142857142
C,28,100,perc_d,10.558121428571429
C,28,100,perc_e,0.49968928571428567
C,28,100,perc_c,80.21921428571429
C,28,100,perc_f,0.0010035714285714285
C,28,100,perc_g,0.24514642857142854
C,28,100,perc_h,0.0010357142857142856
C,28,100,perc_i,0.7696107142857144
C,28,100,perc_j,4.260953571428572
C,28,100,perc_k,2.3180214285714285
D,61,100,perc_a,0.7301967213114754
D,61,100,perc_b,6.250637704918033
D,61,100,perc_d,69.2603786885246
D,61,100,perc_e,0.30989180327868854
D,61,100,perc_c,1.89037868852459
D,61,100,perc_f,0.0805032786885246
D,61,100,perc_g,1.561644262295082
D,61,100,perc_h,0.0010114754098360657
D,61,100,perc_i,9.344452459016393
D,61,100,perc_j,9.874147540983607
D,61,100,perc_k,0.6967573770491804
E,19,99.9999947368421,perc_a,0.0010421052631578948
E,19,99.9999947368421,perc_b,0.23634736842105264
E,19,99.9999947368421,perc_d,1.6338894736842104
E,19,99.9999947368421,perc_e,86.17545789473684
E,19,99.9999947368421,perc_c,7.181105263157894
E,19,99.9999947368421,perc_f,0.5080578947368422
E,19,99.9999947368421,perc_g,0.001
E,19,99.9999947368421,perc_h,0.0010157894736842106
E,19,99.9999947368421,perc_i,0.17248947368421053
E,19,99.9999947368421,perc_j,1.5124684210526318
E,19,99.9999947368421,perc_k,2.577121052631579
F,11,99.99999090909091,perc_a,3.869327272727273
F,11,99.99999090909091,perc_b,0.0011181818181818183
F,11,99.99999090909091,perc_d,0.001
F,11,99.99999090909091,perc_e,0.0010272727272727274
F,11,99.99999090909091,perc_c,0.07755454545454545
F,11,99.99999090909091,perc_f,92.7477090909091
F,11,99.99999090909091,perc_g,0.0010272727272727274
F,11,99.99999090909091,perc_h,3.298081818181818
F,11,99.99999090909091,perc_i,0.0010727272727272727
F,11,99.99999090909091,perc_j,0.0010727272727272727
F,11,99.99999090909091,perc_k,0.001
G,15,100.00001333333334,perc_a,3.459206666666667
G,15,100.00001333333334,perc_b,0.7900066666666667
G,15,100.00001333333334,perc_d,0.6215333333333333
G,15,100.00001333333334,perc_e,0.0010333333333333334
G,15,100.00001333333334,perc_c,0.001
G,15,100.00001333333334,perc_f,0.001
G,15,100.00001333333334,perc_g,78.72223333333334
G,15,100.00001333333334,perc_h,0.001
G,15,100.00001333333334,perc_i,2.454346666666667
G,15,100.00001333333334,perc_j,13.947653333333331
G,15,100.00001333333334,perc_k,0.001
H,8,100.00000000000001,perc_a,0.0010375000000000002
H,8,100.00000000000001,perc_b,0.001075
H,8,100.00000000000001,perc_d,0.001025
H,8,100.00000000000001,perc_e,0.001
H,8,100.00000000000001,perc_c,0.001
H,8,100.00000000000001,perc_f,0.001
H,8,100.00000000000001,perc_g,0.001
H,8,100.00000000000001,perc_h,99.98977500000001
H,8,100.00000000000001,perc_i,0.0010875
H,8,100.00000000000001,perc_j,0.001
H,8,100.00000000000001,perc_k,0.001
I,37,100.0000054054054,perc_a,1.0173189189189187
I,37,100.0000054054054,perc_b,7.133516216216215
I,37,100.0000054054054,perc_d,11.11478108108108
I,37,100.0000054054054,perc_e,0.0010432432432432434
I,37,100.0000054054054,perc_c,0.9889648648648648
I,37,100.0000054054054,perc_f,0.0010216216216216217
I,37,100.0000054054054,perc_g,0.09907027027027027
I,37,100.0000054054054,perc_h,0.001
I,37,100.0000054054054,perc_i,76.69317567567568
I,37,100.0000054054054,perc_j,2.7727594594594596
I,37,100.0000054054054,perc_k,0.17735405405405405
J,36,100,perc_a,2.1632305555555553
J,36,100,perc_b,2.853658333333333
J,36,100,perc_d,13.797277777777778
J,36,100,perc_e,0.5719055555555556
J,36,100,perc_c,1.0283416666666667
J,36,100,perc_f,0.001
J,36,100,perc_g,3.0631222222222223
J,36,100,perc_h,0.001002777777777778
J,36,100,perc_i,6.395833333333334
J,36,100,perc_j,68.37763333333334
J,36,100,perc_k,1.7469944444444445
K,20,99.999995,perc_a,0.397675
K,20,99.999995,perc_b,0.8268899999999999
K,20,99.999995,perc_d,13.762795
K,20,99.999995,perc_e,1.6481500000000002
K,20,99.999995,perc_c,5.358585000000001
K,20,99.999995,perc_f,0.0010149999999999998
K,20,99.999995,perc_g,1.7615150000000004
K,20,99.999995,perc_h,0.001
K,20,99.999995,perc_i,3.371825
K,20,99.999995,perc_j,2.410395
K,20,99.999995,perc_k,70.46015
