isotype,max_pop_frac,pop_assignment,Hawaiian,cluster,frac_cluster,ordered_isotype
QX1791,0.559108,A,TRUE,A,0.559108,QX1791
XZ1515,0.569182,E,TRUE,A,1e-5,XZ1515
ECA701,0.58748,F,TRUE,A,0.250814,ECA701
QX1792,0.617955,E,TRUE,A,1e-5,QX1792
XZ1516,0.624136,F,TRUE,A,0.174719,XZ1516
ECA738,0.720652,E,TRUE,A,1e-5,ECA738
ECA372,0.766152,E,TRUE,A,1.8e-5,ECA372
ECA189,0.842304,E,TRUE,A,1e-5,ECA189
XZ1513,0.843273,E,TRUE,A,1e-5,XZ1513
ECA743,0.84473,E,TRUE,A,1e-5,ECA743
QX1794,0.855294,E,TRUE,A,1e-5,QX1794
ECA706,0.856741,A,TRUE,A,0.856741,ECA706
QX1793,0.875683,E,TRUE,A,1e-5,QX1793
ECA710,0.928485,E,TRUE,A,1e-5,ECA710
ECA724,0.991476,F,TRUE,A,1e-5,ECA724
ECA742,0.999881,F,TRUE,A,1e-5,ECA742
ECA723,0.999884,H,TRUE,A,1.3e-5,ECA723
XZ1514,0.999894,F,TRUE,A,1e-5,XZ1514
ECA740,0.999895,F,TRUE,A,1e-5,ECA740
ECA777,0.999896,E,TRUE,A,1e-5,ECA777
ECA778,0.999896,E,TRUE,A,1e-5,ECA778
DL238,0.999898,A,TRUE,A,0.999898,DL238
ECA741,0.999898,F,TRUE,A,1e-5,ECA741
ECA745,0.999898,H,TRUE,A,1e-5,ECA745
ECA768,0.999899,E,TRUE,A,1e-5,ECA768
ECA812,0.999899,E,TRUE,A,1e-5,ECA812
CB4856,0.9999,A,TRUE,A,0.9999,CB4856
ECA191,0.9999,H,TRUE,A,1e-5,ECA191
ECA347,0.9999,F,TRUE,A,1e-5,ECA347
ECA363,0.9999,F,TRUE,A,1e-5,ECA363
ECA369,0.9999,A,TRUE,A,0.9999,ECA369
ECA396,0.9999,H,TRUE,A,1e-5,ECA396
ECA703,0.9999,A,TRUE,A,0.9999,ECA703
ECA705,0.9999,E,TRUE,A,1e-5,ECA705
ECA712,0.9999,E,TRUE,A,1e-5,ECA712
ECA722,0.9999,H,TRUE,A,1e-5,ECA722
ECA730,0.9999,H,TRUE,A,1e-5,ECA730
ECA732,0.9999,A,TRUE,A,0.9999,ECA732
ECA733,0.9999,A,TRUE,A,0.9999,ECA733
ECA744,0.9999,H,TRUE,A,1e-5,ECA744
ECA746,0.9999,H,TRUE,A,1e-5,ECA746
ECA760,0.9999,E,TRUE,A,1e-5,ECA760
ECA807,0.9999,E,TRUE,A,1e-5,ECA807
QX1791,0.559108,A,TRUE,B,0.107565,QX1791
XZ1515,0.569182,E,TRUE,B,1e-5,XZ1515
ECA701,0.58748,F,TRUE,B,1e-5,ECA701
QX1792,0.617955,E,TRUE,B,1e-5,QX1792
XZ1516,0.624136,F,TRUE,B,1e-5,XZ1516
ECA738,0.720652,E,TRUE,B,1e-5,ECA738
ECA372,0.766152,E,TRUE,B,1e-5,ECA372
ECA189,0.842304,E,TRUE,B,1e-5,ECA189
XZ1513,0.843273,E,TRUE,B,1e-5,XZ1513
ECA743,0.84473,E,TRUE,B,0.044726,ECA743
QX1794,0.855294,E,TRUE,B,1e-5,QX1794
ECA706,0.856741,A,TRUE,B,1e-5,ECA706
QX1793,0.875683,E,TRUE,B,1e-5,QX1793
ECA710,0.928485,E,TRUE,B,1e-5,ECA710
ECA724,0.991476,F,TRUE,B,1e-5,ECA724
ECA742,0.999881,F,TRUE,B,1.2e-5,ECA742
ECA723,0.999884,H,TRUE,B,1.6e-5,ECA723
XZ1514,0.999894,F,TRUE,B,1.2e-5,XZ1514
ECA740,0.999895,F,TRUE,B,1e-5,ECA740
ECA777,0.999896,E,TRUE,B,1e-5,ECA777
ECA778,0.999896,E,TRUE,B,1e-5,ECA778
DL238,0.999898,A,TRUE,B,1e-5,DL238
ECA741,0.999898,F,TRUE,B,1e-5,ECA741
ECA745,0.999898,H,TRUE,B,1e-5,ECA745
ECA768,0.999899,E,TRUE,B,1e-5,ECA768
ECA812,0.999899,E,TRUE,B,1e-5,ECA812
CB4856,0.9999,A,TRUE,B,1e-5,CB4856
ECA191,0.9999,H,TRUE,B,1e-5,ECA191
ECA347,0.9999,F,TRUE,B,1e-5,ECA347
ECA363,0.9999,F,TRUE,B,1e-5,ECA363
ECA369,0.9999,A,TRUE,B,1e-5,ECA369
ECA396,0.9999,H,TRUE,B,1e-5,ECA396
ECA703,0.9999,A,TRUE,B,1e-5,ECA703
ECA705,0.9999,E,TRUE,B,1e-5,ECA705
ECA712,0.9999,E,TRUE,B,1e-5,ECA712
ECA722,0.9999,H,TRUE,B,1e-5,ECA722
ECA730,0.9999,H,TRUE,B,1e-5,ECA730
ECA732,0.9999,A,TRUE,B,1e-5,ECA732
ECA733,0.9999,A,TRUE,B,1e-5,ECA733
ECA744,0.9999,H,TRUE,B,1e-5,ECA744
ECA746,0.9999,H,TRUE,B,1e-5,ECA746
ECA760,0.9999,E,TRUE,B,1e-5,ECA760
ECA807,0.9999,E,TRUE,B,1e-5,ECA807
QX1791,0.559108,A,TRUE,C,0.137053,QX1791
XZ1515,0.569182,E,TRUE,C,0.334387,XZ1515
ECA701,0.58748,F,TRUE,C,1e-5,ECA701
QX1792,0.617955,E,TRUE,C,1e-5,QX1792
XZ1516,0.624136,F,TRUE,C,1e-5,XZ1516
ECA738,0.720652,E,TRUE,C,0.279258,ECA738
ECA372,0.766152,E,TRUE,C,0.232283,ECA372
ECA189,0.842304,E,TRUE,C,0.157606,ECA189
XZ1513,0.843273,E,TRUE,C,0.156637,XZ1513
ECA743,0.84473,E,TRUE,C,0.025694,ECA743
QX1794,0.855294,E,TRUE,C,0.10701,QX1794
ECA706,0.856741,A,TRUE,C,1e-5,ECA706
QX1793,0.875683,E,TRUE,C,1e-5,QX1793
ECA710,0.928485,E,TRUE,C,0.071425,ECA710
ECA724,0.991476,F,TRUE,C,0.008431,ECA724
ECA742,0.999881,F,TRUE,C,1e-5,ECA742
ECA723,0.999884,H,TRUE,C,1e-5,ECA723
XZ1514,0.999894,F,TRUE,C,1e-5,XZ1514
ECA740,0.999895,F,TRUE,C,1e-5,ECA740
ECA777,0.999896,E,TRUE,C,1e-5,ECA777
ECA778,0.999896,E,TRUE,C,1e-5,ECA778
DL238,0.999898,A,TRUE,C,1e-5,DL238
ECA741,0.999898,F,TRUE,C,1e-5,ECA741
ECA745,0.999898,H,TRUE,C,1e-5,ECA745
ECA768,0.999899,E,TRUE,C,1e-5,ECA768
ECA812,0.999899,E,TRUE,C,1e-5,ECA812
CB4856,0.9999,A,TRUE,C,1e-5,CB4856
ECA191,0.9999,H,TRUE,C,1e-5,ECA191
ECA347,0.9999,F,TRUE,C,1e-5,ECA347
ECA363,0.9999,F,TRUE,C,1e-5,ECA363
ECA369,0.9999,A,TRUE,C,1e-5,ECA369
ECA396,0.9999,H,TRUE,C,1e-5,ECA396
ECA703,0.9999,A,TRUE,C,1e-5,ECA703
ECA705,0.9999,E,TRUE,C,1e-5,ECA705
ECA712,0.9999,E,TRUE,C,1e-5,ECA712
ECA722,0.9999,H,TRUE,C,1e-5,ECA722
ECA730,0.9999,H,TRUE,C,1e-5,ECA730
ECA732,0.9999,A,TRUE,C,1e-5,ECA732
ECA733,0.9999,A,TRUE,C,1e-5,ECA733
ECA744,0.9999,H,TRUE,C,1e-5,ECA744
ECA746,0.9999,H,TRUE,C,1e-5,ECA746
ECA760,0.9999,E,TRUE,C,1e-5,ECA760
ECA807,0.9999,E,TRUE,C,1e-5,ECA807
QX1791,0.559108,A,TRUE,D,1e-5,QX1791
XZ1515,0.569182,E,TRUE,D,1e-5,XZ1515
ECA701,0.58748,F,TRUE,D,1e-5,ECA701
QX1792,0.617955,E,TRUE,D,0.220457,QX1792
XZ1516,0.624136,F,TRUE,D,1e-5,XZ1516
ECA738,0.720652,E,TRUE,D,1e-5,ECA738
ECA372,0.766152,E,TRUE,D,1e-5,ECA372
ECA189,0.842304,E,TRUE,D,1e-5,ECA189
XZ1513,0.843273,E,TRUE,D,1e-5,XZ1513
ECA743,0.84473,E,TRUE,D,0.052205,ECA743
QX1794,0.855294,E,TRUE,D,0.037616,QX1794
ECA706,0.856741,A,TRUE,D,1e-5,ECA706
QX1793,0.875683,E,TRUE,D,1e-5,QX1793
ECA710,0.928485,E,TRUE,D,1e-5,ECA710
ECA724,0.991476,F,TRUE,D,1e-5,ECA724
ECA742,0.999881,F,TRUE,D,1e-5,ECA742
ECA723,0.999884,H,TRUE,D,1e-5,ECA723
XZ1514,0.999894,F,TRUE,D,1e-5,XZ1514
ECA740,0.999895,F,TRUE,D,1e-5,ECA740
ECA777,0.999896,E,TRUE,D,1e-5,ECA777
ECA778,0.999896,E,TRUE,D,1e-5,ECA778
DL238,0.999898,A,TRUE,D,1e-5,DL238
ECA741,0.999898,F,TRUE,D,1e-5,ECA741
ECA745,0.999898,H,TRUE,D,1.2e-5,ECA745
ECA768,0.999899,E,TRUE,D,1.1e-5,ECA768
ECA812,0.999899,E,TRUE,D,1e-5,ECA812
CB4856,0.9999,A,TRUE,D,1e-5,CB4856
ECA191,0.9999,H,TRUE,D,1e-5,ECA191
ECA347,0.9999,F,TRUE,D,1e-5,ECA347
ECA363,0.9999,F,TRUE,D,1e-5,ECA363
ECA369,0.9999,A,TRUE,D,1e-5,ECA369
ECA396,0.9999,H,TRUE,D,1e-5,ECA396
ECA703,0.9999,A,TRUE,D,1e-5,ECA703
ECA705,0.9999,E,TRUE,D,1e-5,ECA705
ECA712,0.9999,E,TRUE,D,1e-5,ECA712
ECA722,0.9999,H,TRUE,D,1e-5,ECA722
ECA730,0.9999,H,TRUE,D,1e-5,ECA730
ECA732,0.9999,A,TRUE,D,1e-5,ECA732
ECA733,0.9999,A,TRUE,D,1e-5,ECA733
ECA744,0.9999,H,TRUE,D,1e-5,ECA744
