isotype,max_pop_frac,pop_assignment,Hawaiian,cluster,frac_cluster,ordered_isotype
ECA746,0.9999,H,TRUE,D,1e-5,ECA746
ECA760,0.9999,E,TRUE,D,1e-5,ECA760
ECA807,0.9999,E,TRUE,D,1e-5,ECA807
QX1791,0.559108,A,TRUE,E,0.061847,QX1791
XZ1515,0.569182,E,TRUE,E,0.569182,XZ1515
ECA701,0.58748,F,TRUE,E,1e-5,ECA701
QX1792,0.617955,E,TRUE,E,0.617955,QX1792
XZ1516,0.624136,F,TRUE,E,1e-5,XZ1516
ECA738,0.720652,E,TRUE,E,0.720652,ECA738
ECA372,0.766152,E,TRUE,E,0.766152,ECA372
ECA189,0.842304,E,TRUE,E,0.842304,ECA189
XZ1513,0.843273,E,TRUE,E,0.843273,XZ1513
ECA743,0.84473,E,TRUE,E,0.84473,ECA743
QX1794,0.855294,E,TRUE,E,0.855294,QX1794
ECA706,0.856741,A,TRUE,E,0.143163,ECA706
QX1793,0.875683,E,TRUE,E,0.875683,QX1793
ECA710,0.928485,E,TRUE,E,0.928485,ECA710
ECA724,0.991476,F,TRUE,E,1e-5,ECA724
ECA742,0.999881,F,TRUE,E,1.3e-5,ECA742
ECA723,0.999884,H,TRUE,E,1e-5,ECA723
XZ1514,0.999894,F,TRUE,E,1e-5,XZ1514
ECA740,0.999895,F,TRUE,E,1e-5,ECA740
ECA777,0.999896,E,TRUE,E,0.999896,ECA777
ECA778,0.999896,E,TRUE,E,0.999896,ECA778
DL238,0.999898,A,TRUE,E,1e-5,DL238
ECA741,0.999898,F,TRUE,E,1e-5,ECA741
ECA745,0.999898,H,TRUE,E,1e-5,ECA745
ECA768,0.999899,E,TRUE,E,0.999899,ECA768
ECA812,0.999899,E,TRUE,E,0.999899,ECA812
CB4856,0.9999,A,TRUE,E,1e-5,CB4856
ECA191,0.9999,H,TRUE,E,1e-5,ECA191
ECA347,0.9999,F,TRUE,E,1e-5,ECA347
ECA363,0.9999,F,TRUE,E,1e-5,ECA363
ECA369,0.9999,A,TRUE,E,1e-5,ECA369
ECA396,0.9999,H,TRUE,E,1e-5,ECA396
ECA703,0.9999,A,TRUE,E,1e-5,ECA703
ECA705,0.9999,E,TRUE,E,0.9999,ECA705
ECA712,0.9999,E,TRUE,E,0.9999,ECA712
ECA722,0.9999,H,TRUE,E,1e-5,ECA722
ECA730,0.9999,H,TRUE,E,1e-5,ECA730
ECA732,0.9999,A,TRUE,E,1e-5,ECA732
ECA733,0.9999,A,TRUE,E,1e-5,ECA733
ECA744,0.9999,H,TRUE,E,1e-5,ECA744
ECA746,0.9999,H,TRUE,E,1e-5,ECA746
ECA760,0.9999,E,TRUE,E,0.9999,ECA760
ECA807,0.9999,E,TRUE,E,0.9999,ECA807
QX1791,0.559108,A,TRUE,F,1e-5,QX1791
XZ1515,0.569182,E,TRUE,F,0.096351,XZ1515
ECA701,0.58748,F,TRUE,F,0.58748,ECA701
QX1792,0.617955,E,TRUE,F,1e-5,QX1792
XZ1516,0.624136,F,TRUE,F,0.624136,XZ1516
ECA738,0.720652,E,TRUE,F,1e-5,ECA738
ECA372,0.766152,E,TRUE,F,1e-5,ECA372
ECA189,0.842304,E,TRUE,F,1e-5,ECA189
XZ1513,0.843273,E,TRUE,F,1e-5,XZ1513
ECA743,0.84473,E,TRUE,F,1e-5,ECA743
QX1794,0.855294,E,TRUE,F,1e-5,QX1794
ECA706,0.856741,A,TRUE,F,1e-5,ECA706
QX1793,0.875683,E,TRUE,F,1e-5,QX1793
ECA710,0.928485,E,TRUE,F,1e-5,ECA710
ECA724,0.991476,F,TRUE,F,0.991476,ECA724
ECA742,0.999881,F,TRUE,F,0.999881,ECA742
ECA723,0.999884,H,TRUE,F,1e-5,ECA723
XZ1514,0.999894,F,TRUE,F,0.999894,XZ1514
ECA740,0.999895,F,TRUE,F,0.999895,ECA740
ECA777,0.999896,E,TRUE,F,1e-5,ECA777
ECA778,0.999896,E,TRUE,F,1e-5,ECA778
DL238,0.999898,A,TRUE,F,1e-5,DL238
ECA741,0.999898,F,TRUE,F,0.999898,ECA741
ECA745,0.999898,H,TRUE,F,1e-5,ECA745
ECA768,0.999899,E,TRUE,F,1e-5,ECA768
ECA812,0.999899,E,TRUE,F,1e-5,ECA812
CB4856,0.9999,A,TRUE,F,1e-5,CB4856
ECA191,0.9999,H,TRUE,F,1e-5,ECA191
ECA347,0.9999,F,TRUE,F,0.9999,ECA347
ECA363,0.9999,F,TRUE,F,0.9999,ECA363
ECA369,0.9999,A,TRUE,F,1e-5,ECA369
ECA396,0.9999,H,TRUE,F,1e-5,ECA396
ECA703,0.9999,A,TRUE,F,1e-5,ECA703
ECA705,0.9999,E,TRUE,F,1e-5,ECA705
ECA712,0.9999,E,TRUE,F,1e-5,ECA712
ECA722,0.9999,H,TRUE,F,1e-5,ECA722
ECA730,0.9999,H,TRUE,F,1e-5,ECA730
ECA732,0.9999,A,TRUE,F,1e-5,ECA732
ECA733,0.9999,A,TRUE,F,1e-5,ECA733
ECA744,0.9999,H,TRUE,F,1e-5,ECA744
ECA746,0.9999,H,TRUE,F,1e-5,ECA746
ECA760,0.9999,E,TRUE,F,1e-5,ECA760
ECA807,0.9999,E,TRUE,F,1e-5,ECA807
QX1791,0.559108,A,TRUE,G,1e-5,QX1791
XZ1515,0.569182,E,TRUE,G,1e-5,XZ1515
ECA701,0.58748,F,TRUE,G,1e-5,ECA701
QX1792,0.617955,E,TRUE,G,1e-5,QX1792
XZ1516,0.624136,F,TRUE,G,1e-5,XZ1516
ECA738,0.720652,E,TRUE,G,1e-5,ECA738
ECA372,0.766152,E,TRUE,G,1e-5,ECA372
ECA189,0.842304,E,TRUE,G,1e-5,ECA189
XZ1513,0.843273,E,TRUE,G,1e-5,XZ1513
ECA743,0.84473,E,TRUE,G,1e-5,ECA743
QX1794,0.855294,E,TRUE,G,1e-5,QX1794
ECA706,0.856741,A,TRUE,G,1e-5,ECA706
QX1793,0.875683,E,TRUE,G,1e-5,QX1793
ECA710,0.928485,E,TRUE,G,1e-5,ECA710
ECA724,0.991476,F,TRUE,G,1.3e-5,ECA724
ECA742,0.999881,F,TRUE,G,1e-5,ECA742
ECA723,0.999884,H,TRUE,G,1e-5,ECA723
XZ1514,0.999894,F,TRUE,G,1e-5,XZ1514
ECA740,0.999895,F,TRUE,G,1e-5,ECA740
ECA777,0.999896,E,TRUE,G,1e-5,ECA777
ECA778,0.999896,E,TRUE,G,1e-5,ECA778
DL238,0.999898,A,TRUE,G,1e-5,DL238
ECA741,0.999898,F,TRUE,G,1e-5,ECA741
ECA745,0.999898,H,TRUE,G,1e-5,ECA745
ECA768,0.999899,E,TRUE,G,1e-5,ECA768
ECA812,0.999899,E,TRUE,G,1e-5,ECA812
CB4856,0.9999,A,TRUE,G,1e-5,CB4856
ECA191,0.9999,H,TRUE,G,1e-5,ECA191
ECA347,0.9999,F,TRUE,G,1e-5,ECA347
ECA363,0.9999,F,TRUE,G,1e-5,ECA363
ECA369,0.9999,A,TRUE,G,1e-5,ECA369
ECA396,0.9999,H,TRUE,G,1e-5,ECA396
ECA703,0.9999,A,TRUE,G,1e-5,ECA703
ECA705,0.9999,E,TRUE,G,1e-5,ECA705
ECA712,0.9999,E,TRUE,G,1e-5,ECA712
ECA722,0.9999,H,TRUE,G,1e-5,ECA722
ECA730,0.9999,H,TRUE,G,1e-5,ECA730
ECA732,0.9999,A,TRUE,G,1e-5,ECA732
ECA733,0.9999,A,TRUE,G,1e-5,ECA733
ECA744,0.9999,H,TRUE,G,1e-5,ECA744
ECA746,0.9999,H,TRUE,G,1e-5,ECA746
ECA760,0.9999,E,TRUE,G,1e-5,ECA760
ECA807,0.9999,E,TRUE,G,1e-5,ECA807
QX1791,0.559108,A,TRUE,H,1e-5,QX1791
XZ1515,0.569182,E,TRUE,H,1e-5,XZ1515
ECA701,0.58748,F,TRUE,H,0.161626,ECA701
QX1792,0.617955,E,TRUE,H,1e-5,QX1792
XZ1516,0.624136,F,TRUE,H,0.201065,XZ1516
ECA738,0.720652,E,TRUE,H,1e-5,ECA738
ECA372,0.766152,E,TRUE,H,1e-5,ECA372
ECA189,0.842304,E,TRUE,H,1e-5,ECA189
XZ1513,0.843273,E,TRUE,H,1e-5,XZ1513
ECA743,0.84473,E,TRUE,H,1e-5,ECA743
QX1794,0.855294,E,TRUE,H,1e-5,QX1794
ECA706,0.856741,A,TRUE,H,1.6e-5,ECA706
QX1793,0.875683,E,TRUE,H,1.2e-5,QX1793
ECA710,0.928485,E,TRUE,H,1e-5,ECA710
ECA724,0.991476,F,TRUE,H,1e-5,ECA724
ECA742,0.999881,F,TRUE,H,1.6e-5,ECA742
ECA723,0.999884,H,TRUE,H,0.999884,ECA723
XZ1514,0.999894,F,TRUE,H,1e-5,XZ1514
ECA740,0.999895,F,TRUE,H,1e-5,ECA740
ECA777,0.999896,E,TRUE,H,1e-5,ECA777
ECA778,0.999896,E,TRUE,H,1e-5,ECA778
DL238,0.999898,A,TRUE,H,1e-5,DL238
ECA741,0.999898,F,TRUE,H,1.2e-5,ECA741
ECA745,0.999898,H,TRUE,H,0.999898,ECA745
ECA768,0.999899,E,TRUE,H,1e-5,ECA768
ECA812,0.999899,E,TRUE,H,1.1e-5,ECA812
CB4856,0.9999,A,TRUE,H,1e-5,CB4856
ECA191,0.9999,H,TRUE,H,0.9999,ECA191
ECA347,0.9999,F,TRUE,H,1e-5,ECA347
ECA363,0.9999,F,TRUE,H,1e-5,ECA363
ECA369,0.9999,A,TRUE,H,1e-5,ECA369
ECA396,0.9999,H,TRUE,H,0.9999,ECA396
ECA703,0.9999,A,TRUE,H,1e-5,ECA703
ECA705,0.9999,E,TRUE,H,1e-5,ECA705
ECA712,0.9999,E,TRUE,H,1e-5,ECA712
ECA722,0.9999,H,TRUE,H,0.9999,ECA722
ECA730,0.9999,H,TRUE,H,0.9999,ECA730
ECA732,0.9999,A,TRUE,H,1e-5,ECA732
ECA733,0.9999,A,TRUE,H,1e-5,ECA733
ECA744,0.9999,H,TRUE,H,0.9999,ECA744
ECA746,0.9999,H,TRUE,H,0.9999,ECA746
ECA760,0.9999,E,TRUE,H,1e-5,ECA760
ECA807,0.9999,E,TRUE,H,1e-5,ECA807
QX1791,0.559108,A,TRUE,I,1e-5,QX1791
XZ1515,0.569182,E,TRUE,I,1e-5,XZ1515
ECA701,0.58748,F,TRUE,I,1e-5,ECA701
QX1792,0.617955,E,TRUE,I,1e-5,QX1792
XZ1516,0.624136,F,TRUE,I,1e-5,XZ1516
ECA738,0.720652,E,TRUE,I,1e-5,ECA738
ECA372,0.766152,E,TRUE,I,1e-5,ECA372
ECA189,0.842304,E,TRUE,I,1e-5,ECA189
XZ1513,0.843273,E,TRUE,I,1e-5,XZ1513
ECA743,0.84473,E,TRUE,I,0.032585,ECA743
QX1794,0.855294,E,TRUE,I,1e-5,QX1794
ECA706,0.856741,A,TRUE,I,1e-5,ECA706
QX1793,0.875683,E,TRUE,I,1e-5,QX1793
ECA710,0.928485,E,TRUE,I,1e-5,ECA710
ECA724,0.991476,F,TRUE,I,1e-5,ECA724
ECA742,0.999881,F,TRUE,I,1e-5,ECA742
ECA723,0.999884,H,TRUE,I,1.7e-5,ECA723
XZ1514,0.999894,F,TRUE,I,1.3e-5,XZ1514
ECA740,0.999895,F,TRUE,I,1.5e-5,ECA740
ECA777,0.999896,E,TRUE,I,1.4e-5,ECA777
ECA778,0.999896,E,TRUE,I,1.4e-5,ECA778
DL238,0.999898,A,TRUE,I,1.2e-5,DL238
ECA741,0.999898,F,TRUE,I,1e-5,ECA741
ECA745,0.999898,H,TRUE,I,1e-5,ECA745
ECA768,0.999899,E,TRUE,I,1e-5,ECA768
ECA812,0.999899,E,TRUE,I,1e-5,ECA812
CB4856,0.9999,A,TRUE,I,1e-5,CB4856
ECA191,0.9999,H,TRUE,I,1e-5,ECA191
ECA347,0.9999,F,TRUE,I,1e-5,ECA347
ECA363,0.9999,F,TRUE,I,1e-5,ECA363
ECA369,0.9999,A,TRUE,I,1e-5,ECA369
ECA396,0.9999,H,TRUE,I,1e-5,ECA396
ECA703,0.9999,A,TRUE,I,1e-5,ECA703
ECA705,0.9999,E,TRUE,I,1e-5,ECA705
ECA712,0.9999,E,TRUE,I,1e-5,ECA712
ECA722,0.9999,H,TRUE,I,1e-5,ECA722
ECA730,0.9999,H,TRUE,I,1e-5,ECA730
ECA732,0.9999,A,TRUE,I,1e-5,ECA732
ECA733,0.9999,A,TRUE,I,1e-5,ECA733
ECA744,0.9999,H,TRUE,I,1e-5,ECA744
ECA746,0.9999,H,TRUE,I,1e-5,ECA746
ECA760,0.9999,E,TRUE,I,1e-5,ECA760
ECA807,0.9999,E,TRUE,I,1e-5,ECA807
QX1791,0.559108,A,TRUE,J,1e-5,QX1791
XZ1515,0.569182,E,TRUE,J,1e-5,XZ1515
ECA701,0.58748,F,TRUE,J,1e-5,ECA701
QX1792,0.617955,E,TRUE,J,0.161508,QX1792
XZ1516,0.624136,F,TRUE,J,1e-5,XZ1516
ECA738,0.720652,E,TRUE,J,1e-5,ECA738
ECA372,0.766152,E,TRUE,J,0.001477,ECA372
ECA189,0.842304,E,TRUE,J,1e-5,ECA189
XZ1513,0.843273,E,TRUE,J,1e-5,XZ1513
ECA743,0.84473,E,TRUE,J,1e-5,ECA743
QX1794,0.855294,E,TRUE,J,1e-5,QX1794
ECA706,0.856741,A,TRUE,J,1e-5,ECA706
QX1793,0.875683,E,TRUE,J,0.124224,QX1793
ECA710,0.928485,E,TRUE,J,1e-5,ECA710
ECA724,0.991476,F,TRUE,J,1e-5,ECA724
ECA742,0.999881,F,TRUE,J,1.8e-5,ECA742
ECA723,0.999884,H,TRUE,J,1e-5,ECA723
XZ1514,0.999894,F,TRUE,J,1e-5,XZ1514
ECA740,0.999895,F,TRUE,J,1e-5,ECA740
ECA777,0.999896,E,TRUE,J,1e-5,ECA777
ECA778,0.999896,E,TRUE,J,1e-5,ECA778
DL238,0.999898,A,TRUE,J,1e-5,DL238
ECA741,0.999898,F,TRUE,J,1e-5,ECA741
ECA745,0.999898,H,TRUE,J,1e-5,ECA745
ECA768,0.999899,E,TRUE,J,1e-5,ECA768
ECA812,0.999899,E,TRUE,J,1e-5,ECA812
CB4856,0.9999,A,TRUE,J,1e-5,CB4856
ECA191,0.9999,H,TRUE,J,1e-5,ECA191
ECA347,0.9999,F,TRUE,J,1e-5,ECA347
ECA363,0.9999,F,TRUE,J,1e-5,ECA363
ECA369,0.9999,A,TRUE,J,1e-5,ECA369
ECA396,0.9999,H,TRUE,J,1e-5,ECA396
ECA703,0.9999,A,TRUE,J,1e-5,ECA703
ECA705,0.9999,E,TRUE,J,1e-5,ECA705
ECA712,0.9999,E,TRUE,J,1e-5,ECA712
ECA722,0.9999,H,TRUE,J,1e-5,ECA722
ECA730,0.9999,H,TRUE,J,1e-5,ECA730
ECA732,0.9999,A,TRUE,J,1e-5,ECA732
ECA733,0.9999,A,TRUE,J,1e-5,ECA733
ECA744,0.9999,H,TRUE,J,1e-5,ECA744
ECA746,0.9999,H,TRUE,J,1e-5,ECA746
ECA760,0.9999,E,TRUE,J,1e-5,ECA760
ECA807,0.9999,E,TRUE,J,1e-5,ECA807
QX1791,0.559108,A,TRUE,K,0.134366,QX1791
XZ1515,0.569182,E,TRUE,K,1e-5,XZ1515
ECA701,0.58748,F,TRUE,K,1e-5,ECA701
QX1792,0.617955,E,TRUE,K,1e-5,QX1792
XZ1516,0.624136,F,TRUE,K,1e-5,XZ1516
ECA738,0.720652,E,TRUE,K,1e-5,ECA738
ECA372,0.766152,E,TRUE,K,1e-5,ECA372
ECA189,0.842304,E,TRUE,K,1e-5,ECA189
XZ1513,0.843273,E,TRUE,K,1e-5,XZ1513
ECA743,0.84473,E,TRUE,K,1e-5,ECA743
QX1794,0.855294,E,TRUE,K,1e-5,QX1794
ECA706,0.856741,A,TRUE,K,1e-5,ECA706
QX1793,0.875683,E,TRUE,K,1e-5,QX1793
ECA710,0.928485,E,TRUE,K,1e-5,ECA710
ECA724,0.991476,F,TRUE,K,1e-5,ECA724
ECA742,0.999881,F,TRUE,K,1e-5,ECA742
ECA723,0.999884,H,TRUE,K,1e-5,ECA723
XZ1514,0.999894,F,TRUE,K,1e-5,XZ1514
ECA740,0.999895,F,TRUE,K,1e-5,ECA740
ECA777,0.999896,E,TRUE,K,1e-5,ECA777
ECA778,0.999896,E,TRUE,K,1e-5,ECA778
DL238,0.999898,A,TRUE,K,1e-5,DL238
ECA741,0.999898,F,TRUE,K,1e-5,ECA741
ECA745,0.999898,H,TRUE,K,1e-5,ECA745
ECA768,0.999899,E,TRUE,K,1e-5,ECA768
ECA812,0.999899,E,TRUE,K,1e-5,ECA812
CB4856,0.9999,A,TRUE,K,1e-5,CB4856
ECA191,0.9999,H,TRUE,K,1e-5,ECA191
ECA347,0.9999,F,TRUE,K,1e-5,ECA347
ECA363,0.9999,F,TRUE,K,1e-5,ECA363
ECA369,0.9999,A,TRUE,K,1e-5,ECA369
ECA396,0.9999,H,TRUE,K,1e-5,ECA396
ECA703,0.9999,A,TRUE,K,1e-5,ECA703
ECA705,0.9999,E,TRUE,K,1e-5,ECA705
ECA712,0.9999,E,TRUE,K,1e-5,ECA712
ECA722,0.9999,H,TRUE,K,1e-5,ECA722
ECA730,0.9999,H,TRUE,K,1e-5,ECA730
ECA732,0.9999,A,TRUE,K,1e-5,ECA732
ECA733,0.9999,A,TRUE,K,1e-5,ECA733
ECA744,0.9999,H,TRUE,K,1e-5,ECA744
ECA746,0.9999,H,TRUE,K,1e-5,ECA746
ECA760,0.9999,E,TRUE,K,1e-5,ECA760
ECA807,0.9999,E,TRUE,K,1e-5,ECA807
