A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,samples,K_value
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,AB1,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,BRC20067,15
0.014401,1e-5,1e-5,1e-5,1e-5,0.058455,1e-5,1e-5,1e-5,1e-5,0.505653,0.421381,1e-5,1e-5,1e-5,BRC20263,15
1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,CB4851,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,CB4852,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.605872,1e-5,0.393997,1e-5,1e-5,1e-5,1e-5,CB4853,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.132084,1e-5,1e-5,0.397442,0.470354,1e-5,1e-5,1e-5,1e-5,CB4854,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.741114,1e-5,0.258756,1e-5,1e-5,1e-5,1e-5,CB4855,15
1e-5,0.901812,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.098058,1e-5,1e-5,1e-5,1e-5,1e-5,CB4856,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.951762,1e-5,0.048108,1e-5,1e-5,1e-5,1e-5,CB4857,15
1.4e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.938467,1e-5,0.061398,1e-5,1e-5,1e-5,1e-5,CB4858,15
1e-5,1e-5,0.455057,1e-5,1.5e-5,1e-5,0.116887,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.427931,1e-5,CB4932,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.193034,0.636645,0.03714,1e-5,0.133071,1e-5,1e-5,1e-5,CX11254,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.999856,1e-5,1.4e-5,1e-5,1e-5,1e-5,1e-5,CX11262,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,CX11264,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.204085,0.238201,1e-5,0.202229,0.355374,1e-5,1e-5,1e-5,CX11271,15
1e-5,1e-5,0.0333,1e-5,1e-5,1e-5,1e-5,0.115265,0.542751,1e-5,0.099272,0.209312,1e-5,1e-5,1e-5,CX11276,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.667435,1e-5,0.009355,0.32309,1e-5,1e-5,1e-5,CX11285,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.647649,1e-5,0.352221,1e-5,1e-5,1e-5,1e-5,CX11292,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.179572,0.563998,1e-5,0.109381,0.146939,1e-5,1e-5,1e-5,CX11307,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,CX11314,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.827042,1e-5,0.172828,1e-5,1e-5,1e-5,1e-5,CX11315,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.130118,1e-5,1e-5,0.045996,1e-5,1e-5,0.823765,1e-5,DL200,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.164779,1e-5,0.687366,1e-5,0.083728,0.064017,1e-5,1e-5,1e-5,DL226,15
0.083806,0.916064,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,DL238,15
1e-5,0.490065,1e-5,1e-5,1e-5,0.216426,1e-5,1e-5,0.255146,1e-5,1e-5,0.038253,1e-5,1e-5,1e-5,ECA189,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,ECA191,15
1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,ECA252,15
1e-5,1e-5,1e-5,2e-5,1e-5,1.5e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.999844,1e-5,1e-5,ECA347,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,ECA348,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,ECA349,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,1e-5,ECA36,15
