A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,samples,K_value
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,1e-5,ECA363,15
0.070662,0.799039,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.13018,1e-5,1e-5,ECA369,15
1e-5,0.574097,1e-5,1e-5,1e-5,0.094474,1e-5,1e-5,0.267657,1e-5,1e-5,0.063662,1e-5,1e-5,1e-5,ECA372,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,ECA396,15
1e-5,0.160881,1e-5,0.08065,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.591945,1e-5,0.166414,ECA701,15
1e-5,0.893902,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.105968,ECA703,15
1e-5,0.853866,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.146004,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,ECA705,15
1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,ECA706,15
1e-5,0.641906,1e-5,1e-5,1e-5,0.2026,1.3e-5,1e-5,0.155369,1e-5,1.3e-5,1e-5,1e-5,1e-5,1e-5,ECA710,15
1e-5,1e-5,1e-5,1e-5,1e-5,0.999858,1e-5,1e-5,1e-5,1e-5,1.2e-5,1e-5,1e-5,1e-5,1e-5,ECA712,15
1e-5,1e-5,1e-5,1e-5,1e-5,1.4e-5,1e-5,1.7e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.999849,ECA722,15
1e-5,1e-5,1.5e-5,1.5e-5,1e-5,1e-5,1.4e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.2e-5,1e-5,0.999843,ECA723,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.007658,1e-5,1e-5,1e-5,0.992212,1e-5,1e-5,ECA724,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,ECA730,15
1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,ECA732,15
1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,ECA733,15
1e-5,0.495967,1e-5,1e-5,1e-5,0.134618,1e-5,1e-5,0.369295,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,ECA738,15
1e-5,1e-5,1e-5,1.4e-5,1e-5,1.5e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.999851,1e-5,1e-5,ECA740,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,1e-5,ECA741,15
1e-5,1.7e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.5e-5,1e-5,1e-5,1e-5,1e-5,0.999848,1e-5,1e-5,ECA742,15
1e-5,0.88938,0.020408,1e-5,1e-5,1e-5,1e-5,1e-5,0.035656,1e-5,0.054213,2.43e-4,1e-5,1e-5,1e-5,ECA743,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,ECA744,15
1e-5,1.2e-5,1e-5,1e-5,1e-5,1.2e-5,1e-5,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,1e-5,0.999855,ECA745,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,ECA746,15
1e-5,1e-5,1.1e-5,1e-5,1e-5,0.999859,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,ECA760,15
1e-5,1e-5,1.8e-5,1e-5,1e-5,0.999846,1e-5,1.1e-5,1e-5,1.3e-5,1e-5,1.2e-5,1e-5,1e-5,1e-5,ECA768,15
1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,ECA777,15
1e-5,1e-5,1.7e-5,1e-5,1.8e-5,0.999845,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,ECA778,15
1e-5,1e-5,1e-5,1e-5,1e-5,0.999854,1.6e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,ECA807,15
1.7e-5,1e-5,1e-5,1e-5,1e-5,0.999842,1e-5,1e-5,1.4e-5,1.7e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,ECA812,15
1e-5,1e-5,1e-5,1e-5,0.523572,1e-5,1e-5,1e-5,0.222828,1e-5,0.25348,1e-5,1e-5,1e-5,1e-5,ED3005,15
1e-5,1e-5,1e-5,1e-5,0.226225,1e-5,1e-5,1e-5,0.223396,1e-5,0.435343,0.114927,1e-5,1e-5,1e-5,ED3011,15
1e-5,1e-5,0.498233,1e-5,1e-5,1e-5,0.501637,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,ED3012,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.323358,0.116418,1e-5,1e-5,0.124442,1e-5,1e-5,0.435672,1e-5,ED3017,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.134701,1e-5,0.212104,0.296481,0.356604,1e-5,1e-5,1e-5,ED3040,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.470968,1e-5,1e-5,0.244092,0.172052,1e-5,0.112778,1e-5,ED3046,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.165173,0.834697,1e-5,1e-5,1e-5,1e-5,ED3048,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.488385,1e-5,1e-5,0.239228,0.164671,1e-5,0.107607,1e-5,ED3049,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.257216,0.35970800000000003,0.382956,1e-5,1e-5,1e-5,ED3052,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.138725,1e-5,1e-5,0.861145,1e-5,1e-5,1e-5,1e-5,ED3073,15
0.039589,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.149242,0.811049,1e-5,1e-5,1e-5,1e-5,ED3077,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.859899,1e-5,1e-5,1e-5,0.139971,1e-5,1e-5,1e-5,1e-5,EG4347,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,EG4349,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.110177,0.287287,1e-5,0.602416,1e-5,1e-5,1e-5,1e-5,1e-5,EG4724,15
1e-5,1e-5,1e-5,0.179615,1e-5,1e-5,1e-5,0.050328,1e-5,0.549686,0.119345,0.100927,1e-5,1e-5,1e-5,EG4725,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.376079,1e-5,0.453948,1e-5,0.169848,1e-5,1e-5,1.5e-5,1e-5,EG4946,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,GXW1,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.672104,0.17961,1e-5,1e-5,1e-5,0.090163,1e-5,0.058013,1e-5,JT11398,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.089209,0.910661,1e-5,1e-5,1e-5,1e-5,JU1088,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.692319,1e-5,0.307551,1e-5,1e-5,1e-5,1e-5,JU1172,15
1e-5,1e-5,0.61409,1e-5,1e-5,1e-5,0.38578,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,JU1200,15
0.370933,1e-5,0.628934,1e-5,1.3e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,JU1212,15
0.442766,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.557104,1e-5,JU1213,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,JU1242,15
0.759708,1e-5,0.240162,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,JU1246,15
1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,JU1249,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,JU1395,15
1e-5,1e-5,1e-5,0.022538,1e-5,1e-5,1e-5,0.491174,1e-5,1e-5,1e-5,0.166269,1e-5,0.319909,1e-5,JU1400,15
1e-5,1e-5,0.032173,1e-5,1e-5,1e-5,1e-5,0.579406,1e-5,1e-5,0.185198,0.203113,1e-5,1e-5,1e-5,JU1409,15
1e-5,1e-5,2.42e-4,1e-5,1e-5,1e-5,0.367515,0.56942,1e-5,1e-5,1e-5,0.062713,1e-5,1e-5,1e-5,JU1440,15
0.099651,1.1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.826622,1e-5,0.073606,1e-5,JU1491,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.499973,1e-5,1e-5,1e-5,1e-5,1e-5,0.499897,1e-5,JU1530,15
1e-5,1e-5,0.280971,1e-5,1e-5,1e-5,0.718899,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,JU1543,15
1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,JU1568,15
0.999857,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.3e-5,1e-5,1e-5,JU1580,15
0.589396,1e-5,1e-5,1e-5,1e-5,1e-5,0.311773,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.098711,1e-5,JU1581,15
1e-5,1e-5,0.816275,1e-5,1e-5,1e-5,0.068012,1e-5,1e-5,1e-5,0.115593,1e-5,1e-5,1e-5,1e-5,JU1586,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.61802,0.16895,1e-5,1e-5,0.099795,0.113125,1e-5,1e-5,1e-5,JU1652,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,JU1666,15
1e-5,1e-5,0.65108,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.34879,1e-5,JU1792,15
0.999858,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.2e-5,1e-5,1e-5,JU1793,15
1e-5,1e-5,0.053253,1e-5,0.597062,1e-5,1e-5,0.186832,1e-5,1e-5,1e-5,1e-5,1e-5,0.162743,1e-5,JU1808,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,JU1896,15
0.597296,1e-5,0.038176,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.2e-5,1e-5,1e-5,1e-5,0.364406,1e-5,JU1934,15
1e-5,0.206964,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.195689,1e-5,0.597227,1e-5,JU2001,15
0.139444,1e-5,1e-5,1e-5,1e-5,1e-5,0.160062,0.650855,1e-5,0.049528,1e-5,1e-5,1e-5,1e-5,1e-5,JU2007,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.627082,1e-5,0.372788,1e-5,1e-5,1e-5,1e-5,JU2016,15
9.13e-4,0.086411,0.046725,1e-5,1e-5,0.0176,0.059744,0.013493,0.362581,0.141229,0.271243,1e-5,1e-5,1e-5,1e-5,JU2017,15
0.636276,1e-5,0.146698,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.216906,1e-5,JU2106,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.052754,1e-5,1e-5,1e-5,0.947116,1e-5,JU2131,15
0.259263,1e-5,0.134603,1e-5,0.05738,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.548644,1e-5,JU2141,15
1e-5,1e-5,0.058524,1e-5,1e-5,1e-5,0.792808,1e-5,1e-5,1e-5,0.022033,0.126524,1e-5,1e-5,1e-5,JU2234,15
1e-5,1e-5,1.6e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.999854,1e-5,JU2250,15
1e-5,1e-5,0.999853,1e-5,1e-5,1e-5,1e-5,1.7e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,JU2257,15
1e-5,1e-5,1e-5,0.999856,1.2e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.1e-5,1.2e-5,1e-5,1e-5,JU2316,15
0.09233,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.118822,0.697696,0.00766,1e-5,0.083392,1e-5,JU2464,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,JU2466,15
1e-5,1e-5,1e-5,1e-5,1.7e-5,1.3e-5,1e-5,1e-5,0.288833,1.1e-5,0.270606,1e-5,1.5e-5,0.440425,1e-5,JU2478,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.314558,1e-5,1e-5,1e-5,0.597649,1e-5,1e-5,0.087672,1e-5,JU2513,15
1e-5,1e-5,1e-5,0.560785,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.439085,1e-5,1e-5,1e-5,JU2519,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.116023,1e-5,0.883847,1e-5,1e-5,1e-5,JU2522,15
1e-5,1e-5,1e-5,0.999859,1.1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,JU2526,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.01269,1e-5,1e-5,0.413174,1e-5,1e-5,0.574016,1e-5,JU2534,15
1e-5,1e-5,0.999855,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.5e-5,1e-5,JU2565,15
1e-5,1e-5,0.724126,1e-5,1e-5,1e-5,1e-5,1e-5,1.1e-5,1e-5,0.093806,1e-5,1e-5,0.181946,1e-5,JU2566,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,JU2570,15
1e-5,1e-5,0.686694,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.313176,1e-5,JU2572,15
1e-5,1e-5,0.664192,1e-5,0.112087,1e-5,0.083101,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.140511,1e-5,JU2575,15
0.161632,0.068379,2.6e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.294389,1e-5,1e-5,0.475475,1e-5,JU2576,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.085101,1e-5,0.418259,0.49652,1e-5,1e-5,1e-5,1e-5,JU2578,15
0.065091,1e-5,1e-5,0.306393,1e-5,1e-5,0.016934,0.054841,1e-5,0.556641,1e-5,1e-5,1e-5,1e-5,1e-5,JU258,15
1e-5,1e-5,1e-5,1e-5,0.548547,1e-5,1e-5,0.422792,1e-5,1e-5,0.028541,1e-5,1e-5,1e-5,1e-5,JU2581,15
0.105722,1e-5,1e-5,1.9e-5,1e-5,1e-5,0.007365,0.03894,1e-5,0.248216,0.109188,0.49047,1e-5,1e-5,1e-5,JU2586,15
0.001917,1e-5,1e-5,1e-5,0.144331,1e-5,1e-5,0.796141,0.057502,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,JU2587,15
1e-5,1e-5,0.792559,0.013463,1e-5,1e-5,1e-5,1e-5,1e-5,0.083417,1e-5,1e-5,1e-5,0.110451,1e-5,JU2592,15
1e-5,1e-5,1e-5,1e-5,0.333609,1e-5,1e-5,0.666261,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,JU2593,15
0.999851,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.7e-5,1e-5,1e-5,1.2e-5,1e-5,1e-5,JU2600,15
0.999844,1e-5,1.5e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.9e-5,1e-5,1e-5,1.2e-5,1e-5,1e-5,JU2610,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.114014,1e-5,0.744818,0.141048,1e-5,1e-5,1e-5,JU2619,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.625947,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.373923,1e-5,JU2800,15
1e-5,1e-5,1e-5,1e-5,1e-5,0.083508,1e-5,1e-5,1e-5,1e-5,0.332498,0.583874,1e-5,1e-5,1e-5,JU2811,15
0.08252,1e-5,0.91735,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,JU2825,15
1e-5,1e-5,1e-5,1e-5,0.434211,1e-5,1e-5,0.565659,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,JU2829,15
1e-5,1e-5,1e-5,1e-5,0.242675,1e-5,1e-5,0.171804,1e-5,0.585401,1e-5,1e-5,1e-5,1e-5,1e-5,JU2838,15
0.351966,1e-5,1e-5,1e-5,1e-5,1e-5,0.124709,0.251046,1e-5,1e-5,0.272168,1e-5,1e-5,1e-5,1e-5,JU2841,15
1e-5,1e-5,0.291023,1e-5,1e-5,1e-5,1e-5,0.052988,1e-5,0.079967,0.412815,0.163108,1e-5,1e-5,1e-5,JU2853,15
1e-5,1e-5,0.006384,1e-5,1e-5,1e-5,1e-5,0.389951,0.411269,1e-5,1e-5,0.131551,1e-5,0.060744,1e-5,JU2862,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,JU2866,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.136802,0.085934,0.777144,1e-5,1e-5,1e-5,1e-5,JU2878,15
1e-5,0.126288,1e-5,1e-5,0.44562,1e-5,1e-5,1e-5,0.288901,1e-5,0.139081,1e-5,1e-5,1e-5,1e-5,JU2879,15
1e-5,1.1e-5,0.044137,1e-5,1e-5,1e-5,0.430551,0.122665,1e-5,1e-5,0.129225,1e-5,1e-5,0.273321,1e-5,JU2906,15
1e-5,1e-5,0.547485,1e-5,1e-5,1e-5,0.052275,0.049344,1e-5,1e-5,0.350787,1e-5,1e-5,1e-5,1e-5,JU2907,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.448994,1e-5,1e-5,1e-5,1e-5,1e-5,0.550876,1e-5,JU310,15
1e-5,1e-5,0.659449,1e-5,0.213572,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.126859,1e-5,JU311,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.552857,1e-5,1e-5,1e-5,0.001441,0.445581,1e-5,1e-5,1e-5,JU3125,15
1e-5,1e-5,0.103639,1e-5,1e-5,1e-5,0.166929,1e-5,1e-5,0.071956,0.143523,0.513852,1e-5,1e-5,1e-5,JU3127,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.43607,0.097975,1e-5,1e-5,0.259285,1e-5,1e-5,0.206561,1e-5,JU3128,15
0.265942,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.068504,1e-5,0.665434,1e-5,JU3132,15
1e-5,1e-5,0.020891,1e-5,1e-5,1e-5,1e-5,0.465072,1e-5,1e-5,0.318418,0.104046,1e-5,0.091473,1e-5,JU3134,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,1e-5,1e-5,1e-5,JU3135,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.174124,1e-5,1e-5,1e-5,1e-5,0.48646,1e-5,0.339296,1e-5,JU3137,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99986,1e-5,JU3140,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.876372,1e-5,1e-5,1e-5,1e-5,1e-5,0.123498,1e-5,JU3144,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.168871,0.30204,1e-5,1e-5,0.528969,1e-5,JU323,15
1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.219821,0.378278,1e-5,1e-5,1e-5,1e-5,1e-5,0.401781,1e-5,JU346,15
1e-5,1e-5,1e-5,1e-5,0.04434,1e-5,1e-5,0.95553,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,JU360,15
