c_label,s_label,species_family,env_par,value,KM_pvalue
C-0442,S-05485,C. briggsae,substrate_temperature,21.9,2.1353951383153164e-16
C-0666,S-05421,C. briggsae,substrate_temperature,20.8,2.1353951383153164e-16
C-0736,S-06447,C. elegans,substrate_temperature,22.4,2.1353951383153164e-16
C-0776,S-05566,C. briggsae,substrate_temperature,22.4,2.1353951383153164e-16
C-0781,S-05631,C. briggsae,substrate_temperature,21.6,2.1353951383153164e-16
C-0789,S-07468,C. briggsae,substrate_temperature,23.1,2.1353951383153164e-16
C-0790,S-05647,C. briggsae,substrate_temperature,22.3,2.1353951383153164e-16
C-0799,S-05512,C. briggsae,substrate_temperature,22.8,2.1353951383153164e-16
C-0800,S-07503,C. briggsae,substrate_temperature,23.7,2.1353951383153164e-16
C-0803,S-05197,C. oiwi,substrate_temperature,23.2,2.1353951383153164e-16
C-0846,S-05666,C. briggsae,substrate_temperature,23.5,2.1353951383153164e-16
C-0878,S-05949,C. briggsae,substrate_temperature,23.1,2.1353951383153164e-16
C-0905,S-06580,C. briggsae,substrate_temperature,22.6,2.1353951383153164e-16
C-0913,S-06734,C. briggsae,substrate_temperature,26.5,2.1353951383153164e-16
C-0921,S-05784,C. briggsae,substrate_temperature,23.3,2.1353951383153164e-16
C-0923,S-05918,C. tropicalis,substrate_temperature,24.5,2.1353951383153164e-16
C-0929,S-05958,C. briggsae,substrate_temperature,24.1,2.1353951383153164e-16
C-0935,S-05703,C. briggsae,substrate_temperature,24.1,2.1353951383153164e-16
C-0949,S-05772,C. briggsae,substrate_temperature,25.2,2.1353951383153164e-16
C-0957,S-05770,C. briggsae,substrate_temperature,27.5,2.1353951383153164e-16
C-0958,S-05741,C. briggsae,substrate_temperature,23.2,2.1353951383153164e-16
C-0964,S-05736,C. briggsae,substrate_temperature,23.3,2.1353951383153164e-16
C-0982,S-05954,C. briggsae,substrate_temperature,23.5,2.1353951383153164e-16
C-0989,S-05794,C. tropicalis,substrate_temperature,31.8,2.1353951383153164e-16
C-1000,S-05787,C. briggsae,substrate_temperature,24.5,2.1353951383153164e-16
C-1002,S-05765,C. briggsae,substrate_temperature,22.8,2.1353951383153164e-16
C-1004,S-05763,C. briggsae,substrate_temperature,24.5,2.1353951383153164e-16
C-1018,S-05927,C. briggsae,substrate_temperature,24.6,2.1353951383153164e-16
C-1019,S-05947,C. briggsae,substrate_temperature,24.5,2.1353951383153164e-16
C-1026,S-05620,C. briggsae,substrate_temperature,22.4,2.1353951383153164e-16
C-1029,S-05556,C. briggsae,substrate_temperature,22.8,2.1353951383153164e-16
C-1031,S-05540,C. briggsae,substrate_temperature,22.8,2.1353951383153164e-16
C-1032,S-05670,C. briggsae,substrate_temperature,23,2.1353951383153164e-16
C-1033,S-05576,C. briggsae,substrate_temperature,23.2,2.1353951383153164e-16
C-1041,S-05190,C. briggsae,substrate_temperature,22.5,2.1353951383153164e-16
C-1042,S-05203,C. briggsae,substrate_temperature,21.9,2.1353951383153164e-16
C-1044,S-07474,C. briggsae,substrate_temperature,22.8,2.1353951383153164e-16
C-1047,S-05530,C. briggsae,substrate_temperature,22.4,2.1353951383153164e-16
C-1073,S-05234,C. briggsae,substrate_temperature,23.2,2.1353951383153164e-16
C-1074,S-05661,C. briggsae,substrate_temperature,22.9,2.1353951383153164e-16
C-1079,S-05213,C. oiwi,substrate_temperature,23.1,2.1353951383153164e-16
C-1083,S-05799,C. tropicalis,substrate_temperature,22.6,2.1353951383153164e-16
C-1089,S-05709,C. briggsae,substrate_temperature,23.3,2.1353951383153164e-16
C-1121,S-05732,C. briggsae,substrate_temperature,22.5,2.1353951383153164e-16
C-1142,S-06560,C. elegans,substrate_temperature,16.9,2.1353951383153164e-16
C-1175,S-05886,C. elegans,substrate_temperature,19.2,2.1353951383153164e-16
C-1185,S-06607,C. briggsae,substrate_temperature,23.6,2.1353951383153164e-16
C-1218,S-06745,C. briggsae,substrate_temperature,27.2,2.1353951383153164e-16
C-1245,S-06621,C. tropicalis,substrate_temperature,29.3,2.1353951383153164e-16
C-1329,S-06571,C. elegans,substrate_temperature,18.2,2.1353951383153164e-16
C-1369,S-06654,C. briggsae,substrate_temperature,15.1,2.1353951383153164e-16
C-1371,S-06647,C. briggsae,substrate_temperature,26.6,2.1353951383153164e-16
C-1402,S-06897,C. briggsae,substrate_temperature,24.2,2.1353951383153164e-16
C-1480,S-06857,C. elegans,substrate_temperature,20.7,2.1353951383153164e-16
C-1489,S-06823,C. elegans,substrate_temperature,18.2,2.1353951383153164e-16
C-1513,S-06906,C. briggsae,substrate_temperature,25.1,2.1353951383153164e-16
C-2527,S-06740,C. briggsae,substrate_temperature,23.1,2.1353951383153164e-16
C-2530,S-06892,C. briggsae,substrate_temperature,24.4,2.1353951383153164e-16
C-2546,S-06869,C. briggsae,substrate_temperature,24.5,2.1353951383153164e-16
C-2554,S-06950,C. briggsae,substrate_temperature,27.4,2.1353951383153164e-16
C-2604,S-06898,C. briggsae,substrate_temperature,24,2.1353951383153164e-16
C-2609,S-06673,C. briggsae,substrate_temperature,25.3,2.1353951383153164e-16
C-2616,S-06772,C. briggsae,substrate_temperature,23.7,2.1353951383153164e-16
C-2669,S-06337,C. briggsae,substrate_temperature,26.8,2.1353951383153164e-16
C-2677,S-07052,C. elegans,substrate_temperature,17.5,2.1353951383153164e-16
C-2720,S-07049,C. briggsae,substrate_temperature,24.4,2.1353951383153164e-16
C-2735,S-06437,C. briggsae,substrate_temperature,24.2,2.1353951383153164e-16
C-2756,S-07100,C. briggsae,substrate_temperature,23.2,2.1353951383153164e-16
C-2767,S-06173,C. briggsae,substrate_temperature,26,2.1353951383153164e-16
C-2772,S-06280,C. briggsae,substrate_temperature,24.2,2.1353951383153164e-16
C-2794,S-06294,C. briggsae,substrate_temperature,18.6,2.1353951383153164e-16
C-2805,S-06224,C. elegans,substrate_temperature,18,2.1353951383153164e-16
C-2824,S-07420,C. elegans,substrate_temperature,20.6,2.1353951383153164e-16
C-2827,S-06105,C. tropicalis,substrate_temperature,25.3,2.1353951383153164e-16
C-2828,S-07315,C. elegans,substrate_temperature,21.2,2.1353951383153164e-16
C-2830,S-07273,C. elegans,substrate_temperature,20.2,2.1353951383153164e-16
C-2836,S-07228,C. elegans,substrate_temperature,20.1,2.1353951383153164e-16
C-2840,S-07355,C. elegans,substrate_temperature,20.7,2.1353951383153164e-16
C-2845,S-06039,C. briggsae,substrate_temperature,25.2,2.1353951383153164e-16
C-2849,S-06145,C. briggsae,substrate_temperature,21.7,2.1353951383153164e-16
C-2850,S-06013,C. briggsae,substrate_temperature,25.5,2.1353951383153164e-16
C-2856,S-07368,C. elegans,substrate_temperature,21.9,2.1353951383153164e-16
C-2857,S-06153,C. briggsae,substrate_temperature,26.6,2.1353951383153164e-16
C-2857,S-06168,C. tropicalis,substrate_temperature,26.6,2.1353951383153164e-16
C-2861,S-06001,C. briggsae,substrate_temperature,24.2,2.1353951383153164e-16
C-2865,S-07097,C. elegans,substrate_temperature,20.6,2.1353951383153164e-16
C-2879,S-07384,C. elegans,substrate_temperature,20.5,2.1353951383153164e-16
C-2880,S-07225,C. elegans,substrate_temperature,20.1,2.1353951383153164e-16
C-2906,S-05993,C. tropicalis,substrate_temperature,26.2,2.1353951383153164e-16
C-2909,S-06150,C. tropicalis,substrate_temperature,28.3,2.1353951383153164e-16
C-2915,S-06192,C. tropicalis,substrate_temperature,26.6,2.1353951383153164e-16
C-2916,S-06055,C. briggsae,substrate_temperature,24.3,2.1353951383153164e-16
C-3007,S-06241,C. elegans,substrate_temperature,18,2.1353951383153164e-16
C-3028,S-06285,C. briggsae,substrate_temperature,22,2.1353951383153164e-16
C-3031,S-06022,C. briggsae,substrate_temperature,22.1,2.1353951383153164e-16
C-3043,S-06307,C. briggsae,substrate_temperature,19.2,2.1353951383153164e-16
C-3058,S-06322,C. elegans,substrate_temperature,15,2.1353951383153164e-16
C-3085,S-06213,C. elegans,substrate_temperature,14.7,2.1353951383153164e-16
C-3093,S-05969,C. briggsae,substrate_temperature,26.1,2.1353951383153164e-16
C-3096,S-06245,C. briggsae,substrate_temperature,18.4,2.1353951383153164e-16
C-3097,S-06054,C. elegans,substrate_temperature,15.4,2.1353951383153164e-16
C-3114,S-06174,C. elegans,substrate_temperature,19.6,2.1353951383153164e-16
C-3133,S-05962,C. elegans,substrate_temperature,18.7,2.1353951383153164e-16
C-3143,S-07541,C. elegans,substrate_temperature,19.8,2.1353951383153164e-16
C-3151,S-07530,C. elegans,substrate_temperature,19.8,2.1353951383153164e-16
C-3155,S-07385,C. elegans,substrate_temperature,21.5,2.1353951383153164e-16
C-3160,S-06096,C. elegans,substrate_temperature,22.2,2.1353951383153164e-16
C-3164,S-05967,C. elegans,substrate_temperature,21.2,2.1353951383153164e-16
C-3178,S-06046,C. elegans,substrate_temperature,20.5,2.1353951383153164e-16
C-3189,S-07266,C. elegans,substrate_temperature,21.6,2.1353951383153164e-16
C-3197,S-07305,C. elegans,substrate_temperature,19.4,2.1353951383153164e-16
C-3201,S-07378,C. elegans,substrate_temperature,19.4,2.1353951383153164e-16
C-3205,S-07424,C. elegans,substrate_temperature,19,2.1353951383153164e-16
C-3264,S-06386,C. elegans,substrate_temperature,23.3,2.1353951383153164e-16
C-3266,S-06383,C. elegans,substrate_temperature,20.4,2.1353951383153164e-16
C-3267,S-07204,C. briggsae,substrate_temperature,22,2.1353951383153164e-16
C-3270,S-07107,C. elegans,substrate_temperature,18.5,2.1353951383153164e-16
C-3294,S-06373,C. elegans,substrate_temperature,15.4,2.1353951383153164e-16
C-3525,S-07255,C. briggsae,substrate_temperature,24.4,2.1353951383153164e-16
C-3533,S-07350,C. oiwi,substrate_temperature,24.9,2.1353951383153164e-16
C-0029,S-05113,C. oiwi,substrate_moisture,59,0.00213809089872124
C-0037,S-05095,C. oiwi,substrate_moisture,56,0.00213809089872124
C-0047,S-05103,C. oiwi,substrate_moisture,NA,0.00213809089872124
C-0053,S-05061,C. oiwi,substrate_moisture,43.5,0.00213809089872124
C-0055,S-05075,C. oiwi,substrate_moisture,57,0.00213809089872124
C-0065,S-05082,C. oiwi,substrate_moisture,46,0.00213809089872124
C-0065,S-05096,C. briggsae,substrate_moisture,46,0.00213809089872124
C-0072,S-05046,C. oiwi,substrate_moisture,54.5,0.00213809089872124
C-0080,S-05074,C. tropicalis,substrate_moisture,38,0.00213809089872124
C-0084,S-05114,C. oiwi,substrate_moisture,50.5,0.00213809089872124
C-0085,S-05097,C. tropicalis,substrate_moisture,60.5,0.00213809089872124
C-0094,S-05047,C. briggsae,substrate_moisture,55.5,0.00213809089872124
C-0096,S-05049,C. briggsae,substrate_moisture,44.5,0.00213809089872124
C-0097,S-05035,C. briggsae,substrate_moisture,24.5,0.00213809089872124
C-0119,S-05171,C. briggsae,substrate_moisture,47,0.00213809089872124
C-0223,S-05274,C. briggsae,substrate_moisture,58.5,0.00213809089872124
C-0253,S-05580,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-0257,S-05637,C. oiwi,substrate_moisture,NA,0.00213809089872124
C-0264,S-05581,C. briggsae,substrate_moisture,66.5,0.00213809089872124
C-0266,S-07467,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-0271,S-07483,C. briggsae,substrate_moisture,59,0.00213809089872124
C-0280,S-05575,C. briggsae,substrate_moisture,68,0.00213809089872124
C-0288,S-07481,C. briggsae,substrate_moisture,69.5,0.00213809089872124
C-0314,S-05944,C. briggsae,substrate_moisture,64.5,0.00213809089872124
C-0317,S-05937,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-0343,S-06610,C. briggsae,substrate_moisture,65,0.00213809089872124
C-0355,S-06521,C. briggsae,substrate_moisture,65.5,0.00213809089872124
C-0365,S-06558,C. elegans,substrate_moisture,70.5,0.00213809089872124
C-0376,S-06708,C. briggsae,substrate_moisture,64.5,0.00213809089872124
C-0380,S-06686,C. briggsae,substrate_moisture,69,0.00213809089872124
C-0380,S-06687,C. tropicalis,substrate_moisture,69,0.00213809089872124
C-0392,S-06770,C. briggsae,substrate_moisture,68.5,0.00213809089872124
C-0408,S-06719,C. briggsae,substrate_moisture,49.9,0.00213809089872124
C-0412,S-06751,C. briggsae,substrate_moisture,65.5,0.00213809089872124
C-0418,S-05793,C. briggsae,substrate_moisture,48,0.00213809089872124
C-0420,S-06715,C. tropicalis,substrate_moisture,66,0.00213809089872124
C-0421,S-05554,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-0433,S-05578,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-0442,S-05485,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-0666,S-05421,C. briggsae,substrate_moisture,68,0.00213809089872124
C-0736,S-06447,C. elegans,substrate_moisture,66.5,0.00213809089872124
C-0776,S-05566,C. briggsae,substrate_moisture,64,0.00213809089872124
C-0781,S-05631,C. briggsae,substrate_moisture,61.5,0.00213809089872124
C-0789,S-07468,C. briggsae,substrate_moisture,64,0.00213809089872124
C-0790,S-05647,C. briggsae,substrate_moisture,58,0.00213809089872124
C-0799,S-05512,C. briggsae,substrate_moisture,66.5,0.00213809089872124
C-0800,S-07503,C. briggsae,substrate_moisture,67.5,0.00213809089872124
C-0803,S-05197,C. oiwi,substrate_moisture,NA,0.00213809089872124
C-0846,S-05666,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-0878,S-05949,C. briggsae,substrate_moisture,73.5,0.00213809089872124
C-0905,S-06580,C. briggsae,substrate_moisture,61,0.00213809089872124
C-0913,S-06734,C. briggsae,substrate_moisture,57.5,0.00213809089872124
C-0921,S-05784,C. briggsae,substrate_moisture,66,0.00213809089872124
C-0923,S-05918,C. tropicalis,substrate_moisture,NA,0.00213809089872124
C-0929,S-05958,C. briggsae,substrate_moisture,50,0.00213809089872124
C-0935,S-05703,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-0949,S-05772,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-0957,S-05770,C. briggsae,substrate_moisture,64,0.00213809089872124
C-0958,S-05741,C. briggsae,substrate_moisture,59,0.00213809089872124
C-0964,S-05736,C. briggsae,substrate_moisture,42.5,0.00213809089872124
C-0982,S-05954,C. briggsae,substrate_moisture,43,0.00213809089872124
C-0989,S-05794,C. tropicalis,substrate_moisture,65.5,0.00213809089872124
C-1000,S-05787,C. briggsae,substrate_moisture,49.5,0.00213809089872124
C-1002,S-05765,C. briggsae,substrate_moisture,49,0.00213809089872124
C-1004,S-05763,C. briggsae,substrate_moisture,63,0.00213809089872124
C-1018,S-05927,C. briggsae,substrate_moisture,66,0.00213809089872124
C-1019,S-05947,C. briggsae,substrate_moisture,53,0.00213809089872124
C-1026,S-05620,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-1029,S-05556,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-1031,S-05540,C. briggsae,substrate_moisture,69,0.00213809089872124
C-1032,S-05670,C. briggsae,substrate_moisture,69,0.00213809089872124
C-1033,S-05576,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-1041,S-05190,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-1042,S-05203,C. briggsae,substrate_moisture,56.5,0.00213809089872124
C-1044,S-07474,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-1047,S-05530,C. briggsae,substrate_moisture,60,0.00213809089872124
C-1073,S-05234,C. briggsae,substrate_moisture,57,0.00213809089872124
C-1074,S-05661,C. briggsae,substrate_moisture,58.5,0.00213809089872124
C-1079,S-05213,C. oiwi,substrate_moisture,56.5,0.00213809089872124
C-1083,S-05799,C. tropicalis,substrate_moisture,68.5,0.00213809089872124
C-1089,S-05709,C. briggsae,substrate_moisture,62.5,0.00213809089872124
C-1121,S-05732,C. briggsae,substrate_moisture,66,0.00213809089872124
C-1142,S-06560,C. elegans,substrate_moisture,73.5,0.00213809089872124
C-1175,S-05886,C. elegans,substrate_moisture,NA,0.00213809089872124
C-1185,S-06607,C. briggsae,substrate_moisture,63,0.00213809089872124
C-1218,S-06745,C. briggsae,substrate_moisture,66.5,0.00213809089872124
C-1245,S-06621,C. tropicalis,substrate_moisture,64.5,0.00213809089872124
C-1329,S-06571,C. elegans,substrate_moisture,68.5,0.00213809089872124
C-1369,S-06654,C. briggsae,substrate_moisture,68,0.00213809089872124
C-1371,S-06647,C. briggsae,substrate_moisture,61,0.00213809089872124
C-1402,S-06897,C. briggsae,substrate_moisture,67,0.00213809089872124
C-1480,S-06857,C. elegans,substrate_moisture,25.5,0.00213809089872124
C-1489,S-06823,C. elegans,substrate_moisture,30,0.00213809089872124
C-1513,S-06906,C. briggsae,substrate_moisture,66,0.00213809089872124
C-2527,S-06740,C. briggsae,substrate_moisture,60,0.00213809089872124
C-2530,S-06892,C. briggsae,substrate_moisture,65.5,0.00213809089872124
C-2546,S-06869,C. briggsae,substrate_moisture,69.5,0.00213809089872124
C-2554,S-06950,C. briggsae,substrate_moisture,44.5,0.00213809089872124
C-2604,S-06898,C. briggsae,substrate_moisture,64.5,0.00213809089872124
C-2609,S-06673,C. briggsae,substrate_moisture,62.5,0.00213809089872124
C-2616,S-06772,C. briggsae,substrate_moisture,60,0.00213809089872124
C-2669,S-06337,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-2677,S-07052,C. elegans,substrate_moisture,66.5,0.00213809089872124
C-2720,S-07049,C. briggsae,substrate_moisture,67.5,0.00213809089872124
C-2735,S-06437,C. briggsae,substrate_moisture,49,0.00213809089872124
C-2756,S-07100,C. briggsae,substrate_moisture,38,0.00213809089872124
C-2767,S-06173,C. briggsae,substrate_moisture,67,0.00213809089872124
C-2772,S-06280,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-2794,S-06294,C. briggsae,substrate_moisture,62.5,0.00213809089872124
C-2805,S-06224,C. elegans,substrate_moisture,70.5,0.00213809089872124
C-2824,S-07420,C. elegans,substrate_moisture,NA,0.00213809089872124
C-2827,S-06105,C. tropicalis,substrate_moisture,NA,0.00213809089872124
C-2828,S-07315,C. elegans,substrate_moisture,67.5,0.00213809089872124
C-2830,S-07273,C. elegans,substrate_moisture,NA,0.00213809089872124
C-2836,S-07228,C. elegans,substrate_moisture,NA,0.00213809089872124
C-2840,S-07355,C. elegans,substrate_moisture,70,0.00213809089872124
C-2845,S-06039,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-2849,S-06145,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-2850,S-06013,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-2856,S-07368,C. elegans,substrate_moisture,69,0.00213809089872124
C-2857,S-06153,C. briggsae,substrate_moisture,68.5,0.00213809089872124
C-2857,S-06168,C. tropicalis,substrate_moisture,68.5,0.00213809089872124
C-2861,S-06001,C. briggsae,substrate_moisture,66,0.00213809089872124
C-2865,S-07097,C. elegans,substrate_moisture,36,0.00213809089872124
C-2879,S-07384,C. elegans,substrate_moisture,67,0.00213809089872124
C-2880,S-07225,C. elegans,substrate_moisture,NA,0.00213809089872124
C-2906,S-05993,C. tropicalis,substrate_moisture,NA,0.00213809089872124
C-2909,S-06150,C. tropicalis,substrate_moisture,NA,0.00213809089872124
C-2915,S-06192,C. tropicalis,substrate_moisture,NA,0.00213809089872124
C-2916,S-06055,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-3007,S-06241,C. elegans,substrate_moisture,64,0.00213809089872124
C-3028,S-06285,C. briggsae,substrate_moisture,62.5,0.00213809089872124
C-3031,S-06022,C. briggsae,substrate_moisture,67.2,0.00213809089872124
C-3043,S-06307,C. briggsae,substrate_moisture,61.5,0.00213809089872124
C-3058,S-06322,C. elegans,substrate_moisture,NA,0.00213809089872124
C-3085,S-06213,C. elegans,substrate_moisture,70,0.00213809089872124
C-3093,S-05969,C. briggsae,substrate_moisture,67.5,0.00213809089872124
C-3096,S-06245,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-3097,S-06054,C. elegans,substrate_moisture,71.5,0.00213809089872124
C-3114,S-06174,C. elegans,substrate_moisture,NA,0.00213809089872124
C-3133,S-05962,C. elegans,substrate_moisture,65,0.00213809089872124
C-3143,S-07541,C. elegans,substrate_moisture,68.5,0.00213809089872124
C-3151,S-07530,C. elegans,substrate_moisture,67.5,0.00213809089872124
C-3155,S-07385,C. elegans,substrate_moisture,NA,0.00213809089872124
C-3160,S-06096,C. elegans,substrate_moisture,NA,0.00213809089872124
C-3164,S-05967,C. elegans,substrate_moisture,NA,0.00213809089872124
C-3178,S-06046,C. elegans,substrate_moisture,64,0.00213809089872124
C-3189,S-07266,C. elegans,substrate_moisture,68.5,0.00213809089872124
C-3197,S-07305,C. elegans,substrate_moisture,NA,0.00213809089872124
C-3201,S-07378,C. elegans,substrate_moisture,NA,0.00213809089872124
C-3205,S-07424,C. elegans,substrate_moisture,NA,0.00213809089872124
C-3264,S-06386,C. elegans,substrate_moisture,62,0.00213809089872124
C-3266,S-06383,C. elegans,substrate_moisture,42,0.00213809089872124
C-3267,S-07204,C. briggsae,substrate_moisture,51,0.00213809089872124
C-3270,S-07107,C. elegans,substrate_moisture,53,0.00213809089872124
C-3294,S-06373,C. elegans,substrate_moisture,67,0.00213809089872124
C-3525,S-07255,C. briggsae,substrate_moisture,NA,0.00213809089872124
C-3533,S-07350,C. oiwi,substrate_moisture,NA,0.00213809089872124
C-0029,S-05113,C. oiwi,ambient_humidity,79.9,0.13921566730939827
C-0037,S-05095,C. oiwi,ambient_humidity,75,0.13921566730939827
C-0047,S-05103,C. oiwi,ambient_humidity,77.1,0.13921566730939827
C-0053,S-05061,C. oiwi,ambient_humidity,78.9,0.13921566730939827
C-0055,S-05075,C. oiwi,ambient_humidity,78.9,0.13921566730939827
C-0065,S-05082,C. oiwi,ambient_humidity,77.8,0.13921566730939827
C-0065,S-05096,C. briggsae,ambient_humidity,77.8,0.13921566730939827
C-0072,S-05046,C. oiwi,ambient_humidity,72.9,0.13921566730939827
C-0080,S-05074,C. tropicalis,ambient_humidity,76,0.13921566730939827
C-0084,S-05114,C. oiwi,ambient_humidity,95.1,0.13921566730939827
C-0085,S-05097,C. tropicalis,ambient_humidity,93.7,0.13921566730939827
C-0094,S-05047,C. briggsae,ambient_humidity,53.6,0.13921566730939827
C-0096,S-05049,C. briggsae,ambient_humidity,53.1,0.13921566730939827
C-0097,S-05035,C. briggsae,ambient_humidity,55.5,0.13921566730939827
C-0119,S-05171,C. briggsae,ambient_humidity,77.5,0.13921566730939827
C-0223,S-05274,C. briggsae,ambient_humidity,64.6,0.13921566730939827
C-0253,S-05580,C. briggsae,ambient_humidity,89.7,0.13921566730939827
C-0257,S-05637,C. oiwi,ambient_humidity,82.9,0.13921566730939827
C-0264,S-05581,C. briggsae,ambient_humidity,80.4,0.13921566730939827
C-0266,S-07467,C. briggsae,ambient_humidity,79.4,0.13921566730939827
C-0271,S-07483,C. briggsae,ambient_humidity,77.5,0.13921566730939827
C-0280,S-05575,C. briggsae,ambient_humidity,67.7,0.13921566730939827
C-0288,S-07481,C. briggsae,ambient_humidity,80.4,0.13921566730939827
C-0314,S-05944,C. briggsae,ambient_humidity,82.2,0.13921566730939827
C-0317,S-05937,C. briggsae,ambient_humidity,94.6,0.13921566730939827
C-0343,S-06610,C. briggsae,ambient_humidity,82.5,0.13921566730939827
C-0355,S-06521,C. briggsae,ambient_humidity,81.8,0.13921566730939827
C-0365,S-06558,C. elegans,ambient_humidity,90.6,0.13921566730939827
C-0376,S-06708,C. briggsae,ambient_humidity,84.9,0.13921566730939827
C-0380,S-06686,C. briggsae,ambient_humidity,81.2,0.13921566730939827
C-0380,S-06687,C. tropicalis,ambient_humidity,81.2,0.13921566730939827
C-0392,S-06770,C. briggsae,ambient_humidity,83.4,0.13921566730939827
C-0408,S-06719,C. briggsae,ambient_humidity,79,0.13921566730939827
C-0412,S-06751,C. briggsae,ambient_humidity,87.8,0.13921566730939827
C-0418,S-05793,C. briggsae,ambient_humidity,64.3,0.13921566730939827
C-0420,S-06715,C. tropicalis,ambient_humidity,86.3,0.13921566730939827
C-0421,S-05554,C. briggsae,ambient_humidity,95.6,0.13921566730939827
C-0433,S-05578,C. briggsae,ambient_humidity,90.9,0.13921566730939827
C-0442,S-05485,C. briggsae,ambient_humidity,91.4,0.13921566730939827
C-0666,S-05421,C. briggsae,ambient_humidity,55,0.13921566730939827
C-0736,S-06447,C. elegans,ambient_humidity,70.6,0.13921566730939827
C-0776,S-05566,C. briggsae,ambient_humidity,78.7,0.13921566730939827
C-0781,S-05631,C. briggsae,ambient_humidity,77.1,0.13921566730939827
C-0789,S-07468,C. briggsae,ambient_humidity,88.8,0.13921566730939827
