c_label,s_label,species_family,env_par,value,KM_pvalue
C-0029,S-05113,C. oiwi,substrate_temperature,26.9,2.1353951383153164e-16
C-0037,S-05095,C. oiwi,substrate_temperature,25.1,2.1353951383153164e-16
C-0047,S-05103,C. oiwi,substrate_temperature,27.3,2.1353951383153164e-16
C-0053,S-05061,C. oiwi,substrate_temperature,22.5,2.1353951383153164e-16
C-0055,S-05075,C. oiwi,substrate_temperature,22.6,2.1353951383153164e-16
C-0065,S-05082,C. oiwi,substrate_temperature,21.8,2.1353951383153164e-16
C-0065,S-05096,C. briggsae,substrate_temperature,21.8,2.1353951383153164e-16
C-0072,S-05046,C. oiwi,substrate_temperature,23.2,2.1353951383153164e-16
C-0080,S-05074,C. tropicalis,substrate_temperature,24.4,2.1353951383153164e-16
C-0084,S-05114,C. oiwi,substrate_temperature,22.8,2.1353951383153164e-16
C-0085,S-05097,C. tropicalis,substrate_temperature,22.9,2.1353951383153164e-16
C-0094,S-05047,C. briggsae,substrate_temperature,32.9,2.1353951383153164e-16
C-0096,S-05049,C. briggsae,substrate_temperature,27.9,2.1353951383153164e-16
C-0097,S-05035,C. briggsae,substrate_temperature,28,2.1353951383153164e-16
C-0119,S-05171,C. briggsae,substrate_temperature,24.3,2.1353951383153164e-16
C-0223,S-05274,C. briggsae,substrate_temperature,23.4,2.1353951383153164e-16
C-0253,S-05580,C. briggsae,substrate_temperature,23.2,2.1353951383153164e-16
C-0257,S-05637,C. oiwi,substrate_temperature,22.4,2.1353951383153164e-16
C-0264,S-05581,C. briggsae,substrate_temperature,21.9,2.1353951383153164e-16
C-0266,S-07467,C. briggsae,substrate_temperature,22.7,2.1353951383153164e-16
C-0271,S-07483,C. briggsae,substrate_temperature,23,2.1353951383153164e-16
C-0280,S-05575,C. briggsae,substrate_temperature,24.2,2.1353951383153164e-16
C-0288,S-07481,C. briggsae,substrate_temperature,22.1,2.1353951383153164e-16
C-0314,S-05944,C. briggsae,substrate_temperature,29.2,2.1353951383153164e-16
C-0317,S-05937,C. briggsae,substrate_temperature,25.6,2.1353951383153164e-16
C-0343,S-06610,C. briggsae,substrate_temperature,22.8,2.1353951383153164e-16
C-0355,S-06521,C. briggsae,substrate_temperature,22.8,2.1353951383153164e-16
C-0365,S-06558,C. elegans,substrate_temperature,15.6,2.1353951383153164e-16
C-0376,S-06708,C. briggsae,substrate_temperature,23.5,2.1353951383153164e-16
C-0380,S-06686,C. briggsae,substrate_temperature,25.4,2.1353951383153164e-16
C-0380,S-06687,C. tropicalis,substrate_temperature,25.4,2.1353951383153164e-16
C-0392,S-06770,C. briggsae,substrate_temperature,23,2.1353951383153164e-16
C-0408,S-06719,C. briggsae,substrate_temperature,24.9,2.1353951383153164e-16
C-0412,S-06751,C. briggsae,substrate_temperature,25.5,2.1353951383153164e-16
C-0418,S-05793,C. briggsae,substrate_temperature,18.3,2.1353951383153164e-16
C-0420,S-06715,C. tropicalis,substrate_temperature,24.3,2.1353951383153164e-16
C-0421,S-05554,C. briggsae,substrate_temperature,22.8,2.1353951383153164e-16
C-0433,S-05578,C. briggsae,substrate_temperature,23,2.1353951383153164e-16
