isotype,max_pop_frac,pop_assignment,A,B,C,D,E,F,G,H,I,K,Hawaiian,latitude,longitude,isolation_date,start_date,end_date,nearest_station,station_distance,station_lat,station_lon,mean.temp,sd.temp
AB1,0.542764,D,1e-5,0.457146,1e-5,0.542764,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,-34.93,138.59,1983-01-01,1982-07-05,1983-06-30,946720-99999,5.64112701982491,-34.95,138.533,16.3398361034164,5.47362720525348
BRC20067,0.999899,D,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1e-5,1e-5,1.1e-5,1e-5,FALSE,24.072954,121.169736,2012-01-13,2011-07-17,2012-07-11,591580-99999,50.213899408329,24.15,120.683,23.9806385582011,5.03506982961551
BRC20263,0.493992,D,0.142338,1e-5,0.019301,0.493992,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,-33.86748611,151.2069889,2014-08-04,2014-02-05,2015-01-31,947680-99999,2.04454034700732,-33.85,151.2,18.587996691674,4.01112111777535
CB4851,0.9999,B,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB4852,0.792139,D,1e-5,0.207768,1e-5,0.792139,1.3e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB4853,0.692965,C,1e-5,1e-5,0.692965,0.306945,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB4854,0.533478,D,1e-5,1e-5,1e-5,0.533478,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,34.189,-118.131,1973-12-01,1973-06-04,1974-05-30,722890-93136,7.65557049651656,34.233,-118.067,13.5289704524469,7.9658825214811
CB4855,0.815787,C,1e-5,1e-5,0.815787,0.184123,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB4856,0.9999,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,21.33,-157.86,1972-08-01,1972-02-03,1973-01-28,911820-22521,7.18897715063556,21.333,-157.917,24.3907894736842,2.02057560880435
CB4857,0.999899,C,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
