Comparison,Z,P.unadj,P.adj,env_par
A - E,-2.0748233112024113,0.03800291327053766,0.22801747962322597,altitude
A - F,-4.189773204676462,2.7923340163171018e-5,1.675400409790261e-4,altitude
E - F,-2.7320217667586566,0.006294698213910404,0.03776818928346242,altitude
A - H,-2.2356958698780462,0.025371699766699073,0.15223019860019443,altitude
E - H,-0.39299985469738946,0.6943195887048704,1,altitude
F - H,2.085693163958481,0.037006426069957604,0.22203855641974563,altitude
A - E,1.4416205034356044,0.14940946106258593,0.8964567663755156,ambient_temperature
A - F,2.207579470382789,0.02727360154987058,0.1636416092992235,ambient_temperature
E - F,0.9789909578001963,0.3275844473017935,1,ambient_temperature
A - H,2.197090653857924,0.028013972474036298,0.1680838348442178,ambient_temperature
E - H,1.0204165815979276,0.3075309331052254,1,ambient_temperature
F - H,0.09818963134518678,0.9217817156660042,1,ambient_temperature
A - E,0.33147534578063714,0.7402854605823841,1,substrate_temperature
A - F,1.6060395473111653,0.10826522096701761,0.6495913258021057,substrate_temperature
E - F,1.5371785710594494,0.12424958640506552,0.7454975184303931,substrate_temperature
A - H,1.6603793854268665,0.09683815455861423,0.5810289273516854,substrate_temperature
E - H,1.6154130739783186,0.10622127085584956,0.6373276251350974,substrate_temperature
F - H,-0.020964341617174004,0.9832741006874478,1,substrate_temperature
A - E,-0.23067336709451194,0.817568565542791,1,ambient_humidity
A - F,-0.357357643668254,0.7208240815103621,1,ambient_humidity
E - F,-0.161621075456335,0.8716042597006317,1,ambient_humidity
A - H,-1.8436405707430368,0.06523553927939041,0.39141323567634245,ambient_humidity
E - H,-1.9541457305175027,0.05068398520075296,0.30410391120451774,ambient_humidity
F - H,-1.7162116960771414,0.0861233032737636,0.5167398196425815,ambient_humidity
A - E,-0.9065014514756664,0.36467049697624354,1,susbtrate_moisture
A - F,-0.951840555794784,0.34117785055970995,1,susbtrate_moisture
E - F,-0.1332103470055702,0.8940270280505078,1,susbtrate_moisture
A - H,-0.9248132260654526,0.35506306962296713,1,susbtrate_moisture
E - H,-0.05680108281513401,0.9547036513708356,1,susbtrate_moisture
F - H,0.0769090297025094,0.9386959141622879,1,susbtrate_moisture
