cluster,frac_cluster,max_frac,isotypes
A,1e-5,0.831556,JU2131
A,1e-5,0.83492,JU2575
A,1e-5,0.836765,NIC269
A,1e-5,0.840683,JU393
A,1e-5,0.842304,ECA189
A,1e-5,0.843273,XZ1513
A,1e-5,0.84473,ECA743
A,0.0127,0.845197,JU2106
A,1e-5,0.855294,QX1794
A,1e-5,0.855445,QX1233
A,1e-5,0.855784,CX11315
A,0.856741,0.856741,ECA706
A,1e-5,0.860267,QG556
A,1e-5,0.861778,JU1586
A,1e-5,0.865712,JU2513
A,1e-5,0.871335,NIC262
A,1e-5,0.87241,PB303
A,1e-5,0.875683,QX1793
A,1e-5,0.879196,MY16
A,1e-5,0.897654,JU1934
A,1e-5,0.909434,GXW1
A,1e-5,0.912188,JU778
A,1e-5,0.928485,ECA710
A,0.068154,0.931756,NIC252
A,1e-5,0.934359,ED3073
A,1e-5,0.945253,JU367
A,1e-5,0.954727,NIC236
A,1e-5,0.960228,MY2693
A,1e-5,0.968573,NIC272
A,1e-5,0.976914,JU1666
A,1e-5,0.97746,MY795
A,1e-5,0.991476,ECA724
A,1e-5,0.99253,JU751
A,1e-5,0.996153,JU2610
A,1e-5,0.997591,JU2600
A,1e-5,0.999881,ECA742
A,1.3e-5,0.999884,ECA723
A,1.1e-5,0.999887,JU3140
A,1.3e-5,0.999888,ECA36
A,1.2e-5,0.999889,JU2570
A,1e-5,0.999892,JU2250
A,1.6e-5,0.999892,JU3135
A,1e-5,0.999892,NIC514
A,1e-5,0.999894,XZ1514
A,1e-5,0.999895,ECA740
A,1e-5,0.999896,ECA777
A,1e-5,0.999896,ECA778
A,1e-5,0.999897,JU792
A,1e-5,0.999897,MY2585
A,1e-5,0.999897,NIC258
A,0.999898,0.999898,DL238
A,1e-5,0.999898,ECA741
A,1e-5,0.999898,ECA745
A,1e-5,0.999899,BRC20067
A,1e-5,0.999899,CB4857
A,1e-5,0.999899,ECA768
A,1e-5,0.999899,ECA812
A,1e-5,0.999899,JU2316
A,1.1e-5,0.999899,JU2526
A,1e-5,0.999899,MY2713
A,1e-5,0.999899,NIC265
A,1e-5,0.9999,CB4851
A,0.9999,0.9999,CB4856
A,1e-5,0.9999,CB4858
A,1e-5,0.9999,CX11262
A,1e-5,0.9999,CX11264
A,1e-5,0.9999,CX11314
A,1e-5,0.9999,ECA191
A,1e-5,0.9999,ECA252
A,1e-5,0.9999,ECA347
A,1e-5,0.9999,ECA348
A,1e-5,0.9999,ECA349
A,1e-5,0.9999,ECA363
A,0.9999,0.9999,ECA369
A,1e-5,0.9999,ECA396
A,0.9999,0.9999,ECA703
A,1e-5,0.9999,ECA705
A,1e-5,0.9999,ECA712
A,1e-5,0.9999,ECA722
A,1e-5,0.9999,ECA730
A,0.9999,0.9999,ECA732
A,0.9999,0.9999,ECA733
A,1e-5,0.9999,ECA744
A,1e-5,0.9999,ECA746
A,1e-5,0.9999,ECA760
A,1e-5,0.9999,ECA807
A,1e-5,0.9999,JU1213
A,1e-5,0.9999,JU1242
A,1e-5,0.9999,JU1249
A,1e-5,0.9999,JU1568
A,1e-5,0.9999,JU1580
A,1e-5,0.9999,JU1793
A,1e-5,0.9999,JU2257
A,1e-5,0.9999,JU2466
A,1e-5,0.9999,JU2522
A,1e-5,0.9999,JU2565
A,1e-5,0.9999,JU2581
A,1e-5,0.9999,JU2593
A,1e-5,0.9999,JU2825
A,1e-5,0.9999,JU2829
A,1e-5,0.9999,JU2866
A,1e-5,0.9999,JU3132
A,1e-5,0.9999,JU394
A,1e-5,0.9999,JU406
A,1e-5,0.9999,JU775
A,1e-5,0.9999,LKC34
A,1e-5,0.9999,LSJ1
A,1e-5,0.9999,MY18
A,1e-5,0.9999,N2
A,1e-5,0.9999,NIC261
A,1e-5,0.9999,NIC274
A,1e-5,0.9999,NIC276
A,1e-5,0.9999,NIC501
A,1e-5,0.9999,NIC513
A,1e-5,0.9999,PB306
A,1e-5,0.9999,PS2025
A,1e-5,0.9999,QG557
A,1e-5,0.9999,QX1211
A,1e-5,0.9999,RC301
B,0.129079,0.314001,NIC195
B,1e-5,0.327151,NIC526
B,1e-5,0.335005,ED3011
B,0.070774,0.351847,JU258
B,1e-5,0.366712,JU3144
B,0.042248,0.375155,NIC166
B,1e-5,0.377106,JU2478
B,0.254208,0.379173,JU2853
B,1e-5,0.38002,JU1400
B,0.007539,0.386104,QG2075
B,0.068426,0.40346,JU2017
B,0.162265,0.41168,JU3137
B,1e-5,0.416813,JU2879
B,1e-5,0.417336,NIC515
B,0.094386,0.420282,NIC522
B,0.003358,0.426445,JU2862
B,1e-5,0.430619,JU323
B,0.438872,0.438872,NIC242
B,1e-5,0.441877,CX11271
B,1e-5,0.452486,NIC268
B,1e-5,0.452711,MY518
B,1e-5,0.454041,JU2811
B,0.159879,0.456677,JU3125
B,1e-5,0.463138,NIC523
B,0.467065,0.467065,JU2800
B,1e-5,0.467578,NIC199
B,1e-5,0.484239,NIC3
B,0.490751,0.490751,MY2147
B,1e-5,0.493992,BRC20263
B,1e-5,0.494246,ED3046
B,1e-5,0.502314,JU2007
B,1e-5,0.502642,ED3049
B,1e-5,0.504377,WN2033
B,1e-5,0.505091,JU642
B,1.7e-5,0.506807,JU830
B,1e-5,0.507458,JU346
B,0.509916,0.509916,MY2453
B,1e-5,0.510437,MY23
B,1e-5,0.519928,QW947
B,0.520035,0.520035,JU2907
B,0.215485,0.520081,JU2906
B,1e-5,0.522272,QG536
B,0.025318,0.524188,JU2001
B,1e-5,0.533478,CB4854
B,0.12168,0.537535,NIC259
B,1e-5,0.537592,NIC1
B,1e-5,0.540785,ED3017
B,1e-5,0.542414,JU2578
B,0.457146,0.542764,AB1
B,1e-5,0.547199,JU2838
B,1e-5,0.549732,JU360
B,0.551605,0.551605,JU2234
B,1e-5,0.553552,JU2534
B,0.015965,0.554878,JU2576
B,0.107565,0.559108,QX1791
B,0.165206,0.566412,JU847
B,1e-5,0.569182,XZ1515
B,1e-5,0.569544,EG4349
B,0.024101,0.569549,EG4946
B,0.425122,0.574788,NIC2
B,1e-5,0.582604,JU1530
B,0.337599,0.582993,JU1652
B,1e-5,0.587041,JU310
B,1e-5,0.58748,ECA701
B,0.015529,0.591298,CX11276
B,1e-5,0.593241,EG4725
B,0.381514,0.593461,NIC1049
B,1e-5,0.59957,CX11307
B,0.604814,0.604814,CB4932
B,1e-5,0.604955,NIC277
B,1e-5,0.605505,JU2841
B,0.388676,0.60703,WN2050
B,0.18184,0.60954,JU3127
B,0.235821,0.611919,WN2002
B,1e-5,0.617716,JU2878
B,1e-5,0.617955,QX1792
B,1e-5,0.624069,MY10
B,1e-5,0.624136,XZ1516
B,0.027725,0.624523,NIC527
B,1e-5,0.626128,JU2464
B,1e-5,0.6276,KR314
B,1e-5,0.632621,MY1
B,1e-5,0.635893,JU1491
B,1e-5,0.641916,NIC256
B,1e-5,0.644812,JU1409
B,0.020153,0.64855,EG4724
B,0.648635,0.648635,JU440
B,0.65206,0.65206,JU1543
B,1e-5,0.653356,JU774
B,0.654548,0.654548,JU1896
B,1e-5,0.655669,JU2586
B,1e-5,0.656296,CX11254
B,0.103112,0.65758,JU1581
B,0.340119,0.659791,MY2573
B,1e-5,0.662305,CX11285
B,1e-5,0.664857,NIC511
B,1e-5,0.666187,MY2741
B,1e-5,0.66968,JU782
B,1e-5,0.670023,WN2001
B,0.046455,0.670979,NIC207
B,0.252131,0.671094,NIC266
B,1e-5,0.674056,JU2619
B,0.261096,0.675313,EG4347
B,1e-5,0.677598,ED3005
B,0.207636,0.679449,NIC255
B,1.7e-5,0.679556,ED3048
B,0.682998,0.682998,JU1200
B,0.069957,0.685008,NIC529
B,0.135212,0.685022,JU1808
B,1e-5,0.686517,JU2016
B,0.006749,0.687095,JU1440
B,0.689435,0.689435,JU1792
B,0.160151,0.690335,JT11398
B,1e-5,0.691917,NIC271
B,1e-5,0.692965,CB4853
B,0.04759,0.699168,NIC251
B,1e-5,0.701671,NIC260
B,0.007009,0.707546,MY772
B,0.709448,0.709448,JU2572
B,1.7e-5,0.713829,JU2519
B,1e-5,0.720652,ECA738
B,0.72135,0.72135,ED3012
B,1e-5,0.721979,ED3040
B,0.054011,0.722598,DL226
B,0.725328,0.725328,JU1212
B,1e-5,0.727048,CX11292
B,1e-5,0.730147,MY2212
B,0.269674,0.730226,PX179
B,1e-5,0.736236,DL200
B,0.25326,0.746648,JU1395
B,1e-5,0.74927,ED3052
B,0.250224,0.749686,JU1246
B,1e-5,0.75534,ED3077
B,1e-5,0.756458,MY2535
B,0.002708,0.758862,JU3128
B,1e-5,0.760836,NIC231
B,1e-5,0.762944,NIC528
B,0.016018,0.76489,JU3134
B,1e-5,0.765549,JU1172
B,1e-5,0.766152,ECA372
B,0.770245,0.770245,JU2566
B,0.219596,0.780312,JU2141
B,1e-5,0.780637,MY2530
B,1e-5,0.78102,JU1088
B,0.782558,0.782558,JU311
B,1e-5,0.785544,NIC267
B,0.194369,0.785725,JU561
B,0.211507,0.7884,JU397
B,1e-5,0.791614,JU2587
B,0.207768,0.792139,CB4852
B,0.794023,0.794023,NIC1107
B,1e-5,0.804639,MY920
B,1e-5,0.806142,QX1212
B,1e-5,0.809122,MY679
B,1e-5,0.815787,CB4855
B,0.816724,0.816724,JU2592
B,1e-5,0.830526,NIC275
B,0.034485,0.831556,JU2131
B,0.83492,0.83492,JU2575
B,1e-5,0.836765,NIC269
B,0.159227,0.840683,JU393
B,1e-5,0.842304,ECA189
B,1e-5,0.843273,XZ1513
B,0.044726,0.84473,ECA743
B,0.142023,0.845197,JU2106
B,1e-5,0.855294,QX1794
B,1e-5,0.855445,QX1233
B,1e-5,0.855784,CX11315
B,1e-5,0.856741,ECA706
B,1e-5,0.860267,QG556
B,0.861778,0.861778,JU1586
B,0.072771,0.865712,JU2513
B,1e-5,0.871335,NIC262
B,1e-5,0.87241,PB303
B,1e-5,0.875683,QX1793
B,1e-5,0.879196,MY16
B,0.102256,0.897654,JU1934
B,1e-5,0.909434,GXW1
B,1e-5,0.912188,JU778
B,1e-5,0.928485,ECA710
B,1e-5,0.931756,NIC252
B,1e-5,0.934359,ED3073
B,0.945253,0.945253,JU367
B,1e-5,0.954727,NIC236
B,1e-5,0.960228,MY2693
B,1e-5,0.968573,NIC272
B,0.022996,0.976914,JU1666
B,0.02245,0.97746,MY795
B,1e-5,0.991476,ECA724
B,1e-5,0.99253,JU751
B,1e-5,0.996153,JU2610
B,1e-5,0.997591,JU2600
B,1.2e-5,0.999881,ECA742
B,1.6e-5,0.999884,ECA723
B,1.4e-5,0.999887,JU3140
B,1.9e-5,0.999888,ECA36
B,1.1e-5,0.999889,JU2570
B,1e-5,0.999892,JU2250
B,1.2e-5,0.999892,JU3135
B,1e-5,0.999892,NIC514
B,1.2e-5,0.999894,XZ1514
B,1e-5,0.999895,ECA740
B,1e-5,0.999896,ECA777
B,1e-5,0.999896,ECA778
B,1e-5,0.999897,JU792
B,1e-5,0.999897,MY2585
B,1e-5,0.999897,NIC258
B,1e-5,0.999898,DL238
B,1e-5,0.999898,ECA741
B,1e-5,0.999898,ECA745
B,1e-5,0.999899,BRC20067
B,1e-5,0.999899,CB4857
B,1e-5,0.999899,ECA768
B,1e-5,0.999899,ECA812
B,1e-5,0.999899,JU2316
B,1e-5,0.999899,JU2526
B,1e-5,0.999899,MY2713
B,1e-5,0.999899,NIC265
B,0.9999,0.9999,CB4851
B,1e-5,0.9999,CB4856
B,1e-5,0.9999,CB4858
B,1e-5,0.9999,CX11262
B,1e-5,0.9999,CX11264
B,1e-5,0.9999,CX11314
B,1e-5,0.9999,ECA191
B,0.9999,0.9999,ECA252
B,1e-5,0.9999,ECA347
B,1e-5,0.9999,ECA348
B,1e-5,0.9999,ECA349
B,1e-5,0.9999,ECA363
B,1e-5,0.9999,ECA369
B,1e-5,0.9999,ECA396
B,1e-5,0.9999,ECA703
B,1e-5,0.9999,ECA705
B,1e-5,0.9999,ECA712
B,1e-5,0.9999,ECA722
B,1e-5,0.9999,ECA730
B,1e-5,0.9999,ECA732
B,1e-5,0.9999,ECA733
B,1e-5,0.9999,ECA744
B,1e-5,0.9999,ECA746
B,1e-5,0.9999,ECA760
B,1e-5,0.9999,ECA807
B,1e-5,0.9999,JU1213
B,1e-5,0.9999,JU1242
B,0.9999,0.9999,JU1249
B,0.9999,0.9999,JU1568
B,1e-5,0.9999,JU1580
B,1e-5,0.9999,JU1793
B,0.9999,0.9999,JU2257
B,1e-5,0.9999,JU2466
B,1e-5,0.9999,JU2522
B,0.9999,0.9999,JU2565
B,1e-5,0.9999,JU2581
B,1e-5,0.9999,JU2593
B,0.9999,0.9999,JU2825
B,1e-5,0.9999,JU2829
B,1e-5,0.9999,JU2866
B,1e-5,0.9999,JU3132
B,0.9999,0.9999,JU394
B,0.9999,0.9999,JU406
B,1e-5,0.9999,JU775
B,1e-5,0.9999,LKC34
B,0.9999,0.9999,LSJ1
B,1e-5,0.9999,MY18
B,0.9999,0.9999,N2
B,1e-5,0.9999,NIC261
B,1e-5,0.9999,NIC274
B,1e-5,0.9999,NIC276
B,1e-5,0.9999,NIC501
B,1e-5,0.9999,NIC513
B,1e-5,0.9999,PB306
B,1e-5,0.9999,PS2025
B,1e-5,0.9999,QG557
B,1e-5,0.9999,QX1211
B,1e-5,0.9999,RC301
C,1e-5,0.314001,NIC195
C,1e-5,0.327151,NIC526
C,0.335005,0.335005,ED3011
C,1e-5,0.351847,JU258
C,1e-5,0.366712,JU3144
C,1e-5,0.375155,NIC166
C,0.344298,0.377106,JU2478
C,1e-5,0.379173,JU2853
C,1e-5,0.38002,JU1400
C,0.097807,0.386104,QG2075
C,0.40346,0.40346,JU2017
C,1e-5,0.41168,JU3137
C,0.298322,0.416813,JU2879
C,1e-5,0.417336,NIC515
C,1e-5,0.420282,NIC522
C,0.426445,0.426445,JU2862
C,1e-5,0.430619,JU323
C,1e-5,0.438872,NIC242
C,0.271679,0.441877,CX11271
C,0.049807,0.452486,NIC268
C,0.412856,0.452711,MY518
C,0.017396,0.454041,JU2811
C,1e-5,0.456677,JU3125
C,1e-5,0.463138,NIC523
C,1e-5,0.467065,JU2800
C,1e-5,0.467578,NIC199
C,0.021269,0.484239,NIC3
C,1e-5,0.490751,MY2147
C,0.019301,0.493992,BRC20263
C,1e-5,0.494246,ED3046
C,1e-5,0.502314,JU2007
C,1e-5,0.502642,ED3049
C,1e-5,0.504377,WN2033
C,1e-5,0.505091,JU642
C,1e-5,0.506807,JU830
C,1e-5,0.507458,JU346
C,1e-5,0.509916,MY2453
C,1e-5,0.510437,MY23
C,1e-5,0.519928,QW947
C,1e-5,0.520035,JU2907
C,1e-5,0.520081,JU2906
C,0.089958,0.522272,QG536
C,1e-5,0.524188,JU2001
C,1e-5,0.533478,CB4854
C,1e-5,0.537535,NIC259
C,1e-5,0.537592,NIC1
C,1e-5,0.540785,ED3017
C,1e-5,0.542414,JU2578
C,1e-5,0.542764,AB1
C,0.048379,0.547199,JU2838
C,1e-5,0.549732,JU360
C,1e-5,0.551605,JU2234
C,1e-5,0.553552,JU2534
C,1e-5,0.554878,JU2576
C,0.137053,0.559108,QX1791
C,1e-5,0.566412,JU847
C,0.334387,0.569182,XZ1515
C,1e-5,0.569544,EG4349
C,0.406269,0.569549,EG4946
C,1e-5,0.574788,NIC2
C,1e-5,0.582604,JU1530
C,1e-5,0.582993,JU1652
C,1e-5,0.587041,JU310
C,1e-5,0.58748,ECA701
C,0.591298,0.591298,CX11276
C,1e-5,0.593241,EG4725
C,1e-5,0.593461,NIC1049
C,0.59957,0.59957,CX11307
C,1e-5,0.604814,CB4932
C,1e-5,0.604955,NIC277
C,1e-5,0.605505,JU2841
C,1e-5,0.60703,WN2050
C,1e-5,0.60954,JU3127
C,1e-5,0.611919,WN2002
C,0.18473,0.617716,JU2878
C,1e-5,0.617955,QX1792
C,1e-5,0.624069,MY10
C,1e-5,0.624136,XZ1516
C,1e-5,0.624523,NIC527
C,1e-5,0.626128,JU2464
C,0.066172,0.6276,KR314
C,1e-5,0.632621,MY1
C,1e-5,0.635893,JU1491
C,1e-5,0.641916,NIC256
C,1e-5,0.644812,JU1409
C,1e-5,0.64855,EG4724
C,1e-5,0.648635,JU440
C,1e-5,0.65206,JU1543
C,1e-5,0.653356,JU774
C,1e-5,0.654548,JU1896
C,1e-5,0.655669,JU2586
C,0.656296,0.656296,CX11254
C,1e-5,0.65758,JU1581
C,1e-5,0.659791,MY2573
C,0.662305,0.662305,CX11285
C,1e-5,0.664857,NIC511
C,1e-5,0.666187,MY2741
C,1e-5,0.66968,JU782
C,1e-5,0.670023,WN2001
C,1e-5,0.670979,NIC207
C,1e-5,0.671094,NIC266
C,0.177774,0.674056,JU2619
C,0.063511,0.675313,EG4347
C,0.262562,0.677598,ED3005
C,1e-5,0.679449,NIC255
C,1e-5,0.679556,ED3048
C,1e-5,0.682998,JU1200
C,1e-5,0.685008,NIC529
C,2e-5,0.685022,JU1808
C,0.686517,0.686517,JU2016
C,1e-5,0.687095,JU1440
C,1e-5,0.689435,JU1792
C,1e-5,0.690335,JT11398
C,1e-5,0.691917,NIC271
C,0.692965,0.692965,CB4853
C,1e-5,0.699168,NIC251
C,1e-5,0.701671,NIC260
C,1e-5,0.707546,MY772
C,1e-5,0.709448,JU2572
C,1e-5,0.713829,JU2519
C,0.279258,0.720652,ECA738
C,1e-5,0.72135,ED3012
C,1e-5,0.721979,ED3040
C,0.722598,0.722598,DL226
C,1e-5,0.725328,JU1212
C,0.727048,0.727048,CX11292
C,1e-5,0.730147,MY2212
C,1e-5,0.730226,PX179
C,1e-5,0.736236,DL200
C,1e-5,0.746648,JU1395
C,1e-5,0.74927,ED3052
C,1e-5,0.749686,JU1246
C,1e-5,0.75534,ED3077
C,1e-5,0.756458,MY2535
C,1e-5,0.758862,JU3128
C,1e-5,0.760836,NIC231
C,1e-5,0.762944,NIC528
C,1e-5,0.76489,JU3134
C,0.765549,0.765549,JU1172
C,0.232283,0.766152,ECA372
C,1e-5,0.770245,JU2566
C,1e-5,0.780312,JU2141
C,1e-5,0.780637,MY2530
C,1e-5,0.78102,JU1088
C,1e-5,0.782558,JU311
C,1e-5,0.785544,NIC267
C,1e-5,0.785725,JU561
C,1e-5,0.7884,JU397
C,1e-5,0.791614,JU2587
C,1e-5,0.792139,CB4852
C,1.2e-5,0.794023,NIC1107
C,1e-5,0.804639,MY920
C,0.806142,0.806142,QX1212
C,1e-5,0.809122,MY679
C,0.815787,0.815787,CB4855
C,1e-5,0.816724,JU2592
C,1e-5,0.830526,NIC275
C,1e-5,0.831556,JU2131
C,1.5e-5,0.83492,JU2575
C,1e-5,0.836765,NIC269
C,1e-5,0.840683,JU393
C,0.157606,0.842304,ECA189
C,0.156637,0.843273,XZ1513
C,0.025694,0.84473,ECA743
C,1e-5,0.845197,JU2106
C,0.10701,0.855294,QX1794
C,0.855445,0.855445,QX1233
C,0.855784,0.855784,CX11315
C,1e-5,0.856741,ECA706
C,0.860267,0.860267,QG556
C,1e-5,0.861778,JU1586
C,1e-5,0.865712,JU2513
C,1e-5,0.871335,NIC262
C,0.1275,0.87241,PB303
C,1e-5,0.875683,QX1793
C,1e-5,0.879196,MY16
C,1e-5,0.897654,JU1934
C,1e-5,0.909434,GXW1
C,1e-5,0.912188,JU778
C,0.071425,0.928485,ECA710
C,1e-5,0.931756,NIC252
C,1e-5,0.934359,ED3073
C,1e-5,0.945253,JU367
C,1e-5,0.954727,NIC236
C,1e-5,0.960228,MY2693
C,1e-5,0.968573,NIC272
C,1e-5,0.976914,JU1666
C,1e-5,0.97746,MY795
C,0.008431,0.991476,ECA724
C,1e-5,0.99253,JU751
C,1e-5,0.996153,JU2610
C,1e-5,0.997591,JU2600
C,1e-5,0.999881,ECA742
C,1e-5,0.999884,ECA723
C,1e-5,0.999887,JU3140
C,1e-5,0.999888,ECA36
C,1e-5,0.999889,JU2570
C,1e-5,0.999892,JU2250
C,1e-5,0.999892,JU3135
C,1.8e-5,0.999892,NIC514
C,1e-5,0.999894,XZ1514
C,1e-5,0.999895,ECA740
C,1e-5,0.999896,ECA777
C,1e-5,0.999896,ECA778
C,1e-5,0.999897,JU792
C,1e-5,0.999897,MY2585
C,1e-5,0.999897,NIC258
C,1e-5,0.999898,DL238
C,1e-5,0.999898,ECA741
C,1e-5,0.999898,ECA745
C,1e-5,0.999899,BRC20067
C,0.999899,0.999899,CB4857
C,1e-5,0.999899,ECA768
C,1e-5,0.999899,ECA812
C,1e-5,0.999899,JU2316
C,1e-5,0.999899,JU2526
C,1e-5,0.999899,MY2713
C,1e-5,0.999899,NIC265
C,1e-5,0.9999,CB4851
C,1e-5,0.9999,CB4856
C,0.9999,0.9999,CB4858
C,0.9999,0.9999,CX11262
C,0.9999,0.9999,CX11264
C,0.9999,0.9999,CX11314
C,1e-5,0.9999,ECA191
C,1e-5,0.9999,ECA252
C,1e-5,0.9999,ECA347
C,0.9999,0.9999,ECA348
C,0.9999,0.9999,ECA349
C,1e-5,0.9999,ECA363
C,1e-5,0.9999,ECA369
C,1e-5,0.9999,ECA396
C,1e-5,0.9999,ECA703
C,1e-5,0.9999,ECA705
C,1e-5,0.9999,ECA712
C,1e-5,0.9999,ECA722
C,1e-5,0.9999,ECA730
C,1e-5,0.9999,ECA732
C,1e-5,0.9999,ECA733
C,1e-5,0.9999,ECA744
C,1e-5,0.9999,ECA746
C,1e-5,0.9999,ECA760
C,1e-5,0.9999,ECA807
C,1e-5,0.9999,JU1213
C,1e-5,0.9999,JU1242
C,1e-5,0.9999,JU1249
C,1e-5,0.9999,JU1568
C,1e-5,0.9999,JU1580
C,1e-5,0.9999,JU1793
C,1e-5,0.9999,JU2257
C,1e-5,0.9999,JU2466
C,1e-5,0.9999,JU2522
C,1e-5,0.9999,JU2565
C,1e-5,0.9999,JU2581
C,1e-5,0.9999,JU2593
C,1e-5,0.9999,JU2825
C,1e-5,0.9999,JU2829
C,0.9999,0.9999,JU2866
C,1e-5,0.9999,JU3132
C,1e-5,0.9999,JU394
C,1e-5,0.9999,JU406
C,1e-5,0.9999,JU775
C,1e-5,0.9999,LKC34
C,1e-5,0.9999,LSJ1
C,1e-5,0.9999,MY18
C,1e-5,0.9999,N2
C,1e-5,0.9999,NIC261
C,1e-5,0.9999,NIC274
C,1e-5,0.9999,NIC276
C,1e-5,0.9999,NIC501
C,1e-5,0.9999,NIC513
C,0.9999,0.9999,PB306
