cluster,frac_cluster,max_frac,isotypes
A,0.240886,0.314001,NIC195
A,1e-5,0.327151,NIC526
A,1e-5,0.335005,ED3011
A,0.132455,0.351847,JU258
A,1e-5,0.366712,JU3144
A,1e-5,0.375155,NIC166
A,1e-5,0.377106,JU2478
A,1e-5,0.379173,JU2853
A,1e-5,0.38002,JU1400
A,0.043366,0.386104,QG2075
A,0.130618,0.40346,JU2017
A,1e-5,0.41168,JU3137
A,1e-5,0.416813,JU2879
A,1e-5,0.417336,NIC515
A,1e-5,0.420282,NIC522
A,1e-5,0.426445,JU2862
A,1e-5,0.430619,JU323
A,1e-5,0.438872,NIC242
A,1e-5,0.441877,CX11271
A,0.368281,0.452486,NIC268
A,1e-5,0.452711,MY518
A,0.192454,0.454041,JU2811
A,1e-5,0.456677,JU3125
A,1e-5,0.463138,NIC523
A,1e-5,0.467065,JU2800
A,0.133143,0.467578,NIC199
A,1e-5,0.484239,NIC3
A,1e-5,0.490751,MY2147
A,0.142338,0.493992,BRC20263
A,1e-5,0.494246,ED3046
A,0.018765,0.502314,JU2007
A,1e-5,0.502642,ED3049
A,1e-5,0.504377,WN2033
A,1e-5,0.505091,JU642
A,1e-5,0.506807,JU830
A,1e-5,0.507458,JU346
A,1e-5,0.509916,MY2453
A,1e-5,0.510437,MY23
A,1e-5,0.519928,QW947
A,1e-5,0.520035,JU2907
A,1e-5,0.520081,JU2906
A,1e-5,0.522272,QG536
A,0.199819,0.524188,JU2001
A,1e-5,0.533478,CB4854
A,1e-5,0.537535,NIC259
A,1e-5,0.537592,NIC1
A,1e-5,0.540785,ED3017
A,1e-5,0.542414,JU2578
A,1e-5,0.542764,AB1
A,0.072467,0.547199,JU2838
A,1e-5,0.549732,JU360
A,1.58e-4,0.551605,JU2234
A,1e-5,0.553552,JU2534
A,0.091793,0.554878,JU2576
A,0.559108,0.559108,QX1791
A,1e-5,0.566412,JU847
A,1e-5,0.569182,XZ1515
A,1e-5,0.569544,EG4349
A,1e-5,0.569549,EG4946
A,1e-5,0.574788,NIC2
A,1e-5,0.582604,JU1530
A,1e-5,0.582993,JU1652
A,1e-5,0.587041,JU310
A,0.250814,0.58748,ECA701
A,1e-5,0.591298,CX11276
A,1e-5,0.593241,EG4725
A,1e-5,0.593461,NIC1049
A,1e-5,0.59957,CX11307
A,1.9e-5,0.604814,CB4932
A,1e-5,0.604955,NIC277
A,0.091283,0.605505,JU2841
A,0.004214,0.60703,WN2050
A,1e-5,0.60954,JU3127
A,1e-5,0.611919,WN2002
A,1e-5,0.617716,JU2878
A,1e-5,0.617955,QX1792
A,1e-5,0.624069,MY10
A,0.174719,0.624136,XZ1516
A,1e-5,0.624523,NIC527
A,1e-5,0.626128,JU2464
A,1e-5,0.6276,KR314
A,1e-5,0.632621,MY1
A,1e-5,0.635893,JU1491
A,1e-5,0.641916,NIC256
A,1e-5,0.644812,JU1409
A,1e-5,0.64855,EG4724
A,1e-5,0.648635,JU440
A,1e-5,0.65206,JU1543
A,1e-5,0.653356,JU774
A,0.031787,0.654548,JU1896
A,1e-5,0.655669,JU2586
A,1e-5,0.656296,CX11254
A,0.067559,0.65758,JU1581
A,1e-5,0.659791,MY2573
A,1.1e-5,0.662305,CX11285
A,1e-5,0.664857,NIC511
A,1e-5,0.666187,MY2741
A,1e-5,0.66968,JU782
A,0.035989,0.670023,WN2001
A,1e-5,0.670979,NIC207
A,0.028665,0.671094,NIC266
A,1e-5,0.674056,JU2619
A,1e-5,0.675313,EG4347
A,1e-5,0.677598,ED3005
A,1e-5,0.679449,NIC255
A,1.4e-5,0.679556,ED3048
A,1e-5,0.682998,JU1200
A,1e-5,0.685008,NIC529
A,1e-5,0.685022,JU1808
A,1e-5,0.686517,JU2016
A,1e-5,0.687095,JU1440
A,1e-5,0.689435,JU1792
A,1e-5,0.690335,JT11398
A,1e-5,0.691917,NIC271
A,1e-5,0.692965,CB4853
A,0.253162,0.699168,NIC251
A,1e-5,0.701671,NIC260
A,1e-5,0.707546,MY772
A,1e-5,0.709448,JU2572
A,1e-5,0.713829,JU2519
A,1e-5,0.720652,ECA738
A,1e-5,0.72135,ED3012
A,1e-5,0.721979,ED3040
A,1e-5,0.722598,DL226
A,0.08567,0.725328,JU1212
A,1e-5,0.727048,CX11292
A,1e-5,0.730147,MY2212
A,1e-5,0.730226,PX179
A,1e-5,0.736236,DL200
A,1e-5,0.746648,JU1395
A,1e-5,0.74927,ED3052
A,1e-5,0.749686,JU1246
A,1e-5,0.75534,ED3077
A,1e-5,0.756458,MY2535
A,1e-5,0.758862,JU3128
A,1e-5,0.760836,NIC231
A,1e-5,0.762944,NIC528
A,1e-5,0.76489,JU3134
A,1e-5,0.765549,JU1172
A,1.8e-5,0.766152,ECA372
A,1e-5,0.770245,JU2566
A,1e-5,0.780312,JU2141
A,1e-5,0.780637,MY2530
A,1e-5,0.78102,JU1088
A,1e-5,0.782558,JU311
A,1e-5,0.785544,NIC267
A,1e-5,0.785725,JU561
A,1e-5,0.7884,JU397
A,1e-5,0.791614,JU2587
A,1e-5,0.792139,CB4852
A,1e-5,0.794023,NIC1107
A,1e-5,0.804639,MY920
A,0.043174,0.806142,QX1212
A,1e-5,0.809122,MY679
A,1e-5,0.815787,CB4855
A,1e-5,0.816724,JU2592
A,1e-5,0.830526,NIC275
