isotype,is_swept,pop_assignment,A,B,C,D,E,F,G,H,I,J,K,Hawaiian,genome_swept_hap_length,genome_max_length,genome_frac_swept
ECA189,TRUE,E,1e-5,1e-5,0.157606,1e-5,0.842304,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,17389914,100089639,0.17374339815532755
ECA191,FALSE,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE,459647,100089639,0.0045923534602817385
ECA347,FALSE,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,115824,100089639,0.0011572026950761607
ECA348,TRUE,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,26624958,100089639,0.26601113028292567
ECA349,TRUE,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,47850347,100089639,0.47807492841491817
ECA36,FALSE,F,1.3e-5,1.9e-5,1e-5,1e-5,1e-5,0.999888,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,302212,100089639,0.0030194134279972777
ECA363,FALSE,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,707350,100089639,0.007067165063908363
ECA369,FALSE,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,2317366,100089639,0.02315290596662058
ECA372,TRUE,E,1.8e-5,1e-5,0.232283,1e-5,0.766152,1e-5,1e-5,1e-5,1e-5,0.001477,1e-5,TRUE,14575644,100089639,0.14562590239735004
ECA396,FALSE,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE,680265,100089639,0.006796557633702725
ECA701,FALSE,F,0.250814,1e-5,1e-5,1e-5,1e-5,0.58748,1e-5,0.161626,1e-5,1e-5,1e-5,TRUE,181973,100089639,0.0018181002730961993
ECA703,FALSE,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,5438720,100089639,0.05433849151958676
ECA705,TRUE,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,13230104,100089639,0.1321825528814226
ECA706,FALSE,A,0.856741,1e-5,1e-5,1e-5,0.143163,1e-5,1e-5,1.6e-5,1e-5,1e-5,1e-5,TRUE,6287738,100089639,0.06282106782301412
ECA710,TRUE,E,1e-5,1e-5,0.071425,1e-5,0.928485,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,13461028,100089639,0.13448972475562632
ECA712,TRUE,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,11054263,100089639,0.11044362943501075
ECA722,FALSE,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE,871800,100089639,0.008710192270750422
ECA723,FALSE,H,1.3e-5,1.6e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.999884,1.7e-5,1e-5,1e-5,TRUE,495633,100089639,0.004951891174270296
ECA724,FALSE,F,1e-5,1e-5,0.008431,1e-5,1e-5,0.991476,1.3e-5,1e-5,1e-5,1e-5,1e-5,TRUE,1184468,100089639,0.011834072056149588
ECA730,FALSE,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE,1300314,100089639,0.012991494554196563
ECA732,FALSE,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,2459989,100089639,0.024577858653281784
ECA733,FALSE,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,2515978,100089639,0.02513724722296181
ECA738,TRUE,E,1e-5,1e-5,0.279258,1e-5,0.720652,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,11415172,100089639,0.11404948718018655
ECA740,FALSE,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.999895,1e-5,1e-5,1.5e-5,1e-5,1e-5,TRUE,245004,100089639,0.002447845775525277
ECA741,FALSE,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.999898,1e-5,1.2e-5,1e-5,1e-5,1e-5,TRUE,513117,100089639,0.005126574589803446
ECA742,FALSE,F,1e-5,1.2e-5,1e-5,1e-5,1.3e-5,0.999881,1e-5,1.6e-5,1e-5,1.8e-5,1e-5,TRUE,303556,100089639,0.003032841391305248
ECA743,TRUE,E,1e-5,0.044726,0.025694,0.052205,0.84473,1e-5,1e-5,1e-5,0.032585,1e-5,1e-5,TRUE,16035610,100089639,0.16021248712866273
ECA744,FALSE,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE,849596,100089639,0.008488351126933328
ECA745,FALSE,H,1e-5,1e-5,1e-5,1.2e-5,1e-5,1e-5,1e-5,0.999898,1e-5,1e-5,1e-5,TRUE,452478,100089639,0.004520727664928435
ECA746,FALSE,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE,1038498,100089639,0.010375679344792122
ECA760,TRUE,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,12683445,100089639,0.12672085868947933
ECA768,FALSE,E,1e-5,1e-5,1e-5,1.1e-5,0.999899,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,6682588,100089639,0.06676603159693682
ECA777,TRUE,E,1e-5,1e-5,1e-5,1e-5,0.999896,1e-5,1e-5,1e-5,1.4e-5,1e-5,1e-5,TRUE,12833522,100089639,0.1282202846190703
ECA778,TRUE,E,1e-5,1e-5,1e-5,1e-5,0.999896,1e-5,1e-5,1e-5,1.4e-5,1e-5,1e-5,TRUE,12568012,100089639,0.12556756249265721
ECA807,FALSE,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,7087034,100089639,0.07080686943031136
ECA812,FALSE,E,1e-5,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,TRUE,7581509,100089639,0.0757471909754815
ED3011,TRUE,C,1e-5,1e-5,0.335005,0.242701,1e-5,1e-5,1e-5,1e-5,1e-5,0.135938,0.286286,FALSE,56474072,100089639,0.5642349454372595
JU1172,TRUE,C,1e-5,1e-5,0.765549,0.234361,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,61572965,100089639,0.615178210403976
JU2016,TRUE,C,1e-5,1e-5,0.686517,0.313393,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,62607866,100089639,0.6255179519630398
JU2017,TRUE,C,0.130618,0.068426,0.40346,0.272208,1e-5,1e-5,1e-5,1e-5,1e-5,0.085963,0.039275,FALSE,45922442,100089639,0.4588131444854147
JU2862,TRUE,C,1e-5,0.003358,0.426445,0.334683,1e-5,1e-5,0.030298,1e-5,0.135274,0.069892,1e-5,FALSE,54144389,100089639,0.5409589797801149
JU2866,TRUE,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,50771086,100089639,0.5072561606501548
MY23,TRUE,E,1e-5,1e-5,1e-5,1e-5,0.510437,1e-5,1e-5,1e-5,1e-5,1e-5,0.489473,FALSE,10794302,100089639,0.10784634761246366
PB306,TRUE,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,33704149,100089639,0.3367396399541415
PS2025,TRUE,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,30506886,100089639,0.30479564423246647
QG556,TRUE,C,1e-5,1e-5,0.860267,1e-5,0.139643,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,29772807,100089639,0.297461428550062
QG557,TRUE,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,46090020,100089639,0.46048742367828904
QX1211,FALSE,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,439015,100089639,0.004386218237833788
QX1212,TRUE,C,0.043174,1e-5,0.806142,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.150604,FALSE,46430681,100089639,0.463890982761962
QX1233,TRUE,C,1e-5,1e-5,0.855445,0.144465,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,48020451,100089639,0.4797744449852597
QX1791,TRUE,A,0.559108,0.107565,0.137053,1e-5,0.061847,1e-5,1e-5,1e-5,1e-5,1e-5,0.134366,TRUE,19071168,100089639,0.19054088105962697
QX1792,TRUE,E,1e-5,1e-5,1e-5,0.220457,0.617955,1e-5,1e-5,1e-5,1e-5,0.161508,1e-5,TRUE,26507474,100089639,0.2648373424545971
QX1793,TRUE,E,1e-5,1e-5,1e-5,1e-5,0.875683,1e-5,1e-5,1.2e-5,1e-5,0.124224,1e-5,TRUE,14026859,100089639,0.14014296724559072
QX1794,FALSE,E,1e-5,1e-5,0.10701,0.037616,0.855294,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,11802225,100089639,0.11791655078304358
XZ1513,TRUE,E,1e-5,1e-5,0.156637,1e-5,0.843273,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,15048046,100089639,0.15034569162548383
XZ1514,FALSE,F,1e-5,1.2e-5,1e-5,1e-5,1e-5,0.999894,1e-5,1e-5,1.3e-5,1e-5,1e-5,TRUE,1071398,100089639,0.010704384696601814
XZ1515,TRUE,E,1e-5,1e-5,0.334387,1e-5,0.569182,0.096351,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,17483115,100089639,0.174674573459097
XZ1516,FALSE,F,0.174719,1e-5,1e-5,1e-5,1e-5,0.624136,1e-5,0.201065,1e-5,1e-5,1e-5,TRUE,15079,100089639,1.5065495440542054e-4
