isotype,is_swept,pop_assignment,A,B,C,D,E,F,G,H,I,J,K,Hawaiian,genome_swept_hap_length,genome_max_length,genome_frac_swept
CB4853,TRUE,C,1e-5,1e-5,0.692965,0.306945,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,61711850,100089639,0.6165658165676869
CB4855,TRUE,C,1e-5,1e-5,0.815787,0.184123,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,51460060,100089639,0.5141397302871679
CB4856,FALSE,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,3347671,100089639,0.03344672868687237
CB4857,TRUE,C,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,55517237,100089639,0.5546751647290885
CB4858,TRUE,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,60689498,100089639,0.6063514526213847
CX11254,TRUE,C,1e-5,1e-5,0.656296,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.237537,0.106087,FALSE,46254220,100089639,0.4621279531240991
CX11262,TRUE,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,38381772,100089639,0.3834739777610747
CX11264,TRUE,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,34258305,100089639,0.3422762370039121
CX11276,TRUE,C,1e-5,0.015529,0.591298,0.185454,1e-5,1e-5,1e-5,1e-5,0.009696,0.197963,1e-5,FALSE,58350744,100089639,0.5829848582029554
CX11285,TRUE,C,1.1e-5,1e-5,0.662305,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.337604,1e-5,FALSE,44207713,100089639,0.441681211378932
CX11292,TRUE,C,1e-5,1e-5,0.727048,0.272862,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,63494663,100089639,0.6343779799225772
CX11307,TRUE,C,1e-5,1e-5,0.59957,0.183651,1e-5,1e-5,0.038083,1e-5,0.070271,0.057709,0.050666,FALSE,40583755,100089639,0.4054740870830796
CX11314,TRUE,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,48269418,100089639,0.48226188526866404
CX11315,TRUE,C,1e-5,1e-5,0.855784,0.144126,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,55969862,100089639,0.5591973610775037
DL226,TRUE,C,1e-5,0.054011,0.722598,0.137152,1e-5,1e-5,1e-5,2e-5,1e-5,0.070261,0.015908,FALSE,52614627,100089639,0.5256750601328475
DL238,FALSE,A,0.999898,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.2e-5,1e-5,1e-5,TRUE,2895303,100089639,0.028927100036798013
