isotypes,cluster,frac_cluster,max_frac,K
QX1791,C,0.99998,0.99998,3
QX1792,C,0.99998,0.99998,3
QX1794,C,0.99998,0.99998,3
XZ1513,C,0.99998,0.99998,3
XZ1514,C,1e-5,0.99998,3
QX1791,A,1e-5,0.566282,4
ECA701,A,0.137073,0.612131,4
XZ1516,A,0.178162,0.638497,4
XZ1515,A,1e-5,0.915658,4
ECA768,A,1e-5,0.999966,4
ECA741,A,1.3e-5,0.999967,4
CB4856,A,1e-5,0.99997,4
DL238,A,1e-5,0.99997,4
ECA189,A,1e-5,0.99997,4
ECA191,A,0.99997,0.99997,4
ECA347,A,1e-5,0.99997,4
ECA363,A,1e-5,0.99997,4
ECA369,A,1e-5,0.99997,4
ECA372,A,1e-5,0.99997,4
ECA396,A,0.99997,0.99997,4
ECA703,A,1e-5,0.99997,4
ECA705,A,1e-5,0.99997,4
ECA706,A,1e-5,0.99997,4
ECA710,A,1e-5,0.99997,4
ECA712,A,1e-5,0.99997,4
ECA722,A,0.99997,0.99997,4
ECA723,A,0.99997,0.99997,4
ECA724,A,1e-5,0.99997,4
ECA730,A,0.99997,0.99997,4
ECA732,A,1e-5,0.99997,4
ECA733,A,1e-5,0.99997,4
ECA738,A,1e-5,0.99997,4
ECA740,A,1e-5,0.99997,4
ECA742,A,1e-5,0.99997,4
ECA743,A,1e-5,0.99997,4
ECA744,A,0.99997,0.99997,4
ECA745,A,0.99997,0.99997,4
ECA746,A,0.99997,0.99997,4
ECA760,A,1e-5,0.99997,4
ECA777,A,1e-5,0.99997,4
ECA778,A,1e-5,0.99997,4
ECA807,A,1e-5,0.99997,4
ECA812,A,1e-5,0.99997,4
QX1792,A,1e-5,0.99997,4
QX1793,A,1e-5,0.99997,4
QX1794,A,1e-5,0.99997,4
XZ1513,A,1e-5,0.99997,4
XZ1514,A,1e-5,0.99997,4
QX1791,B,0.566282,0.566282,4
ECA701,B,0.250787,0.612131,4
XZ1516,B,0.183331,0.638497,4
XZ1515,B,1e-5,0.915658,4
ECA768,B,1.4e-5,0.999966,4
ECA741,B,1e-5,0.999967,4
CB4856,B,0.99997,0.99997,4
DL238,B,0.99997,0.99997,4
ECA189,B,1e-5,0.99997,4
ECA191,B,1e-5,0.99997,4
ECA347,B,1e-5,0.99997,4
ECA363,B,1e-5,0.99997,4
ECA369,B,0.99997,0.99997,4
ECA372,B,1e-5,0.99997,4
ECA396,B,1e-5,0.99997,4
ECA703,B,0.99997,0.99997,4
ECA705,B,1e-5,0.99997,4
ECA706,B,0.99997,0.99997,4
ECA710,B,1e-5,0.99997,4
ECA712,B,1e-5,0.99997,4
ECA722,B,1e-5,0.99997,4
ECA723,B,1e-5,0.99997,4
ECA724,B,1e-5,0.99997,4
ECA730,B,1e-5,0.99997,4
ECA732,B,0.99997,0.99997,4
ECA733,B,0.99997,0.99997,4
ECA738,B,1e-5,0.99997,4
ECA740,B,1e-5,0.99997,4
ECA742,B,1e-5,0.99997,4
ECA743,B,1e-5,0.99997,4
ECA744,B,1e-5,0.99997,4
ECA745,B,1e-5,0.99997,4
ECA746,B,1e-5,0.99997,4
ECA760,B,1e-5,0.99997,4
ECA777,B,1e-5,0.99997,4
ECA778,B,1e-5,0.99997,4
ECA807,B,1e-5,0.99997,4
ECA812,B,1e-5,0.99997,4
QX1792,B,1e-5,0.99997,4
QX1793,B,1e-5,0.99997,4
QX1794,B,1e-5,0.99997,4
XZ1513,B,1e-5,0.99997,4
XZ1514,B,1e-5,0.99997,4
QX1791,C,1e-5,0.566282,4
ECA701,C,0.612131,0.612131,4
XZ1516,C,0.638497,0.638497,4
XZ1515,C,0.084322,0.915658,4
ECA768,C,1e-5,0.999966,4
ECA741,C,0.999967,0.999967,4
CB4856,C,1e-5,0.99997,4
DL238,C,1e-5,0.99997,4
ECA189,C,1e-5,0.99997,4
ECA191,C,1e-5,0.99997,4
ECA347,C,0.99997,0.99997,4
ECA363,C,0.99997,0.99997,4
ECA369,C,1e-5,0.99997,4
ECA372,C,1e-5,0.99997,4
ECA396,C,1e-5,0.99997,4
ECA703,C,1e-5,0.99997,4
ECA705,C,1e-5,0.99997,4
ECA706,C,1e-5,0.99997,4
ECA710,C,1e-5,0.99997,4
ECA712,C,1e-5,0.99997,4
ECA722,C,1e-5,0.99997,4
ECA723,C,1e-5,0.99997,4
ECA724,C,0.99997,0.99997,4
ECA730,C,1e-5,0.99997,4
ECA732,C,1e-5,0.99997,4
ECA733,C,1e-5,0.99997,4
ECA738,C,1e-5,0.99997,4
ECA740,C,0.99997,0.99997,4
ECA742,C,0.99997,0.99997,4
ECA743,C,1e-5,0.99997,4
ECA744,C,1e-5,0.99997,4
ECA745,C,1e-5,0.99997,4
ECA746,C,1e-5,0.99997,4
ECA760,C,1e-5,0.99997,4
ECA777,C,1e-5,0.99997,4
ECA778,C,1e-5,0.99997,4
ECA807,C,1e-5,0.99997,4
ECA812,C,1e-5,0.99997,4
QX1792,C,1e-5,0.99997,4
QX1793,C,1e-5,0.99997,4
QX1794,C,1e-5,0.99997,4
XZ1513,C,1e-5,0.99997,4
XZ1514,C,0.99997,0.99997,4
QX1791,D,0.433698,0.566282,4
ECA701,D,1e-5,0.612131,4
XZ1516,D,1e-5,0.638497,4
XZ1515,D,0.915658,0.915658,4
ECA768,D,0.999966,0.999966,4
ECA741,D,1e-5,0.999967,4
CB4856,D,1e-5,0.99997,4
DL238,D,1e-5,0.99997,4
ECA189,D,0.99997,0.99997,4
ECA191,D,1e-5,0.99997,4
ECA347,D,1e-5,0.99997,4
ECA363,D,1e-5,0.99997,4
ECA369,D,1e-5,0.99997,4
ECA372,D,0.99997,0.99997,4
ECA396,D,1e-5,0.99997,4
ECA703,D,1e-5,0.99997,4
ECA705,D,0.99997,0.99997,4
ECA706,D,1e-5,0.99997,4
ECA710,D,0.99997,0.99997,4
ECA712,D,0.99997,0.99997,4
ECA722,D,1e-5,0.99997,4
ECA723,D,1e-5,0.99997,4
ECA724,D,1e-5,0.99997,4
ECA730,D,1e-5,0.99997,4
ECA732,D,1e-5,0.99997,4
ECA733,D,1e-5,0.99997,4
ECA738,D,0.99997,0.99997,4
ECA740,D,1e-5,0.99997,4
ECA742,D,1e-5,0.99997,4
ECA743,D,0.99997,0.99997,4
ECA744,D,1e-5,0.99997,4
ECA745,D,1e-5,0.99997,4
ECA746,D,1e-5,0.99997,4
ECA760,D,0.99997,0.99997,4
ECA777,D,0.99997,0.99997,4
ECA778,D,0.99997,0.99997,4
ECA807,D,0.99997,0.99997,4
ECA812,D,0.99997,0.99997,4
QX1792,D,0.99997,0.99997,4
QX1793,D,0.99997,0.99997,4
QX1794,D,0.99997,0.99997,4
XZ1513,D,0.99997,0.99997,4
XZ1514,D,1e-5,0.99997,4
QX1791,A,0.497984,0.501986,5
ECA701,A,0.005749,0.608858,5
XZ1516,A,1e-5,0.637007,5
ECA712,A,0.314718,0.685252,5
ECA189,A,0.88131,0.88131,5
ECA723,A,1e-5,0.999953,5
ECA744,A,1.6e-5,0.999954,5
CB4856,A,1e-5,0.99996,5
DL238,A,1e-5,0.99996,5
ECA191,A,1e-5,0.99996,5
ECA347,A,1e-5,0.99996,5
ECA363,A,1e-5,0.99996,5
ECA369,A,1e-5,0.99996,5
ECA372,A,0.99996,0.99996,5
ECA396,A,1e-5,0.99996,5
ECA703,A,1e-5,0.99996,5
ECA705,A,0.99996,0.99996,5
ECA706,A,1e-5,0.99996,5
ECA710,A,0.99996,0.99996,5
ECA722,A,1e-5,0.99996,5
ECA724,A,1e-5,0.99996,5
ECA730,A,1e-5,0.99996,5
ECA732,A,1e-5,0.99996,5
ECA733,A,1e-5,0.99996,5
ECA738,A,0.99996,0.99996,5
ECA740,A,1e-5,0.99996,5
ECA741,A,1e-5,0.99996,5
ECA742,A,1e-5,0.99996,5
ECA743,A,0.99996,0.99996,5
ECA745,A,1e-5,0.99996,5
ECA746,A,1e-5,0.99996,5
ECA760,A,1e-5,0.99996,5
ECA768,A,1e-5,0.99996,5
ECA777,A,1e-5,0.99996,5
ECA778,A,1e-5,0.99996,5
ECA807,A,1e-5,0.99996,5
ECA812,A,1e-5,0.99996,5
QX1792,A,0.99996,0.99996,5
QX1793,A,0.99996,0.99996,5
QX1794,A,0.99996,0.99996,5
XZ1513,A,0.99996,0.99996,5
XZ1514,A,1e-5,0.99996,5
XZ1515,A,0.99996,0.99996,5
QX1791,B,1e-5,0.501986,5
ECA701,B,0.608858,0.608858,5
XZ1516,B,0.637007,0.637007,5
ECA712,B,1e-5,0.685252,5
ECA189,B,1e-5,0.88131,5
ECA723,B,1.7e-5,0.999953,5
ECA744,B,1e-5,0.999954,5
CB4856,B,1e-5,0.99996,5
DL238,B,1e-5,0.99996,5
ECA191,B,1e-5,0.99996,5
ECA347,B,0.99996,0.99996,5
ECA363,B,0.99996,0.99996,5
ECA369,B,1e-5,0.99996,5
ECA372,B,1e-5,0.99996,5
ECA396,B,1e-5,0.99996,5
ECA703,B,1e-5,0.99996,5
ECA705,B,1e-5,0.99996,5
ECA706,B,1e-5,0.99996,5
ECA710,B,1e-5,0.99996,5
ECA722,B,1e-5,0.99996,5
ECA724,B,0.99996,0.99996,5
ECA730,B,1e-5,0.99996,5
ECA732,B,1e-5,0.99996,5
ECA733,B,1e-5,0.99996,5
ECA738,B,1e-5,0.99996,5
ECA740,B,0.99996,0.99996,5
ECA741,B,0.99996,0.99996,5
ECA742,B,0.99996,0.99996,5
ECA743,B,1e-5,0.99996,5
ECA745,B,1e-5,0.99996,5
ECA746,B,1e-5,0.99996,5
ECA760,B,1e-5,0.99996,5
ECA768,B,1e-5,0.99996,5
ECA777,B,1e-5,0.99996,5
ECA778,B,1e-5,0.99996,5
ECA807,B,1e-5,0.99996,5
ECA812,B,1e-5,0.99996,5
QX1792,B,1e-5,0.99996,5
QX1793,B,1e-5,0.99996,5
QX1794,B,1e-5,0.99996,5
XZ1513,B,1e-5,0.99996,5
XZ1514,B,0.99996,0.99996,5
XZ1515,B,1e-5,0.99996,5
QX1791,C,1e-5,0.501986,5
ECA701,C,1e-5,0.608858,5
XZ1516,C,1e-5,0.637007,5
ECA712,C,0.685252,0.685252,5
ECA189,C,0.11866,0.88131,5
ECA723,C,1e-5,0.999953,5
ECA744,C,1e-5,0.999954,5
CB4856,C,1e-5,0.99996,5
DL238,C,1e-5,0.99996,5
ECA191,C,1e-5,0.99996,5
ECA347,C,1e-5,0.99996,5
ECA363,C,1e-5,0.99996,5
ECA369,C,1e-5,0.99996,5
ECA372,C,1e-5,0.99996,5
ECA396,C,1e-5,0.99996,5
ECA703,C,1e-5,0.99996,5
ECA705,C,1e-5,0.99996,5
ECA706,C,1e-5,0.99996,5
ECA710,C,1e-5,0.99996,5
ECA722,C,1e-5,0.99996,5
ECA724,C,1e-5,0.99996,5
ECA730,C,1e-5,0.99996,5
ECA732,C,1e-5,0.99996,5
ECA733,C,1e-5,0.99996,5
ECA738,C,1e-5,0.99996,5
ECA740,C,1e-5,0.99996,5
ECA741,C,1e-5,0.99996,5
ECA742,C,1e-5,0.99996,5
ECA743,C,1e-5,0.99996,5
ECA745,C,1e-5,0.99996,5
ECA746,C,1e-5,0.99996,5
ECA760,C,0.99996,0.99996,5
ECA768,C,0.99996,0.99996,5
ECA777,C,0.99996,0.99996,5
ECA778,C,0.99996,0.99996,5
ECA807,C,0.99996,0.99996,5
ECA812,C,0.99996,0.99996,5
QX1792,C,1e-5,0.99996,5
QX1793,C,1e-5,0.99996,5
QX1794,C,1e-5,0.99996,5
XZ1513,C,1e-5,0.99996,5
XZ1514,C,1e-5,0.99996,5
XZ1515,C,1e-5,0.99996,5
QX1791,D,0.501986,0.501986,5
ECA701,D,0.245469,0.608858,5
XZ1516,D,0.183052,0.637007,5
ECA712,D,1e-5,0.685252,5
ECA189,D,1e-5,0.88131,5
ECA723,D,1e-5,0.999953,5
ECA744,D,1e-5,0.999954,5
CB4856,D,0.99996,0.99996,5
DL238,D,0.99996,0.99996,5
ECA191,D,1e-5,0.99996,5
ECA347,D,1e-5,0.99996,5
ECA363,D,1e-5,0.99996,5
ECA369,D,0.99996,0.99996,5
ECA372,D,1e-5,0.99996,5
ECA396,D,1e-5,0.99996,5
ECA703,D,0.99996,0.99996,5
ECA705,D,1e-5,0.99996,5
ECA706,D,0.99996,0.99996,5
ECA710,D,1e-5,0.99996,5
ECA722,D,1e-5,0.99996,5
ECA724,D,1e-5,0.99996,5
ECA730,D,1e-5,0.99996,5
ECA732,D,0.99996,0.99996,5
ECA733,D,0.99996,0.99996,5
ECA738,D,1e-5,0.99996,5
ECA740,D,1e-5,0.99996,5
ECA741,D,1e-5,0.99996,5
ECA742,D,1e-5,0.99996,5
ECA743,D,1e-5,0.99996,5
ECA745,D,1e-5,0.99996,5
ECA746,D,1e-5,0.99996,5
ECA760,D,1e-5,0.99996,5
ECA768,D,1e-5,0.99996,5
ECA777,D,1e-5,0.99996,5
ECA778,D,1e-5,0.99996,5
ECA807,D,1e-5,0.99996,5
ECA812,D,1e-5,0.99996,5
QX1792,D,1e-5,0.99996,5
QX1793,D,1e-5,0.99996,5
QX1794,D,1e-5,0.99996,5
XZ1513,D,1e-5,0.99996,5
XZ1514,D,1e-5,0.99996,5
XZ1515,D,1e-5,0.99996,5
QX1791,E,1e-5,0.501986,5
ECA701,E,0.139914,0.608858,5
XZ1516,E,0.179921,0.637007,5
ECA712,E,1e-5,0.685252,5
ECA189,E,1e-5,0.88131,5
ECA723,E,0.999953,0.999953,5
ECA744,E,0.999954,0.999954,5
CB4856,E,1e-5,0.99996,5
DL238,E,1e-5,0.99996,5
ECA191,E,0.99996,0.99996,5
ECA347,E,1e-5,0.99996,5
ECA363,E,1e-5,0.99996,5
ECA369,E,1e-5,0.99996,5
ECA372,E,1e-5,0.99996,5
ECA396,E,0.99996,0.99996,5
ECA703,E,1e-5,0.99996,5
ECA705,E,1e-5,0.99996,5
ECA706,E,1e-5,0.99996,5
ECA710,E,1e-5,0.99996,5
ECA722,E,0.99996,0.99996,5
ECA724,E,1e-5,0.99996,5
ECA730,E,0.99996,0.99996,5
ECA732,E,1e-5,0.99996,5
ECA733,E,1e-5,0.99996,5
ECA738,E,1e-5,0.99996,5
ECA740,E,1e-5,0.99996,5
ECA741,E,1e-5,0.99996,5
ECA742,E,1e-5,0.99996,5
ECA743,E,1e-5,0.99996,5
ECA745,E,0.99996,0.99996,5
ECA746,E,0.99996,0.99996,5
ECA760,E,1e-5,0.99996,5
ECA768,E,1e-5,0.99996,5
ECA777,E,1e-5,0.99996,5
ECA778,E,1e-5,0.99996,5
ECA807,E,1e-5,0.99996,5
ECA812,E,1e-5,0.99996,5
QX1792,E,1e-5,0.99996,5
QX1793,E,1e-5,0.99996,5
QX1794,E,1e-5,0.99996,5
XZ1513,E,1e-5,0.99996,5
XZ1514,E,1e-5,0.99996,5
XZ1515,E,1e-5,0.99996,5
