strain,isotype,long,lat,state,country,max_pop_frac,pop_assignment,A,B,C,D,E,F,G,H,I,J,K,Hawaiian
ECA339,ECA252,0.4948,44.8358,Nouvelle-Aquitaine,France,0.9999,B,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
ECA253,N2,-2.59,51.45,England,United Kingdom,0.9999,B,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
LSJ1,LSJ1,-2.59,51.45,England,United Kingdom,0.9999,B,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
CB4856,CB4856,-157.86,21.33,Hawaii,United States,0.9999,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA249,CB4857,-117.719,34.096,California,United States,0.999899,C,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
ECA251,CB4858,-118.1,34.1,California,United States,0.9999,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
ECA252,ECA252,-118.1,34.1,California,United States,0.9999,B,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
CB4854,CB4854,-118.131,34.189,California,United States,0.533478,D,1e-5,1e-5,1e-5,0.533478,1e-5,1e-5,1e-5,1e-5,1e-5,0.466432,1e-5,FALSE
ECA245,CB4853,-118.131,34.171,California,United States,0.692965,C,1e-5,1e-5,0.692965,0.306945,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
ECA246,CB4853,-118.131,34.189,California,United States,0.692965,C,1e-5,1e-5,0.692965,0.306945,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
ECA248,CB4855,-122.14,37.44,California,United States,0.815787,C,1e-5,1e-5,0.815787,0.184123,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
AB2,CB4858,138.59,-34.93,South Australia,Australia,0.9999,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
AB1,AB1,138.59,-34.93,South Australia,Australia,0.542764,D,1e-5,0.457146,1e-5,0.542764,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
RC301,RC301,7.84,47.99,Baden-Württemberg,Germany,0.9999,D,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
KR314,KR314,-123.13,49.28,British Columbia,Canada,0.6276,D,1e-5,1e-5,0.066172,0.6276,1e-5,1e-5,1e-5,1e-5,0.02339,0.126669,0.15611,FALSE
CB4932,CB4932,-3.1,51.02,England,United Kingdom,0.604814,B,1.9e-5,0.604814,1e-5,1e-5,1e-5,1e-5,1e-5,1.1e-5,0.395086,1e-5,1e-5,FALSE
JU258,JU258,-16.89,32.73,Madeira,Portugal,0.351847,G,0.132455,0.070774,1e-5,1e-5,1e-5,1e-5,0.351847,1e-5,0.097688,0.347177,1e-5,FALSE
PX179,PX179,-123.058,44.035,Oregon,United States,0.730226,D,1e-5,0.269674,1e-5,0.730226,1e-5,1e-5,2e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU263,JU310,1.06,46.63,Centre,France,0.587041,I,1e-5,1e-5,1e-5,0.412869,1e-5,1e-5,1e-5,1e-5,0.587041,1e-5,1e-5,FALSE
MY6,MY18,7.53,51.96,North Rhine-Westphalia,Germany,0.9999,K,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,FALSE
MY2,MY23,7.53,51.96,North Rhine-Westphalia,Germany,0.510437,E,1e-5,1e-5,1e-5,1e-5,0.510437,1e-5,1e-5,1e-5,1e-5,1e-5,0.489473,FALSE
MY1,MY1,7.31,52.54,Niedersachsen,Germany,0.632621,J,1e-5,1e-5,1e-5,0.33299,1e-5,1e-5,1e-5,1e-5,1e-5,0.632621,0.03431,FALSE
MY10,MY10,7.53,51.96,Nordrhein-Westfalen,Germany,0.624069,D,1e-5,1e-5,1e-5,0.624069,1e-5,1e-5,0.302755,1e-5,0.036305,0.036801,1e-5,FALSE
MY16,MY16,7.57,51.93,Nordrhein-Westfalen,Germany,0.879196,K,1e-5,1e-5,1e-5,1e-5,0.120714,1e-5,1e-5,1e-5,1e-5,1e-5,0.879196,FALSE
JU400,JU394,-0.32,49.28,Lower Normandy,France,0.9999,B,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU393,JU393,-0.32,49.28,Basse-Normandie,France,0.840683,I,1e-5,0.159227,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.840683,1e-5,1e-5,FALSE
JU397,JU397,-0.32,49.28,Basse-Normandie,France,0.7884,I,1e-5,0.211507,1e-5,1e-5,1.4e-5,1e-5,1e-5,1e-5,0.7884,1e-5,1e-5,FALSE
JU312,JU311,4.4,44.42,Auvergne Rhône-Alpes,France,0.782558,B,1e-5,0.782558,1e-5,0.065245,1e-5,1e-5,1e-5,1e-5,0.140303,1e-5,0.011824,FALSE
JU315,JU311,4.4,44.2,Languedoc-Roussillon,France,0.782558,B,1e-5,0.782558,1e-5,0.065245,1e-5,1e-5,1e-5,1e-5,0.140303,1e-5,0.011824,FALSE
JU322,JU323,4.4,44.42,Rhone-Alpes,France,0.430619,I,1e-5,1e-5,1e-5,0.372107,1e-5,1e-5,1e-5,1e-5,0.430619,0.197194,1e-5,FALSE
JU345,JU346,4.4,44.42,Rhone-Alpes,France,0.507458,D,1e-5,1e-5,1e-5,0.507458,1e-5,1e-5,1e-5,1e-5,0.492452,1e-5,1e-5,FALSE
JU363,JU360,2.23,48.98,Île-de-France,France,0.549732,K,1e-5,1e-5,1e-5,0.386084,1e-5,1e-5,1e-5,1e-5,0.064104,1e-5,0.549732,FALSE
JU361,JU367,2.23,48.98,Île-de-France,France,0.945253,B,1e-5,0.945253,1e-5,0.054657,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU406,JU406,-0.32,49.28,Basse-Normandie,France,0.9999,B,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
CX11254,CX11254,-118.114835,34.130138,California,United States,0.656296,C,1e-5,1e-5,0.656296,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.237537,0.106087,FALSE
CX11262,CX11262,-118.114835,34.130138,California,United States,0.9999,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
CX11264,CX11264,-118.114835,34.130138,California,United States,0.9999,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
CX11271,CX11271,-118.12532,34.13712,California,United States,0.441877,J,1e-5,1e-5,0.271679,0.286364,1e-5,1e-5,1e-5,1e-5,1e-5,0.441877,1e-5,FALSE
CX11276,CX11276,-118.21198,34.20111,California,United States,0.591298,C,1e-5,0.015529,0.591298,0.185454,1e-5,1e-5,1e-5,1e-5,0.009696,0.197963,1e-5,FALSE
CX11285,CX11285,-118.05496,34.14331,California,United States,0.662305,C,1.1e-5,1e-5,0.662305,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.337604,1e-5,FALSE
CX11314,CX11314,-118.10987,34.12946,California,United States,0.9999,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU440,JU440,1.56,48.715,Centre,France,0.648635,B,1e-5,0.648635,1e-5,0.205326,1e-5,1e-5,1e-5,1e-5,0.145959,1e-5,1e-5,FALSE
JT11398,JT11398,-122.275484,47.763944,Washington,United States,0.690335,D,1e-5,0.160151,1e-5,0.690335,1e-5,1e-5,1e-5,1e-5,0.110807,0.038637,1e-5,FALSE
CX11292,CX11292,-118.30582,34.13531,California,United States,0.727048,C,1e-5,1e-5,0.727048,0.272862,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU533,JU1213,-3.81,48.71,Brittany,France,0.9999,I,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,FALSE
JU561,JU561,-3.81,48.71,Bretagne,France,0.785725,D,1e-5,0.194369,1e-5,0.785725,1e-5,1e-5,1e-5,1e-5,0.019826,1e-5,1e-5,FALSE
ED3005,ED3005,-3.36,55.94,Scotland,United Kingdom,0.677598,K,1e-5,1e-5,0.262562,0.05976,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.677598,FALSE
ED3011,ED3011,-3.19,55.92,Scotland,United Kingdom,0.335005,C,1e-5,1e-5,0.335005,0.242701,1e-5,1e-5,1e-5,1e-5,1e-5,0.135938,0.286286,FALSE
ED3012,ED3012,-3.19,55.92,Scotland,United Kingdom,0.72135,B,1e-5,0.72135,1e-5,0.27856,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
ED3021,ED3005,-3.19,55.92,Scotland,United Kingdom,0.677598,K,1e-5,1e-5,0.262562,0.05976,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.677598,FALSE
ED3017,ED3017,-3.19,55.92,Scotland,United Kingdom,0.540785,D,1e-5,1e-5,1e-5,0.540785,1e-5,1e-5,1e-5,1e-5,0.459125,1e-5,1e-5,FALSE
JU642,JU642,2.5,48.84,Île-de-France,France,0.505091,D,1e-5,1e-5,1e-5,0.505091,1e-5,1e-5,1e-5,1e-5,0.264312,0.230516,1e-5,FALSE
JU751,JU751,2.5,48.84,Île-de-France,France,0.99253,K,1e-5,1e-5,1e-5,0.00738,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.99253,FALSE
LKC34,LKC34,46,-18,Antananarivo Province,Madagascar,0.9999,J,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,FALSE
JU774,JU774,-9.34,38.683,Lisbon,Portugal,0.653356,J,1e-5,1e-5,1e-5,0.288859,0.057705,1e-5,1e-5,1e-5,1e-5,0.653356,1e-5,FALSE
JU775,JU775,-9.1486,38.7175,Lisbon,Portugal,0.9999,G,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,FALSE
JU778,JU778,-9.1491,38.719,Lisbon,Portugal,0.912188,J,1e-5,1e-5,1e-5,1e-5,0.055318,1e-5,0.032413,1e-5,1e-5,0.912188,1e-5,FALSE
JU782,JU782,-9.1503,38.7191,Lisbon,Portugal,0.66968,G,1e-5,1e-5,1e-5,0.026341,1e-5,1e-5,0.66968,1e-5,1e-5,0.303899,1e-5,FALSE
JU792,JU792,0.24,43.06,Midi-Pyrénées,France,0.999897,I,1e-5,1e-5,1e-5,1e-5,1.3e-5,1e-5,1e-5,1e-5,0.999897,1e-5,1e-5,FALSE
JU830,JU830,9.05,48.52,Baden-Württemberg,Germany,0.506807,K,1e-5,1.7e-5,1e-5,0.42004,1e-5,1.3e-5,1.6e-5,1e-5,1e-5,0.073057,0.506807,FALSE
JU847,JU847,7.461,48.46,Alsace-Champagne-Ardenne-Lorraine,France,0.566412,I,1e-5,0.165206,1e-5,0.267768,1e-5,1e-5,1e-5,1e-5,0.566412,5.44e-4,1e-5,FALSE
ED3048,ED3048,19.316667,-33.366667,Western Cape,South Africa,0.679556,D,1.4e-5,1.7e-5,1e-5,0.679556,1e-5,1e-5,1e-5,1e-5,1e-5,0.320344,1e-5,FALSE
