strain,isotype,long,lat,state,country,max_pop_frac,pop_assignment,A,B,C,D,E,F,G,H,I,J,K,Hawaiian
ED3049,ED3049,19.316667,-33.366667,Western Cape,South Africa,0.502642,J,1e-5,1e-5,1e-5,0.348489,1e-5,1e-5,1e-5,1e-5,0.148789,0.502642,1e-5,FALSE
ED3040,ED3040,28.016667,-26.166667,Gauteng,South Africa,0.721979,J,1e-5,1e-5,1e-5,0.277931,1e-5,1e-5,1e-5,1e-5,1e-5,0.721979,1e-5,FALSE
ED3046,ED3046,19.316667,-33.366667,Western Cape,South Africa,0.494246,J,1e-5,1e-5,1e-5,0.352974,1e-5,1e-5,1e-5,1e-5,0.1527,0.494246,1e-5,FALSE
ED3052,ED3052,19.316667,-33.366667,Western Cape,South Africa,0.74927,J,1e-5,1e-5,1e-5,0.25064,1e-5,1e-5,1e-5,1e-5,1e-5,0.74927,1e-5,FALSE
ED3057,ED3073,36.65,-1.083333,Kiambu County,Kenya,0.934359,D,1e-5,1e-5,1e-5,0.934359,1e-5,1e-5,1e-5,1e-5,1e-5,0.065551,1e-5,FALSE
ED3077,ED3077,36.8,-1.316667,Nairobi County,Kenya,0.75534,D,1e-5,1e-5,1e-5,0.75534,1e-5,1e-5,0.002367,1e-5,0.034257,0.207966,1e-5,FALSE
EG4348,EG4349,-111.87316,40.77167,Utah,United States,0.569544,K,1e-5,1e-5,1e-5,0.222824,1e-5,1e-5,0.014195,1e-5,0.193368,1e-5,0.569544,FALSE
EG4349,EG4349,-111.87316,40.771467,Utah,United States,0.569544,K,1e-5,1e-5,1e-5,0.222824,1e-5,1e-5,0.014195,1e-5,0.193368,1e-5,0.569544,FALSE
EG4347,EG4347,-123.07108,44.04789,Oregon,United States,0.675313,D,1e-5,0.261096,0.063511,0.675313,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU1088,JU1088,138.0149,34.7613,Shizuoka-ken,Japan,0.78102,D,1e-5,1e-5,1e-5,0.78102,1e-5,1e-5,1e-5,1e-5,1e-5,0.21889,1e-5,FALSE
EG4724,EG4724,-8.3476,41.6288,Braga,Portugal,0.64855,J,1e-5,0.020153,1e-5,0.20714,1e-5,1e-5,1e-5,1e-5,0.124086,0.64855,1e-5,FALSE
EG4725,EG4725,-8.3476,41.6288,Braga,Portugal,0.593241,J,1e-5,1e-5,1e-5,0.124487,1e-5,1e-5,0.282191,1e-5,1e-5,0.593241,1e-5,FALSE
JU1172,JU1172,-73.04,-36.87,Región del Bío Bío,Chile,0.765549,C,1e-5,1e-5,0.765549,0.234361,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
NIC166,NIC166,6.89775,46.72722,Vaud,Switzerland,0.375155,I,1e-5,0.042248,1e-5,0.351926,1e-5,1e-5,1e-5,1e-5,0.375155,0.230601,1e-5,FALSE
JU1200,JU1200,-4.6,55.577,Scotland,United Kingdom,0.682998,B,1e-5,0.682998,1e-5,0.316912,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU1212,JU1212,-3.81,48.71,Bretagne,France,0.725328,B,0.08567,0.725328,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,0.188922,1e-5,1e-5,FALSE
EG4946,EG4946,-111.82184,40.72596,Utah,United States,0.569549,D,1e-5,0.024101,0.406269,0.569549,1e-5,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,FALSE
JU1242,JU1242,1.9595,49.1269,Île-de-France,France,0.9999,I,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,FALSE
JU1246,JU1246,1.96152,49.12618,Île-de-France,France,0.749686,I,1e-5,0.250224,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.749686,1e-5,1e-5,FALSE
JU1249,JU1249,1.951,49.126,Île-de-France,France,0.9999,B,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
WN2002,WN2002,5.694834,51.975285,Gelderland,Netherlands,0.611919,D,1e-5,0.235821,1e-5,0.611919,1e-5,1e-5,0.148065,1e-5,0.004125,1e-5,1e-5,FALSE
QX1233,QX1233,-122.2838,37.8804,California,United States,0.855445,C,1e-5,1e-5,0.855445,0.144465,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
QX1215,QX1211,-122.4331,37.7502,California,United States,0.9999,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
QX1213,QX1212,-122.4331,37.7502,California,United States,0.806142,C,0.043174,1e-5,0.806142,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.150604,FALSE
DL200,DL200,38.74,9.03,Oromia,Ethiopia,0.736236,I,1e-5,1e-5,1e-5,0.174635,1e-5,1e-5,1e-5,1e-5,0.736236,0.026985,0.062074,FALSE
DL226,DL226,-123.2821,44.5633,Oregon,United States,0.722598,C,1e-5,0.054011,0.722598,0.137152,1e-5,1e-5,1e-5,2e-5,1e-5,0.070261,0.015908,FALSE
JU1395,JU1395,0.04619,47.2199,Pays de la Loire,France,0.746648,D,1e-5,0.25326,1e-5,0.746648,1e-5,1e-5,1e-5,1.2e-5,1e-5,1e-5,1e-5,FALSE
JU1400,JU1400,-5.988,37.3845,Andalucía,Spain,0.38002,J,1e-5,1e-5,1e-5,0.204082,1e-5,1e-5,0.045369,1e-5,0.370459,0.38002,1e-5,FALSE
JU1401,JU1409,-5.6331,37.4721,Andalusia,Spain,0.644812,D,1e-5,1e-5,1e-5,0.644812,1e-5,1e-5,1e-5,1e-5,0.152121,0.202986,1e-5,FALSE
JU1409,JU1409,-5.637,37.468,Andalucía,Spain,0.644812,D,1e-5,1e-5,1e-5,0.644812,1e-5,1e-5,1e-5,1e-5,0.152121,0.202986,1e-5,FALSE
JU1440,JU1440,2.15231,41.41307,Catalunya,Spain,0.687095,D,1e-5,0.006749,1e-5,0.687095,1e-5,1e-5,1e-5,1e-5,0.18064,0.125447,1e-5,FALSE
WN2010,WN2001,6.303406,51.954422,Gelderland,Netherlands,0.670023,K,0.035989,1e-5,1e-5,1e-5,1e-5,1e-5,0.261792,1e-5,0.032126,1e-5,0.670023,FALSE
DL238,DL238,-155.81,19.11,Hawaii,United States,0.999898,A,0.999898,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.2e-5,1e-5,1e-5,TRUE
JU1491,JU1491,1.06,46.63,Centre,France,0.635893,J,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.364017,0.635893,1e-5,FALSE
NIC242,NIC242,-9.31609,38.691765,Lisbon Metropolitan Area,Portugal,0.438872,B,1e-5,0.438872,1e-5,0.044505,1e-5,1e-5,1e-5,1e-5,0.205607,0.310945,1e-5,FALSE
ECA615,JU1581,2.1725,48.7015,Île-de-France,France,0.65758,I,0.067559,0.103112,1e-5,0.171678,1e-5,1e-5,1e-5,1e-5,0.65758,1e-5,1e-5,FALSE
JU1543,JU1543,2.1725,48.7015,Île-de-France,France,0.65206,B,1e-5,0.65206,1e-5,0.34785,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU1530,JU1530,2.1725,48.7015,Île-de-France,France,0.582604,I,1e-5,1e-5,1e-5,0.417306,1e-5,1e-5,1e-5,1e-5,0.582604,1e-5,1e-5,FALSE
NIC1,NIC1,5.3543,43.279,Provence-Alpes-Côte d'Azur,France,0.537592,D,1e-5,1e-5,1e-5,0.537592,1e-5,1e-5,1e-5,1e-5,0.391043,0.071285,1e-5,FALSE
NIC2,NIC2,5.3543,43.279,Provence-Alpes-Côte d'Azur,France,0.574788,D,1e-5,0.425122,1e-5,0.574788,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
NIC4,NIC3,5.3215,43.3636,Provence-Alpes-Côte d'Azur,France,0.484239,I,1e-5,1e-5,0.021269,0.463088,1e-5,1e-5,1e-5,1e-5,0.484239,0.028997,0.002347,FALSE
JU1568,JU1568,2.3862,48.8092,Île-de-France,France,0.9999,B,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU1580,JU1580,2.1725,48.7015,Île-de-France,France,0.9999,I,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,FALSE
JU1807,JU1581,2.2131,48.662134,Île-de-France,France,0.65758,I,0.067559,0.103112,1e-5,0.171678,1e-5,1e-5,1e-5,1e-5,0.65758,1e-5,1e-5,FALSE
JU3131,JU323,2.1725,48.7015,Île-de-France,France,0.430619,I,1e-5,1e-5,1e-5,0.372107,1e-5,1e-5,1e-5,1e-5,0.430619,0.197194,1e-5,FALSE
JU1586,JU1586,1.06,46.63,Centre,France,0.861778,B,1e-5,0.861778,1e-5,0.138132,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU1960,CB4858,-118.131319,34.18973,California,United States,0.9999,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU1652,JU1652,-56.19,-34.86,Departamento de Montevideo,Uruguay,0.582993,D,1e-5,0.337599,1e-5,0.582993,1e-5,1e-5,0.079329,1e-5,1e-5,1e-5,1e-5,FALSE
JU1656,JU1213,-3.972104,48.725018,Brittany,France,0.9999,I,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,FALSE
JU1666,JU1666,-3.972104,48.725018,Brittany,France,0.976914,I,1e-5,0.022996,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.976914,1e-5,1e-5,FALSE
JU3139,JU1666,-3.81,48.71,Brittany,France,0.976914,I,1e-5,0.022996,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.976914,1e-5,1e-5,FALSE
JU3142,JU792,-3.81,48.71,Brittany,France,0.999897,I,1e-5,1e-5,1e-5,1e-5,1.3e-5,1e-5,1e-5,1e-5,0.999897,1e-5,1e-5,FALSE
JU3140,JU3140,-3.81,48.71,Brittany,France,0.999887,I,1.1e-5,1.4e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,1e-5,0.999887,1.7e-5,1e-5,FALSE
JU1762,JU1213,-3.790033,48.695548,Brittany,France,0.9999,I,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,FALSE
JU1792,JU1792,1.064289,46.63278,Centre-Val de Loire,France,0.689435,B,1e-5,0.689435,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.310475,1e-5,1e-5,FALSE
JU1793,JU1793,1.95114,49.12604,Île-de-France,France,0.9999,I,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,FALSE
JU1808,JU1808,2.395372,48.81257,Île-de-France,France,0.685022,K,1e-5,0.135212,2e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.179676,1e-5,0.685022,FALSE
JU1924,JU2600,1.95114,49.12604,Île-de-France,France,0.997591,I,1e-5,1e-5,1e-5,0.002319,1e-5,1e-5,1e-5,1e-5,0.997591,1e-5,1e-5,FALSE
JU1934,JU1934,1.95114,49.12604,Île-de-France,France,0.897654,I,1e-5,0.102256,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.897654,1e-5,1e-5,FALSE
JU1896,JU1896,23.749673,37.999722,Attica,Greece,0.654548,B,0.031787,0.654548,1e-5,0.313585,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU2001,JU2001,55.5,-21.1,Saint-Benoît,Reunion,0.524188,I,0.199819,0.025318,1e-5,1e-5,1e-5,1.7e-5,1e-5,1e-5,0.524188,0.250599,1e-5,FALSE
JU2828,JU2829,1.064,46.632,Centre-Val de Loire,France,0.9999,K,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,FALSE
JU2007,JU2007,-1.32413,50.7608,England,United Kingdom,0.502314,D,0.018765,1e-5,1e-5,0.502314,1e-5,1e-5,1e-5,1e-5,0.182837,0.214345,0.081678,FALSE
JU2016,JU2016,-122.463177,37.757593,California,United States,0.686517,C,1e-5,1e-5,0.686517,0.313393,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
JU2017,JU2017,-122.463177,37.757593,California,United States,0.40346,C,0.130618,0.068426,0.40346,0.272208,1e-5,1e-5,1e-5,1e-5,1e-5,0.085963,0.039275,FALSE
GXW1,GXW1,114.419828,30.542889,Hubei Sheng,China,0.909434,D,1e-5,1e-5,1e-5,0.909434,1e-5,1e-5,1e-5,1e-5,1e-5,0.090476,1e-5,FALSE
QG537,QG536,-122.4415,37.7679,California,United States,0.522272,D,1e-5,1e-5,0.089958,0.522272,1e-5,1e-5,1e-5,1e-5,1e-5,0.38769,1e-5,FALSE
QX1791,QX1791,-156.3935,20.6344,Hawaii,United States,0.559108,A,0.559108,0.107565,0.137053,1e-5,0.061847,1e-5,1e-5,1e-5,1e-5,1e-5,0.134366,TRUE
QX1792,QX1792,-156.35475,20.70554,Hawaii,United States,0.617955,E,1e-5,1e-5,1e-5,0.220457,0.617955,1e-5,1e-5,1e-5,1e-5,0.161508,1e-5,TRUE
QX1793,QX1793,-156.35678,20.70559,Hawaii,United States,0.875683,E,1e-5,1e-5,1e-5,1e-5,0.875683,1e-5,1e-5,1.2e-5,1e-5,0.124224,1e-5,TRUE
QX1794,QX1794,-156.35678,20.70559,Hawaii,United States,0.855294,E,1e-5,1e-5,0.10701,0.037616,0.855294,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
NIC199,NIC199,-25.19929,37.745428,Azores,Portugal,0.467578,G,0.133143,1e-5,1e-5,1e-5,1e-5,1e-5,0.467578,1e-5,0.27033,0.128879,1e-5,FALSE
NIC200,NIC199,-25.66489,37.74942,Azores,Portugal,0.467578,G,0.133143,1e-5,1e-5,1e-5,1e-5,1e-5,0.467578,1e-5,0.27033,0.128879,1e-5,FALSE
QG558,QG556,-119.702021,34.421629,California,United States,0.860267,C,1e-5,1e-5,0.860267,1e-5,0.139643,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
QG557,QG557,-119.702021,34.421629,California,United States,0.9999,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
MY518,MY518,7.611719,51.964154,North Rhine-Westphalia,Germany,0.452711,K,1e-5,1e-5,0.412856,0.069194,1e-5,1e-5,1e-5,1e-5,1e-5,0.065168,0.452711,FALSE
JU2106,JU2106,0.239824,43.606266,Occitanie,France,0.845197,I,0.0127,0.142023,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.845197,1e-5,1e-5,FALSE
JU2131,JU2131,-4.705,48.0497,Brittany,France,0.831556,I,1e-5,0.034485,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.831556,0.133879,1e-5,FALSE
NIC195,NIC195,-28.37322,38.545874,Azores,Portugal,0.314001,J,0.240886,0.129079,1e-5,0.01215,1e-5,1e-5,0.274649,1e-5,0.029185,0.314001,1e-5,FALSE
NIC196,NIC195,-28.20149,38.4716405,Azores,Portugal,0.314001,J,0.240886,0.129079,1e-5,0.01215,1e-5,1e-5,0.274649,1e-5,0.029185,0.314001,1e-5,FALSE
NIC197,NIC195,-28.25165,38.39682,Azores,Portugal,0.314001,J,0.240886,0.129079,1e-5,0.01215,1e-5,1e-5,0.274649,1e-5,0.029185,0.314001,1e-5,FALSE
MY538,MY795,10.117737,54.346355,Schleswig-Holstein,Germany,0.97746,K,1e-5,0.02245,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.97746,FALSE
