K,CV
2,0.30033
2,0.30033
2,0.30034
2,0.30034
2,0.3004
2,0.3004
2,0.30042
2,0.30042
2,0.30043
2,0.30043
2,0.30044
2,0.30044
2,0.30056
2,0.30056
2,0.30057
2,0.30057
2,0.30061
2,0.30061
2,0.30067
2,0.30067
3,0.28184
3,0.28184
3,0.28184
3,0.28184
3,0.28206
3,0.28206
3,0.28287
3,0.28287
3,0.28294
3,0.28294
3,0.28295
3,0.28295
3,0.28316
3,0.28316
3,0.28322
3,0.28322
3,0.28324
3,0.28324
3,0.2924
3,0.2924
4,0.2687
4,0.2687
4,0.26876
4,0.26876
4,0.26888
4,0.26888
4,0.26914
4,0.26914
4,0.26918
4,0.26918
4,0.2693
4,0.2693
4,0.26932
4,0.26932
4,0.26933
4,0.26933
4,0.26947
4,0.26947
4,0.27517
4,0.27517
5,0.25782
5,0.25782
5,0.25793
5,0.25793
5,0.25796
5,0.25796
5,0.25804
5,0.25804
5,0.25812
5,0.25812
5,0.25815
5,0.25815
5,0.26093
5,0.26093
5,0.26098
5,0.26098
5,0.26108
5,0.26108
5,0.26132
5,0.26132
6,0.24934
6,0.24934
6,0.24945
6,0.24945
6,0.25105
6,0.25105
6,0.25106
6,0.25106
6,0.25107
6,0.25107
6,0.25143
6,0.25143
6,0.25343
6,0.25343
6,0.25357
6,0.25357
6,0.2546
6,0.2546
6,0.25477
6,0.25477
7,0.24256
7,0.24256
7,0.2426
7,0.2426
7,0.24289
7,0.24289
7,0.24618
7,0.24618
7,0.24751
7,0.24751
7,0.24805
7,0.24805
7,0.24834
7,0.24834
7,0.24999
7,0.24999
7,0.25096
7,0.25096
7,0.25277
7,0.25277
8,0.23949
8,0.23949
8,0.2395
8,0.2395
8,0.23966
8,0.23966
8,0.2452
8,0.2452
8,0.24527
8,0.24527
8,0.24828
8,0.24828
8,0.24843
8,0.24843
8,0.24848
8,0.24848
8,0.25027
8,0.25027
8,0.25274
8,0.25274
9,0.23711
9,0.23711
9,0.23722
9,0.23722
9,0.2411
9,0.2411
9,0.24119
9,0.24119
9,0.24194
9,0.24194
9,0.24211
9,0.24211
9,0.24224
9,0.24224
9,0.24497
9,0.24497
9,0.24743
9,0.24743
9,0.24788
9,0.24788
10,0.23354
10,0.23354
10,0.23449
10,0.23449
10,0.2363
10,0.2363
10,0.23674
10,0.23674
10,0.23977
10,0.23977
10,0.2398
10,0.2398
10,0.24004
10,0.24004
10,0.24195
10,0.24195
10,0.2447
10,0.2447
10,0.24576
10,0.24576
11,0.233
11,0.233
11,0.23319
11,0.23319
11,0.23381
11,0.23381
11,0.23626
11,0.23626
11,0.23704
11,0.23704
11,0.23834
11,0.23834
11,0.23876
11,0.23876
11,0.24373
11,0.24373
11,0.24419
11,0.24419
11,0.2445
11,0.2445
12,0.23425
12,0.23425
12,0.23447
12,0.23447
12,0.23453
12,0.23453
12,0.23563
12,0.23563
12,0.23564
12,0.23564
12,0.23589
12,0.23589
12,0.23703
12,0.23703
12,0.23746
12,0.23746
12,0.23887
12,0.23887
12,0.23959
12,0.23959
13,0.23478
13,0.23478
13,0.23503
13,0.23503
13,0.23522
13,0.23522
13,0.2353
13,0.2353
13,0.23536
13,0.23536
13,0.2362
13,0.2362
13,0.23621
13,0.23621
13,0.23728
13,0.23728
13,0.24337
13,0.24337
13,0.24489
13,0.24489
14,0.23187
14,0.23187
14,0.2329
14,0.2329
14,0.23391
14,0.23391
14,0.23392
14,0.23392
14,0.23426
14,0.23426
14,0.2347
14,0.2347
14,0.23645
14,0.23645
14,0.23831
14,0.23831
14,0.23859
14,0.23859
14,0.23983
14,0.23983
15,0.23082
15,0.23082
15,0.23114
15,0.23114
15,0.23164
15,0.23164
15,0.2339
15,0.2339
15,0.23427
15,0.23427
15,0.23435
15,0.23435
15,0.23636
15,0.23636
15,0.23705
15,0.23705
15,0.23993
15,0.23993
15,0.24186
15,0.24186
16,0.23269
16,0.23269
16,0.23273
16,0.23273
16,0.23296
16,0.23296
16,0.23452
16,0.23452
16,0.23515
16,0.23515
16,0.23651
16,0.23651
16,0.23703
16,0.23703
16,0.23724
16,0.23724
16,0.24027
16,0.24027
16,0.24181
16,0.24181
17,0.23095
17,0.23095
17,0.2311
17,0.2311
17,0.23118
17,0.23118
17,0.23309
17,0.23309
17,0.23403
17,0.23403
17,0.23482
17,0.23482
17,0.23536
17,0.23536
17,0.23541
17,0.23541
17,0.23606
17,0.23606
17,0.23626
17,0.23626
18,0.23099
18,0.23099
18,0.23169
18,0.23169
18,0.23231
18,0.23231
18,0.23455
18,0.23455
18,0.2353
18,0.2353
18,0.23707
18,0.23707
18,0.23768
18,0.23768
18,0.23928
18,0.23928
18,0.24162
18,0.24162
18,0.24272
18,0.24272
19,0.23025
19,0.23025
19,0.23388
19,0.23388
19,0.23473
19,0.23473
19,0.2349
19,0.2349
19,0.2352
19,0.2352
19,0.23604
19,0.23604
19,0.23611
19,0.23611
19,0.23629
19,0.23629
19,0.23783
19,0.23783
19,0.24208
19,0.24208
20,0.23351
20,0.23351
20,0.23379
20,0.23379
20,0.23443
20,0.23443
20,0.2346
20,0.2346
20,0.23513
20,0.23513
20,0.23556
20,0.23556
20,0.2358
20,0.2358
20,0.23719
20,0.23719
20,0.23811
20,0.23811
20,0.23825
20,0.23825
