species,manuscript_names,CeNDR_names,Andersen_lab_names,alternative_names,strain_availability,CeNDR_release
C. elegans,AB1,AB1,AB1,,CeNDR,20160408
C. elegans,BRC20067,BRC20067,BRC20067,,CeNDR,20160408
C. elegans,BRC20263,BRC20263,BRC20263,,CeNDR,20170531
C. elegans,CB4851,ECA243,ECA243,CB4851 (CGC)|CB4851_CGC|CB4851|N62,CeNDR,20160408
C. elegans,CB4852,CB4852,CB4852,N3,CeNDR,20160408
C. elegans,CB4853,ECA246,ECA246,CB4853 (UK)|CB4853_UK|CB4853|GA12,CeNDR,20160408
C. elegans,CB4854,CB4854,CB4854,GA9,CeNDR,20160408
C. elegans,CB4855,ECA248,ECA248,CB4855 (UK)|CB4855_UK|CB4855|Cal-5|Sta-5,CeNDR,20160408
C. elegans,CB4856,CB4856,CB4856,CB4856 (CGC #3)|CB4856_CGC_3|CB4856_CGC|CB4856,CeNDR,20160408
C. elegans,CB4857,ECA250,ECA250,CB4857 (UK)|CB4857_UK|Cl2a,CeNDR,20160408
C. elegans,CB4858,ECA251,ECA251,CB4858 (CGC)|CB4858_CGC|CB4858|PA1,CeNDR,20160408
C. elegans,CB4932,CB4932,CB4932,,CeNDR,20160408
C. elegans,CX11254,CX11254,CX11254,,CeNDR,20160408
C. elegans,CX11262,CX11262,CX11262,,CeNDR,20160408
C. elegans,CX11264,CX11264,CX11264,,CeNDR,20160408
C. elegans,CX11271,CX11271,CX11271,,CeNDR,20160408
C. elegans,CX11276,CX11276,CX11276,,CeNDR,20160408
C. elegans,CX11285,CX11285,CX11285,,CeNDR,20160408
C. elegans,CX11292,CX11292,CX11292,,CeNDR,20160408
C. elegans,CX11307,CX11307,CX11307,,CeNDR,20160408
C. elegans,CX11314,CX11314,CX11314,,CeNDR,20160408
C. elegans,CX11315,CX11315,CX11315,,CeNDR,20160408
C. elegans,DL200,DL200,DL200,,CeNDR,20160408
C. elegans,DL226,DL226,DL226,,CeNDR,20160408
C. elegans,DL238,DL238,DL238,,CeNDR,20160408
C. elegans,ECA189,ECA189,ECA189,,CeNDR,20170531
C. elegans,ECA191,ECA191,ECA191,,CeNDR,20170531
C. elegans,ECA252,ECA252,ECA252,,CeNDR,20160408
C. elegans,ECA347,ECA347,ECA347,,CeNDR,20180413
C. elegans,ECA348,ECA348,ECA348,,CeNDR,20170531
C. elegans,ECA349,ECA349,ECA349,,CeNDR,20170531
C. elegans,ECA36,ECA36,ECA36,,CeNDR,20160408
C. elegans,ECA363,ECA363,ECA363,,CeNDR,20170531
C. elegans,ECA369,ECA369,ECA369,,CeNDR,20170531
C. elegans,ECA372,ECA372,ECA372,,CeNDR,20170531
C. elegans,ECA396,ECA396,ECA396,,CeNDR,20170531
C. elegans,ECA701,ECA701,ECA701,,CeNDR,20180413
C. elegans,ECA703,ECA703,ECA703,,CeNDR,20180413
C. elegans,ECA705,ECA705,ECA705,,CeNDR,20180413
C. elegans,ECA706,ECA706,ECA706,,CeNDR,20180413
C. elegans,ECA710,ECA710,ECA710,,CeNDR,20180413
C. elegans,ECA712,ECA712,ECA712,,CeNDR,20180413
C. elegans,ECA722,ECA722,ECA722,,CeNDR,20180413
C. elegans,ECA723,ECA723,ECA723,,CeNDR,20180413
C. elegans,ECA724,ECA724,ECA724,,CeNDR,20180413
C. elegans,ECA730,ECA730,ECA730,,CeNDR,20180413
C. elegans,ECA732,ECA732,ECA732,,CeNDR,20180413
C. elegans,ECA733,ECA733,ECA733,,CeNDR,20180413
C. elegans,ECA738,ECA738,ECA738,,CeNDR,20180413
C. elegans,ECA740,ECA740,ECA740,,CeNDR,20180413
C. elegans,ECA741,ECA741,ECA741,,CeNDR,20180413
C. elegans,ECA742,ECA742,ECA742,,CeNDR,20180413
C. elegans,ECA743,ECA743,ECA743,,CeNDR,20180413
C. elegans,ECA744,ECA744,ECA744,,CeNDR,20180413
C. elegans,ECA745,ECA745,ECA745,,CeNDR,20180413
C. elegans,ECA746,ECA746,ECA746,,CeNDR,20180413
C. elegans,ECA760,ECA760,ECA760,,CeNDR,20180413
C. elegans,ECA768,ECA768,ECA768,,CeNDR,20180413
C. elegans,ECA777,ECA777,ECA777,,CeNDR,20180413
C. elegans,ECA778,ECA778,ECA778,,CeNDR,20180413
C. elegans,ECA807,ECA807,ECA807,,CeNDR,20180413
C. elegans,ECA812,ECA812,ECA812,,CeNDR,20180413
C. elegans,ED3005,ED3005,ED3005,,CeNDR,20160408
C. elegans,ED3011,ED3011,ED3011,,CeNDR,20160408
C. elegans,ED3012,ED3012,ED3012,,CeNDR,20160408
C. elegans,ED3017,ED3017,ED3017,,CeNDR,20160408
