species,manuscript_names,CeNDR_names,Andersen_lab_names,alternative_names,strain_availability,CeNDR_release
C. elegans,ED3040,ED3040,ED3040,,CeNDR,20160408
C. elegans,ED3046,ED3046,ED3046,,CeNDR,20160408
C. elegans,ED3048,ED3048,ED3048,,CeNDR,20160408
C. elegans,ED3049,ED3049,ED3049,,CeNDR,20160408
C. elegans,ED3052,ED3052,ED3052,,CeNDR,20160408
C. elegans,ED3073,ED3073,ED3073,,CeNDR,20160408
C. elegans,ED3077,ED3077,ED3077,,CeNDR,20160408
C. elegans,EG4347,EG4347,EG4347,,CeNDR,20160408
C. elegans,EG4349,EG4349,EG4349,,CeNDR,20160408
C. elegans,EG4724,EG4724,EG4724,,CeNDR,20160408
C. elegans,EG4725,EG4725,EG4725,,CeNDR,20160408
C. elegans,EG4946,EG4946,EG4946,,CeNDR,20160408
C. elegans,GXW1,GXW1,GXW1,,CeNDR,20160408
C. elegans,JT11398,JT11398,JT11398,,CeNDR,20160408
C. elegans,JU1088,JU1088,JU1088,,CeNDR,20160408
C. elegans,JU1172,JU1172,JU1172,,CeNDR,20160408
C. elegans,JU1200,JU1200,JU1200,,CeNDR,20160408
C. elegans,JU1212,JU1212,JU1212,,CeNDR,20160408
C. elegans,JU1213,JU1213,JU1213,,CeNDR,20160408
C. elegans,JU1242,JU1242,JU1242,,CeNDR,20160408
C. elegans,JU1246,JU1246,JU1246,,CeNDR,20160408
C. elegans,JU1249,JU1249,JU1249,,CeNDR,20170531
C. elegans,JU1395,JU1395,JU1395,,CeNDR,20160408
C. elegans,JU1400,JU1400,JU1400,,CeNDR,20160408
C. elegans,JU1409,JU1409,JU1409,,CeNDR,20160408
C. elegans,JU1440,JU1440,JU1440,,CeNDR,20160408
C. elegans,JU1491,JU1491,JU1491,,CeNDR,20160408
C. elegans,JU1530,JU1530,JU1530,,CeNDR,20160408
C. elegans,JU1543,JU1543,JU1543,,CeNDR,20170531
C. elegans,JU1568,JU1568,JU1568,,CeNDR,20160408
C. elegans,JU1580,JU1580,JU1580,,CeNDR,20160408
C. elegans,JU1581,JU1581,JU1581,,CeNDR,20160408
C. elegans,JU1586,JU1586,JU1586,,CeNDR,20160408
C. elegans,JU1652,JU1652,JU1652,,CeNDR,20160408
C. elegans,JU1666,JU1666,JU1666,,CeNDR,20170531
C. elegans,JU1792,JU1792,JU1792,,CeNDR,20170531
C. elegans,JU1793,JU1793,JU1793,,CeNDR,20170531
C. elegans,JU1808,JU1808,JU1808,,CeNDR,20170531
C. elegans,JU1896,JU1896,JU1896,,CeNDR,20160408
C. elegans,JU1934,JU1934,JU1934,,CeNDR,20170531
C. elegans,JU2001,JU2001,JU2001,,CeNDR,20160408
C. elegans,JU2007,JU2007,JU2007,,CeNDR,20160408
C. elegans,JU2016,JU2016,JU2016,,CeNDR,20170531
C. elegans,JU2017,JU2017,JU2017,,CeNDR,20170531
C. elegans,JU2106,JU2106,JU2106,,CeNDR,20170531
C. elegans,JU2131,JU2131,JU2131,,CeNDR,20170531
C. elegans,JU2141,JU2141,JU2141,,CeNDR,20170531
C. elegans,JU2234,JU2234,JU2234,,CeNDR,20170531
C. elegans,JU2250,JU2250,JU2250,,CeNDR,20170531
C. elegans,JU2257,JU2257,JU2257,,CeNDR,20170531
C. elegans,JU2316,JU2316,JU2316,,CeNDR,20160408
C. elegans,JU2464,JU2464,JU2464,,CeNDR,20160408
C. elegans,JU2466,JU2466,JU2466,,CeNDR,20160408
C. elegans,JU2478,JU2478,JU2478,,CeNDR,20170531
C. elegans,JU2513,JU2513,JU2513,,CeNDR,20160408
C. elegans,JU2519,JU2519,JU2519,,CeNDR,20160408
C. elegans,JU2522,JU2522,JU2522,,CeNDR,20160408
C. elegans,JU2526,JU2526,JU2526,,CeNDR,20160408
C. elegans,JU2534,JU2534,JU2534,,CeNDR,20170531
C. elegans,JU2565,JU2565,JU2565,,CeNDR,20170531
C. elegans,JU2566,JU2566,JU2566,,CeNDR,20170531
C. elegans,JU2570,JU2570,JU2570,,CeNDR,20170531
C. elegans,JU2572,JU2572,JU2572,,CeNDR,20170531
C. elegans,JU2575,JU2575,JU2575,,CeNDR,20170531
C. elegans,JU2576,JU2576,JU2576,,CeNDR,20170531
C. elegans,JU2578,JU2578,JU2578,,CeNDR,20170531
C. elegans,JU258,JU258,JU258,,CeNDR,20160408
C. elegans,JU2581,JU2581,JU2581,,CeNDR,20170531
C. elegans,JU2586,JU2586,JU2586,,CeNDR,20170531
C. elegans,JU2587,JU2587,JU2587,,CeNDR,20170531
C. elegans,JU2592,JU2592,JU2592,,CeNDR,20170531
C. elegans,JU2593,JU2593,JU2593,,CeNDR,20170531
C. elegans,JU2600,JU2600,JU2600,,CeNDR,20170531
C. elegans,JU2610,JU2610,JU2610,,CeNDR,20170531
C. elegans,JU2619,JU2619,JU2619,,CeNDR,20170531
C. elegans,JU2800,JU2800,JU2800,,CeNDR,20170531
C. elegans,JU2811,JU2811,JU2811,,CeNDR,20170531
C. elegans,JU2825,JU2825,JU2825,,CeNDR,20170531
C. elegans,JU2829,JU2829,JU2829,,CeNDR,20170531
C. elegans,JU2838,JU2838,JU2838,,CeNDR,20170531
C. elegans,JU2841,JU2841,JU2841,,CeNDR,20170531
C. elegans,JU2853,JU2853,JU2853,,CeNDR,20170531
C. elegans,JU2862,JU2862,JU2862,,CeNDR,20170531
C. elegans,JU2866,JU2866,JU2866,,CeNDR,20170531
C. elegans,JU2878,JU2878,JU2878,,CeNDR,20170531
C. elegans,JU2879,JU2879,JU2879,,CeNDR,20170531
C. elegans,JU2906,JU2906,JU2906,,CeNDR,20170531
C. elegans,JU2907,JU2907,JU2907,,CeNDR,20170531
C. elegans,JU310,JU310,JU310,,CeNDR,20160408
C. elegans,JU311,JU311,JU311,,CeNDR,20160408
C. elegans,JU3125,JU3125,JU3125,,CeNDR,20170531
C. elegans,JU3127,JU3127,JU3127,,CeNDR,20170531
C. elegans,JU3128,JU3128,JU3128,,CeNDR,20170531
C. elegans,JU3132,JU3132,JU3132,,CeNDR,20170531
C. elegans,JU3134,JU3134,JU3134,,CeNDR,20170531
C. elegans,JU3135,JU3135,JU3135,,CeNDR,20170531
C. elegans,JU3137,JU3137,JU3137,,CeNDR,20170531
C. elegans,JU3140,JU3140,JU3140,,CeNDR,20170531
C. elegans,JU3144,JU3144,JU3144,,CeNDR,20170531
C. elegans,JU323,JU323,JU323,,CeNDR,20160408
C. elegans,JU346,JU346,JU346,,CeNDR,20160408
C. elegans,JU360,JU360,JU360,,CeNDR,20160408
C. elegans,JU367,JU367,JU367,,CeNDR,20160408
C. elegans,JU393,JU393,JU393,,CeNDR,20160408
C. elegans,JU394,JU394,JU394,,CeNDR,20160408
C. elegans,JU397,JU397,JU397,,CeNDR,20160408
C. elegans,JU406,JU406,JU406,,CeNDR,20160408
C. elegans,JU440,JU440,JU440,,CeNDR,20160408
C. elegans,JU561,JU561,JU561,,CeNDR,20160408
C. elegans,JU642,JU642,JU642,,CeNDR,20160408
C. elegans,JU751,JU751,JU751,,CeNDR,20160408
C. elegans,JU774,JU774,JU774,,CeNDR,20160408
C. elegans,JU775,JU775,JU775,,CeNDR,20160408
C. elegans,JU778,JU778,JU778,,CeNDR,20160408
C. elegans,JU782,JU782,JU782,,CeNDR,20160408
C. elegans,JU792,JU792,JU792,,CeNDR,20160408
C. elegans,JU830,JU830,JU830,,CeNDR,20160408
C. elegans,JU847,JU847,JU847,,CeNDR,20160408
C. elegans,KR314,KR314,KR314,,CeNDR,20160408
C. elegans,LKC34,LKC34,LKC34,,CeNDR,20160408
C. elegans,LSJ1,LSJ1,LSJ1,,CeNDR,20160408
C. elegans,MY1,MY1,MY1,,CeNDR,20160408
C. elegans,MY10,MY10,MY10,,CeNDR,20160408
C. elegans,MY16,MY16,MY16,,CeNDR,20160408
C. elegans,MY18,MY18,MY18,,CeNDR,20160408
C. elegans,MY2147,MY2147,MY2147,,CeNDR,20170531
C. elegans,MY2212,MY2212,MY2212,,CeNDR,20170531
C. elegans,MY23,MY23,MY23,,CeNDR,20160408
C. elegans,MY2453,MY2453,MY2453,,CeNDR,20170531
C. elegans,MY2530,MY2530,MY2530,,CeNDR,20170531
C. elegans,MY2535,MY2535,MY2535,,CeNDR,20170531
C. elegans,MY2573,MY2573,MY2573,,CeNDR,20170531
C. elegans,MY2585,MY2585,MY2585,,CeNDR,20170531
C. elegans,MY2693,MY2693,MY2693,,CeNDR,20170531
C. elegans,MY2713,MY2713,MY2713,,CeNDR,20170531
C. elegans,MY2741,MY2741,MY2741,,CeNDR,20170531
C. elegans,MY518,MY518,MY518,,CeNDR,20170531
C. elegans,MY679,MY679,MY679,,CeNDR,20170531
C. elegans,MY772,MY772,MY772,,CeNDR,20170531
C. elegans,MY795,MY795,MY795,,CeNDR,20170531
C. elegans,MY920,MY920,MY920,,CeNDR,20170531
C. elegans,N2,N2,N2,,CeNDR,20160408
C. elegans,NIC1,NIC1,NIC1,,CeNDR,20160408
C. elegans,NIC1049,NIC1049,NIC1049,,CeNDR,20170531
C. elegans,NIC1107,NIC1107,NIC1107,,CeNDR,20170531
C. elegans,NIC166,NIC166,NIC166,,CeNDR,20160408
C. elegans,NIC195,NIC195,NIC195,,CeNDR,20160408
C. elegans,NIC199,NIC199,NIC199,,CeNDR,20160408
C. elegans,NIC2,NIC2,NIC2,,CeNDR,20160408
C. elegans,NIC207,NIC207,NIC207,,CeNDR,20160408
C. elegans,NIC231,NIC231,NIC231,,CeNDR,20160408
C. elegans,NIC236,NIC236,NIC236,,CeNDR,20160408
C. elegans,NIC242,NIC242,NIC242,,CeNDR,20160408
C. elegans,NIC251,NIC251,NIC251,,CeNDR,20160408
C. elegans,NIC252,NIC252,NIC252,,CeNDR,20160408
C. elegans,NIC255,NIC255,NIC255,,CeNDR,20160408
C. elegans,NIC256,NIC256,NIC256,,CeNDR,20160408
C. elegans,NIC258,NIC258,NIC258,,CeNDR,20160408
C. elegans,NIC259,NIC259,NIC259,,CeNDR,20160408
C. elegans,NIC260,NIC260,NIC260,,CeNDR,20160408
C. elegans,NIC261,NIC261,NIC261,,CeNDR,20160408
C. elegans,NIC262,NIC262,NIC262,,CeNDR,20160408
C. elegans,NIC265,NIC265,NIC265,,CeNDR,20160408
C. elegans,NIC266,NIC266,NIC266,,CeNDR,20160408
C. elegans,NIC267,NIC267,NIC267,,CeNDR,20160408
C. elegans,NIC268,NIC268,NIC268,,CeNDR,20160408
C. elegans,NIC269,NIC269,NIC269,,CeNDR,20160408
C. elegans,NIC271,NIC271,NIC271,,CeNDR,20160408
C. elegans,NIC272,NIC272,NIC272,,CeNDR,20160408
C. elegans,NIC274,NIC274,NIC274,,CeNDR,20160408
C. elegans,NIC275,NIC275,NIC275,,CeNDR,20160408
C. elegans,NIC276,NIC276,NIC276,,CeNDR,20160408
C. elegans,NIC277,NIC277,NIC277,,CeNDR,20160408
C. elegans,NIC3,NIC3,NIC3,,CeNDR,20160408
C. elegans,NIC501,NIC501,NIC501,,CeNDR,20170531
C. elegans,NIC511,NIC511,NIC511,,CeNDR,20170531
C. elegans,NIC513,NIC513,NIC513,,CeNDR,20170531
C. elegans,NIC514,NIC514,NIC514,,CeNDR,20170531
C. elegans,NIC515,NIC515,NIC515,,CeNDR,20170531
C. elegans,NIC522,NIC522,NIC522,,CeNDR,20170531
C. elegans,NIC523,NIC523,NIC523,,CeNDR,20170531
C. elegans,NIC526,NIC526,NIC526,,CeNDR,20170531
C. elegans,NIC527,NIC527,NIC527,,CeNDR,20170531
C. elegans,NIC528,NIC528,NIC528,,CeNDR,20170531
C. elegans,NIC529,NIC529,NIC529,,CeNDR,20170531
C. elegans,PB303,PB303,PB303,,CeNDR,20160408
C. elegans,PB306,ECA259,ECA259,PB306 CGC|PB306,CeNDR,20160408
C. elegans,PS2025,PS2025,PS2025,,CeNDR,20160408
C. elegans,PX179,PX179,PX179,,CeNDR,20160408
C. elegans,QG2075,QG2075,QG2075,,CeNDR,20160408
C. elegans,QG536,QG536,QG536,,CeNDR,20160408
C. elegans,QG556,QG556,QG556,,CeNDR,20160408
C. elegans,QG557,QG557,QG557,,CeNDR,20160408
C. elegans,QW947,QW947,QW947,,CeNDR,20160408
C. elegans,QX1211,QX1211,QX1211,,CeNDR,20160408
C. elegans,QX1212,QX1212,QX1212,,CeNDR,20160408
C. elegans,QX1233,QX1233,QX1233,,CeNDR,20160408
C. elegans,QX1791,QX1791,QX1791,,CeNDR,20160408
C. elegans,QX1792,QX1792,QX1792,,CeNDR,20160408
C. elegans,QX1793,QX1793,QX1793,,CeNDR,20160408
C. elegans,QX1794,QX1794,QX1794,,CeNDR,20160408
C. elegans,RC301,RC301,RC301,,CeNDR,20160408
C. elegans,WN2001,WN2001,WN2001,,CeNDR,20160408
C. elegans,WN2002,WN2002,WN2002,,CeNDR,20160408
C. elegans,WN2033,WN2033,WN2033,,CeNDR,20170531
C. elegans,WN2050,WN2050,WN2050,,CeNDR,20170531
C. elegans,XZ1513,XZ1513,XZ1513,,CeNDR,20170531
C. elegans,XZ1514,XZ1514,XZ1514,,CeNDR,20170531
C. elegans,XZ1515,XZ1515,XZ1515,,CeNDR,20170531
C. elegans,XZ1516,XZ1516,XZ1516,,CeNDR,20170531
C. oiwi,S-05114,NA,ECA1100,,Andersen Lab,NA
C. oiwi,S-05113,NA,ECA814,,Andersen Lab,NA
C. oiwi,S-05095,NA,ECA815,,Andersen Lab,NA
C. oiwi,S-05103,NA,ECA816,,Andersen Lab,NA
C. oiwi,S-05061,NA,ECA817,,Andersen Lab,NA
C. oiwi,S-05075,NA,ECA818,,Andersen Lab,NA
C. oiwi,S-05082,NA,ECA819,,Andersen Lab,NA
C. oiwi,S-05046,NA,ECA820,,Andersen Lab,NA
C. oiwi,S-05114,NA,ECA821,,Andersen Lab,NA
C. oiwi,S-05637,NA,ECA823,,Andersen Lab,NA
C. oiwi,S-05197,NA,ECA824,,Andersen Lab,NA
C. oiwi,S-05214,NA,ECA826,,Andersen Lab,NA
C. oiwi,S-07350,NA,ECA827,,Andersen Lab,NA
C. tropicalis,S-05074,NA,ECA788,,Andersen Lab,NA
C. tropicalis,S-05097,NA,ECA789,,Andersen Lab,NA
C. tropicalis,S-05794,NA,ECA790,,Andersen Lab,NA
C. tropicalis,S-05799,NA,ECA791,,Andersen Lab,NA
C. tropicalis,S-05800,NA,ECA792,,Andersen Lab,NA
C. tropicalis,S-05918,NA,ECA793,,Andersen Lab,NA
C. tropicalis,S-05795,NA,ECA794,,Andersen Lab,NA
C. tropicalis,S-06105,NA,ECA795,,Andersen Lab,NA
C. tropicalis,S-06150,NA,ECA796,,Andersen Lab,NA
C. tropicalis,S-06168,NA,ECA797,,Andersen Lab,NA
C. tropicalis,S-06192,NA,ECA798,,Andersen Lab,NA
C. tropicalis,S-06195,NA,ECA799,,Andersen Lab,NA
C. tropicalis,S-06621,NA,ECA800,,Andersen Lab,NA
C. tropicalis,S-06622,NA,ECA801,,Andersen Lab,NA
C. tropicalis,S-06623,NA,ECA802,,Andersen Lab,NA
C. tropicalis,S-06624,NA,ECA803,,Andersen Lab,NA
C. tropicalis,S-06687,NA,ECA804,,Andersen Lab,NA
C. tropicalis,S-06690,NA,ECA805,,Andersen Lab,NA
C. tropicalis,S-06715,NA,ECA806,,Andersen Lab,NA
