chromosome,isotype,fraction_swept_haplotype_on_chromosome,pop_assignment,A,B,C,D,E,F,G,H,I,J,K,Hawaiian,genome_swept_hap_length,genome_max_length,genome_frac_swept
I,CB4853,0.7571455959628027,C,1e-5,1e-5,0.692965,0.306945,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,61711850,100089639,0.6165658165676869
I,CB4855,0.6055939585146962,C,1e-5,1e-5,0.815787,0.184123,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,51460060,100089639,0.5141397302871679
I,CB4856,0.034602695787317776,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,3347671,100089639,0.03344672868687237
I,CB4857,0.6964777132018142,C,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,55517237,100089639,0.5546751647290885
I,CB4858,0.6090668164052901,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,60689498,100089639,0.6063514526213847
I,CX11254,0.7060203584855962,C,1e-5,1e-5,0.656296,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.237537,0.106087,FALSE,46254220,100089639,0.4621279531240991
I,CX11262,0.3155351139754268,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,38381772,100089639,0.3834739777610747
I,CX11264,0.6431544088450946,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,34258305,100089639,0.3422762370039121
I,CX11276,0.7077573859243256,C,1e-5,0.015529,0.591298,0.185454,1e-5,1e-5,1e-5,1e-5,0.009696,0.197963,1e-5,FALSE,58350744,100089639,0.5829848582029554
I,CX11285,0.68015067936652,C,1.1e-5,1e-5,0.662305,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.337604,1e-5,FALSE,44207713,100089639,0.441681211378932
I,CX11292,0.6090668164052901,C,1e-5,1e-5,0.727048,0.272862,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,63494663,100089639,0.6343779799225772
I,CX11307,0.40806692007765255,C,1e-5,1e-5,0.59957,0.183651,1e-5,1e-5,0.038083,1e-5,0.070271,0.057709,0.050666,FALSE,40583755,100089639,0.4054740870830796
I,CX11314,0.6090668164052901,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,48269418,100089639,0.48226188526866404
I,CX11315,0.6785199177616824,C,1e-5,1e-5,0.855784,0.144126,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,55969862,100089639,0.5591973610775037
