chromosome,isotype,fraction_swept_haplotype_on_chromosome,pop_assignment,A,B,C,D,E,F,G,H,I,J,K,Hawaiian,genome_swept_hap_length,genome_max_length,genome_frac_swept
I,DL226,0.3788652950216851,C,1e-5,0.054011,0.722598,0.137152,1e-5,1e-5,1e-5,2e-5,1e-5,0.070261,0.015908,FALSE,52614627,100089639,0.5256750601328475
I,DL238,0.031164816512885996,A,0.999898,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.2e-5,1e-5,1e-5,TRUE,2895303,100089639,0.028927100036798013
I,ECA189,0.35164521522123077,E,1e-5,1e-5,0.157606,1e-5,0.842304,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,17389914,100089639,0.17374339815532755
I,ECA191,0.006344562377944746,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE,459647,100089639,0.0045923534602817385
I,ECA347,6.526903377025793e-4,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,115824,100089639,0.0011572026950761607
I,ECA348,0.3283913513975054,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,26624958,100089639,0.26601113028292567
I,ECA349,0.5894634965223209,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,47850347,100089639,0.47807492841491817
I,ECA36,0.003449184150377726,F,1.3e-5,1.9e-5,1e-5,1e-5,1e-5,0.999888,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,302212,100089639,0.0030194134279972777
I,ECA363,6.729726151350079e-5,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,707350,100089639,0.007067165063908363
I,ECA369,0.026798540926211145,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,2317366,100089639,0.02315290596662058
I,ECA372,0.27073641757392175,E,1.8e-5,1e-5,0.232283,1e-5,0.766152,1e-5,1e-5,1e-5,1e-5,0.001477,1e-5,TRUE,14575644,100089639,0.14562590239735004
I,ECA396,0.006344562377944746,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE,680265,100089639,0.006796557633702725
I,ECA701,0.003928045395593852,F,0.250814,1e-5,1e-5,1e-5,1e-5,0.58748,1e-5,0.161626,1e-5,1e-5,1e-5,TRUE,181973,100089639,0.0018181002730961993
I,ECA703,0.032390398063966847,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,5438720,100089639,0.05433849151958676
I,ECA705,0.2274225833782813,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,13230104,100089639,0.1321825528814226
I,ECA706,0.03936244755618174,A,0.856741,1e-5,1e-5,1e-5,0.143163,1e-5,1e-5,1.6e-5,1e-5,1e-5,1e-5,TRUE,6287738,100089639,0.06282106782301412
I,ECA710,0.24923966396854744,E,1e-5,1e-5,0.071425,1e-5,0.928485,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,13461028,100089639,0.13448972475562632
I,ECA712,0.28461873873627047,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,11054263,100089639,0.11044362943501075
I,ECA722,0.0063759500335123075,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE,871800,100089639,0.008710192270750422
I,ECA723,0.002061144882026637,H,1.3e-5,1.6e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.999884,1.7e-5,1e-5,1e-5,TRUE,495633,100089639,0.004951891174270296
I,ECA724,6.729726151350079e-5,F,1e-5,1e-5,0.008431,1e-5,1e-5,0.991476,1.3e-5,1e-5,1e-5,1e-5,1e-5,TRUE,1184468,100089639,0.011834072056149588
I,ECA730,0.001837640834648301,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE,1300314,100089639,0.012991494554196563
I,ECA732,0.01661198320840226,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,2459989,100089639,0.024577858653281784
I,ECA733,0.016873391839834644,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,2515978,100089639,0.02513724722296181
I,ECA738,0.23538560499606356,E,1e-5,1e-5,0.279258,1e-5,0.720652,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,11415172,100089639,0.11404948718018655
I,ECA740,0.010635693789214204,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.999895,1e-5,1e-5,1.5e-5,1e-5,1e-5,TRUE,245004,100089639,0.002447845775525277
I,ECA741,6.729726151350079e-5,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.999898,1e-5,1.2e-5,1e-5,1e-5,1e-5,TRUE,513117,100089639,0.005126574589803446
I,ECA742,0.010970384616484412,F,1e-5,1.2e-5,1e-5,1e-5,1.3e-5,0.999881,1e-5,1.6e-5,1e-5,1.8e-5,1e-5,TRUE,303556,100089639,0.003032841391305248
I,ECA743,0.2056785189867719,E,1e-5,0.044726,0.025694,0.052205,0.84473,1e-5,1e-5,1e-5,0.032585,1e-5,1e-5,TRUE,16035610,100089639,0.16021248712866273
I,ECA744,0.010303064439322374,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE,849596,100089639,0.008488351126933328
I,ECA745,0.006344562377944746,H,1e-5,1e-5,1e-5,1.2e-5,1e-5,1e-5,1e-5,0.999898,1e-5,1e-5,1e-5,TRUE,452478,100089639,0.004520727664928435
I,ECA746,0.006344562377944746,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE,1038498,100089639,0.010375679344792122
I,ECA760,0.22174135122128238,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,12683445,100089639,0.12672085868947933
I,ECA768,0.10669768015300685,E,1e-5,1e-5,1e-5,1.1e-5,0.999899,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,6682588,100089639,0.06676603159693682
I,ECA777,0.22174135122128238,E,1e-5,1e-5,1e-5,1e-5,0.999896,1e-5,1e-5,1e-5,1.4e-5,1e-5,1e-5,TRUE,12833522,100089639,0.1282202846190703
I,ECA778,0.23952997251784658,E,1e-5,1e-5,1e-5,1e-5,0.999896,1e-5,1e-5,1e-5,1.4e-5,1e-5,1e-5,TRUE,12568012,100089639,0.12556756249265721
I,ECA807,0.10431161983643973,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,7087034,100089639,0.07080686943031136
I,ECA812,0.10431161983643973,E,1e-5,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,TRUE,7581509,100089639,0.0757471909754815
I,ED3011,0.6152310992615323,C,1e-5,1e-5,0.335005,0.242701,1e-5,1e-5,1e-5,1e-5,1e-5,0.135938,0.286286,FALSE,56474072,100089639,0.5642349454372595
I,JU1172,0.6090668164052901,C,1e-5,1e-5,0.765549,0.234361,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,61572965,100089639,0.615178210403976
I,JU2016,0.6326457951613668,C,1e-5,1e-5,0.686517,0.313393,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,62607866,100089639,0.6255179519630398
I,JU2017,0.4806651709207469,C,0.130618,0.068426,0.40346,0.272208,1e-5,1e-5,1e-5,1e-5,1e-5,0.085963,0.039275,FALSE,45922442,100089639,0.4588131444854147
I,JU2862,0.6229656293866659,C,1e-5,0.003358,0.426445,0.334683,1e-5,1e-5,0.030298,1e-5,0.135274,0.069892,1e-5,FALSE,54144389,100089639,0.5409589797801149
I,JU2866,0.7065559436083528,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,50771086,100089639,0.5072561606501548
I,MY23,0.3375961803883145,E,1e-5,1e-5,1e-5,1e-5,0.510437,1e-5,1e-5,1e-5,1e-5,1e-5,0.489473,FALSE,10794302,100089639,0.10784634761246366
I,PB306,0.42718599227451376,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,33704149,100089639,0.3367396399541415
I,PS2025,0.35987696039017514,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,30506886,100089639,0.30479564423246647
I,QG556,0.2150154155283377,C,1e-5,1e-5,0.860267,1e-5,0.139643,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,29772807,100089639,0.297461428550062
I,QG557,0.5243740107817927,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,46090020,100089639,0.46048742367828904
I,QX1211,6.360655201350148e-4,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,439015,100089639,0.004386218237833788
I,QX1212,0.48209530422717906,C,0.043174,1e-5,0.806142,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.150604,FALSE,46430681,100089639,0.463890982761962
I,QX1233,0.4876388828947186,C,1e-5,1e-5,0.855445,0.144465,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,48020451,100089639,0.4797744449852597
I,QX1791,0.2835780916558112,A,0.559108,0.107565,0.137053,1e-5,0.061847,1e-5,1e-5,1e-5,1e-5,1e-5,0.134366,TRUE,19071168,100089639,0.19054088105962697
I,QX1792,0.2643476996805176,E,1e-5,1e-5,1e-5,0.220457,0.617955,1e-5,1e-5,1e-5,1e-5,0.161508,1e-5,TRUE,26507474,100089639,0.2648373424545971
I,QX1793,0.23927820628060337,E,1e-5,1e-5,1e-5,1e-5,0.875683,1e-5,1e-5,1.2e-5,1e-5,0.124224,1e-5,TRUE,14026859,100089639,0.14014296724559072
I,QX1794,0.20943439777163605,E,1e-5,1e-5,0.10701,0.037616,0.855294,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,11802225,100089639,0.11791655078304358
I,XZ1513,0.278170902991596,E,1e-5,1e-5,0.156637,1e-5,0.843273,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,15048046,100089639,0.15034569162548383
I,XZ1514,6.729726151350079e-5,F,1e-5,1.2e-5,1e-5,1e-5,1e-5,0.999894,1e-5,1e-5,1.3e-5,1e-5,1e-5,TRUE,1071398,100089639,0.010704384696601814
I,XZ1515,0.1950725503713685,E,1e-5,1e-5,0.334387,1e-5,0.569182,0.096351,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,17483115,100089639,0.174674573459097
I,XZ1516,6.729726151350079e-5,F,0.174719,1e-5,1e-5,1e-5,1e-5,0.624136,1e-5,0.201065,1e-5,1e-5,1e-5,TRUE,15079,100089639,1.5065495440542054e-4
II,CB4853,0.0695189834665958,C,1e-5,1e-5,0.692965,0.306945,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,61711850,100089639,0.6165658165676869
II,CB4855,0.031522210254880334,C,1e-5,1e-5,0.815787,0.184123,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,51460060,100089639,0.5141397302871679
II,CB4856,0.010618062892138033,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,3347671,100089639,0.03344672868687237
II,CB4857,0.10128102878420805,C,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,55517237,100089639,0.5546751647290885
II,CB4858,0.03058470896372562,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,60689498,100089639,0.6063514526213847
II,CX11254,0.10029112710609059,C,1e-5,1e-5,0.656296,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.237537,0.106087,FALSE,46254220,100089639,0.4621279531240991
II,CX11262,0.0633473459007256,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,38381772,100089639,0.3834739777610747
II,CX11264,0.01853196413767359,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,34258305,100089639,0.3422762370039121
II,CX11276,0.06463748408887499,C,1e-5,0.015529,0.591298,0.185454,1e-5,1e-5,1e-5,1e-5,0.009696,0.197963,1e-5,FALSE,58350744,100089639,0.5829848582029554
II,CX11285,0.07630807991013104,C,1.1e-5,1e-5,0.662305,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.337604,1e-5,FALSE,44207713,100089639,0.441681211378932
II,CX11292,0.2237017115514128,C,1e-5,1e-5,0.727048,0.272862,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,63494663,100089639,0.6343779799225772
II,CX11307,0.10723447349973396,C,1e-5,1e-5,0.59957,0.183651,1e-5,1e-5,0.038083,1e-5,0.070271,0.057709,0.050666,FALSE,40583755,100089639,0.4054740870830796
II,CX11314,0.02309486391606389,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,48269418,100089639,0.48226188526866404
II,CX11315,0.01853196413767359,C,1e-5,1e-5,0.855784,0.144126,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,55969862,100089639,0.5591973610775037
II,DL226,0.1325300225033101,C,1e-5,0.054011,0.722598,0.137152,1e-5,1e-5,1e-5,2e-5,1e-5,0.070261,0.015908,FALSE,52614627,100089639,0.5256750601328475
II,DL238,0.0036530087036452503,A,0.999898,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1.2e-5,1e-5,1e-5,TRUE,2895303,100089639,0.028927100036798013
II,ECA189,0.01840821003229346,E,1e-5,1e-5,0.157606,1e-5,0.842304,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,17389914,100089639,0.17374339815532755
II,ECA191,0.0010661084987066156,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE,459647,100089639,0.0045923534602817385
II,ECA347,0.0034415708468643613,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,115824,100089639,0.0011572026950761607
II,ECA348,0.037528448852139684,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,26624958,100089639,0.26601113028292567
II,ECA349,0.028926981077295556,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,47850347,100089639,0.47807492841491817
II,ECA36,0.005755910340642521,F,1.3e-5,1.9e-5,1e-5,1e-5,1e-5,0.999888,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,302212,100089639,0.0030194134279972777
II,ECA363,0.028211673166653756,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,707350,100089639,0.007067165063908363
II,ECA369,0.0023695599265974856,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,2317366,100089639,0.02315290596662058
II,ECA372,0.03182966083570813,E,1.8e-5,1e-5,0.232283,1e-5,0.766152,1e-5,1e-5,1e-5,1e-5,0.001477,1e-5,TRUE,14575644,100089639,0.14562590239735004
II,ECA396,0.011522772952402413,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE,680265,100089639,0.006796557633702725
II,ECA701,9.181544649294179e-7,F,0.250814,1e-5,1e-5,1e-5,1e-5,0.58748,1e-5,0.161626,1e-5,1e-5,1e-5,TRUE,181973,100089639,0.0018181002730961993
II,ECA703,0.034663019932018535,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,5438720,100089639,0.05433849151958676
II,ECA705,0.009780771602584185,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,13230104,100089639,0.1321825528814226
II,ECA706,0.01375303573017775,A,0.856741,1e-5,1e-5,1e-5,0.143163,1e-5,1e-5,1.6e-5,1e-5,1e-5,1e-5,TRUE,6287738,100089639,0.06282106782301412
II,ECA710,0.029777126529358416,E,1e-5,1e-5,0.071425,1e-5,0.928485,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,13461028,100089639,0.13448972475562632
II,ECA712,0.026466982935902522,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,11054263,100089639,0.11044362943501075
II,ECA722,0.019268389601008764,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE,871800,100089639,0.008710192270750422
II,ECA723,0.00922653421807572,H,1.3e-5,1.6e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.999884,1.7e-5,1e-5,1e-5,TRUE,495633,100089639,0.004951891174270296
II,ECA724,0.036239884643073025,F,1e-5,1e-5,0.008431,1e-5,1e-5,0.991476,1.3e-5,1e-5,1e-5,1e-5,1e-5,TRUE,1184468,100089639,0.011834072056149588
II,ECA730,0.01616509309200911,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE,1300314,100089639,0.012991494554196563
II,ECA732,0.028324147088607612,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,2459989,100089639,0.024577858653281784
II,ECA733,0.02484335792959841,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,2515978,100089639,0.02513724722296181
II,ECA738,0.013824323866133342,E,1e-5,1e-5,0.279258,1e-5,0.720652,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,11415172,100089639,0.11404948718018655
II,ECA740,0.0011234275703029234,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.999895,1e-5,1e-5,1.5e-5,1e-5,1e-5,TRUE,245004,100089639,0.002447845775525277
II,ECA741,0.016916930433862745,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.999898,1e-5,1.2e-5,1e-5,1e-5,1e-5,TRUE,513117,100089639,0.005126574589803446
II,ECA742,0.0027915174856943336,F,1e-5,1.2e-5,1e-5,1e-5,1.3e-5,0.999881,1e-5,1.6e-5,1e-5,1.8e-5,1e-5,TRUE,303556,100089639,0.003032841391305248
II,ECA743,0.02081305332332895,E,1e-5,0.044726,0.025694,0.052205,0.84473,1e-5,1e-5,1e-5,0.032585,1e-5,1e-5,TRUE,16035610,100089639,0.16021248712866273
II,ECA744,0.004258203660957298,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE,849596,100089639,0.008488351126933328
II,ECA745,0.0015295797561106295,H,1e-5,1e-5,1e-5,1.2e-5,1e-5,1e-5,1e-5,0.999898,1e-5,1e-5,1e-5,TRUE,452478,100089639,0.004520727664928435
II,ECA746,0.004516401812987806,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE,1038498,100089639,0.010375679344792122
II,ECA760,0.02999000720029848,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,12683445,100089639,0.12672085868947933
II,ECA768,0.03233287506495123,E,1e-5,1e-5,1e-5,1.1e-5,0.999899,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,6682588,100089639,0.06676603159693682
II,ECA777,0.03983242631695649,E,1e-5,1e-5,1e-5,1e-5,0.999896,1e-5,1e-5,1e-5,1.4e-5,1e-5,1e-5,TRUE,12833522,100089639,0.1282202846190703
II,ECA778,0.02999000720029848,E,1e-5,1e-5,1e-5,1e-5,0.999896,1e-5,1e-5,1e-5,1.4e-5,1e-5,1e-5,TRUE,12568012,100089639,0.12556756249265721
II,ECA807,0.02923272651411705,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,7087034,100089639,0.07080686943031136
II,ECA812,0.02923272651411705,E,1e-5,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,TRUE,7581509,100089639,0.0757471909754815
II,ED3011,0.026329915590780916,C,1e-5,1e-5,0.335005,0.242701,1e-5,1e-5,1e-5,1e-5,1e-5,0.135938,0.286286,FALSE,56474072,100089639,0.5642349454372595
II,JU1172,0.05658369545236126,C,1e-5,1e-5,0.765549,0.234361,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,61572965,100089639,0.615178210403976
II,JU2016,0.13314210361910914,C,1e-5,1e-5,0.686517,0.313393,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,62607866,100089639,0.6255179519630398
II,JU2017,0.09407522137851843,C,0.130618,0.068426,0.40346,0.272208,1e-5,1e-5,1e-5,1e-5,1e-5,0.085963,0.039275,FALSE,45922442,100089639,0.4588131444854147
II,JU2862,0.2916182531468597,C,1e-5,0.003358,0.426445,0.334683,1e-5,1e-5,0.030298,1e-5,0.135274,0.069892,1e-5,FALSE,54144389,100089639,0.5409589797801149
II,JU2866,0.01816922754156469,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,50771086,100089639,0.5072561606501548
II,MY23,0.016260056496667525,E,1e-5,1e-5,1e-5,1e-5,0.510437,1e-5,1e-5,1e-5,1e-5,1e-5,0.489473,FALSE,10794302,100089639,0.10784634761246366
II,PB306,0.024917990771104813,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,33704149,100089639,0.3367396399541415
II,PS2025,0.01576038372036058,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,30506886,100089639,0.30479564423246647
II,QG556,0.0268511649970137,C,1e-5,1e-5,0.860267,1e-5,0.139643,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,29772807,100089639,0.297461428550062
II,QG557,0.018852334463472176,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,46090020,100089639,0.46048742367828904
II,QX1211,0.002508070085878266,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,439015,100089639,0.004386218237833788
II,QX1212,0.027077949149851267,C,0.043174,1e-5,0.806142,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.150604,FALSE,46430681,100089639,0.463890982761962
II,QX1233,0.024097095096996132,C,1e-5,1e-5,0.855445,0.144465,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE,48020451,100089639,0.4797744449852597
II,QX1791,0.04377885095460848,A,0.559108,0.107565,0.137053,1e-5,0.061847,1e-5,1e-5,1e-5,1e-5,1e-5,0.134366,TRUE,19071168,100089639,0.19054088105962697
II,QX1792,0.039914929053876586,E,1e-5,1e-5,1e-5,0.220457,0.617955,1e-5,1e-5,1e-5,1e-5,0.161508,1e-5,TRUE,26507474,100089639,0.2648373424545971
II,QX1793,0.04544628504538208,E,1e-5,1e-5,1e-5,1e-5,0.875683,1e-5,1e-5,1.2e-5,1e-5,0.124224,1e-5,TRUE,14026859,100089639,0.14014296724559072
II,QX1794,0.01823736771935481,E,1e-5,1e-5,0.10701,0.037616,0.855294,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE,11802225,100089639,0.11791655078304358
