A	B	C	D	E	F	G	samples
0.836921	1e-05	1e-05	1e-05	0.163029	1e-05	1e-05	JU2575
0.024583	1e-05	0.044909	0.233737	0.696741	1e-05	1e-05	JU2576
1e-05	0.056153	1e-05	0.943797	1e-05	1e-05	1e-05	JU2578
0.101435	0.671052	1e-05	0.020145	0.207338	1e-05	1e-05	JU258
0.004527	1.1e-05	0.268517	0.70328	0.023645	1e-05	1e-05	JU2581
1e-05	0.564183	1e-05	0.374808	0.06097	1e-05	1e-05	JU2586
1e-05	0.039899	1e-05	0.7465	0.213561	1e-05	1e-05	JU2587
0.802042	0.089546	1e-05	1e-05	0.108373	1e-05	1e-05	JU2592
0.016586	1e-05	0.17382	0.673123	0.136439	1.2e-05	1e-05	JU2593
1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	JU2600
1.2e-05	1e-05	1e-05	1e-05	0.999938	1e-05	1e-05	JU2610
1e-05	0.082077	1e-05	0.917873	1e-05	1e-05	1e-05	JU2619
0.529234	1e-05	1e-05	0.031513	0.439213	1e-05	1e-05	JU2800
1e-05	0.37332	0.129236	0.497404	1e-05	1e-05	1e-05	JU2811
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2825
1e-05	1e-05	0.191727	0.749655	0.058578	1e-05	1e-05	JU2829
1e-05	0.225381	0.267006	0.436517	0.071065	1e-05	1e-05	JU2838
1e-05	1e-05	1e-05	0.491459	0.508491	1e-05	1e-05	JU2841
0.3212	0.031436	1e-05	0.647323	1e-05	1e-05	1e-05	JU2853
1e-05	0.115592	1e-05	0.696464	0.187904	1e-05	1e-05	JU2862
1e-05	1e-05	0.314332	0.685618	1e-05	1e-05	1e-05	JU2866
1e-05	1e-05	0.080611	0.919339	1e-05	1e-05	1e-05	JU2878
1e-05	1e-05	0.552953	0.446997	1e-05	1e-05	1e-05	JU2879
0.407075	1e-05	1e-05	0.239418	0.353465	1.3e-05	1e-05	JU2906
0.72503	1e-05	1e-05	0.274915	1.5e-05	1e-05	1e-05	JU2907
1e-05	1e-05	1e-05	0.339295	0.660655	1e-05	1e-05	JU310
0.793218	1e-05	1e-05	0.039533	0.167209	1e-05	1e-05	JU311
0.277599	0.251729	1e-05	0.470632	1e-05	1e-05	1e-05	JU3125
0.257246	0.341103	1e-05	0.401611	1e-05	1e-05	1e-05	JU3127
0.143535	0.016605	1e-05	0.512952	0.326878	1e-05	1e-05	JU3128
1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	JU3132
0.071367	0.030168	1e-05	0.626521	0.271914	1e-05	1e-05	JU3134
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	JU3135
0.233734	0.25424	0.013588	0.158877	0.339542	1e-05	1e-05	JU3137
1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	JU3140
1e-05	0.096554	1e-05	0.627027	0.27638	1e-05	1e-05	JU3144
1e-05	1e-05	1e-05	0.518365	0.481585	1e-05	1e-05	JU323
1e-05	1e-05	1e-05	0.297966	0.701984	1e-05	1e-05	JU346
1e-05	1e-05	0.000299	0.711078	0.288583	1e-05	1e-05	JU360
0.970052	1e-05	1e-05	0.029898	1e-05	1e-05	1e-05	JU367
0.102716	1e-05	1e-05	1e-05	0.897234	1e-05	1e-05	JU393
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU394
0.185803	1e-05	1e-05	1e-05	0.814147	1e-05	1e-05	JU397
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU406
0.834715	1e-05	1.2e-05	1e-05	0.165233	1e-05	1e-05	JU440
0.397388	1e-05	1e-05	0.540368	0.062204	1e-05	1e-05	JU561
1e-05	1e-05	1e-05	0.57858	0.42137	1e-05	1e-05	JU642
1e-05	0.037169	0.049204	0.75882	0.154777	1e-05	1e-05	JU751
1e-05	0.354046	0.038621	0.607293	1e-05	1e-05	1e-05	JU774
1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	JU775
0.047253	0.730111	1e-05	0.176068	0.046539	1e-05	1e-05	JU778
0.042444	0.88985	1e-05	1e-05	0.067666	1e-05	1e-05	JU782
1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	JU792
1e-05	1e-05	1e-05	0.925467	0.074483	1e-05	1e-05	JU830
0.194317	1e-05	1e-05	0.208394	0.597248	1e-05	1e-05	JU847
1e-05	1e-05	1e-05	0.910786	0.089164	1e-05	1e-05	KR314
1e-05	0.504087	1e-05	0.461987	0.033886	1e-05	1e-05	LKC34
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	LSJ1
1e-05	0.187784	1e-05	0.812166	1e-05	1e-05	1e-05	MY1
0.032991	0.350855	1e-05	0.521281	0.094843	1e-05	1e-05	MY10
0.263473	1e-05	0.655881	1e-05	0.080606	1e-05	1e-05	MY16
0.083033	1e-05	1e-05	0.627827	0.2891	1e-05	1e-05	MY18
0.540648	1e-05	1e-05	1e-05	0.459302	1e-05	1e-05	MY2147
0.077796	1e-05	1e-05	0.68402	0.238144	1e-05	1e-05	MY2212
1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	MY23
0.513817	0.031375	1e-05	0.135441	0.319338	1e-05	1e-05	MY2453
0.101667	1e-05	1e-05	0.667439	0.230854	1e-05	1e-05	MY2530
1e-05	1e-05	1e-05	0.766503	0.233447	1e-05	1e-05	MY2535
0.337458	1e-05	1e-05	1e-05	0.662492	1e-05	1e-05	MY2573
1e-05	0.02035	1e-05	0.95456	0.02505	1e-05	1e-05	MY2585
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	MY2693
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	MY2713
0.103079	1e-05	1e-05	0.783506	0.113375	1e-05	1e-05	MY2741
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	MY518
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	MY679
0.084438	1e-05	1e-05	0.094655	0.820868	1e-05	1e-05	MY772
0.213859	1e-05	0.009265	0.640884	0.135962	1e-05	1e-05	MY795
0.21471	1e-05	1e-05	0.546673	0.238577	1e-05	1e-05	MY920
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	N2
0.065267	0.053833	1e-05	0.470006	0.410864	1e-05	1e-05	NIC1
0.391608	1e-05	1e-05	1.3e-05	0.608339	1e-05	1e-05	NIC1049
0.793914	1e-05	1.7e-05	1e-05	0.206029	1e-05	1e-05	NIC1107
0.054625	0.030527	1e-05	0.442615	0.472194	1.9e-05	1e-05	NIC166
0.184233	0.594888	0.02195	0.041273	0.157637	1e-05	1e-05	NIC195
1e-05	0.644532	1e-05	1e-05	0.355418	1e-05	1e-05	NIC199
0.667103	1e-05	1e-05	0.332847	1e-05	1e-05	1e-05	NIC2
0.172881	1e-05	1e-05	0.550344	0.276735	1e-05	1e-05	NIC207
1e-05	0.055506	0.023166	0.921288	1e-05	1e-05	1e-05	NIC231
1e-05	0.537592	1e-05	0.279621	0.182747	1e-05	1e-05	NIC236
0.490799	0.145204	1e-05	0.067061	0.296907	1e-05	1e-05	NIC242
0.081138	0.737033	1e-05	1e-05	0.111867	0.069931	1e-05	NIC251
1e-05	0.720486	1e-05	0.279464	1e-05	1e-05	1e-05	NIC252
0.380445	1e-05	1e-05	0.477072	0.142443	1e-05	1e-05	NIC255
1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	NIC256
1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	NIC258
0.163063	0.56979	1e-05	0.053009	0.214108	1e-05	1e-05	NIC259
1e-05	0.90927	1e-05	0.09068	1e-05	1e-05	1e-05	NIC260
1e-05	0.999938	1.2e-05	1e-05	1e-05	1e-05	1e-05	NIC261
1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	NIC262
1e-05	0.854202	1e-05	1e-05	0.145748	1e-05	1e-05	NIC265
0.309175	0.545864	1e-05	0.144922	1e-05	1e-05	1e-05	NIC266
1e-05	0.290201	1e-05	0.669695	0.040064	1e-05	1e-05	NIC267
1e-05	0.258491	0.44727	0.288798	0.005411	1e-05	1e-05	NIC268
1e-05	0.651356	1.4e-05	1e-05	0.34859	1e-05	1e-05	NIC269
1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	NIC271
1e-05	0.597032	1e-05	0.248598	0.154329	1e-05	1e-05	NIC272
0.066108	0.613919	1e-05	0.319933	1e-05	1e-05	1e-05	NIC274
1e-05	0.352673	1e-05	0.647277	1e-05	1e-05	1e-05	NIC275
1e-05	0.420058	1e-05	0.541094	0.038808	1.1e-05	1e-05	NIC276
1e-05	1e-05	1e-05	0.314338	0.685612	1e-05	1e-05	NIC277
1e-05	1e-05	1e-05	0.42253	0.57742	1e-05	1e-05	NIC3
1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	NIC501
0.16881	1e-05	1e-05	0.324176	0.506974	1e-05	1e-05	NIC511
1e-05	0.56004	1e-05	0.43991	1e-05	1e-05	1e-05	NIC513
1e-05	0.528258	1e-05	0.471692	1e-05	1e-05	1e-05	NIC514
1e-05	0.290687	1e-05	0.510122	0.199151	1e-05	1e-05	NIC515
0.16919	0.179674	1e-05	0.335912	0.315194	1e-05	1e-05	NIC522
1e-05	0.265323	0.112916	0.621721	1e-05	1e-05	1e-05	NIC523
1e-05	0.216881	1e-05	0.479418	0.303661	1e-05	1e-05	NIC526
1e-05	0.069569	1e-05	0.21769	0.712702	1e-05	1e-05	NIC527
1e-05	1e-05	1e-05	0.79518	0.20477	1e-05	1e-05	NIC528
0.042803	1e-05	1e-05	0.69735	0.259806	1e-05	1e-05	NIC529
0.004138	1e-05	1e-05	0.995812	1e-05	1e-05	1e-05	PB303
1e-05	1e-05	0.450388	0.549562	1e-05	1e-05	1e-05	PB306
1e-05	1e-05	0.653788	0.346162	1e-05	1e-05	1e-05	PS2025
0.501423	1e-05	1e-05	0.498527	1e-05	1e-05	1e-05	PX179
0.027084	0.167132	0.103964	0.633118	0.068681	1.1e-05	1e-05	QG2075
1e-05	0.064811	1e-05	0.935139	1e-05	1e-05	1e-05	QG536
1e-05	1e-05	0.647649	0.352301	1e-05	1e-05	1e-05	QG556
1e-05	1e-05	0.323883	0.676067	1e-05	1e-05	1e-05	QG557
0.069034	0.152378	1e-05	0.437866	0.286358	0.054344	1e-05	QW947
1.5e-05	1e-05	1.1e-05	1e-05	1e-05	0.999934	1e-05	QX1211
1e-05	1e-05	0.195514	0.804436	1e-05	1e-05	1e-05	QX1212
1e-05	1e-05	0.1822	0.81775	1e-05	1e-05	1e-05	QX1233
0.143415	0.113985	0.56633	1e-05	0.145892	0.030358	1e-05	QX1791
0.035144	0.057288	0.644515	0.263023	1e-05	1e-05	1e-05	QX1792
1e-05	0.098221	0.901729	1e-05	1e-05	1e-05	1e-05	QX1793
1e-05	1e-05	0.945548	0.054402	1e-05	1e-05	1e-05	QX1794
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	RC301
1e-05	0.318762	0.03064	0.362899	0.287669	1e-05	1e-05	WN2001
0.347008	0.122731	1e-05	0.383655	0.146577	1e-05	1e-05	WN2002
1e-05	1e-05	0.01105	0.963829	0.025081	1e-05	1e-05	WN2033
0.374312	1e-05	1e-05	1e-05	0.625638	1e-05	1e-05	WN2050
1e-05	1e-05	0.956378	1e-05	1e-05	0.043572	1e-05	XZ1513
1e-05	1.8e-05	1e-05	1.4e-05	1e-05	0.999928	1e-05	XZ1514
1e-05	1e-05	0.666883	0.181652	1e-05	0.151425	1e-05	XZ1515
1e-05	0.080216	1e-05	1e-05	1e-05	0.68249	0.237254	XZ1516
