A	B	C	D	E	F	G	samples
0.689581	1e-05	1e-05	0.310369	1e-05	1e-05	1e-05	AB1
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	BRC20067
1.5e-05	0.196728	0.062281	0.740946	1e-05	1e-05	1e-05	BRC20263
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4851
0.510093	1e-05	1e-05	0.489857	1e-05	1e-05	1e-05	CB4852
0.001856	1.1e-05	0.052842	0.945261	1e-05	1e-05	1e-05	CB4853
0.008126	0.055467	1e-05	0.924648	1e-05	1e-05	0.011729	CB4854
1e-05	1e-05	0.084989	0.914961	1e-05	1e-05	1e-05	CB4855
1e-05	0.077726	0.821694	1e-05	0.10054	1e-05	1e-05	CB4856
1e-05	1e-05	0.091467	0.908482	1e-05	1e-05	1e-05	CB4857
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	CB4858
0.570821	1e-05	1e-05	1e-05	0.429129	1e-05	1e-05	CB4932
1e-05	0.012652	0.267971	0.719337	1e-05	1e-05	1e-05	CX11254
1e-05	1e-05	0.398898	0.601052	1e-05	1e-05	1e-05	CX11262
1e-05	1e-05	0.499992	0.499958	1e-05	1e-05	1e-05	CX11264
1e-05	0.11653	1e-05	0.88342	1e-05	1e-05	1e-05	CX11271
0.032255	0.108795	0.064274	0.794646	1e-05	1e-05	1e-05	CX11276
1e-05	0.11558	0.300213	0.584167	1e-05	1e-05	1e-05	CX11285
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	CX11292
1e-05	0.068497	0.207205	0.667334	0.056935	1e-05	1e-05	CX11307
1e-05	1e-05	0.206697	0.793253	1e-05	1e-05	1e-05	CX11314
1e-05	1e-05	0.249207	0.750743	1e-05	1e-05	1e-05	CX11315
1e-05	1e-05	1e-05	0.253713	0.746237	1e-05	1e-05	DL200
0.032959	1e-05	0.200751	0.766249	1e-05	1e-05	1e-05	DL226
1e-05	0.046701	0.771346	1e-05	0.181913	1e-05	1e-05	DL238
1e-05	1e-05	0.977918	0.022032	1e-05	1e-05	1e-05	ECA189
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	ECA191
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA252
1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	ECA347
1e-05	1e-05	0.680151	0.319799	1e-05	1e-05	1e-05	ECA348
1e-05	1e-05	0.324495	0.675453	1e-05	1.1e-05	1e-05	ECA349
1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	ECA36
1e-05	1e-05	2e-05	1e-05	1e-05	0.99993	1e-05	ECA363
0.007802	0.040024	0.53694	1e-05	0.182526	0.232688	1e-05	ECA369
1e-05	0.024923	0.928895	0.046142	1e-05	1e-05	1e-05	ECA372
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	ECA396
0.044536	0.063594	0.071064	1e-05	1e-05	0.634086	0.186701	ECA701
1e-05	1e-05	0.771238	1e-05	0.087958	1e-05	0.140764	ECA703
1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	ECA705
1e-05	1e-05	0.875127	1e-05	0.124823	1e-05	1e-05	ECA706
1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	ECA710
1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	ECA712
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	ECA722
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	ECA723
1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	ECA724
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	ECA730
1e-05	1e-05	0.90297	1e-05	0.09698	1e-05	1e-05	ECA732
1e-05	1e-05	0.898946	1e-05	0.101004	1e-05	1e-05	ECA733
1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	ECA738
1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	ECA740
1.9e-05	1e-05	1e-05	1e-05	1e-05	0.999931	1e-05	ECA741
1e-05	1.7e-05	1.1e-05	1e-05	1e-05	0.999932	1e-05	ECA742
0.042829	1e-05	0.900135	0.056996	1e-05	1e-05	1e-05	ECA743
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	ECA744
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99994	ECA745
1e-05	1.4e-05	1.3e-05	1e-05	1e-05	1e-05	0.999934	ECA746
1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	ECA760
1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	ECA768
1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	ECA777
1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	ECA778
1e-05	1e-05	0.943902	1e-05	1e-05	1e-05	0.056048	ECA807
1e-05	1e-05	0.999932	1.8e-05	1e-05	1e-05	1e-05	ECA812
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	ED3005
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	ED3011
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ED3012
0.136236	1e-05	1e-05	0.338979	0.524742	1.3e-05	1e-05	ED3017
1e-05	0.265509	1e-05	0.734441	1e-05	1e-05	1e-05	ED3040
1e-05	0.258172	1e-05	0.578457	0.163331	1e-05	1e-05	ED3046
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	ED3048
1e-05	0.256904	1e-05	0.585449	0.157607	1e-05	1e-05	ED3049
1e-05	0.290209	1e-05	0.657268	0.052482	1.2e-05	1e-05	ED3052
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	ED3073
1e-05	0.062634	1e-05	0.877211	0.060114	1e-05	1e-05	ED3077
0.479481	1e-05	1e-05	0.520469	1e-05	1e-05	1e-05	EG4347
1e-05	0.133175	1e-05	0.579454	0.287331	1e-05	1e-05	EG4349
0.051732	0.427857	1e-05	0.384743	0.135638	1e-05	1e-05	EG4724
0.030229	0.71177	1e-05	0.257961	1e-05	1e-05	1e-05	EG4725
0.111019	1e-05	1e-05	0.888931	1e-05	1e-05	1e-05	EG4946
1e-05	0.00291	1e-05	0.973969	0.023082	1e-05	1e-05	GXW1
0.336791	1.8e-05	1e-05	0.459599	0.203562	1e-05	1e-05	JT11398
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	JU1088
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	JU1172
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1200
0.677904	1e-05	1e-05	1e-05	0.322046	1e-05	1e-05	JU1212
1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	JU1213
1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	JU1242
0.237678	1e-05	1e-05	1.5e-05	0.762268	1e-05	1e-05	JU1246
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1249
0.552075	1e-05	1e-05	0.447875	1e-05	1e-05	1e-05	JU1395
1e-05	0.264158	1e-05	0.296834	0.438967	1e-05	1e-05	JU1400
1e-05	0.039182	1e-05	0.716678	0.2441	1e-05	1e-05	JU1409
0.111152	1e-05	1e-05	0.59161	0.297198	1e-05	1e-05	JU1440
0.032683	0.42542	1e-05	0.114697	0.42717	1e-05	1e-05	JU1491
1e-05	1e-05	1e-05	0.338299	0.661651	1e-05	1e-05	JU1530
0.962583	1e-05	1e-05	0.037367	1e-05	1e-05	1e-05	JU1543
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1568
1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	JU1580
0.179282	1e-05	1e-05	1e-05	0.820668	1e-05	1e-05	JU1581
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1586
0.461217	0.068986	1e-05	0.379552	0.090216	1e-05	1e-05	JU1652
1e-05	1e-05	1e-05	0.042871	0.957079	1e-05	1e-05	JU1666
0.653225	1.6e-05	1e-05	1e-05	0.346719	1e-05	1e-05	JU1792
1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	JU1793
0.186511	1e-05	1e-05	0.477379	0.33607	1e-05	1e-05	JU1808
0.96119	1e-05	1e-05	0.03876	1e-05	1e-05	1e-05	JU1896
0.05491	1e-05	1e-05	1e-05	0.94504	1e-05	1e-05	JU1934
0.054353	0.163902	0.184344	1e-05	0.597371	1e-05	1e-05	JU2001
1e-05	0.109089	1e-05	0.63087	0.260002	1e-05	1e-05	JU2007
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	JU2016
0.08775	1e-05	0.224681	0.677349	0.010191	1e-05	1e-05	JU2017
0.139481	1e-05	1e-05	1e-05	0.860469	1e-05	1e-05	JU2106
0.047098	0.084216	1e-05	0.017	0.851655	1e-05	1e-05	JU2131
0.155247	1e-05	1e-05	1e-05	0.844703	1e-05	1e-05	JU2141
0.72617	0.076566	1e-05	0.197224	1e-05	1e-05	1e-05	JU2234
1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	JU2250
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2257
1e-05	0.888742	1e-05	1e-05	0.111208	1e-05	1e-05	JU2316
1e-05	0.061778	1e-05	0.748157	0.190025	1e-05	1e-05	JU2464
1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	1e-05	JU2466
1e-05	1e-05	1e-05	0.624271	0.375679	1e-05	1e-05	JU2478
0.194235	1e-05	1e-05	0.768893	0.036831	1e-05	1e-05	JU2513
1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	JU2519
1e-05	0.867714	1e-05	0.132236	1e-05	1e-05	1e-05	JU2522
1e-05	0.985861	1e-05	1e-05	0.014089	1e-05	1e-05	JU2526
1e-05	1e-05	1e-05	0.464983	0.534967	1e-05	1e-05	JU2534
0.99994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2565
0.767857	1e-05	1e-05	0.091204	0.140899	1e-05	1e-05	JU2566
1e-05	1e-05	1e-05	1e-05	0.99994	1e-05	1e-05	JU2570
0.684127	1e-05	1e-05	1e-05	0.315823	1e-05	1e-05	JU2572
