A	B	C	D	E	F	G	H	I	J	K	samples
1e-05	0.457146	1e-05	0.542764	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	AB1
1e-05	1e-05	1e-05	0.999899	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	BRC20067
0.142338	1e-05	0.019301	0.493992	1e-05	1e-05	1e-05	1e-05	1e-05	0.344299	1e-05	BRC20263
1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4851
1e-05	0.207768	1e-05	0.792139	1.3e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4852
1e-05	1e-05	0.692965	0.306945	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4853
1e-05	1e-05	1e-05	0.533478	1e-05	1e-05	1e-05	1e-05	1e-05	0.466432	1e-05	CB4854
1e-05	1e-05	0.815787	0.184123	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4855
0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4856
1e-05	1e-05	0.999899	1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4857
1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4858
1.9e-05	0.604814	1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	0.395086	1e-05	1e-05	CB4932
1e-05	1e-05	0.656296	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.237537	0.106087	CX11254
1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CX11262
1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CX11264
1e-05	1e-05	0.271679	0.286364	1e-05	1e-05	1e-05	1e-05	1e-05	0.441877	1e-05	CX11271
1e-05	0.015529	0.591298	0.185454	1e-05	1e-05	1e-05	1e-05	0.009696	0.197963	1e-05	CX11276
1.1e-05	1e-05	0.662305	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.337604	1e-05	CX11285
1e-05	1e-05	0.727048	0.272862	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CX11292
1e-05	1e-05	0.59957	0.183651	1e-05	1e-05	0.038083	1e-05	0.070271	0.057709	0.050666	CX11307
1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CX11314
1e-05	1e-05	0.855784	0.144126	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CX11315
1e-05	1e-05	1e-05	0.174635	1e-05	1e-05	1e-05	1e-05	0.736236	0.026985	0.062074	DL200
1e-05	0.054011	0.722598	0.137152	1e-05	1e-05	1e-05	2e-05	1e-05	0.070261	0.015908	DL226
0.999898	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	DL238
1e-05	1e-05	0.157606	1e-05	0.842304	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA189
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	ECA191
