A	B	C	D	E	F	G	H	I	J	K	L	M	samples
1e-05	1e-05	1e-05	0.561157	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.438733	AB1
1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	BRC20067
0.329502	1e-05	1e-05	0.474219	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.196179	1e-05	BRC20263
1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999871	CB4851
1e-05	1e-05	1e-05	0.808205	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.191685	CB4852
1e-05	1e-05	0.765054	0.234836	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4853
0.429802	1e-05	0.027223	0.542872	1e-05	1e-05	1e-05	1e-05	1.3e-05	1e-05	1e-05	1e-05	1e-05	CB4854
1e-05	1e-05	0.88728	0.11261	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4855
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	CB4856
1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4857
1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4858
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.395483	1e-05	0.604407	CB4932
0.174576	1e-05	0.663216	1e-05	1e-05	1e-05	0.162108	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CX11254
1e-05	1e-05	0.908173	1.3e-05	1e-05	1e-05	1e-05	1e-05	0.091714	1e-05	1e-05	1e-05	1e-05	CX11262
1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CX11264
0.436478	1e-05	0.454874	0.108548	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CX11271
0.192735	1e-05	0.630656	0.089087	1e-05	1e-05	0.060812	1e-05	1e-05	1e-05	1e-05	1e-05	0.02663	CX11276
0.34266	1e-05	0.378104	1e-05	1e-05	1e-05	1e-05	1e-05	0.279136	1e-05	1e-05	1e-05	1e-05	CX11285
1e-05	1e-05	0.877795	0.122095	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CX11292
0.015072	1e-05	0.643226	0.018709	1e-05	0.053433	0.201184	1e-05	1e-05	1e-05	0.068306	1e-05	1e-05	CX11307
1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CX11314
1e-05	1e-05	0.840749	0.091595	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.067556	1e-05	CX11315
0.015835	1e-05	1e-05	0.117388	1e-05	1e-05	0.156557	1e-05	1e-05	1e-05	0.71013	1e-05	1e-05	DL200
0.083416	1e-05	0.744921	0.072929	1e-05	1e-05	1e-05	1e-05	0.044508	1e-05	1e-05	1e-05	0.054146	DL226
1e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999878	1e-05	1e-05	1e-05	DL238
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	ECA189
1e-05	1.3e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999877	1e-05	1e-05	1e-05	1e-05	1e-05	ECA191
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	ECA252
1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA347
1e-05	1e-05	0.43978	1e-05	1e-05	1e-05	1e-05	1e-05	0.56011	1e-05	1e-05	1e-05	1e-05	ECA348
