A	B	C	D	E	F	G	H	I	J	K	L	M	samples
1e-05	1e-05	0.839326	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	0.160563	1e-05	ECA349
1e-05	0.999866	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1.9e-05	1e-05	1e-05	ECA36
1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA363
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	ECA369
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	ECA372
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	ECA396
1e-05	0.582449	1e-05	1e-05	1e-05	0.017868	1e-05	0.160176	1e-05	0.239417	1e-05	1e-05	1e-05	ECA701
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	ECA703
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	ECA705
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	ECA706
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	ECA710
1e-05	1e-05	1e-05	1e-05	0.779305	1e-05	1e-05	1e-05	0.220585	1e-05	1e-05	1e-05	1e-05	ECA712
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	ECA722
1e-05	1e-05	1e-05	1e-05	1.7e-05	2e-05	1e-05	0.999861	1.2e-05	1e-05	1e-05	1e-05	1e-05	ECA723
1e-05	0.990206	0.009684	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA724
1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	0.999865	1.7e-05	1e-05	1e-05	1e-05	1e-05	ECA730
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.3e-05	1e-05	0.999877	1e-05	1e-05	1e-05	ECA732
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	ECA733
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	ECA738
1e-05	0.999864	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	ECA740
1e-05	0.999877	1e-05	1e-05	1.2e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	ECA741
1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA742
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.900305	1e-05	0.062538	1e-05	0.037057	ECA743
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	ECA744
1e-05	1e-05	1.6e-05	1e-05	1e-05	1e-05	1e-05	0.999874	1e-05	1e-05	1e-05	1e-05	1e-05	ECA745
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	ECA746
1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA760
1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA768
1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA777
1e-05	1e-05	1e-05	1e-05	0.999878	1e-05	1e-05	1e-05	1.1e-05	1.1e-05	1e-05	1e-05	1e-05	ECA778
1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA807
1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA812
1e-05	1e-05	0.45417	1e-05	1e-05	1e-05	0.54572	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ED3005
0.13754	1e-05	0.495012	0.140739	1e-05	1e-05	0.226618	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ED3011
1e-05	1e-05	1e-05	0.289492	1.5e-05	1.6e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.710387	ED3012
1e-05	1e-05	1e-05	0.534981	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.464909	1e-05	1e-05	ED3017
0.713691	1e-05	1e-05	0.286199	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ED3040
0.297714	1e-05	1e-05	0.1231	1e-05	1e-05	0.579086	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ED3046
0.307558	1e-05	1e-05	0.692332	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ED3048
0.297282	1e-05	1e-05	0.108611	1e-05	1e-05	0.594007	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ED3049
0.73403	1e-05	1e-05	0.26586	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ED3052
0.028678	1e-05	1e-05	0.925189	1e-05	1e-05	0.046033	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ED3073
0.187631	1e-05	1e-05	0.775263	1e-05	0.001076	1e-05	1e-05	1e-05	1e-05	0.035941	1e-05	1e-05	ED3077
1e-05	1e-05	0.066231	0.686212	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.247457	EG4347
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.998367	1e-05	1e-05	1e-05	0.001523	1e-05	1e-05	EG4349
0.645259	1e-05	1e-05	0.091114	1e-05	1e-05	0.185185	1e-05	1e-05	1e-05	0.038331	1e-05	0.04003	EG4724
0.613607	1e-05	1e-05	0.07731	1e-05	0.225343	0.083651	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	EG4725
1e-05	1e-05	0.509097	0.467846	1e-05	1.3e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.022955	EG4946
0.096902	1e-05	1e-05	0.902988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	GXW1
0.0225	1e-05	1e-05	0.7002	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.135996	1e-05	0.141215	JT11398
0.195723	1e-05	1e-05	0.804167	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1088
1e-05	1e-05	0.912753	0.087137	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1172
1e-05	1e-05	1e-05	0.328601	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.671289	JU1200
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.07359	0.200873	1e-05	0.725437	JU1212
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	JU1213
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	JU1242
1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.751571	1e-05	0.248314	JU1246
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	0.999879	JU1249
1e-05	1e-05	1e-05	0.7636	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.23629	JU1395
0.211125	1e-05	1e-05	1e-05	1e-05	1e-05	0.507469	1e-05	1e-05	1e-05	0.281306	1e-05	1e-05	JU1400
0.235916	1e-05	1e-05	0.240231	1e-05	1e-05	0.467435	1e-05	1e-05	1e-05	1e-05	1e-05	0.056328	JU1409
0.127686	1e-05	1e-05	0.674233	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.192278	1e-05	0.005713	JU1440
0.664946	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.334944	1e-05	1e-05	JU1491
1e-05	1e-05	1e-05	0.385524	1e-05	1e-05	0.026291	1e-05	1e-05	1e-05	0.588086	1e-05	1e-05	JU1530
1e-05	1e-05	1e-05	0.367639	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	0.63225	JU1543
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	JU1568
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	JU1580
1e-05	1e-05	1e-05	0.205112	1e-05	1e-05	1e-05	1e-05	1e-05	0.051357	0.672213	1e-05	0.071228	JU1581
1e-05	1e-05	1e-05	0.148731	1e-05	1e-05	1e-05	1.1e-05	1e-05	1.2e-05	1e-05	1e-05	0.851156	JU1586
0.030234	1e-05	1e-05	0.413901	1e-05	0.00977	0.185364	1e-05	1e-05	1e-05	1e-05	1e-05	0.360651	JU1652
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.075159	1e-05	1e-05	1e-05	0.909079	1e-05	0.015662	JU1666
0.017367	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.298238	1e-05	0.684295	JU1792
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	0.999872	1.1e-05	1e-05	JU1793
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.672408	1e-05	1e-05	1e-05	0.123339	1e-05	0.204153	JU1808
1e-05	1e-05	1e-05	0.316395	1e-05	1e-05	1e-05	1e-05	1e-05	0.028483	1e-05	1e-05	0.655022	JU1896
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.899827	1e-05	0.100063	JU1934
0.261461	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.204196	0.503437	1e-05	0.030816	JU2001
0.179309	1e-05	1e-05	0.37199	1e-05	1e-05	0.273261	1e-05	1e-05	1e-05	0.17535	1e-05	1e-05	JU2007
1e-05	1e-05	0.859627	0.140263	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2016
0.065538	1e-05	0.377744	0.284713	1e-05	1e-05	0.018812	1e-05	1e-05	0.00828	1e-05	0.180142	0.064711	JU2017
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.852787	1e-05	0.147103	JU2106
0.14658	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.8184	1e-05	0.034921	JU2131
1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1e-05	1e-05	1e-05	0.779876	1e-05	0.220009	JU2141
0.03681	1e-05	1e-05	0.396368	1e-05	0.015637	1e-05	1e-05	1e-05	0.005159	1e-05	1e-05	0.545946	JU2234
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	JU2250
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	JU2257
1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2316
0.226222	1e-05	1e-05	0.58146	1e-05	1e-05	0.072892	1e-05	1e-05	1e-05	0.119336	1e-05	1e-05	JU2464
1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2466
1e-05	1e-05	0.414883	0.211689	1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	0.373327	1e-05	1e-05	JU2478
0.022543	1e-05	1e-05	0.831105	1e-05	1e-05	0.078932	1e-05	1e-05	1e-05	1e-05	1e-05	0.06733	JU2513
0.340281	1e-05	1e-05	1e-05	1e-05	0.659609	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2519
0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2522
1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2526
1e-05	1e-05	1e-05	0.550075	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.449815	1e-05	1e-05	JU2534
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	JU2565
1e-05	1e-05	1e-05	0.11682	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.104887	1e-05	0.778193	JU2566
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	JU2570
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.288081	1e-05	0.711809	JU2572
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.157097	1e-05	0.842793	JU2575
1e-05	1e-05	1e-05	0.340991	1e-05	1e-05	1e-05	1e-05	1e-05	0.079481	0.567816	0.006924	0.004709	JU2576
0.508301	1e-05	0.006245	0.485354	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2578
0.341737	1e-05	1e-05	1e-05	1e-05	0.328616	0.063389	1e-05	1e-05	0.113799	0.086463	1e-05	0.065925	JU258
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.682681	1e-05	1e-05	1e-05	1e-05	0.317209	1e-05	JU2581
0.723775	1e-05	1e-05	0.143872	1e-05	0.04603	1e-05	1e-05	1e-05	1e-05	0.086233	1e-05	1e-05	JU2586
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2587
0.070073	1e-05	1e-05	1e-05	1e-05	0.030032	1e-05	1.1e-05	1e-05	1e-05	0.074426	1e-05	0.825378	JU2592
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.845387	1e-05	1e-05	1e-05	1e-05	0.154503	1e-05	JU2593
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	JU2600
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	JU2610
0.091501	1e-05	0.22438	0.579046	1e-05	1e-05	0.104983	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2619
1e-05	1e-05	1e-05	0.156464	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.377482	1e-05	0.465954	JU2800
0.312548	1e-05	1e-05	0.35897	1e-05	0.023137	1e-05	1e-05	1.1e-05	1e-05	1e-05	0.305254	1e-05	JU2811
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	JU2825
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.821162	1e-05	1e-05	1e-05	1e-05	0.178728	1e-05	JU2829
0.549147	1e-05	0.085273	0.018818	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.019181	0.327501	1e-05	JU2838
1e-05	1e-05	1e-05	0.280457	1e-05	1e-05	0.46633	1e-05	1e-05	1e-05	0.253113	1e-05	1e-05	JU2841
0.367843	1e-05	1e-05	0.376351	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.255706	JU2853
0.125732	1e-05	0.508534	0.002481	1e-05	0.014777	0.223033	1e-05	1e-05	1e-05	0.114289	1e-05	0.011094	JU2862
1e-05	1e-05	0.760985	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.238905	1e-05	JU2866
0.123233	1e-05	0.08669	0.665055	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.124933	1e-05	JU2878
1e-05	1e-05	0.168806	0.183789	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.647305	1e-05	JU2879
1e-05	1e-05	1e-05	0.526975	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.27053	1e-05	0.202395	JU2906
1e-05	1e-05	1e-05	0.486278	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.513612	JU2907
1e-05	1e-05	1e-05	0.405455	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.594435	1e-05	1e-05	JU310
1e-05	1e-05	1e-05	0.072502	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.1328	1e-05	0.794598	JU311
0.447092	1e-05	1e-05	0.401314	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.151494	JU3125
0.535918	1e-05	0.089435	0.196405	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.178153	JU3127
1e-05	1e-05	1e-05	0.767958	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.231932	1e-05	1e-05	JU3128
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	JU3132
0.092889	1e-05	1e-05	0.539372	1e-05	1e-05	0.25066	1e-05	1e-05	1e-05	0.105763	1e-05	0.011236	JU3134
1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU3135
0.441916	1e-05	1e-05	0.078182	1e-05	1e-05	1e-05	1e-05	0.04059	1.5e-05	0.280049	1e-05	0.159178	JU3137
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	JU3140
0.067577	1e-05	1e-05	1e-05	1e-05	1e-05	0.932313	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU3144
0.180339	1e-05	1e-05	0.394065	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.425496	1e-05	1e-05	JU323
1e-05	1e-05	1e-05	0.50156	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.49833	1e-05	1e-05	JU346
1e-05	1e-05	1e-05	0.189854	1e-05	1e-05	0.807242	1e-05	1e-05	1e-05	0.002804	1e-05	1e-05	JU360
1e-05	1e-05	1e-05	0.045013	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.954877	JU367
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.845495	1e-05	0.154395	JU393
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	JU394
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.789496	1e-05	0.210394	JU397
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	JU406
1e-05	1e-05	1e-05	0.211965	1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	0.144182	1e-05	0.643746	JU440
1e-05	1e-05	1e-05	0.791801	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.02051	1e-05	0.18759	JU561
0.245946	1e-05	1e-05	0.431666	1e-05	1e-05	0.070208	1e-05	1e-05	1e-05	0.25209	1e-05	1e-05	JU642
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU751
0.648674	1e-05	1e-05	0.237512	0.052554	1e-05	0.06117	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU774
0.083243	1e-05	1e-05	1e-05	1e-05	0.916643	1e-05	1e-05	1e-05	1.5e-05	1e-05	1e-05	1e-05	JU775
0.947661	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.052229	1e-05	1e-05	1e-05	1e-05	JU778
0.526923	1e-05	1e-05	0.033214	1.1e-05	0.439759	1.1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	JU782
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	1e-05	JU792
1e-05	1e-05	1e-05	0.277549	1e-05	1e-05	0.722341	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU830
1e-05	1e-05	1e-05	0.277382	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.559636	1e-05	0.162882	JU847
0.129762	1e-05	0.282816	0.54039	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.046942	1e-05	1e-05	KR314
0.99988	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	LKC34
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	LSJ1
0.563426	1e-05	1e-05	0.254623	1e-05	1e-05	0.181851	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY1
0.095802	1e-05	1e-05	0.475004	1e-05	0.23711	0.191994	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY10
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	MY16
1e-05	1e-05	1e-05	1e-05	1.1e-05	1.2e-05	0.872558	1e-05	1e-05	1e-05	1e-05	1e-05	0.127329	MY18
1e-05	1e-05	1e-05	0.114973	1e-05	1e-05	1e-05	1e-05	0.022418	1e-05	0.400876	1e-05	0.461643	MY2147
1e-05	1e-05	1e-05	0.703348	1e-05	1e-05	0.192162	1e-05	1e-05	1e-05	0.10439	1e-05	1e-05	MY2212
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99988	1e-05	MY23
0.098343	1e-05	1e-05	0.054471	1e-05	1e-05	0.12486	1e-05	1e-05	1e-05	0.193108	1e-05	0.529138	MY2453
0.058043	1e-05	1e-05	0.76	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.181857	1e-05	1e-05	MY2530
0.174273	1e-05	1e-05	0.705747	1e-05	1e-05	0.028294	1e-05	1e-05	1e-05	0.091597	1e-05	1e-05	MY2535
1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.661771	1e-05	0.338118	MY2573
