A	B	C	D	E	F	G	H	I	J	K	L	M	N	samples
1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA777
1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA778
1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA807
1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA812
1e-05	1e-05	1e-05	1e-05	1e-05	0.248358	1e-05	0.056029	0.626801	1e-05	0.068712	1e-05	1e-05	1e-05	ED3005
1e-05	1e-05	1e-05	1e-05	1e-05	0.281434	0.070926	1e-05	0.257024	1e-05	0.390515	1e-05	1e-05	1e-05	ED3011
1e-05	0.744064	1.6e-05	1e-05	1e-05	1e-05	1e-05	0.197324	1e-05	1e-05	0.058496	1e-05	1e-05	1e-05	ED3012
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.69403	1e-05	0.30585	1e-05	1e-05	1e-05	1e-05	ED3017
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.593709	0.112451	1e-05	1e-05	0.293729	1e-05	1e-05	1e-05	ED3040
1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	0.204311	1e-05	0.257839	0.179516	0.358233	1e-05	1e-05	1e-05	ED3046
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.191224	1e-05	1e-05	1e-05	0.808656	1e-05	1e-05	1e-05	ED3048
1e-05	1e-05	1.7e-05	1.5e-05	1e-05	1e-05	0.208111	1e-05	0.268262	0.169711	0.353795	1.9e-05	1e-05	1e-05	ED3049
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.648314	1e-05	1e-05	1e-05	0.351566	1e-05	1e-05	1e-05	ED3052
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.093362	1e-05	1e-05	0.906518	1e-05	1e-05	1e-05	ED3073
1e-05	1e-05	0.070873	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.020817	0.908199	1e-05	1e-05	1e-05	ED3077
1e-05	0.268524	1e-05	1e-05	1e-05	0.074085	1e-05	0.511688	1e-05	1e-05	0.145602	1e-05	1e-05	1e-05	EG4347
1e-05	1e-05	0.150662	1.2e-05	1.1e-05	1e-05	0.041007	0.409905	0.345428	1e-05	0.052904	1e-05	1e-05	1e-05	EG4349
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.589016	0.203689	1e-05	0.13222	0.074976	1e-05	1e-05	1e-05	EG4724
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.664783	0.02729	1e-05	1e-05	0.13084	1e-05	1e-05	0.176988	EG4725
1e-05	1e-05	1e-05	1e-05	1e-05	0.44803	1e-05	0.536692	1e-05	1e-05	0.015168	1e-05	1e-05	1e-05	EG4946
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	GXW1
1e-05	0.115582	1e-05	1e-05	1e-05	1e-05	1e-05	0.884298	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JT11398
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.3e-05	1e-05	0.999867	1e-05	1e-05	1e-05	JU1088
1e-05	1e-05	1e-05	1e-05	1e-05	0.745813	1e-05	1e-05	1e-05	1e-05	0.254067	1e-05	1e-05	1e-05	JU1172
1e-05	0.731786	1e-05	1e-05	1e-05	1e-05	1.5e-05	0.098168	1e-05	1e-05	0.169931	1e-05	1e-05	1e-05	JU1200
1e-05	0.634632	0.365248	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	JU1212
1e-05	1e-05	0.463257	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.536623	1e-05	1e-05	1e-05	1e-05	JU1213
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	JU1242
1e-05	0.231152	0.768728	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1246
1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1249
1e-05	0.233557	1e-05	1e-05	1e-05	1e-05	1e-05	0.591493	1e-05	1e-05	0.17484	1e-05	1e-05	1e-05	JU1395
1e-05	1e-05	0.013156	1e-05	1e-05	1e-05	0.252966	0.243857	1e-05	0.371721	0.055486	1e-05	1e-05	0.062734	JU1400
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.166043	0.47496	1e-05	0.117796	0.241101	1e-05	1e-05	1e-05	JU1409
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1440
1e-05	1e-05	0.142307	1e-05	1e-05	1e-05	0.647063	1e-05	1e-05	0.21052	1e-05	1e-05	1e-05	1e-05	JU1491
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.640387	1e-05	0.359493	1e-05	1e-05	1e-05	1e-05	JU1530
1e-05	0.642074	1e-05	1e-05	1e-05	1e-05	1e-05	0.357806	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1543
1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1568
1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1580
1e-05	1e-05	0.580082	1e-05	1e-05	1e-05	1e-05	0.40686	1e-05	0.012949	1e-05	1e-05	1e-05	1e-05	JU1581
1e-05	0.887269	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.112611	1e-05	1e-05	1e-05	JU1586
1e-05	0.303397	0.044991	1e-05	1e-05	1e-05	0.014512	0.407452	1e-05	1e-05	0.207063	1e-05	1e-05	0.022504	JU1652
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	JU1666
1e-05	0.625038	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.374842	1e-05	1e-05	1e-05	1e-05	JU1792
1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1793
1e-05	0.113844	1e-05	1e-05	1e-05	1e-05	1e-05	0.090386	0.589697	0.205973	1e-05	1e-05	1e-05	1e-05	JU1808
0.02	0.597888	1e-05	1e-05	1e-05	1e-05	1e-05	0.382002	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1896
1e-05	0.013236	0.602537	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.384118	1e-05	1e-05	1e-05	1e-05	JU1934
0.187267	1e-05	1e-05	1e-05	1e-05	1e-05	0.165871	1e-05	1e-05	0.646752	1e-05	1e-05	1e-05	1e-05	JU2001
1e-05	1e-05	0.151538	1e-05	1e-05	1e-05	0.155771	0.692581	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2007
1e-05	1e-05	1e-05	1e-05	1e-05	0.674122	1.9e-05	1e-05	1e-05	1e-05	0.32575	1e-05	1e-05	1e-05	JU2016
0.078264	0.087201	0.002018	1e-05	0.062927	0.339304	0.012712	1e-05	0.012709	1e-05	0.404804	1e-05	1e-05	1e-05	JU2017
1e-05	0.134697	0.636446	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	0.228743	1e-05	1e-05	1e-05	1e-05	JU2106
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	JU2131
1e-05	0.187867	0.248351	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.563673	1e-05	1e-05	1e-05	1e-05	JU2141
0.000504	0.515924	1e-05	1e-05	1e-05	1e-05	0.030126	0.291909	1e-05	1e-05	0.161447	1e-05	1e-05	1e-05	JU2234
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	JU2250
1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2257
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	JU2316
1e-05	1e-05	0.088036	1e-05	1e-05	1e-05	0.141839	1e-05	1e-05	0.070905	0.699121	1e-05	1e-05	1e-05	JU2464
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	JU2466
1e-05	1e-05	1e-05	1e-05	1e-05	0.310979	1e-05	1e-05	1e-05	0.436783	0.252128	1e-05	1e-05	1e-05	JU2478
1e-05	0.056404	1e-05	1e-05	1e-05	1e-05	1e-05	0.287136	1e-05	0.05627	0.60009	1e-05	1e-05	1e-05	JU2513
1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	0.370912	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.628961	JU2519
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2522
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	JU2526
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.304236	1e-05	0.442865	0.252789	1e-05	1e-05	1e-05	JU2534
1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2565
1e-05	0.721579	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.19022	0.088091	1e-05	1e-05	1e-05	JU2566
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	JU2570
1e-05	0.666871	1e-05	1e-05	1e-05	1e-05	1e-05	0.030132	1e-05	0.302886	1e-05	1e-05	1e-05	1e-05	JU2572
1e-05	0.81304	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.18684	1e-05	1e-05	1e-05	1e-05	JU2575
0.058605	0.016903	0.249286	1.1e-05	1e-05	1e-05	1e-05	0.040606	1e-05	0.355013	0.279507	1e-05	1e-05	1e-05	JU2576
1.6e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.394976	1e-05	1e-05	1e-05	0.604898	1e-05	1e-05	1e-05	JU2578
0.100059	0.051076	0.080676	1e-05	1e-05	1e-05	0.346633	0.107639	1e-05	1e-05	1e-05	1e-05	1e-05	0.313837	JU258
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	JU2581
1e-05	1e-05	0.069659	1e-05	1e-05	1e-05	0.653933	0.25249	1e-05	1e-05	1e-05	1e-05	1e-05	0.023818	JU2586
1e-05	1e-05	0.028493	1e-05	1e-05	0.03525	1e-05	0.435596	0.500561	1e-05	1e-05	1e-05	1e-05	1e-05	JU2587
1e-05	0.789718	1e-05	1e-05	1e-05	1e-05	0.073005	1e-05	1e-05	0.103463	1e-05	1e-05	1e-05	0.033714	JU2592
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.282128	0.717752	1e-05	1e-05	1e-05	1e-05	1e-05	JU2593
1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2600
1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2610
1e-05	1e-05	1e-05	1e-05	1e-05	0.141884	0.120748	1e-05	1e-05	1e-05	0.737258	1e-05	1e-05	1e-05	JU2619
1e-05	0.41214	0.024354	1e-05	1e-05	1e-05	1e-05	0.295788	1e-05	0.267619	1e-05	1e-05	1e-05	1e-05	JU2800
1e-05	1e-05	0.055567	1e-05	0.099294	1e-05	0.157966	1e-05	1e-05	1e-05	0.565215	1e-05	1e-05	0.121867	JU2811
1e-05	0.914119	0.085761	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2825
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.917303	1e-05	0.082577	1e-05	1e-05	1e-05	JU2829
0.059361	1e-05	0.00851	1e-05	1e-05	0.037702	0.492934	0.050073	0.351341	1e-05	1e-05	1e-05	1e-05	1e-05	JU2838
1e-05	1e-05	0.40543	1e-05	1e-05	1e-05	1e-05	0.219997	1e-05	1e-05	0.374463	1e-05	1e-05	1e-05	JU2841
1e-05	0.289155	1e-05	1.1e-05	1e-05	1e-05	0.307341	0.028708	1e-05	1e-05	0.374695	1e-05	1e-05	1e-05	JU2853
1e-05	1e-05	1e-05	1e-05	1e-05	0.451983	0.097061	0.389794	1e-05	0.061062	1e-05	1e-05	1e-05	1e-05	JU2862
1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2866
1e-05	1e-05	1e-05	1e-05	1e-05	0.146882	0.0474	1e-05	1e-05	1e-05	0.805608	1e-05	1e-05	1e-05	JU2878
1e-05	1e-05	1e-05	1e-05	0.196176	0.26549	1e-05	1e-05	0.414995	1e-05	0.123239	1e-05	1e-05	1e-05	JU2879
1e-05	0.19172	1e-05	1e-05	1e-05	1e-05	1e-05	0.556274	1e-05	0.185277	0.066629	1e-05	1e-05	1e-05	JU2906
1e-05	0.558745	1e-05	1e-05	1e-05	1e-05	1e-05	0.197945	1e-05	1e-05	0.2432	1e-05	1e-05	1e-05	JU2907
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.621441	1e-05	0.378437	1e-05	1.1e-05	1e-05	1e-05	JU310
1e-05	0.734218	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.021218	0.200616	0.043848	1e-05	1e-05	1e-05	JU311
1e-05	0.167349	1e-05	1e-05	1e-05	1e-05	0.444613	0.233801	1e-05	1e-05	0.154137	1e-05	1e-05	1e-05	JU3125
1e-05	0.197002	1e-05	1e-05	1e-05	1e-05	0.621288	1e-05	1e-05	1e-05	0.181599	1e-05	1e-05	1e-05	JU3127
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.693915	1e-05	0.127271	0.178704	1e-05	1e-05	1e-05	JU3128
1e-05	1e-05	0.260009	1e-05	1e-05	1e-05	1e-05	0.168962	1e-05	0.570918	1e-05	1e-05	1e-05	1e-05	JU3132
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.07417	0.531044	1e-05	0.102556	0.29213	1e-05	1e-05	1e-05	JU3134
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	JU3135
1e-05	0.067358	1e-05	1e-05	0.020089	1e-05	0.351658	0.098342	1e-05	0.417423	0.045051	1e-05	1e-05	1e-05	JU3137
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	JU3140
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.139309	0.189863	0.265112	0.120688	0.284939	1e-05	1e-05	1e-05	JU3144
2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.527407	0.472463	1e-05	1e-05	1e-05	JU323
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.702378	1e-05	0.297502	1e-05	1e-05	1e-05	1e-05	JU346
1e-05	1e-05	0.062959	1e-05	1e-05	1e-05	1e-05	0.579541	0.35739	1e-05	1e-05	1e-05	1e-05	1e-05	JU360
1e-05	0.964073	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.035807	1e-05	1e-05	1e-05	JU367
1e-05	0.057781	0.802371	1e-05	1e-05	1e-05	1e-05	0.139728	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	JU393
1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU394
1e-05	0.199489	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.800391	1e-05	1e-05	1e-05	1e-05	JU397
1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU406
1e-05	0.64568	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.175657	0.178552	1e-05	1e-05	1e-05	JU440
1e-05	0.155796	1e-05	1e-05	1e-05	1e-05	1e-05	0.5113	1e-05	1e-05	0.332794	1e-05	1e-05	1e-05	JU561
1e-05	1e-05	0.016276	1e-05	1e-05	1e-05	0.209565	0.544726	1e-05	0.135959	0.093384	1e-05	1e-05	1e-05	JU642
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.314015	0.685865	1e-05	1e-05	1e-05	1e-05	1e-05	JU751
1e-05	1e-05	1e-05	1e-05	0.058937	1e-05	0.57462	0.174773	1e-05	1e-05	0.19157	1e-05	1e-05	1e-05	JU774
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	JU775
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU778
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.531347	0.080834	1e-05	1e-05	1e-05	1e-05	1e-05	0.387709	JU782
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	JU792
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.36966	0.361686	1e-05	0.268544	1e-05	1e-05	1e-05	JU830
1e-05	0.134375	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.657227	0.208289	1e-05	1e-05	1e-05	JU847
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.110718	1e-05	0.151069	0.045558	0.692555	1e-05	1e-05	1e-05	KR314
