A	B	C	D	E	F	G	H	I	J	K	L	M	N	samples
1e-05	0.32626	1e-05	1e-05	1e-05	1e-05	1e-05	0.67362	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	AB1
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	BRC20067
1e-05	1e-05	0.072035	1e-05	0.025326	1e-05	0.234109	1e-05	1e-05	1e-05	0.668431	1e-05	1e-05	1e-05	BRC20263
1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4851
1e-05	0.215996	1e-05	1e-05	1e-05	1e-05	1e-05	0.571548	1e-05	1e-05	0.212346	1e-05	1e-05	1e-05	CB4852
1e-05	1e-05	1e-05	1e-05	1e-05	0.629396	1e-05	1e-05	1e-05	1e-05	0.370484	1e-05	1e-05	1e-05	CB4853
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.314941	1e-05	1e-05	1e-05	0.684939	1e-05	1e-05	1e-05	CB4854
1.9e-05	1e-05	1e-05	1.9e-05	1e-05	0.756706	1e-05	1e-05	1e-05	1e-05	0.243156	1e-05	1e-05	1e-05	CB4855
0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4856
1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4857
1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4858
1e-05	0.543656	1e-05	1e-05	1e-05	1e-05	1.1e-05	0.042844	1e-05	0.41339	1e-05	1e-05	1e-05	1e-05	CB4932
1e-05	1e-05	1e-05	1e-05	1e-05	0.653503	0.199731	0.052329	0.024167	1e-05	0.070181	1e-05	1e-05	1e-05	CX11254
1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CX11262
1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CX11264
1e-05	1e-05	1e-05	1e-05	1e-05	0.303954	0.322787	0.31443	1e-05	1e-05	0.05873	1e-05	1e-05	1e-05	CX11271
1e-05	0.00281	1e-05	1e-05	1e-05	0.620794	0.102025	0.195991	1e-05	1e-05	0.07829	1e-05	1e-05	1e-05	CX11276
1e-05	1e-05	1e-05	1e-05	1e-05	0.664562	0.335318	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CX11285
1e-05	1e-05	1e-05	1e-05	1e-05	0.690056	1e-05	1e-05	1e-05	1e-05	0.309824	1e-05	1e-05	1e-05	CX11292
1e-05	1e-05	0.013281	1e-05	1e-05	0.599848	0.026435	1e-05	1e-05	0.098209	0.21952	1e-05	1e-05	0.042627	CX11307
1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CX11314
1e-05	1e-05	1e-05	1e-05	1e-05	0.827591	1e-05	1e-05	1e-05	1e-05	0.172289	1e-05	1e-05	1e-05	CX11315
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.827347	0.172533	1e-05	1e-05	1e-05	DL200
1e-05	0.061574	1e-05	1e-05	1e-05	0.694541	0.052002	1e-05	0.027403	1e-05	0.16439	1e-05	1e-05	1e-05	DL226
0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	DL238
1e-05	1e-05	1e-05	1e-05	0.842862	0.157018	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA189
1e-05	1e-05	1e-05	0.609557	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.390323	1e-05	ECA191
1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA252
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	ECA347
1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA348
1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA349
1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	ECA36
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	ECA363
0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA369
1e-05	1e-05	1.5e-05	1e-05	0.758331	0.226158	0.015396	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA372
1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA396
0.133783	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.300821	0.521417	0.043879	ECA701
0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA703
1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA705
0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA706
1e-05	1e-05	1e-05	1e-05	0.927805	0.072075	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA710
1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA712
1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA722
1e-05	1e-05	1e-05	1e-05	1.5e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999865	1e-05	ECA723
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	ECA724
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	ECA730
0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA732
0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA733
1e-05	1e-05	1e-05	1e-05	0.715434	0.284446	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA738
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	ECA740
1e-05	1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999862	1e-05	1e-05	ECA741
1e-05	1e-05	1.5e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	0.999861	1e-05	1e-05	ECA742
1e-05	0.013692	1e-05	1e-05	0.843711	0.007097	1e-05	1e-05	1e-05	0.082873	0.052537	1e-05	1e-05	1e-05	ECA743
1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA744
1e-05	1e-05	1e-05	0.999863	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	ECA745
1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA746
1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA760
1e-05	1e-05	1e-05	1e-05	0.99987	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA768
