A	B	C	D	E	F	G	H	samples
0.524534	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.475406	AB1
0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	BRC20067
0.382066	1e-05	0.029744	0.059128	1e-05	1e-05	0.529022	1e-05	BRC20263
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	CB4851
0.748044	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.251896	CB4852
0.330678	1e-05	1e-05	0.669262	1e-05	1e-05	1e-05	1e-05	CB4853
0.546738	1e-05	1e-05	1e-05	1e-05	1e-05	0.453202	1e-05	CB4854
0.176765	1e-05	1e-05	0.823175	1e-05	1e-05	1e-05	1e-05	CB4855
1e-05	0.066637	0.898443	1e-05	0.011324	1e-05	0.023556	1e-05	CB4856
1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	CB4857
1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	CB4858
1e-05	0.390628	1e-05	1e-05	1e-05	1e-05	1e-05	0.609312	CB4932
0.191471	1e-05	1e-05	0.623121	1e-05	1e-05	0.185358	1e-05	CX11254
1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	CX11262
1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	CX11264
0.352247	1e-05	1e-05	0.263098	1e-05	1e-05	0.384606	1e-05	CX11271
0.263417	1e-05	1e-05	0.544252	1e-05	1e-05	0.165713	0.026578	CX11276
1e-05	1e-05	1e-05	0.665649	1e-05	1e-05	0.334291	1e-05	CX11285
0.26138	1e-05	1e-05	0.73856	1e-05	1e-05	1e-05	1e-05	CX11292
0.263558	0.066991	1e-05	0.592672	0.039412	1e-05	0.037337	1e-05	CX11307
1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	CX11314
0.146318	1e-05	1e-05	0.853622	1e-05	1e-05	1e-05	1e-05	CX11315
0.272705	0.727235	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	DL200
0.121314	1e-05	1e-05	0.752488	1e-05	1e-05	0.073885	0.052273	DL226
1e-05	0.128667	0.841205	1e-05	0.030078	1e-05	1e-05	1e-05	DL238
1e-05	1e-05	0.703428	0.274966	1e-05	1e-05	0.021556	1e-05	ECA189
1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	ECA191
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	ECA252
1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	ECA347
1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	ECA348
1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	ECA349
1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	ECA36
1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	ECA363
0.028786	0.079901	0.61117	1e-05	0.093449	0.186665	1e-05	1e-05	ECA369
1e-05	1e-05	0.658711	0.282928	1e-05	1e-05	0.058311	1e-05	ECA372
1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	ECA396
1e-05	1e-05	0.058722	1e-05	0.100386	0.840843	1e-05	1e-05	ECA701
1e-05	1e-05	0.882671	1e-05	1e-05	0.117269	1e-05	1e-05	ECA703
1e-05	1e-05	0.85201	0.14793	1e-05	1e-05	1e-05	1e-05	ECA705
1e-05	0.043134	0.956806	1e-05	1e-05	1e-05	1e-05	1e-05	ECA706
1e-05	1e-05	0.835537	0.164403	1e-05	1e-05	1e-05	1e-05	ECA710
1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	ECA712
1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	ECA722
1.1e-05	1e-05	1.2e-05	1.4e-05	1e-05	0.999923	1e-05	1e-05	ECA723
