A	B	C	D	E	F	G	H	samples
1e-05	1e-05	1e-05	0.076818	1e-05	0.923122	1e-05	1e-05	ECA724
1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	ECA730
1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	ECA732
1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	ECA733
1e-05	1e-05	0.616648	0.383292	1e-05	1e-05	1e-05	1e-05	ECA738
1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	ECA740
1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	ECA741
1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	ECA742
1e-05	1e-05	0.836587	0.116414	1e-05	1e-05	1e-05	0.046949	ECA743
1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	ECA744
1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	ECA745
1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	ECA746
1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	ECA760
1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	ECA768
1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	ECA777
1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	ECA778
1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	ECA807
1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	ECA812
0.269623	1e-05	1e-05	0.730317	1e-05	1e-05	1e-05	1e-05	ED3005
0.309742	1e-05	1e-05	0.563699	1.7e-05	1e-05	0.126502	1e-05	ED3011
0.254643	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.745297	ED3012
0.514374	0.436929	1e-05	1e-05	1e-05	1e-05	1e-05	0.048647	ED3017
0.347364	1e-05	1e-05	1e-05	1e-05	1e-05	0.652576	1e-05	ED3040
0.648687	0.147072	1e-05	1e-05	1e-05	1e-05	0.204191	1e-05	ED3046
0.761065	1e-05	1.3e-05	1.4e-05	1e-05	1e-05	0.238869	1e-05	ED3048
0.649416	0.140849	1e-05	1e-05	1e-05	1e-05	0.209686	1e-05	ED3049
0.272007	1e-05	1e-05	1e-05	1e-05	1e-05	0.727933	1e-05	ED3052
0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ED3073
0.798578	0.028518	1e-05	1e-05	0.01218	1e-05	0.160683	1e-05	ED3077
0.641191	1e-05	1e-05	0.066513	1e-05	1e-05	1e-05	0.292247	EG4347
0.732722	0.149434	1e-05	1e-05	0.117794	1e-05	1e-05	1e-05	EG4349
0.241499	0.111919	1e-05	1e-05	1e-05	1e-05	0.624913	0.021629	EG4724
0.134432	1e-05	1e-05	1e-05	0.23544	1e-05	0.630078	1e-05	EG4725
0.521487	1e-05	1e-05	0.412826	1.1e-05	1e-05	1e-05	0.065637	EG4946
0.921863	1e-05	1e-05	1e-05	1e-05	1e-05	0.078077	1e-05	GXW1
0.705142	0.10231	1e-05	1e-05	1e-05	1e-05	0.006746	0.185762	JT11398
0.824224	1e-05	1e-05	1e-05	1e-05	1e-05	0.175716	1e-05	JU1088
0.23834	1e-05	1e-05	0.7616	1e-05	1e-05	1e-05	1e-05	JU1172
0.286885	1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	0.713047	JU1200
1e-05	0.265578	1e-05	1e-05	0.003019	1e-05	1e-05	0.731353	JU1212
1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1213
1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1242
1e-05	0.751487	1e-05	1e-05	1e-05	1e-05	1e-05	0.248453	JU1246
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	JU1249
0.70483	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.29511	JU1395
0.285994	0.368027	1e-05	1e-05	0.053237	1e-05	0.292702	1e-05	JU1400
0.700891	0.113461	1e-05	1e-05	1e-05	1e-05	0.185598	1e-05	JU1409
0.719217	0.166491	1e-05	1e-05	1.1e-05	1e-05	0.100007	0.014244	JU1440
1e-05	0.343168	1e-05	1e-05	1e-05	1e-05	0.656772	1e-05	JU1491
0.421639	0.578301	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1530
0.324279	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.675661	JU1543
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	JU1568
1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1580
0.154551	0.707302	1e-05	1e-05	1e-05	1e-05	1e-05	0.138097	JU1581
0.12369	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.87625	JU1586
0.580521	1e-05	1e-05	1e-05	0.033912	1e-05	0.033655	0.351872	JU1652
1e-05	0.966465	1e-05	1.2e-05	1e-05	1e-05	1e-05	0.033473	JU1666
1e-05	0.305949	1e-05	1e-05	1e-05	1e-05	1e-05	0.693991	JU1792
1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1793
0.150353	0.277098	1e-05	0.287881	1e-05	1e-05	1e-05	0.284628	JU1808
0.301396	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.698544	JU1896
1e-05	0.901459	1e-05	1e-05	1e-05	1e-05	1e-05	0.098481	JU1934
1e-05	0.529081	0.172533	1e-05	1.9e-05	1e-05	0.254819	0.043518	JU2001
0.642403	0.16977	1e-05	1e-05	0.061323	1.8e-05	0.126455	1e-05	JU2007
0.305105	1e-05	1e-05	0.694835	1e-05	1e-05	1e-05	1e-05	JU2016
0.305665	1e-05	0.116454	0.374149	1e-05	1e-05	0.132213	0.071489	JU2017
1e-05	0.853199	1e-05	1e-05	1e-05	1e-05	1e-05	0.146741	JU2106
1e-05	0.826277	1e-05	1e-05	1e-05	1e-05	0.14039	0.033283	JU2131
1e-05	0.769633	1e-05	1e-05	1e-05	1e-05	1e-05	0.230307	JU2141
0.391419	1e-05	1e-05	1e-05	0.02416	1e-05	0.017919	0.566462	JU2234
1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2250
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	JU2257
1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	JU2316
0.661132	0.129831	1e-05	1e-05	1e-05	1e-05	0.208987	1e-05	JU2464
0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2466
0.270873	0.379415	1.5e-05	0.349657	1e-05	1e-05	1e-05	1e-05	JU2478
0.884266	1e-05	1e-05	1e-05	1e-05	1e-05	0.015588	0.100096	JU2513
1e-05	1e-05	1e-05	1e-05	0.599676	1e-05	0.400264	1e-05	JU2519
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	JU2522
1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	JU2526
0.556298	0.443642	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2534
1.3e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999927	JU2565
0.11158	0.094564	1e-05	1e-05	1e-05	1e-05	1e-05	0.793806	JU2566
1e-05	0.999928	1.2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2570
1e-05	0.288413	1e-05	1e-05	1e-05	1e-05	1e-05	0.711527	JU2572
1e-05	0.136394	1e-05	1e-05	1e-05	1e-05	1e-05	0.863546	JU2575
0.344095	0.562074	0.062397	1e-05	0.001082	1e-05	1e-05	0.030322	JU2576
0.530318	1e-05	1e-05	1e-05	1e-05	1e-05	0.469622	1e-05	JU2578
0.033655	0.111982	1e-05	1e-05	0.396232	1e-05	0.374133	0.083968	JU258
0.537769	1e-05	0.225765	0.236416	1e-05	1e-05	1e-05	1e-05	JU2581
0.169545	0.089345	1e-05	1e-05	0.035053	1e-05	0.706018	1e-05	JU2586
0.672927	0.118196	1e-05	0.173181	0.029996	1e-05	0.005669	1e-05	JU2587
1e-05	0.073505	1e-05	1e-05	0.026343	1e-05	0.07447	0.825643	JU2592
0.737329	0.012938	0.200348	0.049345	1e-05	1e-05	1e-05	1e-05	JU2593
1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2600
1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2610
0.705198	1e-05	1e-05	0.176836	1e-05	1e-05	0.117916	1e-05	JU2619
0.150298	0.373073	1e-05	1e-05	1e-05	1e-05	1e-05	0.476579	JU2800
0.31831	1e-05	0.117519	1e-05	0.031829	1e-05	0.532301	1e-05	JU2811
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	JU2825
0.66651	1e-05	0.157191	0.147991	0.028268	1e-05	1e-05	1e-05	JU2829
0.068234	0.03374	0.236769	0.123356	1e-05	1e-05	0.53787	1e-05	JU2838
0.64957	0.282281	1e-05	1e-05	0.068099	1e-05	1e-05	1e-05	JU2841
0.419856	1e-05	1e-05	1e-05	1e-05	1e-05	0.320315	0.259779	JU2853
0.324926	0.148171	1e-05	0.402805	0.000634	1e-05	0.120632	0.002813	JU2862
1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	JU2866
0.670196	1e-05	1e-05	0.192382	1e-05	1e-05	0.137372	1e-05	JU2878
0.19118	1e-05	0.326193	0.482577	1e-05	1e-05	1e-05	1e-05	JU2879
0.502001	0.259362	1e-05	1e-05	1e-05	1e-05	1e-05	0.238587	JU2906
0.461184	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.538756	JU2907
0.408395	0.591545	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU310
0.056271	0.115449	1e-05	1e-05	1e-05	1e-05	1e-05	0.82823	JU311
0.404775	1e-05	1e-05	1e-05	1e-05	1e-05	0.427958	0.167216	JU3125
0.244792	1e-05	1e-05	1e-05	1e-05	1e-05	0.574962	0.180197	JU3127
0.759543	0.220633	1e-05	1e-05	1e-05	1e-05	1e-05	0.019774	JU3128
1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU3132
0.771537	0.127786	1e-05	1e-05	1e-05	1e-05	0.088158	0.012479	JU3134
0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU3135
0.09244	0.281018	0.005181	1e-05	1e-05	1e-05	0.462191	0.159141	JU3137
1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU3140
0.59174	0.209635	1e-05	1e-05	1e-05	1e-05	0.198575	1e-05	JU3144
0.380285	0.43334	1e-05	1e-05	1e-05	1e-05	0.186325	1e-05	JU323
0.502912	0.497028	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU346
0.750066	0.134852	1e-05	0.087781	0.027262	1e-05	1e-05	1e-05	JU360
0.053861	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.946079	JU367
2.4e-05	0.847305	1e-05	1e-05	1e-05	1e-05	1e-05	0.152621	JU393
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	JU394
1e-05	0.787893	1e-05	1e-05	1e-05	1e-05	1e-05	0.212047	JU397
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	JU406
0.179981	0.137192	1e-05	1e-05	1e-05	1e-05	1e-05	0.682777	JU440
0.757989	0.023741	1e-05	1e-05	1e-05	1e-05	1e-05	0.21822	JU561
0.543494	0.258827	1e-05	1e-05	1e-05	1e-05	0.197629	1e-05	JU642
0.674534	0.102227	0.045329	0.151931	0.025949	1e-05	1e-05	1e-05	JU751
0.336904	1e-05	0.052858	1e-05	1e-05	1e-05	0.610188	1e-05	JU774
1e-05	1e-05	1e-05	1e-05	0.88354	1e-05	0.1164	1e-05	JU775
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	JU778
1e-05	0.006774	1e-05	1e-05	0.364204	1e-05	0.608882	0.0201	JU782
1e-05	0.999929	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU792
0.842311	0.028575	1e-05	0.100453	1e-05	1e-05	0.028622	1e-05	JU830
0.26781	0.550312	1e-05	1e-05	1e-05	1e-05	1e-05	0.181828	JU847
0.595456	0.041842	1e-05	0.244521	1e-05	1e-05	0.118141	1e-05	KR314
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	LKC34
1e-05	1e-05	1e-05	1e-05	1e-05	1.2e-05	1e-05	0.999928	LSJ1
0.472833	1e-05	1e-05	1e-05	1e-05	1e-05	0.527107	1e-05	MY1
0.634845	0.009443	1e-05	1e-05	0.246508	1e-05	0.109164	1e-05	MY10
1e-05	0.018901	0.558649	0.136424	1e-05	1.1e-05	1e-05	0.285985	MY16
0.162908	0.155135	1e-05	0.436225	0.067039	1e-05	1e-05	0.178662	MY18
0.079107	0.406013	1.4e-05	1e-05	1.3e-05	1e-05	1e-05	0.514823	MY2147
0.825534	0.130269	1e-05	1e-05	1e-05	1e-05	1e-05	0.044146	MY2212
1e-05	1e-05	0.854969	0.144971	1e-05	1e-05	1e-05	1e-05	MY23
0.129965	0.218211	1e-05	1e-05	1e-05	1e-05	0.099284	0.552499	MY2453
0.769014	0.174421	1e-05	1e-05	1e-05	1e-05	0.056515	1e-05	MY2530
0.796809	0.056694	1e-05	1e-05	1e-05	1e-05	0.146448	1e-05	MY2535
1e-05	0.655729	1e-05	1e-05	1e-05	1e-05	1e-05	0.344211	MY2573
0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY2585
0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY2693
0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY2713
0.432474	0.059117	1e-05	0.374498	1e-05	1e-05	1e-05	0.133871	MY2741
0.182943	1e-05	1e-05	0.752525	1e-05	1e-05	0.064482	1e-05	MY518
0.840813	1e-05	1e-05	1e-05	1e-05	1e-05	0.159127	1e-05	MY679
0.273753	0.695811	1e-05	1e-05	1e-05	1e-05	1e-05	0.030386	MY772
1e-05	0.103708	1e-05	0.587564	1e-05	1e-05	1e-05	0.308678	MY795
0.775205	0.184487	1e-05	1e-05	1e-05	1e-05	1e-05	0.040258	MY920
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	N2
0.543057	0.389428	1e-05	1e-05	1e-05	1e-05	0.052834	0.014641	NIC1
1e-05	0.598569	1e-05	1e-05	1e-05	1e-05	1e-05	0.401371	NIC1049
1e-05	0.194436	1e-05	1e-05	1e-05	1e-05	1e-05	0.805504	NIC1107
0.358655	0.370579	1e-05	1e-05	1e-05	1e-05	0.218925	0.051801	NIC166
0.051764	0.068084	1e-05	1e-05	0.366932	1e-05	0.358633	0.154557	NIC195
1e-05	0.280762	1e-05	1e-05	0.526987	1e-05	0.1922	1e-05	NIC199
0.544367	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.455573	NIC2
0.65739	0.197042	1e-05	1e-05	1e-05	1e-05	0.080179	0.06535	NIC207
0.747571	1e-05	0.018595	1e-05	1e-05	1e-05	0.233785	1e-05	NIC231
1e-05	0.042905	1e-05	1e-05	1e-05	1e-05	0.957035	1e-05	NIC236
0.04617	0.211671	1e-05	1e-05	1e-05	1e-05	0.305433	0.436686	NIC242
1e-05	1e-05	1e-05	1e-05	0.838532	1e-05	1e-05	0.161408	NIC251
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	NIC252
0.669971	0.102398	1e-05	1e-05	1e-05	1e-05	1e-05	0.227581	NIC255
1e-05	1e-05	1e-05	1e-05	0.291731	1e-05	0.708209	1e-05	NIC256
1e-05	1e-05	1e-05	1e-05	0.86994	1e-05	0.13	1e-05	NIC258
1e-05	0.171348	1e-05	1e-05	0.078306	1e-05	0.638309	0.111998	NIC259
1e-05	1e-05	1e-05	1e-05	0.483933	1e-05	0.516007	1e-05	NIC260
1e-05	1e-05	1e-05	1e-05	0.610776	1e-05	0.389164	1e-05	NIC261
1e-05	1e-05	1e-05	1e-05	0.465411	1e-05	0.534529	1e-05	NIC262
1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	NIC265
1e-05	1e-05	1e-05	1e-05	0.067088	1e-05	0.666325	0.266537	NIC266
0.267739	1e-05	1e-05	1e-05	1e-05	1e-05	0.732201	1e-05	NIC267
0.061694	1e-05	0.435348	1e-05	1e-05	1e-05	0.502908	1e-05	NIC268
1e-05	0.158249	1e-05	1e-05	1e-05	1e-05	0.841691	1e-05	NIC269
1e-05	1e-05	1e-05	1e-05	0.318857	1e-05	0.681083	1e-05	NIC271
1e-05	0.007603	1e-05	1e-05	1e-05	1e-05	0.992337	1e-05	NIC272
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	NIC274
0.199328	1e-05	1e-05	1e-05	1e-05	1e-05	0.800612	1e-05	NIC275
1.3e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999927	1e-05	NIC276
0.410327	0.589613	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC277
0.400847	0.492026	1e-05	0.027212	1e-05	1e-05	0.079875	1e-05	NIC3
1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC501
0.656072	0.317058	1e-05	1e-05	1e-05	1e-05	1e-05	0.02682	NIC511
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	NIC513
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	NIC514
0.366415	0.194025	1e-05	1e-05	0.027828	1e-05	0.411692	1e-05	NIC515
0.414376	0.190754	1e-05	1e-05	1e-05	1e-05	0.309192	0.085638	NIC522
0.467256	1e-05	0.106785	1e-05	1e-05	1e-05	0.425908	1e-05	NIC523
0.495616	0.14791	1e-05	1e-05	0.075206	1e-05	0.281229	1e-05	NIC526
0.218438	0.610749	1e-05	1e-05	0.017858	1e-05	0.140574	0.012352	NIC527
0.848169	0.052508	1e-05	1e-05	1e-05	1e-05	0.099273	1e-05	NIC528
0.696623	0.06291	1e-05	1e-05	1e-05	1e-05	0.163112	0.077315	NIC529
0.87357	1e-05	1e-05	0.12637	1e-05	1e-05	1e-05	1e-05	PB303
1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	PB306
1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	PS2025
0.703127	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.296813	PX179
0.385969	1e-05	0.002751	0.354765	0.17258	1e-05	0.056661	0.027254	QG2075
0.59656	1e-05	1e-05	0.08986	1e-05	1e-05	0.31353	1e-05	QG536
1e-05	1e-05	0.121822	0.878118	1e-05	1e-05	1e-05	1e-05	QG556
1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	QG557
0.545132	0.200947	1e-05	1e-05	0.253872	1e-05	1e-05	1e-05	QW947
1e-05	1e-05	1e-05	1.7e-05	1e-05	0.999923	1e-05	1e-05	QX1211
1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	QX1212
0.142157	1.6e-05	1e-05	0.857777	1e-05	1e-05	1e-05	1e-05	QX1233
0.062089	0.048045	0.541486	0.114655	0.116739	1e-05	1e-05	0.116966	QX1791
0.224667	1e-05	0.60575	1e-05	1e-05	1e-05	0.169533	1e-05	QX1792
1e-05	1e-05	0.818343	0.036055	1e-05	1e-05	0.145551	1e-05	QX1793
1e-05	1e-05	0.775977	0.223963	1e-05	1e-05	1e-05	1e-05	QX1794
0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	RC301
0.395245	0.076535	1e-05	0.12889	0.399291	1e-05	1e-05	1e-05	WN2001
0.584008	1e-05	1e-05	1e-05	0.137639	1e-05	0.023705	0.254608	WN2002
0.626249	1e-05	1e-05	0.373691	1e-05	1e-05	1e-05	1e-05	WN2033
1e-05	0.61451	1e-05	1e-05	1e-05	1e-05	1e-05	0.38543	WN2050
1e-05	1e-05	0.720689	0.279251	1e-05	1e-05	1e-05	1e-05	XZ1513
1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	XZ1514
1e-05	1e-05	0.420704	0.441419	1e-05	0.137828	1e-05	1e-05	XZ1515
1e-05	1e-05	1e-05	1e-05	0.085012	0.914928	1e-05	1e-05	XZ1516
