A	B	C	D	E	F	G	H	I	J	K	L	samples
0.532533	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.454181	1e-05	1e-05	1e-05	0.013195	AB1
0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	BRC20067
0.244085	1e-05	1e-05	1e-05	1e-05	0.536118	0.109978	1e-05	1e-05	0.061166	1e-05	0.048584	BRC20263
1e-05	1.5e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	0.999884	1e-05	1e-05	1.1e-05	1e-05	CB4851
0.780185	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.219715	1e-05	1e-05	1e-05	1e-05	CB4852
0.211363	1e-05	1e-05	1e-05	1e-05	0.043916	0.744631	1e-05	1e-05	1e-05	1e-05	1e-05	CB4853
0.429404	1e-05	1e-05	1e-05	1e-05	0.570496	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4854
0.115689	1e-05	1e-05	1e-05	1e-05	1e-05	0.884211	1e-05	1e-05	1e-05	1e-05	1e-05	CB4855
1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4856
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	CB4857
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	CB4858
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.558374	0.441526	1e-05	1e-05	1e-05	CB4932
0.018284	1e-05	1e-05	1e-05	1e-05	0.073464	0.658686	1e-05	1e-05	1e-05	1e-05	0.249486	CX11254
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.878788	1e-05	1e-05	1e-05	0.121112	1e-05	CX11262
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.950209	1e-05	1e-05	1e-05	0.049691	1e-05	CX11264
0.132816	1e-05	1e-05	1e-05	1e-05	1e-05	0.434951	1e-05	1e-05	1e-05	1e-05	0.432143	CX11271
0.092294	1e-05	1e-05	1e-05	1e-05	1e-05	0.582815	0.008451	1e-05	1e-05	1e-05	0.316359	CX11276
1e-05	1e-05	1e-05	1e-05	1e-05	0.02624	0.410325	1e-05	1e-05	1e-05	0.26511	0.298245	CX11285
0.080383	1e-05	1e-05	1e-05	1e-05	0.030857	0.88867	1e-05	1e-05	1e-05	1e-05	1e-05	CX11292
0.151308	1e-05	1e-05	1e-05	1e-05	1e-05	0.509842	1e-05	1e-05	1e-05	0.06377	0.275	CX11307
1e-05	1e-05	1e-05	1.1e-05	1.1e-05	1e-05	0.999884	1e-05	1.4e-05	1e-05	1e-05	1e-05	CX11314
0.050845	1e-05	1e-05	1e-05	1e-05	1e-05	0.949055	1e-05	1e-05	1e-05	1e-05	1e-05	CX11315
0.036484	1e-05	1e-05	1e-05	1e-05	1e-05	0.041097	1e-05	0.922329	1e-05	1e-05	1e-05	DL200
0.046296	1e-05	1e-05	1e-05	1e-05	0.029742	0.769861	0.052753	1e-05	1e-05	0.036307	0.064981	DL226
1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	DL238
1e-05	0.018401	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.981499	1e-05	ECA189
1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA191
1e-05	1e-05	1e-05	1e-05	1.6e-05	1e-05	1e-05	0.999883	1e-05	1e-05	1e-05	1e-05	ECA252
1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA347
1e-05	1.5e-05	1e-05	1e-05	1e-05	1e-05	0.437136	1e-05	1e-05	1e-05	0.56276	1e-05	ECA348
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.81622	1e-05	1e-05	1e-05	0.183679	1e-05	ECA349
1e-05	1e-05	1.3e-05	1e-05	0.999887	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA36
