A	B	C	D	E	F	G	H	I	J	K	L	samples
1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA363
1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA369
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.947175	0.052725	ECA372
1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA396
1e-05	1e-05	0.470846	1.4e-05	0.529049	1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	ECA701
1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA703
1e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999889	1e-05	ECA705
1e-05	0.156021	0.843877	1e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA706
1e-05	0.125388	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.874512	1e-05	ECA710
1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA712
1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA722
1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA723
1e-05	1e-05	1e-05	1e-05	0.921763	1e-05	0.064031	1e-05	1e-05	1e-05	0.014116	1e-05	ECA724
1.5e-05	1e-05	1e-05	1.6e-05	0.999868	1e-05	1.8e-05	1.3e-05	1e-05	1e-05	1e-05	1e-05	ECA730
1e-05	1e-05	0.999888	1.2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA732
1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA733
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	ECA738
1e-05	1e-05	1.3e-05	1.4e-05	0.999883	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA740
1e-05	1e-05	1.4e-05	1e-05	0.999886	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA741
1e-05	1e-05	1e-05	1e-05	0.999886	1e-05	1e-05	1e-05	1.4e-05	1e-05	1e-05	1e-05	ECA742
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.019238	0.072066	1e-05	0.888213	0.020403	ECA743
1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA744
1e-05	1e-05	1.7e-05	1e-05	0.999882	1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	ECA745
1.9e-05	1.1e-05	1e-05	1.1e-05	0.999865	1.8e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	ECA746
1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA760
1e-05	0.999889	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA768
1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA777
1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA778
1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA807
1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA812
0.128037	1e-05	1e-05	1e-05	1e-05	1e-05	0.871863	1e-05	1e-05	1e-05	1e-05	1e-05	ED3005
0.124658	1e-05	1e-05	1e-05	1e-05	1e-05	0.685772	1e-05	1e-05	1e-05	1e-05	0.18948	ED3011
0.268499	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.731401	1e-05	1e-05	1e-05	1e-05	ED3012
0.495048	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.504852	1e-05	1e-05	1e-05	ED3017
0.189623	1e-05	1e-05	1e-05	1e-05	0.540483	1e-05	1e-05	1e-05	1e-05	1e-05	0.269804	ED3040
0.275773	1e-05	1e-05	1e-05	1e-05	0.487774	1e-05	1e-05	0.236363	1e-05	1e-05	1e-05	ED3046
0.664787	1e-05	1e-05	1e-05	1e-05	0.335113	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ED3048
0.266452	1e-05	1e-05	1e-05	1e-05	0.503767	1e-05	1e-05	0.229692	1e-05	1e-05	1e-05	ED3049
0.134792	1e-05	1e-05	1e-05	1e-05	0.53561	1e-05	1e-05	1e-05	1e-05	1e-05	0.329509	ED3052
0.86237	1e-05	1e-05	1e-05	1e-05	0.13753	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ED3073
0.616034	1e-05	1e-05	1e-05	1e-05	0.339942	1e-05	1e-05	1e-05	0.043933	1e-05	1e-05	ED3077
0.656419	1e-05	1e-05	1e-05	1e-05	1e-05	0.070336	0.273155	1e-05	1e-05	1e-05	1e-05	EG4347
0.587326	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.290333	1e-05	0.122251	EG4349
0.155466	1e-05	1e-05	1e-05	1e-05	0.684344	1e-05	1e-05	0.133921	0.026189	1e-05	1e-05	EG4724
0.023317	1e-05	1e-05	0.238664	1e-05	0.672092	1e-05	1e-05	1e-05	1e-05	1e-05	0.065847	EG4725
0.397922	1e-05	1e-05	1e-05	1e-05	1e-05	0.539245	0.062743	1e-05	1e-05	1e-05	1e-05	EG4946
0.859113	1e-05	1.1e-05	1e-05	1e-05	0.034241	1e-05	1e-05	1e-05	1e-05	1e-05	0.106554	GXW1
0.606912	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.158482	0.097735	1e-05	1e-05	0.136791	JT11398
0.659004	1.8e-05	1.9e-05	1e-05	1e-05	0.340879	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1088
0.090084	1e-05	1e-05	1e-05	1e-05	1e-05	0.909816	1e-05	1e-05	1e-05	1e-05	1e-05	JU1172
0.2983	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.7016	1e-05	1e-05	1e-05	1e-05	JU1200
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.633931	1e-05	0.365969	1e-05	1e-05	JU1212
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.555594	0.444306	1e-05	1e-05	JU1213
1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.3e-05	0.999878	1e-05	1e-05	1e-05	JU1242
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.236053	1e-05	0.763847	1e-05	1e-05	JU1246
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	JU1249
0.734648	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.265252	1e-05	1e-05	1e-05	1e-05	JU1395
0.181247	1e-05	1e-05	0.047398	1e-05	0.11011	1e-05	1e-05	0.395134	0.015162	1e-05	0.250889	JU1400
0.545976	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.043183	1e-05	1e-05	0.410751	JU1409
0.645026	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.039475	0.014936	1e-05	0.300484	JU1440
1e-05	1e-05	1e-05	1e-05	1e-05	1.2e-05	1e-05	1.5e-05	1e-05	0.085389	1e-05	0.914505	JU1491
0.311857	1.5e-05	1e-05	1e-05	1e-05	1.6e-05	1e-05	1e-05	0.688032	1e-05	1e-05	1e-05	JU1530
0.335412	1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	0.664487	1e-05	1e-05	1e-05	1e-05	JU1543
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999886	1e-05	1.4e-05	1e-05	1e-05	JU1568
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	JU1580
0.140293	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.142592	0.121579	0.595456	1e-05	1e-05	JU1581
0.131272	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.868628	1e-05	1e-05	1e-05	1e-05	JU1586
0.538573	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.287238	1e-05	0.047314	1e-05	0.126795	JU1652
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	JU1666
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.618826	0.381074	1e-05	1e-05	1e-05	JU1792
1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999889	1e-05	1e-05	JU1793
0.037447	1e-05	1e-05	1e-05	1e-05	1e-05	0.370406	0.176395	0.415672	1e-05	1e-05	1e-05	JU1808
0.331446	1e-05	0.011692	1e-05	1.1e-05	1e-05	1e-05	0.65677	1e-05	1.1e-05	1e-05	1e-05	JU1896
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.036057	0.360689	0.603164	1e-05	1e-05	JU1934
1e-05	1e-05	0.197579	1e-05	1e-05	1e-05	1e-05	1e-05	0.556972	1e-05	1e-05	0.245359	JU2001
0.521696	1e-05	1e-05	1e-05	1e-05	0.203398	1e-05	1e-05	1e-05	0.274815	1e-05	1e-05	JU2007
0.139749	1e-05	1e-05	1e-05	1e-05	1e-05	0.860151	1e-05	1e-05	1e-05	1e-05	1e-05	JU2016
0.201076	0.005317	0.041298	1e-05	1.1e-05	0.206543	0.418932	0.073422	1e-05	0.015779	0.037593	1e-05	JU2017
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.136146	0.226293	0.637471	1e-05	1e-05	JU2106
1e-05	1e-05	1e-05	1e-05	1e-05	0.013918	1e-05	1e-05	0.985982	1e-05	1e-05	1e-05	JU2131
1e-05	1e-05	1e-05	1e-05	1e-05	1.6e-05	1e-05	0.154935	0.596712	0.248257	1e-05	1e-05	JU2141
0.332228	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.541361	1e-05	1e-05	1e-05	0.126321	JU2234
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.2e-05	0.999887	1.1e-05	1e-05	1e-05	JU2250
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999889	1.1e-05	1e-05	1e-05	1e-05	JU2257
1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2316
0.547517	1e-05	1e-05	1e-05	1e-05	0.287848	1e-05	1e-05	0.03407	0.088743	1e-05	0.041752	JU2464
0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2466
0.152612	1e-05	1e-05	1e-05	1e-05	1e-05	0.398905	1e-05	0.448393	1e-05	1e-05	1e-05	JU2478
0.83157	1e-05	1e-05	1e-05	1e-05	0.069369	1e-05	0.049846	0.049135	1e-05	1e-05	1e-05	JU2513
1e-05	1e-05	1e-05	0.637959	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.361941	JU2519
1e-05	1e-05	1e-05	1e-05	1e-05	0.185714	1e-05	1e-05	1e-05	1e-05	1e-05	0.814186	JU2522
1e-05	1e-05	1e-05	0.999885	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1e-05	JU2526
0.455893	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.544007	1e-05	1e-05	1e-05	JU2534
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	JU2565
0.090905	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.710949	0.198056	1e-05	1e-05	1e-05	JU2566
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	JU2570
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.659056	0.340844	1e-05	1e-05	1e-05	JU2572
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.762017	0.237883	1e-05	1e-05	1e-05	JU2575
0.238621	0.016331	0.016619	1e-05	1e-05	1e-05	1.7e-05	1e-05	0.289362	0.236515	1e-05	0.202484	JU2576
0.329154	1e-05	1e-05	1e-05	1e-05	0.670746	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2578
1e-05	1e-05	1e-05	0.346549	1e-05	0.466961	1e-05	0.045569	1e-05	0.140841	1e-05	1e-05	JU258
0.481581	1e-05	1e-05	1e-05	1e-05	1e-05	0.177203	1e-05	1e-05	1e-05	0.341126	1e-05	JU2581
0.096273	1e-05	1e-05	0.027673	1e-05	0.38587	1e-05	1e-05	1e-05	0.103888	1e-05	0.386226	JU2586
0.523583	1e-05	1e-05	1e-05	1e-05	1e-05	0.19389	1e-05	1e-05	0.130013	1e-05	0.152435	JU2587
1e-05	1e-05	1e-05	0.031898	1e-05	0.059694	1e-05	0.771674	0.136654	1e-05	1e-05	1e-05	JU2592
0.713091	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.030175	0.256644	1e-05	JU2593
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	JU2600
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	JU2610
0.647131	1e-05	1e-05	1e-05	1e-05	1e-05	0.189134	1e-05	1e-05	1e-05	1e-05	0.163646	JU2619
0.125609	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.455945	0.372704	0.045663	1e-05	1e-05	JU2800
0.250816	0.029122	1e-05	1e-05	1e-05	0.228628	1e-05	1e-05	1e-05	0.055559	0.058308	0.377506	JU2811
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.915929	1e-05	0.083971	1e-05	1e-05	JU2825
0.64454	1e-05	1e-05	1e-05	1e-05	1e-05	0.069996	1e-05	1e-05	0.023465	0.261918	1e-05	JU2829
1e-05	1e-05	1e-05	1e-05	1e-05	0.60713	0.042395	1e-05	0.090527	0.065886	0.193991	1e-05	JU2838
0.564857	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.435043	1e-05	1e-05	JU2841
0.340042	1e-05	1e-05	1e-05	1e-05	0.296832	1e-05	0.276213	1e-05	1e-05	1e-05	0.086833	JU2853
0.089363	1e-05	1e-05	1e-05	1e-05	1e-05	0.46535	0.003892	0.188823	1e-05	1e-05	0.252501	JU2862
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.754142	1e-05	1e-05	1e-05	0.245758	1e-05	JU2866
0.534856	1e-05	1e-05	1e-05	1e-05	0.289073	0.102237	1e-05	1e-05	1e-05	0.073754	1e-05	JU2878
0.335882	1e-05	1e-05	1e-05	1e-05	1e-05	0.045438	1e-05	1e-05	1e-05	0.618589	1e-05	JU2879
0.510799	1.2e-05	1e-05	1e-05	1e-05	1.5e-05	1.4e-05	0.208429	0.280671	1e-05	1e-05	1e-05	JU2906
0.469632	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.530268	1e-05	1e-05	1e-05	1e-05	JU2907
0.302071	1.1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1e-05	0.697824	1e-05	1e-05	1e-05	JU310
0.06208	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.701118	0.236713	1e-05	1e-05	1e-05	JU311
0.430999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.153578	1e-05	1e-05	1e-05	0.415334	JU3125
0.26338	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.1806	1e-05	1e-05	1e-05	0.555929	JU3127
0.758516	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.241384	1e-05	1e-05	1e-05	JU3128
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.739447	0.245412	1e-05	0.015051	JU3132
0.70081	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.016124	1e-05	1e-05	0.282976	JU3134
0.999885	1e-05	1.5e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU3135
0.118442	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.055125	0.275318	1e-05	1e-05	0.551035	JU3137
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999884	1.6e-05	1e-05	1e-05	JU3140
0.431252	1e-05	1e-05	1e-05	1e-05	0.205757	1e-05	1e-05	0.1859	0.078666	1e-05	0.098354	JU3144
0.103672	1e-05	1e-05	1e-05	1e-05	0.318232	1e-05	1e-05	0.578007	1e-05	1e-05	1e-05	JU323
0.469099	1e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	1e-05	0.507914	0.022895	1e-05	1e-05	JU346
0.725858	1e-05	1e-05	1e-05	1e-05	1e-05	0.034777	1e-05	1e-05	0.200199	0.039086	1e-05	JU360
0.060183	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.939717	1e-05	1e-05	1e-05	1e-05	JU367
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.172141	1e-05	0.827759	1e-05	1e-05	JU393
1.3e-05	1.2e-05	1.8e-05	1.9e-05	1e-05	1e-05	1e-05	0.999856	1.3e-05	2e-05	1e-05	1e-05	JU394
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.217685	0.782215	1e-05	1e-05	1e-05	JU397
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	1e-05	JU406
0.185163	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.618116	0.196631	1e-05	1e-05	1e-05	JU440
0.72049	1e-05	1e-05	1e-05	1e-05	0.062821	1e-05	0.188842	0.027759	1e-05	1.8e-05	1e-05	JU561
0.470367	1e-05	1e-05	1e-05	1e-05	0.081081	1e-05	1e-05	0.147968	0.082958	1e-05	0.217556	JU642
0.585064	1e-05	1e-05	0.019052	1e-05	1e-05	0.15885	1e-05	0.029099	0.07151	0.098303	0.038071	JU751
0.308096	0.055151	1e-05	1e-05	1e-05	0.175762	1e-05	1e-05	1e-05	1e-05	1e-05	0.460911	JU774
1e-05	1e-05	1e-05	0.87746	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.12244	JU775
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	JU778
1e-05	1e-05	1e-05	0.343862	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.656038	JU782
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	1e-05	1e-05	JU792
0.707516	1e-05	1e-05	1e-05	1e-05	0.131814	0.1289	1e-05	0.031689	1e-05	1e-05	1e-05	JU830
0.180988	1e-05	1e-05	1e-05	1e-05	0.053463	1e-05	0.097553	0.667917	1e-05	1e-05	1e-05	JU847
0.561396	1e-05	1e-05	1e-05	1e-05	0.027949	0.256869	1e-05	1e-05	1e-05	1e-05	0.153706	KR314
1e-05	1e-05	1e-05	1e-05	1e-05	0.325537	1e-05	1e-05	1e-05	1e-05	1e-05	0.674363	LKC34
1e-05	1e-05	1.2e-05	1e-05	1e-05	1e-05	1e-05	0.999888	1e-05	1e-05	1e-05	1e-05	LSJ1
0.12406	1e-05	1e-05	1e-05	1e-05	0.87584	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY1
0.517278	1e-05	0.05361	0.083593	1e-05	1.8e-05	1e-05	1e-05	1e-05	0.041555	1e-05	0.303886	MY10
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.047719	0.186001	0.13695	1e-05	0.62925	1e-05	MY16
0.090688	1e-05	1e-05	1e-05	1e-05	1e-05	0.493258	0.072035	0.166366	0.177582	1e-05	1e-05	MY18
0.051409	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.388716	0.559785	1e-05	1e-05	1e-05	MY2147
0.75941	1e-05	1e-05	1e-05	1e-05	1e-05	0.026847	1e-05	0.213654	1e-05	1e-05	1e-05	MY2212
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99989	1e-05	MY23
0.129897	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.435728	0.423979	1e-05	1e-05	0.010316	MY2453
0.718603	1e-05	1e-05	1e-05	1e-05	0.033979	1e-05	1e-05	0.186909	1e-05	1e-05	0.060428	MY2530
0.702516	1e-05	1e-05	1e-05	1e-05	0.113303	1.2e-05	1e-05	0.142355	1e-05	1e-05	0.041744	MY2535
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.288738	0.711162	1e-05	1e-05	1e-05	MY2573
0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY2585
0.973716	1e-05	1e-05	1e-05	1e-05	1e-05	0.026184	1e-05	1e-05	1e-05	1e-05	1e-05	MY2693
0.99989	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY2713
0.380269	1e-05	1e-05	1e-05	1e-05	1e-05	0.436845	1e-05	0.182796	1e-05	1e-05	1e-05	MY2741
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.949032	1e-05	1e-05	1e-05	1e-05	0.050868	MY518
0.70846	1e-05	1e-05	1e-05	1e-05	0.29144	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY679
0.22768	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.745551	0.026679	1e-05	1e-05	MY772
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.614162	0.167069	0.218678	1e-05	1e-05	1e-05	MY795
0.77943	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.22047	1e-05	1e-05	1e-05	MY920
1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	0.999889	1e-05	1e-05	1e-05	1e-05	N2
0.482258	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.356322	1e-05	1e-05	0.16133	NIC1
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.316577	0.683323	1e-05	1e-05	1e-05	NIC1049
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.73675	0.26315	1e-05	1e-05	1e-05	NIC1107
0.275683	1e-05	1e-05	1e-05	1e-05	0.285225	1e-05	1e-05	0.439003	1e-05	1e-05	1e-05	NIC166
