A	B	C	D	E	F	G	H	I	samples
0.474989	1e-05	1e-05	0.524941	1e-05	1e-05	1e-05	1e-05	1e-05	AB1
1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	BRC20067
1e-05	1e-05	0.033486	0.383964	0.526111	1e-05	1e-05	1e-05	0.056389	BRC20263
0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4851
0.251715	1e-05	1e-05	0.748215	1e-05	1e-05	1e-05	1e-05	1e-05	CB4852
1e-05	1e-05	1e-05	0.330093	1e-05	1e-05	1e-05	1e-05	0.669837	CB4853
1e-05	1e-05	1e-05	0.545036	0.454894	1e-05	1e-05	1e-05	1e-05	CB4854
1e-05	1e-05	1e-05	0.17754	1e-05	1e-05	1e-05	1e-05	0.82239	CB4855
1e-05	0.010991	0.902808	1e-05	0.020416	1e-05	0.065735	1e-05	1e-05	CB4856
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	CB4857
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	CB4858
0.609518	1e-05	1e-05	1e-05	1e-05	1e-05	0.390412	1e-05	1e-05	CB4932
1e-05	1e-05	1e-05	0.190636	0.185983	1e-05	1e-05	1e-05	0.623321	CX11254
1.3e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999917	CX11262
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	CX11264
1e-05	1e-05	1e-05	0.351582	0.385743	1e-05	1e-05	1e-05	0.262615	CX11271
0.027004	1e-05	1.4e-05	0.258373	0.167723	1e-05	1e-05	1e-05	0.546846	CX11276
1e-05	1e-05	1e-05	1e-05	0.334423	1e-05	1e-05	1e-05	0.665507	CX11285
1e-05	1e-05	1e-05	0.261555	1e-05	1e-05	1e-05	1e-05	0.738375	CX11292
1e-05	0.04043	1e-05	0.263801	0.035934	1e-05	0.067185	1e-05	0.59261	CX11307
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	CX11314
1e-05	1e-05	1e-05	0.145873	1e-05	1e-05	1e-05	1e-05	0.854057	CX11315
1e-05	1e-05	1e-05	0.273253	1e-05	1e-05	0.726677	1e-05	1e-05	DL200
0.052404	1e-05	1e-05	0.121489	0.074181	1.5e-05	1e-05	1e-05	0.751871	DL226
1e-05	0.025184	0.845903	1e-05	1e-05	1e-05	0.128853	1e-05	1e-05	DL238
1e-05	1e-05	0.707138	1e-05	0.018917	1e-05	1e-05	1e-05	0.273885	ECA189
1.2e-05	1.3e-05	1e-05	1e-05	1e-05	0.999915	1e-05	1e-05	1e-05	ECA191
0.999917	1e-05	1e-05	1e-05	1e-05	1e-05	1.3e-05	1e-05	1e-05	ECA252
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	ECA347
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	ECA348
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	ECA349
1e-05	1.2e-05	1.8e-05	1e-05	1e-05	1e-05	1.8e-05	0.999902	1e-05	ECA36
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	ECA363
1e-05	0.084862	0.604498	0.034452	1e-05	1e-05	0.084896	0.191252	1e-05	ECA369
1e-05	1e-05	0.66142	1e-05	0.056927	1e-05	1e-05	1e-05	0.281593	ECA372
1e-05	1e-05	1.1e-05	1e-05	1e-05	0.999919	1e-05	1e-05	1e-05	ECA396
0.020954	0.127255	0.058902	1e-05	1e-05	0.175088	1e-05	0.617761	1e-05	ECA701
1e-05	1e-05	0.867173	1e-05	1e-05	0.130054	0.002714	1e-05	1e-05	ECA703
1e-05	1e-05	0.853481	1e-05	1e-05	1e-05	1e-05	1e-05	0.146449	ECA705
1e-05	1e-05	0.960899	1e-05	1e-05	1e-05	0.039031	1e-05	1e-05	ECA706
1e-05	1e-05	0.836261	1e-05	1e-05	1e-05	1e-05	1e-05	0.163669	ECA710
1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA712
1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	ECA722
1e-05	1.3e-05	1e-05	1e-05	1e-05	0.999917	1e-05	1e-05	1e-05	ECA723
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	ECA724
1e-05	1e-05	1e-05	1e-05	1e-05	0.999919	1.1e-05	1e-05	1e-05	ECA730
1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA732
1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA733
1e-05	1e-05	0.616955	1e-05	1e-05	1e-05	1e-05	1e-05	0.382975	ECA738
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	ECA740
1e-05	1e-05	1e-05	1.9e-05	1.7e-05	1e-05	1e-05	0.999904	1e-05	ECA741
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	ECA742
0.045869	1e-05	0.839301	1e-05	1e-05	1e-05	1e-05	1e-05	0.11477	ECA743
1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	ECA744
1.1e-05	1e-05	1e-05	1e-05	1e-05	0.999919	1e-05	1e-05	1e-05	ECA745
1e-05	1e-05	1.3e-05	1e-05	1e-05	0.999917	1e-05	1e-05	1e-05	ECA746
1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA760
1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA768
1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA777
1.8e-05	1e-05	0.999912	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA778
1e-05	1e-05	0.955201	1e-05	1e-05	0.044729	1e-05	1e-05	1e-05	ECA807
1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA812
1e-05	1e-05	1e-05	0.269623	1e-05	1e-05	1e-05	1e-05	0.730307	ED3005
1e-05	1e-05	1e-05	0.309563	0.12699	1e-05	1e-05	1e-05	0.563386	ED3011
