A	B	C	D	E	F	G	H	I	samples
0.745067	1e-05	1e-05	0.254863	1e-05	1e-05	1e-05	1e-05	1e-05	ED3012
0.048436	1e-05	1e-05	0.514981	1.3e-05	1e-05	0.43652	1e-05	1e-05	ED3017
1e-05	1e-05	1e-05	0.345536	0.654384	1.9e-05	1e-05	1e-05	1e-05	ED3040
1e-05	1e-05	1e-05	0.64783	0.205221	1e-05	0.14689	1e-05	1e-05	ED3046
1e-05	1e-05	1e-05	0.758689	0.241241	1e-05	1e-05	1e-05	1e-05	ED3048
1e-05	1e-05	1e-05	0.648488	0.210793	1e-05	0.140659	1e-05	1e-05	ED3049
1e-05	1e-05	1e-05	0.270457	0.729473	1e-05	1e-05	1e-05	1e-05	ED3052
1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	ED3073
1e-05	0.013025	1e-05	0.797785	0.161674	1e-05	0.027466	1e-05	1e-05	ED3077
0.292039	1e-05	1e-05	0.641508	1e-05	1e-05	1e-05	1e-05	0.066393	EG4347
1e-05	0.118203	1e-05	0.732916	1e-05	1e-05	0.148821	1e-05	1e-05	EG4349
0.021332	1e-05	1e-05	0.241282	0.624949	1e-05	0.112387	1e-05	1e-05	EG4724
1e-05	0.238602	1e-05	0.133811	0.627527	1e-05	1e-05	1e-05	1e-05	EG4725
0.065358	1e-05	1e-05	0.522148	1e-05	1e-05	1e-05	1e-05	0.412434	EG4946
1e-05	1e-05	1e-05	0.921889	0.078041	1e-05	1e-05	1e-05	1e-05	GXW1
0.185567	1e-05	1e-05	0.705834	0.006661	1e-05	0.101888	1e-05	1e-05	JT11398
1e-05	1e-05	1e-05	0.82211	0.17782	1e-05	1e-05	1e-05	1e-05	JU1088
1e-05	1e-05	1e-05	0.238857	1e-05	1e-05	1e-05	1e-05	0.761073	JU1172
0.712833	1e-05	1e-05	0.287097	1e-05	1e-05	1e-05	1e-05	1e-05	JU1200
0.73131	0.003877	1e-05	1e-05	1e-05	1e-05	0.264753	1e-05	1e-05	JU1212
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	JU1213
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	JU1242
0.248359	1e-05	1e-05	1e-05	1e-05	1e-05	0.751571	1e-05	1e-05	JU1246
0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1249
0.294862	1e-05	1e-05	0.705068	1e-05	1e-05	1e-05	1e-05	1e-05	JU1395
1e-05	0.054215	1e-05	0.285528	0.292395	1e-05	0.367813	1e-05	1e-05	JU1400
1e-05	1e-05	1e-05	0.70081	0.186235	1e-05	0.112896	1e-05	1e-05	JU1409
0.014309	1e-05	1e-05	0.719344	0.100503	1e-05	0.165794	1e-05	1e-05	JU1440
1e-05	1e-05	1e-05	1e-05	0.656647	1e-05	0.343283	1e-05	1e-05	JU1491
1e-05	1e-05	1e-05	0.422481	1e-05	1e-05	0.577449	1e-05	1e-05	JU1530
0.675326	1e-05	1e-05	0.324604	1e-05	1e-05	1e-05	1e-05	1e-05	JU1543
0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1568
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	JU1580
0.13673	1e-05	1e-05	0.155141	1e-05	1e-05	0.708062	1.7e-05	1e-05	JU1581
0.876131	1e-05	1e-05	0.123799	1e-05	1e-05	1e-05	1e-05	1e-05	JU1586
0.351527	0.035567	1e-05	0.582229	0.030627	1e-05	1e-05	1e-05	1e-05	JU1652
0.034287	1e-05	1e-05	1e-05	1e-05	1e-05	0.965643	1e-05	1e-05	JU1666
0.69444	1e-05	1e-05	1e-05	1e-05	1e-05	0.30549	1e-05	1e-05	JU1792
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	JU1793
0.28486	1e-05	1e-05	0.151268	1e-05	1e-05	0.276349	1e-05	0.287473	JU1808
0.697792	1e-05	1e-05	0.302138	1e-05	1e-05	1e-05	1e-05	1e-05	JU1896
0.098132	1e-05	1.4e-05	1e-05	1e-05	1e-05	0.901794	1e-05	1e-05	JU1934
0.042904	1e-05	0.174037	1e-05	0.254339	1e-05	0.52867	1e-05	1e-05	JU2001
1e-05	0.059133	1e-05	0.641103	0.126433	1e-05	0.173282	1e-05	1e-05	JU2007
1e-05	1e-05	1.2e-05	0.305543	1e-05	1e-05	1e-05	1e-05	0.694385	JU2016
0.071264	1e-05	0.11914	0.306076	0.130721	1e-05	1e-05	1e-05	0.372759	JU2017
0.146935	1e-05	1e-05	1e-05	1e-05	1e-05	0.852995	1e-05	1e-05	JU2106
0.033588	1e-05	1e-05	1.6e-05	0.140516	1e-05	0.82583	1e-05	1e-05	JU2131
0.229776	1e-05	1e-05	1e-05	1e-05	1e-05	0.770154	1e-05	1e-05	JU2141
0.566174	0.025115	1e-05	0.392874	0.015786	1e-05	1e-05	1e-05	1e-05	JU2234
1e-05	1.3e-05	1e-05	1e-05	1e-05	1e-05	0.999917	1e-05	1e-05	JU2250
0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2257
1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2316
1e-05	1e-05	1e-05	0.659477	0.210935	1e-05	0.129528	1e-05	1e-05	JU2464
1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	JU2466
1e-05	1e-05	1e-05	0.271132	1e-05	1e-05	0.37928	1e-05	0.349528	JU2478
0.099389	1e-05	1e-05	0.883515	0.017036	1e-05	1e-05	1e-05	1e-05	JU2513
1e-05	0.607107	1e-05	1e-05	0.392823	1e-05	1e-05	1e-05	1e-05	JU2519
1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	JU2522
1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2526
1e-05	1e-05	1e-05	0.556836	1e-05	1e-05	0.443094	1e-05	1e-05	JU2534
0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2565
0.794279	1e-05	1e-05	0.111725	1e-05	1.4e-05	0.093931	1e-05	1e-05	JU2566
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	JU2570
0.711825	1e-05	1e-05	1e-05	1e-05	1.2e-05	0.288104	1e-05	1e-05	JU2572
0.864032	1e-05	1e-05	1e-05	1e-05	1e-05	0.135898	1e-05	1e-05	JU2575
0.028498	6.7e-05	0.063952	0.345387	1e-05	1e-05	0.562056	1e-05	1e-05	JU2576
1e-05	1e-05	1e-05	0.528149	0.471781	1e-05	1e-05	1e-05	1e-05	JU2578
0.08384	0.400332	1e-05	0.033104	0.370963	1e-05	0.111721	1e-05	1e-05	JU258
1e-05	1e-05	0.227543	0.537072	1e-05	1e-05	1e-05	1e-05	0.235324	JU2581
1.5e-05	0.0403	1e-05	0.170499	0.701135	1e-05	0.088012	1e-05	1e-05	JU2586
1e-05	0.031727	1e-05	0.674475	0.002892	1e-05	0.117326	1e-05	0.17354	JU2587
0.826731	0.027704	1e-05	1e-05	0.073483	1e-05	0.072032	1e-05	1e-05	JU2592
1e-05	1e-05	0.202269	0.737137	1e-05	1e-05	0.011474	1e-05	0.04907	JU2593
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	JU2600
1e-05	1e-05	1e-05	1.5e-05	1e-05	1e-05	0.999915	1e-05	1e-05	JU2610
1e-05	1e-05	1e-05	0.705076	0.117855	1.8e-05	1e-05	1e-05	0.177	JU2619
0.476284	1e-05	1.6e-05	0.151111	1e-05	1e-05	0.372538	1e-05	1e-05	JU2800
1e-05	0.036662	0.119772	0.31959	0.523926	1e-05	1e-05	1e-05	1e-05	JU2811
0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2825
1e-05	0.028855	0.157804	0.666147	1e-05	1e-05	1e-05	1e-05	0.147144	JU2829
1e-05	1e-05	0.239871	0.067896	0.538027	1e-05	0.032123	1e-05	0.122043	JU2838
1e-05	0.066421	1e-05	0.649336	1e-05	1e-05	0.284182	1e-05	1e-05	JU2841
0.259668	1e-05	1e-05	0.418608	0.321664	1e-05	1e-05	1e-05	1e-05	JU2853
0.003185	0.002323	1e-05	0.326342	0.119355	1e-05	0.145623	1e-05	0.403142	JU2862
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	JU2866
1e-05	1e-05	1e-05	0.66492	0.140513	1e-05	1e-05	1e-05	0.194506	JU2878
1e-05	1.3e-05	0.328936	0.190921	1e-05	1e-05	1e-05	1e-05	0.48008	JU2879
0.238432	1e-05	1e-05	0.502677	1e-05	1e-05	0.258831	1e-05	1e-05	JU2906
0.53867	1e-05	1e-05	0.46126	1e-05	1e-05	1e-05	1e-05	1e-05	JU2907
1e-05	1e-05	1e-05	0.409053	1e-05	1e-05	0.590877	1e-05	1e-05	JU310
0.828613	1e-05	1e-05	0.056539	1e-05	1e-05	0.114788	1e-05	1e-05	JU311
0.167075	1e-05	1e-05	0.404514	0.428352	1e-05	1e-05	1e-05	1e-05	JU3125
0.180175	1e-05	1e-05	0.244529	0.575236	1e-05	1e-05	1e-05	1e-05	JU3127
0.019706	1e-05	1e-05	0.759835	1e-05	1e-05	0.220399	1e-05	1e-05	JU3128
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	JU3132
0.012589	1e-05	1e-05	0.772017	0.088164	1e-05	0.12718	1e-05	1e-05	JU3134
1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	JU3135
0.158822	1e-05	0.006919	0.092219	0.460959	1e-05	0.28104	1e-05	1e-05	JU3137
1e-05	1e-05	1.2e-05	1e-05	1e-05	1e-05	0.999918	1e-05	1e-05	JU3140
1e-05	1e-05	1e-05	0.591651	0.198461	1e-05	0.209828	1e-05	1e-05	JU3144
1e-05	1e-05	1e-05	0.379121	0.187829	1e-05	0.43299	1e-05	1e-05	JU323
1e-05	1e-05	1e-05	0.503406	1e-05	1e-05	0.496524	1e-05	1e-05	JU346
1e-05	0.028228	1e-05	0.750549	1e-05	1e-05	0.133667	1e-05	0.087506	JU360
0.94553	1e-05	1e-05	0.05439	1e-05	1e-05	2e-05	1e-05	1e-05	JU367
0.152474	1e-05	1.4e-05	0.000524	1.3e-05	1e-05	0.846935	1e-05	1e-05	JU393
0.999918	1e-05	1e-05	1.1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	JU394
0.212483	1e-05	1e-05	1.5e-05	1e-05	1e-05	0.787443	1e-05	1e-05	JU397
0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU406
0.682965	1e-05	1e-05	0.180288	1e-05	1e-05	0.136686	1.1e-05	1e-05	JU440
0.217847	1e-05	1e-05	0.758616	1.8e-05	1e-05	0.02347	1e-05	1e-05	JU561
1e-05	1e-05	1e-05	0.543503	0.198473	1.2e-05	0.257963	1e-05	1e-05	JU642
1e-05	0.026392	0.046705	0.674359	1e-05	1e-05	0.101113	1e-05	0.151392	JU751
1e-05	1e-05	0.054091	0.33604	0.609808	1e-05	1e-05	1e-05	1e-05	JU774
1e-05	0.887532	1e-05	1e-05	0.112398	1e-05	1e-05	1e-05	1e-05	JU775
1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	JU778
0.018688	0.372191	1e-05	1.8e-05	0.603116	1e-05	0.005947	1e-05	1e-05	JU782
1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	0.999913	1e-05	1e-05	JU792
1e-05	1e-05	1e-05	0.841485	0.030032	1e-05	0.027949	1e-05	0.100484	JU830
0.182177	1e-05	1e-05	0.268272	1e-05	1e-05	0.549491	1e-05	1e-05	JU847
1e-05	1.3e-05	1e-05	0.595486	0.118493	1e-05	0.041599	1e-05	0.244369	KR314
1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	LKC34
0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	LSJ1
1e-05	1e-05	1e-05	0.469361	0.530569	1e-05	1e-05	1e-05	1e-05	MY1
1.2e-05	0.24661	1e-05	0.636299	0.106283	1e-05	0.010756	1e-05	1e-05	MY10
0.285948	1e-05	0.562109	1e-05	1e-05	1e-05	0.01756	1e-05	0.134333	MY16
0.178305	0.067705	1e-05	0.16301	1e-05	1e-05	0.155038	1e-05	0.435902	MY18
0.51466	1.3e-05	1e-05	0.079701	1e-05	1e-05	0.405575	1e-05	1e-05	MY2147
0.044367	1e-05	1e-05	0.825794	1e-05	1e-05	0.129779	1e-05	1e-05	MY2212
1e-05	1e-05	0.857296	1e-05	1e-05	1.6e-05	1e-05	1e-05	0.142628	MY23
0.552995	1e-05	1.6e-05	0.129987	0.099694	1e-05	0.217267	1e-05	1e-05	MY2453
1e-05	1e-05	1e-05	0.769325	0.056324	1e-05	0.17429	1e-05	1e-05	MY2530
1e-05	1e-05	1e-05	0.796981	0.14699	1e-05	0.055968	1e-05	1e-05	MY2535
0.344527	1e-05	1e-05	1e-05	1e-05	1e-05	0.655403	1e-05	1e-05	MY2573
1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	MY2585
1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	MY2693
1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	MY2713
0.13401	1e-05	1e-05	0.432745	1e-05	1e-05	0.058879	1e-05	0.374316	MY2741
1e-05	1e-05	1e-05	0.183121	0.06467	1e-05	1e-05	1e-05	0.752149	MY518
1e-05	1e-05	1e-05	0.839901	0.160029	1e-05	1e-05	1e-05	1e-05	MY679
0.03022	1e-05	1e-05	0.274973	1e-05	1e-05	0.694747	1e-05	1e-05	MY772
0.309127	1e-05	1e-05	1e-05	1e-05	1e-05	0.103244	1e-05	0.587569	MY795
0.039946	1e-05	1e-05	0.775556	1e-05	1e-05	0.184438	1e-05	1e-05	MY920
0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	N2
0.01469	1e-05	1e-05	0.543329	0.052821	1e-05	0.389111	1e-05	1e-05	NIC1
0.401628	1e-05	1e-05	1e-05	1e-05	1e-05	0.598302	1e-05	1e-05	NIC1049
0.805861	1e-05	1e-05	1e-05	1e-05	1e-05	0.194069	1e-05	1e-05	NIC1107
0.05142	1.2e-05	1e-05	0.358384	0.219715	1e-05	0.370428	1e-05	1e-05	NIC166
0.149794	0.356505	1.6e-05	0.043066	0.357538	1e-05	0.093051	1e-05	1e-05	NIC195
1e-05	0.52991	1e-05	1e-05	0.188103	1e-05	0.281928	1e-05	1e-05	NIC199
0.455477	1e-05	1e-05	0.544453	1e-05	1e-05	1e-05	1e-05	1e-05	NIC2
0.065304	1e-05	1e-05	0.658135	0.080659	1e-05	0.195853	1e-05	1e-05	NIC207
1e-05	1e-05	0.019199	0.74688	0.233861	1e-05	1e-05	1e-05	1e-05	NIC231
1e-05	1e-05	1e-05	1e-05	0.956819	1e-05	0.043111	1e-05	1e-05	NIC236
0.436777	1e-05	1e-05	0.045938	0.30587	1.3e-05	0.211361	1e-05	1e-05	NIC242
0.161061	0.838869	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC251
1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	NIC252
0.227645	1e-05	1e-05	0.670475	1e-05	1e-05	0.10182	1e-05	1e-05	NIC255
1e-05	0.300527	1e-05	1e-05	0.699395	1e-05	1.4e-05	1.3e-05	1e-05	NIC256
1e-05	0.881732	1e-05	1e-05	0.118198	1e-05	1e-05	1e-05	1e-05	NIC258
0.112232	0.080416	1e-05	1e-05	0.635708	1e-05	0.171594	1e-05	1e-05	NIC259
1e-05	0.49249	1e-05	1e-05	0.50744	1e-05	1e-05	1e-05	1e-05	NIC260
1e-05	0.619079	1e-05	1e-05	0.380851	1e-05	1e-05	1e-05	1e-05	NIC261
1e-05	0.474898	1e-05	1e-05	0.525032	1e-05	1e-05	1e-05	1e-05	NIC262
1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC265
0.266372	0.069918	1e-05	1e-05	0.663649	1e-05	1e-05	1e-05	1e-05	NIC266
1e-05	1e-05	1e-05	0.26608	0.73385	1e-05	1e-05	1e-05	1e-05	NIC267
1e-05	1e-05	0.438425	0.059201	0.502314	1e-05	1e-05	1e-05	1e-05	NIC268
1e-05	1e-05	1e-05	1e-05	0.841504	1e-05	0.158426	1e-05	1e-05	NIC269
1e-05	0.327949	1e-05	1e-05	0.671971	1e-05	1.2e-05	1.8e-05	1e-05	NIC271
1e-05	1e-05	1e-05	1e-05	0.991743	1.6e-05	0.008181	1e-05	1e-05	NIC272
1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	NIC274
1e-05	1e-05	1e-05	0.197537	0.802393	1e-05	1e-05	1e-05	1e-05	NIC275
1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	NIC276
1e-05	1e-05	1e-05	0.411398	1e-05	1e-05	0.588532	1e-05	1e-05	NIC277
1e-05	1e-05	1e-05	0.401377	0.080209	1e-05	0.491281	1e-05	0.027083	NIC3
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	NIC501
0.026446	1e-05	1e-05	0.656814	1e-05	1e-05	0.316681	1e-05	1e-05	NIC511
1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	NIC513
1e-05	1.8e-05	1e-05	1e-05	0.999912	1e-05	1e-05	1e-05	1e-05	NIC514
1e-05	0.026852	1e-05	0.365227	0.411487	1e-05	0.196384	1e-05	1e-05	NIC515
0.085955	1e-05	1e-05	0.415531	0.308235	1e-05	0.190229	1e-05	1e-05	NIC522
1e-05	1e-05	0.108113	0.466747	0.42508	1e-05	1e-05	1e-05	1e-05	NIC523
1e-05	0.076427	1e-05	0.495997	0.280229	1e-05	0.147298	1e-05	1e-05	NIC526
0.012753	0.018629	1e-05	0.219128	0.139324	1e-05	0.610125	1e-05	1e-05	NIC527
1e-05	1e-05	1e-05	0.848299	0.099375	1e-05	0.052266	1e-05	1e-05	NIC528
0.077692	1.8e-05	1e-05	0.696683	0.16323	1.7e-05	0.062329	1e-05	1e-05	NIC529
1e-05	1e-05	1e-05	0.873568	1e-05	1e-05	1e-05	1e-05	0.126362	PB303
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	PB306
1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999919	PS2025
0.296421	1e-05	1e-05	0.703509	1e-05	1e-05	1e-05	1e-05	1e-05	PX179
0.027083	0.173681	0.00561	0.38701	0.054079	1e-05	1e-05	1e-05	0.352507	QG2075
1e-05	1e-05	1e-05	0.595336	0.315013	1e-05	1e-05	1e-05	0.089591	QG536
1e-05	1e-05	0.124143	1e-05	1e-05	1e-05	1e-05	1e-05	0.875787	QG556
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	QG557
1e-05	0.151751	1e-05	0.544982	1e-05	1e-05	0.255798	0.047418	1e-05	QW947
1.6e-05	1e-05	1e-05	1e-05	1.6e-05	1e-05	1e-05	0.999908	1e-05	QX1211
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	QX1212
1e-05	1e-05	1e-05	0.143489	1e-05	1e-05	1e-05	1e-05	0.856441	QX1233
0.116354	0.117737	0.543584	0.060997	1e-05	1e-05	0.046374	1e-05	0.114924	QX1791
1e-05	1e-05	0.608224	0.224302	0.167414	1e-05	1e-05	1e-05	1e-05	QX1792
1.4e-05	1e-05	0.820724	1e-05	0.143751	1e-05	1e-05	1e-05	0.03546	QX1793
1e-05	1e-05	0.777465	1e-05	1e-05	1e-05	1e-05	1e-05	0.222465	QX1794
1e-05	1e-05	1e-05	0.99992	1e-05	1e-05	1e-05	1e-05	1e-05	RC301
1e-05	0.400274	1e-05	0.39403	1e-05	1e-05	0.077303	1e-05	0.128342	WN2001
0.254063	0.140376	1e-05	0.585719	0.019792	1e-05	1e-05	1e-05	1e-05	WN2002
1e-05	1e-05	1e-05	0.625773	1e-05	1e-05	1e-05	1e-05	0.374157	WN2033
0.385216	1e-05	1e-05	1e-05	1e-05	1e-05	0.614714	1e-05	1e-05	WN2050
1e-05	1e-05	0.637889	1e-05	1e-05	1e-05	1e-05	0.046733	0.315317	XZ1513
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99992	1e-05	XZ1514
1e-05	1e-05	0.378502	1e-05	1e-05	1e-05	1e-05	0.152825	0.468613	XZ1515
1e-05	0.123524	1e-05	1e-05	1e-05	0.216183	1e-05	0.660233	1e-05	XZ1516
