A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	samples
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	AB1
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	BRC20067
0.014401	1e-05	1e-05	1e-05	1e-05	0.058455	1e-05	1e-05	1e-05	1e-05	0.505653	0.421381	1e-05	1e-05	1e-05	BRC20263
1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4851
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4852
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.605872	1e-05	0.393997	1e-05	1e-05	1e-05	1e-05	CB4853
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.132084	1e-05	1e-05	0.397442	0.470354	1e-05	1e-05	1e-05	1e-05	CB4854
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.741114	1e-05	0.258756	1e-05	1e-05	1e-05	1e-05	CB4855
1e-05	0.901812	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.098058	1e-05	1e-05	1e-05	1e-05	1e-05	CB4856
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.951762	1e-05	0.048108	1e-05	1e-05	1e-05	1e-05	CB4857
1.4e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.938467	1e-05	0.061398	1e-05	1e-05	1e-05	1e-05	CB4858
1e-05	1e-05	0.455057	1e-05	1.5e-05	1e-05	0.116887	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.427931	1e-05	CB4932
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.193034	0.636645	0.03714	1e-05	0.133071	1e-05	1e-05	1e-05	CX11254
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999856	1e-05	1.4e-05	1e-05	1e-05	1e-05	1e-05	CX11262
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CX11264
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.204085	0.238201	1e-05	0.202229	0.355374	1e-05	1e-05	1e-05	CX11271
1e-05	1e-05	0.0333	1e-05	1e-05	1e-05	1e-05	0.115265	0.542751	1e-05	0.099272	0.209312	1e-05	1e-05	1e-05	CX11276
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.667435	1e-05	0.009355	0.32309	1e-05	1e-05	1e-05	CX11285
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.647649	1e-05	0.352221	1e-05	1e-05	1e-05	1e-05	CX11292
