A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	samples
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.179572	0.563998	1e-05	0.109381	0.146939	1e-05	1e-05	1e-05	CX11307
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CX11314
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.827042	1e-05	0.172828	1e-05	1e-05	1e-05	1e-05	CX11315
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.130118	1e-05	1e-05	0.045996	1e-05	1e-05	0.823765	1e-05	DL200
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.164779	1e-05	0.687366	1e-05	0.083728	0.064017	1e-05	1e-05	1e-05	DL226
0.083806	0.916064	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	DL238
1e-05	0.490065	1e-05	1e-05	1e-05	0.216426	1e-05	1e-05	0.255146	1e-05	1e-05	0.038253	1e-05	1e-05	1e-05	ECA189
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	ECA191
1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA252
1e-05	1e-05	1e-05	2e-05	1e-05	1.5e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999844	1e-05	1e-05	ECA347
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA348
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA349
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	ECA36
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	ECA363
0.070662	0.799039	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.13018	1e-05	1e-05	ECA369
1e-05	0.574097	1e-05	1e-05	1e-05	0.094474	1e-05	1e-05	0.267657	1e-05	1e-05	0.063662	1e-05	1e-05	1e-05	ECA372
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	ECA396
1e-05	0.160881	1e-05	0.08065	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.591945	1e-05	0.166414	ECA701
1e-05	0.893902	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.105968	ECA703
1e-05	0.853866	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.146004	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA705
1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA706
1e-05	0.641906	1e-05	1e-05	1e-05	0.2026	1.3e-05	1e-05	0.155369	1e-05	1.3e-05	1e-05	1e-05	1e-05	1e-05	ECA710
1e-05	1e-05	1e-05	1e-05	1e-05	0.999858	1e-05	1e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	1e-05	1e-05	ECA712
1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999849	ECA722
1e-05	1e-05	1.5e-05	1.5e-05	1e-05	1e-05	1.4e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.2e-05	1e-05	0.999843	ECA723
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.007658	1e-05	1e-05	1e-05	0.992212	1e-05	1e-05	ECA724
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	ECA730
1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA732
1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA733
1e-05	0.495967	1e-05	1e-05	1e-05	0.134618	1e-05	1e-05	0.369295	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA738
1e-05	1e-05	1e-05	1.4e-05	1e-05	1.5e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999851	1e-05	1e-05	ECA740
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	ECA741
1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1e-05	1e-05	1e-05	0.999848	1e-05	1e-05	ECA742
1e-05	0.88938	0.020408	1e-05	1e-05	1e-05	1e-05	1e-05	0.035656	1e-05	0.054213	0.000243	1e-05	1e-05	1e-05	ECA743
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	ECA744
1e-05	1.2e-05	1e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	0.999855	ECA745
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	ECA746
1e-05	1e-05	1.1e-05	1e-05	1e-05	0.999859	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA760
1e-05	1e-05	1.8e-05	1e-05	1e-05	0.999846	1e-05	1.1e-05	1e-05	1.3e-05	1e-05	1.2e-05	1e-05	1e-05	1e-05	ECA768
1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA777
1e-05	1e-05	1.7e-05	1e-05	1.8e-05	0.999845	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA778
1e-05	1e-05	1e-05	1e-05	1e-05	0.999854	1.6e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA807
1.7e-05	1e-05	1e-05	1e-05	1e-05	0.999842	1e-05	1e-05	1.4e-05	1.7e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	ECA812
1e-05	1e-05	1e-05	1e-05	0.523572	1e-05	1e-05	1e-05	0.222828	1e-05	0.25348	1e-05	1e-05	1e-05	1e-05	ED3005
1e-05	1e-05	1e-05	1e-05	0.226225	1e-05	1e-05	1e-05	0.223396	1e-05	0.435343	0.114927	1e-05	1e-05	1e-05	ED3011
1e-05	1e-05	0.498233	1e-05	1e-05	1e-05	0.501637	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ED3012
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.323358	0.116418	1e-05	1e-05	0.124442	1e-05	1e-05	0.435672	1e-05	ED3017
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.134701	1e-05	0.212104	0.296481	0.356604	1e-05	1e-05	1e-05	ED3040
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.470968	1e-05	1e-05	0.244092	0.172052	1e-05	0.112778	1e-05	ED3046
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.165173	0.834697	1e-05	1e-05	1e-05	1e-05	ED3048
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.488385	1e-05	1e-05	0.239228	0.164671	1e-05	0.107607	1e-05	ED3049
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.257216	0.359708	0.382956	1e-05	1e-05	1e-05	ED3052
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.138725	1e-05	1e-05	0.861145	1e-05	1e-05	1e-05	1e-05	ED3073
0.039589	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.149242	0.811049	1e-05	1e-05	1e-05	1e-05	ED3077
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.859899	1e-05	1e-05	1e-05	0.139971	1e-05	1e-05	1e-05	1e-05	EG4347
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	EG4349
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.110177	0.287287	1e-05	0.602416	1e-05	1e-05	1e-05	1e-05	1e-05	EG4724
1e-05	1e-05	1e-05	0.179615	1e-05	1e-05	1e-05	0.050328	1e-05	0.549686	0.119345	0.100927	1e-05	1e-05	1e-05	EG4725
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.376079	1e-05	0.453948	1e-05	0.169848	1e-05	1e-05	1.5e-05	1e-05	EG4946
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	GXW1
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.672104	0.17961	1e-05	1e-05	1e-05	0.090163	1e-05	0.058013	1e-05	JT11398
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.089209	0.910661	1e-05	1e-05	1e-05	1e-05	JU1088
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.692319	1e-05	0.307551	1e-05	1e-05	1e-05	1e-05	JU1172
1e-05	1e-05	0.61409	1e-05	1e-05	1e-05	0.38578	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1200
0.370933	1e-05	0.628934	1e-05	1.3e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1212
0.442766	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.557104	1e-05	JU1213
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	JU1242
0.759708	1e-05	0.240162	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1246
1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1249
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1395
1e-05	1e-05	1e-05	0.022538	1e-05	1e-05	1e-05	0.491174	1e-05	1e-05	1e-05	0.166269	1e-05	0.319909	1e-05	JU1400
1e-05	1e-05	0.032173	1e-05	1e-05	1e-05	1e-05	0.579406	1e-05	1e-05	0.185198	0.203113	1e-05	1e-05	1e-05	JU1409
1e-05	1e-05	0.000242	1e-05	1e-05	1e-05	0.367515	0.56942	1e-05	1e-05	1e-05	0.062713	1e-05	1e-05	1e-05	JU1440
0.099651	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.826622	1e-05	0.073606	1e-05	JU1491
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.499973	1e-05	1e-05	1e-05	1e-05	1e-05	0.499897	1e-05	JU1530
1e-05	1e-05	0.280971	1e-05	1e-05	1e-05	0.718899	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1543
1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1568
0.999857	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.3e-05	1e-05	1e-05	JU1580
0.589396	1e-05	1e-05	1e-05	1e-05	1e-05	0.311773	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.098711	1e-05	JU1581
1e-05	1e-05	0.816275	1e-05	1e-05	1e-05	0.068012	1e-05	1e-05	1e-05	0.115593	1e-05	1e-05	1e-05	1e-05	JU1586
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.61802	0.16895	1e-05	1e-05	0.099795	0.113125	1e-05	1e-05	1e-05	JU1652
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	JU1666
1e-05	1e-05	0.65108	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.34879	1e-05	JU1792
0.999858	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	JU1793
1e-05	1e-05	0.053253	1e-05	0.597062	1e-05	1e-05	0.186832	1e-05	1e-05	1e-05	1e-05	1e-05	0.162743	1e-05	JU1808
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1896
0.597296	1e-05	0.038176	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	1e-05	0.364406	1e-05	JU1934
1e-05	0.206964	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.195689	1e-05	0.597227	1e-05	JU2001
0.139444	1e-05	1e-05	1e-05	1e-05	1e-05	0.160062	0.650855	1e-05	0.049528	1e-05	1e-05	1e-05	1e-05	1e-05	JU2007
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.627082	1e-05	0.372788	1e-05	1e-05	1e-05	1e-05	JU2016
0.000913	0.086411	0.046725	1e-05	1e-05	0.0176	0.059744	0.013493	0.362581	0.141229	0.271243	1e-05	1e-05	1e-05	1e-05	JU2017
0.636276	1e-05	0.146698	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.216906	1e-05	JU2106
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.052754	1e-05	1e-05	1e-05	0.947116	1e-05	JU2131
0.259263	1e-05	0.134603	1e-05	0.05738	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.548644	1e-05	JU2141
1e-05	1e-05	0.058524	1e-05	1e-05	1e-05	0.792808	1e-05	1e-05	1e-05	0.022033	0.126524	1e-05	1e-05	1e-05	JU2234
1e-05	1e-05	1.6e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999854	1e-05	JU2250
1e-05	1e-05	0.999853	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2257
1e-05	1e-05	1e-05	0.999856	1.2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1.2e-05	1e-05	1e-05	JU2316
0.09233	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.118822	0.697696	0.00766	1e-05	0.083392	1e-05	JU2464
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	JU2466
1e-05	1e-05	1e-05	1e-05	1.7e-05	1.3e-05	1e-05	1e-05	0.288833	1.1e-05	0.270606	1e-05	1.5e-05	0.440425	1e-05	JU2478
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.314558	1e-05	1e-05	1e-05	0.597649	1e-05	1e-05	0.087672	1e-05	JU2513
1e-05	1e-05	1e-05	0.560785	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.439085	1e-05	1e-05	1e-05	JU2519
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.116023	1e-05	0.883847	1e-05	1e-05	1e-05	JU2522
1e-05	1e-05	1e-05	0.999859	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2526
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.01269	1e-05	1e-05	0.413174	1e-05	1e-05	0.574016	1e-05	JU2534
1e-05	1e-05	0.999855	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	JU2565
1e-05	1e-05	0.724126	1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	0.093806	1e-05	1e-05	0.181946	1e-05	JU2566
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	JU2570
1e-05	1e-05	0.686694	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.313176	1e-05	JU2572
1e-05	1e-05	0.664192	1e-05	0.112087	1e-05	0.083101	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.140511	1e-05	JU2575
0.161632	0.068379	2.6e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.294389	1e-05	1e-05	0.475475	1e-05	JU2576
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.085101	1e-05	0.418259	0.49652	1e-05	1e-05	1e-05	1e-05	JU2578
0.065091	1e-05	1e-05	0.306393	1e-05	1e-05	0.016934	0.054841	1e-05	0.556641	1e-05	1e-05	1e-05	1e-05	1e-05	JU258
1e-05	1e-05	1e-05	1e-05	0.548547	1e-05	1e-05	0.422792	1e-05	1e-05	0.028541	1e-05	1e-05	1e-05	1e-05	JU2581
0.105722	1e-05	1e-05	1.9e-05	1e-05	1e-05	0.007365	0.03894	1e-05	0.248216	0.109188	0.49047	1e-05	1e-05	1e-05	JU2586
0.001917	1e-05	1e-05	1e-05	0.144331	1e-05	1e-05	0.796141	0.057502	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2587
1e-05	1e-05	0.792559	0.013463	1e-05	1e-05	1e-05	1e-05	1e-05	0.083417	1e-05	1e-05	1e-05	0.110451	1e-05	JU2592
1e-05	1e-05	1e-05	1e-05	0.333609	1e-05	1e-05	0.666261	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2593
0.999851	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	JU2600
0.999844	1e-05	1.5e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	JU2610
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.114014	1e-05	0.744818	0.141048	1e-05	1e-05	1e-05	JU2619
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.625947	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.373923	1e-05	JU2800
1e-05	1e-05	1e-05	1e-05	1e-05	0.083508	1e-05	1e-05	1e-05	1e-05	0.332498	0.583874	1e-05	1e-05	1e-05	JU2811
0.08252	1e-05	0.91735	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2825
1e-05	1e-05	1e-05	1e-05	0.434211	1e-05	1e-05	0.565659	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2829
1e-05	1e-05	1e-05	1e-05	0.242675	1e-05	1e-05	0.171804	1e-05	0.585401	1e-05	1e-05	1e-05	1e-05	1e-05	JU2838
0.351966	1e-05	1e-05	1e-05	1e-05	1e-05	0.124709	0.251046	1e-05	1e-05	0.272168	1e-05	1e-05	1e-05	1e-05	JU2841
1e-05	1e-05	0.291023	1e-05	1e-05	1e-05	1e-05	0.052988	1e-05	0.079967	0.412815	0.163108	1e-05	1e-05	1e-05	JU2853
1e-05	1e-05	0.006384	1e-05	1e-05	1e-05	1e-05	0.389951	0.411269	1e-05	1e-05	0.131551	1e-05	0.060744	1e-05	JU2862
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2866
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.136802	0.085934	0.777144	1e-05	1e-05	1e-05	1e-05	JU2878
1e-05	0.126288	1e-05	1e-05	0.44562	1e-05	1e-05	1e-05	0.288901	1e-05	0.139081	1e-05	1e-05	1e-05	1e-05	JU2879
1e-05	1.1e-05	0.044137	1e-05	1e-05	1e-05	0.430551	0.122665	1e-05	1e-05	0.129225	1e-05	1e-05	0.273321	1e-05	JU2906
1e-05	1e-05	0.547485	1e-05	1e-05	1e-05	0.052275	0.049344	1e-05	1e-05	0.350787	1e-05	1e-05	1e-05	1e-05	JU2907
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.448994	1e-05	1e-05	1e-05	1e-05	1e-05	0.550876	1e-05	JU310
1e-05	1e-05	0.659449	1e-05	0.213572	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.126859	1e-05	JU311
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.552857	1e-05	1e-05	1e-05	0.001441	0.445581	1e-05	1e-05	1e-05	JU3125
1e-05	1e-05	0.103639	1e-05	1e-05	1e-05	0.166929	1e-05	1e-05	0.071956	0.143523	0.513852	1e-05	1e-05	1e-05	JU3127
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.43607	0.097975	1e-05	1e-05	0.259285	1e-05	1e-05	0.206561	1e-05	JU3128
0.265942	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.068504	1e-05	0.665434	1e-05	JU3132
1e-05	1e-05	0.020891	1e-05	1e-05	1e-05	1e-05	0.465072	1e-05	1e-05	0.318418	0.104046	1e-05	0.091473	1e-05	JU3134
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	JU3135
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.174124	1e-05	1e-05	1e-05	1e-05	0.48646	1e-05	0.339296	1e-05	JU3137
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99986	1e-05	JU3140
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.876372	1e-05	1e-05	1e-05	1e-05	1e-05	0.123498	1e-05	JU3144
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.168871	0.30204	1e-05	1e-05	0.528969	1e-05	JU323
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.219821	0.378278	1e-05	1e-05	1e-05	1e-05	1e-05	0.401781	1e-05	JU346
1e-05	1e-05	1e-05	1e-05	0.04434	1e-05	1e-05	0.95553	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU360
1e-05	1e-05	0.787826	1e-05	1e-05	1e-05	0.17029	0.041765	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU367
0.82622	1e-05	0.173647	1e-05	1e-05	1e-05	1e-05	1.3e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU393
1e-05	1e-05	0.99986	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU394
1e-05	1e-05	0.222133	1e-05	1e-05	1e-05	1e-05	1.3e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.777734	1e-05	JU397
