A	B	C	D	E	F	G	H	I	J	samples
0.578715	1e-05	1e-05	0.421205	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	AB1
1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	BRC20067
1e-05	1.8e-05	1e-05	0.554392	1e-05	1e-05	1e-05	0.297173	0.148357	1e-05	BRC20263
0.999908	1e-05	1e-05	1e-05	1.1e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	CB4851
0.372199	1e-05	1e-05	0.627721	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4852
1e-05	1e-05	1e-05	0.819394	0.161437	1e-05	1e-05	0.019098	1e-05	1e-05	CB4853
1e-05	1e-05	1e-05	0.508234	1e-05	1e-05	1e-05	0.491686	1e-05	1e-05	CB4854
1e-05	1e-05	1e-05	0.751956	0.247964	1e-05	1e-05	1e-05	1e-05	1e-05	CB4855
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	CB4856
1e-05	1e-05	1e-05	0.728469	0.271451	1e-05	1e-05	1e-05	1e-05	1e-05	CB4857
1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4858
0.593297	1e-05	0.406623	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CB4932
1e-05	1e-05	1e-05	0.33845	0.392651	1e-05	1.1e-05	0.268827	1e-05	1e-05	CX11254
1e-05	1e-05	1e-05	0.465831	0.534089	1e-05	1e-05	1e-05	1e-05	1e-05	CX11262
1e-05	1e-05	1e-05	0.241967	0.757949	1e-05	1e-05	1.1e-05	1.2e-05	1e-05	CX11264
1e-05	1e-05	1e-05	0.586875	1e-05	1e-05	1e-05	0.413045	1e-05	1e-05	CX11271
0.028089	1e-05	1e-05	0.493936	0.218249	1e-05	1e-05	0.259666	1e-05	1e-05	CX11276
1e-05	1e-05	1e-05	0.235806	0.417311	1e-05	1e-05	0.346813	1e-05	1e-05	CX11285
1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CX11292
1e-05	1e-05	0.057772	0.419735	0.369777	1e-05	1e-05	0.135805	1e-05	0.016861	CX11307
1e-05	1e-05	1e-05	0.682209	0.31771	1e-05	1.1e-05	1e-05	1e-05	1e-05	CX11314
1.5e-05	1e-05	1e-05	0.632455	0.36746	1e-05	1e-05	1e-05	1e-05	1e-05	CX11315
