A	B	C	D	E	F	G	H	I	J	samples
1e-05	1e-05	0.760589	0.220116	1e-05	1e-05	1e-05	0.019225	1e-05	1e-05	DL200
0.030024	1e-05	1e-05	0.585763	0.320817	1e-05	1e-05	0.063336	1e-05	1e-05	DL226
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	DL238
1e-05	0.148637	1e-05	1e-05	0.851283	1e-05	1e-05	1e-05	1e-05	1e-05	ECA189
1e-05	1e-05	1e-05	1e-05	1e-05	0.999907	1.3e-05	1e-05	1e-05	1e-05	ECA191
0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA252
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	ECA347
1e-05	1e-05	1e-05	0.109732	0.867079	1e-05	1e-05	0.02312	1e-05	1e-05	ECA348
1e-05	1e-05	1e-05	0.516315	0.483594	1.6e-05	1.5e-05	1e-05	1e-05	1e-05	ECA349
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	ECA36
1e-05	1e-05	1e-05	1e-05	1.2e-05	1e-05	0.999908	1e-05	1e-05	1e-05	ECA363
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	ECA369
1e-05	0.073503	1e-05	1e-05	0.882405	1e-05	1e-05	0.044022	1e-05	1e-05	ECA372
1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	ECA396
1e-05	1e-05	1e-05	1e-05	1e-05	0.162766	0.588407	1e-05	0.248758	1e-05	ECA701
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	ECA703
1e-05	0.004158	1e-05	1e-05	0.995762	1e-05	1e-05	1e-05	1e-05	1e-05	ECA705
1e-05	0.159798	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.840122	1e-05	ECA706
1e-05	0.215408	1e-05	1e-05	0.751707	1e-05	1e-05	1e-05	0.032815	1e-05	ECA710
1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA712
1e-05	1e-05	1e-05	1e-05	1e-05	0.999909	1e-05	1e-05	1.1e-05	1e-05	ECA722
1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	ECA723
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	ECA724
1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	ECA730
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	ECA732
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	ECA733
1e-05	0.121533	1e-05	1e-05	0.878387	1e-05	1e-05	1e-05	1e-05	1e-05	ECA738
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	ECA740
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	ECA741
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	ECA742
0.029475	1e-05	0.073307	1e-05	0.878644	1e-05	1e-05	0.018512	1.2e-05	1e-05	ECA743
1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	ECA744
1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	ECA745
1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	ECA746
1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA760
1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA768
1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA777
1.7e-05	0.999903	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA778
1e-05	0.999908	1e-05	1.2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA807
1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ECA812
1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ED3005
1e-05	1e-05	1e-05	0.845752	1e-05	1e-05	1e-05	0.154168	1e-05	1e-05	ED3011
0.805181	1e-05	1e-05	0.194739	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ED3012
0.080878	1e-05	0.500865	0.418187	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	ED3017
1e-05	1e-05	1e-05	0.194704	1e-05	1e-05	1e-05	0.805216	1e-05	1e-05	ED3040
1e-05	1e-05	0.179872	0.235938	1e-05	1e-05	1e-05	0.58412	1e-05	1e-05	ED3046
1e-05	1e-05	1e-05	0.70249	1e-05	1e-05	1e-05	0.29743	1e-05	1e-05	ED3048
1e-05	1e-05	0.174469	0.239535	1e-05	1e-05	1e-05	0.585925	1e-05	1e-05	ED3049
1e-05	1e-05	1e-05	0.21151	1e-05	1e-05	1e-05	0.78841	1e-05	1e-05	ED3052
1e-05	1e-05	1e-05	0.900029	1e-05	1e-05	1e-05	0.099891	1e-05	1e-05	ED3073
1e-05	1e-05	0.04227	0.725443	1e-05	1e-05	1e-05	0.211315	1e-05	0.020912	ED3077
0.409555	1e-05	1e-05	0.590365	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	EG4347
1e-05	1e-05	0.25523	0.586235	1e-05	1e-05	1e-05	0.05339	1e-05	0.105085	EG4349
0.03421	1e-05	0.130538	0.18256	1e-05	1e-05	1e-05	0.647387	1e-05	0.005255	EG4724
1e-05	1e-05	1e-05	0.06378	1e-05	1e-05	1e-05	0.629608	1e-05	0.306542	EG4725
0.073521	1e-05	1e-05	0.926399	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	EG4946
1e-05	1e-05	1e-05	0.836788	1e-05	1e-05	1e-05	0.163132	1e-05	1e-05	GXW1
0.275601	1e-05	0.182586	0.422599	1e-05	1e-05	1e-05	0.119154	1e-05	1e-05	JT11398
1e-05	1e-05	1e-05	0.752584	1e-05	1e-05	1e-05	0.247336	1e-05	1e-05	JU1088
1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1172
0.790057	1e-05	1e-05	0.209863	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1200
0.701819	1e-05	0.187406	1e-05	1e-05	1e-05	1e-05	1e-05	0.110705	1e-05	JU1212
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1213
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1242
0.246055	1e-05	0.753865	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1246
0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1249
0.418954	1e-05	1e-05	0.580966	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1395
1e-05	1e-05	0.41053	0.111333	1e-05	1e-05	1e-05	0.434538	1e-05	0.043539	JU1400
1e-05	1e-05	0.187421	0.591371	1e-05	1e-05	1e-05	0.221138	1e-05	1e-05	JU1409
0.055711	1e-05	0.263177	0.578209	1e-05	1e-05	1e-05	0.102843	1e-05	1e-05	JU1440
1e-05	1e-05	0.350477	1e-05	1e-05	1e-05	1e-05	0.649443	1e-05	1e-05	JU1491
1e-05	1e-05	0.639157	0.360763	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1530
0.767204	1e-05	1e-05	0.232716	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1543
0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1568
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1580
0.161625	1e-05	0.72029	0.031948	1e-05	1e-05	1e-05	1e-05	0.086077	1e-05	JU1581
0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1586
0.388198	1e-05	0.046466	0.45016	1e-05	1e-05	1e-05	0.04935	0.03236	0.033427	JU1652
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1666
0.67476	1e-05	0.32516	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1792
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1793
0.226733	1e-05	0.286782	0.486415	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1808
0.740303	1e-05	1e-05	0.182466	1e-05	1e-05	1e-05	1e-05	0.077161	1e-05	JU1896
0.085868	1e-05	0.914052	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU1934
0.014154	1e-05	0.514009	1e-05	1.6e-05	1e-05	1e-05	0.264983	0.206789	1e-05	JU2001
1e-05	1e-05	0.199905	0.550968	1e-05	1e-05	1e-05	0.183523	0.044635	0.020919	JU2007
1e-05	1.9e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	JU2016
0.062733	1e-05	1e-05	0.522858	0.210293	1e-05	1e-05	0.084109	0.119958	1e-05	JU2017
0.138644	1e-05	0.831311	1e-05	1e-05	1e-05	1e-05	1e-05	0.029975	1e-05	JU2106
0.022857	1e-05	0.826387	1e-05	1e-05	1e-05	1e-05	0.150686	1e-05	1e-05	JU2131
0.218587	1e-05	0.781333	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2141
0.61277	1e-05	1e-05	0.258314	1e-05	1e-05	1e-05	0.042285	0.045483	0.041099	JU2234
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2250
0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2257
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	JU2316
1e-05	1e-05	0.149118	0.58548	1e-05	1e-05	1e-05	0.265332	1e-05	1e-05	JU2464
1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2466
1e-05	1e-05	0.387278	0.612642	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2478
0.135747	1e-05	0.03147	0.785802	1.3e-05	1e-05	1.8e-05	0.046909	1e-05	1e-05	JU2513
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.269801	1e-05	0.730119	JU2519
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	JU2522
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	JU2526
1e-05	1e-05	0.52916	0.47076	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2534
0.999904	1.6e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2565
0.782348	1e-05	0.117433	0.10015	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2566
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2570
0.697149	1e-05	0.302771	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2572
0.860548	1e-05	0.13937	1e-05	1e-05	1.2e-05	1e-05	1e-05	1e-05	1e-05	JU2575
0.030078	1e-05	0.635708	0.234396	1e-05	1e-05	1e-05	1e-05	0.099757	1e-05	JU2576
1e-05	1e-05	1e-05	0.470759	1e-05	1e-05	1e-05	0.529161	1e-05	1e-05	JU2578
0.058003	1e-05	0.118308	1e-05	1e-05	1e-05	1e-05	0.330593	0.145635	0.347411	JU258
1e-05	1e-05	0.008517	0.643083	0.348331	1e-05	1e-05	1e-05	1e-05	1e-05	JU2581
1e-05	1e-05	0.07811	0.112724	1e-05	1e-05	1e-05	0.683682	1e-05	0.125424	JU2586
1e-05	1e-05	0.172321	0.725154	1e-05	1e-05	1e-05	0.067824	1e-05	0.034641	JU2587
0.813712	1e-05	0.087684	1e-05	1e-05	1e-05	1e-05	0.06216	1e-05	0.036384	JU2592
1e-05	0.017967	0.105035	0.697756	0.179182	1e-05	1e-05	1e-05	1e-05	1e-05	JU2593
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2600
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2610
1e-05	1e-05	1e-05	0.76682	0.020606	1e-05	1e-05	0.192303	0.020212	1e-05	JU2619
0.502979	1e-05	0.428419	0.068533	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2800
1e-05	1e-05	1e-05	0.449217	1e-05	1e-05	1e-05	0.176774	0.208226	0.165724	JU2811
0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2825
1e-05	1e-05	0.024149	0.709585	0.238985	1e-05	1e-05	1e-05	1e-05	0.027221	JU2829
1e-05	1e-05	0.051683	0.075144	0.243944	1e-05	1e-05	0.585792	0.043386	1e-05	JU2838
1e-05	1e-05	0.353118	0.510621	1e-05	1e-05	1e-05	1e-05	0.136191	1e-05	JU2841
0.287386	1e-05	1e-05	0.339925	1e-05	1e-05	1e-05	0.372619	1e-05	1e-05	JU2853
0.004365	1e-05	0.170747	0.600329	0.047717	1e-05	1e-05	0.138099	1e-05	0.038704	JU2862
1e-05	1e-05	1e-05	0.531979	0.467941	1e-05	1e-05	1e-05	1e-05	1e-05	JU2866
1e-05	1e-05	1e-05	0.672138	0.10327	1e-05	1e-05	0.224522	1e-05	1e-05	JU2878
1e-05	1e-05	1e-05	0.346008	0.653912	1e-05	1e-05	1e-05	1e-05	1e-05	JU2879
0.328258	1e-05	0.343012	0.328661	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2906
0.620088	1e-05	1e-05	0.379832	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU2907
1e-05	1e-05	0.643417	0.356491	1.8e-05	1e-05	1.4e-05	1e-05	1e-05	1e-05	JU310
0.809367	1e-05	0.131657	0.058906	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU311
0.232916	1e-05	1e-05	0.262275	1e-05	1e-05	1e-05	0.504739	1e-05	1e-05	JU3125
0.220685	1e-05	1e-05	0.158979	1e-05	1e-05	1e-05	0.620266	1e-05	1e-05	JU3127
0.074144	1e-05	0.309125	0.594129	1e-05	1e-05	1e-05	1e-05	1e-05	0.022542	JU3128
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU3132
0.032296	1e-05	0.22459	0.652732	1.8e-05	1.4e-05	1e-05	0.090305	1.6e-05	1e-05	JU3134
1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU3135
0.177245	1e-05	0.301567	1e-05	1e-05	1e-05	1e-05	0.497971	0.023157	1e-05	JU3137
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU3140
1e-05	1e-05	0.261935	0.485363	1e-05	1e-05	1e-05	0.252631	1e-05	1e-05	JU3144
1e-05	1e-05	0.470155	0.335668	1e-05	1e-05	1e-05	0.194107	1e-05	1e-05	JU323
1e-05	1e-05	0.661739	0.338181	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU346
1e-05	1e-05	0.228884	0.722081	0.013607	1e-05	1e-05	1e-05	1e-05	0.035368	JU360
0.949099	1e-05	1e-05	0.050821	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU367
0.13018	1e-05	0.86974	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU393
0.999907	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	JU394
0.203894	1e-05	0.796026	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU397
0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU406
0.742819	1e-05	0.156535	0.100576	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU440
0.309852	1e-05	0.048771	0.612343	1e-05	1e-05	1e-05	0.028974	1e-05	1e-05	JU561
1e-05	1e-05	0.358195	0.391366	1e-05	1e-05	1e-05	0.250369	1e-05	1e-05	JU642
1e-05	1e-05	0.149865	0.730486	0.084483	1e-05	1e-05	1e-05	1e-05	0.035106	JU751
1e-05	0.053376	1e-05	0.279784	1e-05	1e-05	1e-05	0.66677	1e-05	1e-05	JU774
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	0.999909	JU775
1e-05	0.021079	1e-05	1e-05	1e-05	1e-05	1e-05	0.940159	1e-05	0.038692	JU778
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.302949	1e-05	0.696971	JU782
1e-05	1e-05	0.999908	1.2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	JU792
1e-05	1e-05	0.055453	0.854579	1e-05	1e-05	1e-05	0.089898	1e-05	1e-05	JU830
0.182489	1e-05	0.588507	0.212986	1e-05	1e-05	1e-05	0.015959	1e-05	1e-05	JU847
1e-05	1e-05	0.069263	0.830202	1e-05	1e-05	1e-05	0.100466	1e-05	1e-05	KR314
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	LKC34
0.999906	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1e-05	1e-05	1e-05	LSJ1
1e-05	1e-05	1e-05	0.398114	1e-05	1e-05	1e-05	0.601806	1e-05	1e-05	MY1
1e-05	1e-05	0.073449	0.515828	1e-05	1e-05	1e-05	0.132793	0.031308	0.246571	MY10
0.272081	1e-05	0.060178	1e-05	0.667663	1e-05	1.9e-05	1e-05	1e-05	1e-05	MY16
0.109452	1e-05	0.181898	0.643734	1e-05	1e-05	1e-05	1e-05	0.064856	1e-05	MY18
0.535017	1e-05	0.464903	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY2147
0.046394	1e-05	0.228217	0.725318	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY2212
1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	MY23
0.540355	1e-05	0.245406	0.093	1e-05	1e-05	1e-05	0.121179	1e-05	1e-05	MY2453
0.071997	1e-05	0.221505	0.699703	1.1e-05	1e-05	1e-05	0.006734	1e-05	1e-05	MY2530
1e-05	1e-05	0.191796	0.67876	1e-05	1e-05	1e-05	0.129375	1e-05	1e-05	MY2535
0.33617	1.7e-05	0.663743	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY2573
1e-05	1e-05	1e-05	0.98238	1e-05	1e-05	1e-05	1e-05	1e-05	0.01754	MY2585
1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY2693
1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY2713
0.110232	1e-05	0.095528	0.78685	0.00733	1e-05	1e-05	1e-05	1e-05	1e-05	MY2741
1e-05	1e-05	1e-05	0.967172	1e-05	1e-05	1e-05	0.032748	1e-05	1e-05	MY518
1e-05	1e-05	1e-05	0.819625	1e-05	1e-05	1e-05	0.180295	1e-05	1e-05	MY679
0.069244	1e-05	0.80716	0.123526	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY772
0.239657	1e-05	0.092239	0.614055	0.053989	1e-05	1e-05	1e-05	1e-05	1e-05	MY795
0.135294	1e-05	0.226265	0.638371	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	MY920
0.999899	1e-05	1.4e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	N2
0.047507	1e-05	0.399789	0.40787	1e-05	1e-05	1e-05	0.129419	1e-05	0.015364	NIC1
0.386086	1e-05	0.600528	1e-05	1e-05	1e-05	1e-05	0.013316	1e-05	1e-05	NIC1049
0.805026	1e-05	0.194892	1e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	1e-05	NIC1107
0.066704	1e-05	0.443621	0.252228	1e-05	1e-05	1e-05	0.237387	1e-05	1e-05	NIC166
0.133507	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.320286	0.306679	0.239468	NIC195
1e-05	1e-05	0.268617	1e-05	1e-05	1e-05	1e-05	0.094834	0.146849	0.48964	NIC199
0.545597	1e-05	1e-05	0.454323	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC2
0.13315	1e-05	0.248588	0.523109	1e-05	1e-05	1e-05	0.095089	1.4e-05	1e-05	NIC207
1e-05	0.024704	1e-05	0.713658	1e-05	1e-05	1e-05	0.261568	1e-05	1e-05	NIC231
1e-05	1e-05	0.045646	1e-05	1e-05	1e-05	1e-05	0.954274	1e-05	1e-05	NIC236
0.44522	1e-05	0.236156	1.2e-05	1e-05	1e-05	1e-05	0.318552	1e-05	1e-05	NIC242
0.021554	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.296482	0.681894	NIC251
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.91202	0.0879	1e-05	NIC252
0.309471	1e-05	0.148835	0.541624	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC255
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.334085	1e-05	0.665835	NIC256
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	NIC258
0.095147	1e-05	0.163585	1e-05	1e-05	1e-05	1e-05	0.558264	1e-05	0.182943	NIC259
1e-05	1e-05	1e-05	0.046032	1e-05	1e-05	1e-05	0.247102	1e-05	0.706795	NIC260
1e-05	1e-05	1e-05	1.4e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999906	NIC261
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.107344	1e-05	0.892576	NIC262
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	NIC265
0.251294	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.640275	0.042216	0.066155	NIC266
1e-05	1e-05	1e-05	0.246765	1e-05	1e-05	1e-05	0.753155	1e-05	1e-05	NIC267
1e-05	1e-05	1e-05	1e-05	0.212594	1e-05	1e-05	0.481877	0.305459	1e-05	NIC268
1e-05	1e-05	0.171099	1e-05	1e-05	1e-05	1e-05	0.828821	1e-05	1e-05	NIC269
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.280647	1e-05	0.719273	NIC271
1e-05	1e-05	0.044565	1e-05	1e-05	1e-05	1e-05	0.955355	1e-05	1e-05	NIC272
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	NIC274
1e-05	1e-05	1e-05	0.071006	1e-05	1e-05	1e-05	0.928914	1e-05	1e-05	NIC275
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	NIC276
1e-05	1e-05	0.663709	0.336211	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC277
1e-05	1e-05	0.559331	0.440028	1e-05	1e-05	1e-05	0.000571	1e-05	1e-05	NIC3
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC501
0.115674	1e-05	0.481309	0.402947	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	NIC511
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	NIC513
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	NIC514
1e-05	1e-05	0.207888	0.316209	1e-05	1e-05	1e-05	0.409367	1e-05	0.066476	NIC515
0.11844	1.7e-05	0.29299	0.290656	1e-05	1e-05	1e-05	0.247397	1e-05	0.05046	NIC522
1e-05	1e-05	1e-05	0.370639	0.142337	1e-05	1e-05	0.450607	1e-05	0.036357	NIC523
1e-05	1e-05	0.24538	0.307996	1e-05	1e-05	1e-05	0.352177	1e-05	0.094386	NIC526
0.023444	1e-05	0.66524	0.113074	1e-05	1e-05	1e-05	0.166899	1e-05	0.031293	NIC527
1e-05	1e-05	0.152849	0.68975	1e-05	1e-05	1e-05	0.15733	1e-05	1e-05	NIC528
0.046046	1e-05	0.212588	0.544523	1e-05	1e-05	1e-05	0.196783	1e-05	1e-05	NIC529
1e-05	1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	PB303
