A	B	C	D	E	F	samples
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	CB4856
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	DL238
0.881293	1e-05	1e-05	1e-05	1e-05	0.118667	ECA189
1e-05	1e-05	1.7e-05	1e-05	0.999943	1e-05	ECA191
1e-05	1e-05	1e-05	0.99995	1e-05	1e-05	ECA347
1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	ECA363
1.3e-05	0.999947	1e-05	1e-05	1e-05	1e-05	ECA369
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	ECA372
1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	ECA396
0.01589	0.2528	0.580975	1e-05	0.150316	1e-05	ECA701
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	ECA703
0.999942	1e-05	1e-05	1.8e-05	1e-05	1e-05	ECA705
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	ECA706
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	ECA710
0.314617	1e-05	1.2e-05	1e-05	1e-05	0.685341	ECA712
1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	ECA722
1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	ECA723
1e-05	1e-05	1e-05	0.99995	1e-05	1e-05	ECA724
1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	ECA730
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	ECA732
1.4e-05	0.999946	1e-05	1e-05	1e-05	1e-05	ECA733
0.999945	1.3e-05	1e-05	1.2e-05	1e-05	1e-05	ECA738
1e-05	1e-05	0.999949	1.1e-05	1e-05	1e-05	ECA740
1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	ECA741
1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	ECA742
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	ECA743
1e-05	1.4e-05	1e-05	1e-05	0.999946	1e-05	ECA744
1e-05	1e-05	1.1e-05	1e-05	0.999949	1e-05	ECA745
1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	ECA746
1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	ECA760
1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	ECA768
1e-05	1e-05	1.1e-05	1.3e-05	1e-05	0.999946	ECA777
1e-05	1e-05	1.3e-05	1e-05	1e-05	0.999947	ECA778
1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	ECA807
1e-05	1e-05	1e-05	1.8e-05	1e-05	0.999942	ECA812
0.497684	0.502276	1e-05	1e-05	1e-05	1e-05	QX1791
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	QX1792
0.999948	1e-05	1e-05	1.2e-05	1e-05	1e-05	QX1793
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	QX1794
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	XZ1513
1e-05	1e-05	1e-05	0.99995	1e-05	1e-05	XZ1514
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	XZ1515
1e-05	0.187812	0.605654	1e-05	0.206504	1e-05	XZ1516
