A	B	C	D	samples
1e-05	0.99997	1e-05	1e-05	CB4856
1e-05	0.99997	1e-05	1e-05	DL238
1e-05	1e-05	1e-05	0.99997	ECA189
0.99997	1e-05	1e-05	1e-05	ECA191
1e-05	1e-05	0.99997	1e-05	ECA347
1e-05	1e-05	0.99997	1e-05	ECA363
1e-05	0.99997	1e-05	1e-05	ECA369
1e-05	1e-05	1e-05	0.99997	ECA372
0.99997	1e-05	1e-05	1e-05	ECA396
0.137073	0.250787	0.612131	1e-05	ECA701
1e-05	0.99997	1e-05	1e-05	ECA703
1e-05	1e-05	1e-05	0.99997	ECA705
1e-05	0.99997	1e-05	1e-05	ECA706
1e-05	1e-05	1e-05	0.99997	ECA710
1e-05	1e-05	1e-05	0.99997	ECA712
0.99997	1e-05	1e-05	1e-05	ECA722
0.99997	1e-05	1e-05	1e-05	ECA723
1e-05	1e-05	0.99997	1e-05	ECA724
0.99997	1e-05	1e-05	1e-05	ECA730
1e-05	0.99997	1e-05	1e-05	ECA732
1e-05	0.99997	1e-05	1e-05	ECA733
1e-05	1e-05	1e-05	0.99997	ECA738
1e-05	1e-05	0.99997	1e-05	ECA740
1.3e-05	1e-05	0.999967	1e-05	ECA741
1e-05	1e-05	0.99997	1e-05	ECA742
1e-05	1e-05	1e-05	0.99997	ECA743
0.99997	1e-05	1e-05	1e-05	ECA744
0.99997	1e-05	1e-05	1e-05	ECA745
0.99997	1e-05	1e-05	1e-05	ECA746
1e-05	1e-05	1e-05	0.99997	ECA760
1e-05	1.4e-05	1e-05	0.999966	ECA768
1e-05	1e-05	1e-05	0.99997	ECA777
1e-05	1e-05	1e-05	0.99997	ECA778
1e-05	1e-05	1e-05	0.99997	ECA807
1e-05	1e-05	1e-05	0.99997	ECA812
1e-05	0.566282	1e-05	0.433698	QX1791
1e-05	1e-05	1e-05	0.99997	QX1792
1e-05	1e-05	1e-05	0.99997	QX1793
1e-05	1e-05	1e-05	0.99997	QX1794
1e-05	1e-05	1e-05	0.99997	XZ1513
1e-05	1e-05	0.99997	1e-05	XZ1514
1e-05	1e-05	0.084322	0.915658	XZ1515
0.178162	0.183331	0.638497	1e-05	XZ1516
