A	B	C	D	E	samples
1e-05	1e-05	1e-05	0.99996	1e-05	CB4856
1e-05	1e-05	1e-05	0.99996	1e-05	DL238
0.88131	1e-05	0.11866	1e-05	1e-05	ECA189
1e-05	1e-05	1e-05	1e-05	0.99996	ECA191
1e-05	0.99996	1e-05	1e-05	1e-05	ECA347
1e-05	0.99996	1e-05	1e-05	1e-05	ECA363
1e-05	1e-05	1e-05	0.99996	1e-05	ECA369
0.99996	1e-05	1e-05	1e-05	1e-05	ECA372
1e-05	1e-05	1e-05	1e-05	0.99996	ECA396
0.005749	0.608858	1e-05	0.245469	0.139914	ECA701
1e-05	1e-05	1e-05	0.99996	1e-05	ECA703
0.99996	1e-05	1e-05	1e-05	1e-05	ECA705
1e-05	1e-05	1e-05	0.99996	1e-05	ECA706
0.99996	1e-05	1e-05	1e-05	1e-05	ECA710
0.314718	1e-05	0.685252	1e-05	1e-05	ECA712
1e-05	1e-05	1e-05	1e-05	0.99996	ECA722
1e-05	1.7e-05	1e-05	1e-05	0.999953	ECA723
1e-05	0.99996	1e-05	1e-05	1e-05	ECA724
1e-05	1e-05	1e-05	1e-05	0.99996	ECA730
1e-05	1e-05	1e-05	0.99996	1e-05	ECA732
1e-05	1e-05	1e-05	0.99996	1e-05	ECA733
0.99996	1e-05	1e-05	1e-05	1e-05	ECA738
1e-05	0.99996	1e-05	1e-05	1e-05	ECA740
1e-05	0.99996	1e-05	1e-05	1e-05	ECA741
1e-05	0.99996	1e-05	1e-05	1e-05	ECA742
0.99996	1e-05	1e-05	1e-05	1e-05	ECA743
1.6e-05	1e-05	1e-05	1e-05	0.999954	ECA744
1e-05	1e-05	1e-05	1e-05	0.99996	ECA745
1e-05	1e-05	1e-05	1e-05	0.99996	ECA746
1e-05	1e-05	0.99996	1e-05	1e-05	ECA760
1e-05	1e-05	0.99996	1e-05	1e-05	ECA768
1e-05	1e-05	0.99996	1e-05	1e-05	ECA777
1e-05	1e-05	0.99996	1e-05	1e-05	ECA778
1e-05	1e-05	0.99996	1e-05	1e-05	ECA807
1e-05	1e-05	0.99996	1e-05	1e-05	ECA812
0.497984	1e-05	1e-05	0.501986	1e-05	QX1791
0.99996	1e-05	1e-05	1e-05	1e-05	QX1792
0.99996	1e-05	1e-05	1e-05	1e-05	QX1793
0.99996	1e-05	1e-05	1e-05	1e-05	QX1794
0.99996	1e-05	1e-05	1e-05	1e-05	XZ1513
1e-05	0.99996	1e-05	1e-05	1e-05	XZ1514
0.99996	1e-05	1e-05	1e-05	1e-05	XZ1515
1e-05	0.637007	1e-05	0.183052	0.179921	XZ1516
